sequence,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhB6hBTiB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jey/IvhFzbBGdB3hB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeG8IvhFTdBUhB/kBalBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhFTdBUhB/kB6mBmq?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFygBGdB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBCiBVrB3p?B2vB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFSiBUhBelBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBOrB/qBCn?B1uB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhBxcBCiBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFGdB3hBlkBxqBTp?ByvB,v115@7gB8HeF8BeE8EeD8EeE8Je2/IvhFSiBUhBzkBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhF5hBTdBerB/kB8l?ByuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFygBGdB3hB1uBxq?B0qB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFTdBUhBmkBSrB1u?BXrB,v115@7gB8HeF8BeE8EeD8EeE8Jem7IvhFSiBxfB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFxcBXmBlkBCnB2v?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhF6hBTdBVrB0kBfr?BxuB
TISLJZO,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJZLO,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TISJZOL,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TISZLJO,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TISZLOJ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TISZJLO,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TISZJOL,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TISZOLJ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TISZOJL,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
