sequence,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhB6hBTiB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jey/IvhFzbBGdB3hB0kBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeG8IvhFTdBUhB/kBalBFr?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhFTdBUhB/kB6mBmq?BxuB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFygBGdB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBCiBVrB3p?B2vB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFSiBUhBelBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhF0bBxcBOrB/qBCn?B1uB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhFfhBxcBCiBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFGdB3hBlkBxqBTp?ByvB,v115@7gB8HeF8BeE8EeD8EeE8Je2/IvhFSiBUhBzkBfrBlm?BxuB,v115@7gB8HeF8BeE8EeD8EeE8JeF7IvhF5hBTdBerB/kB8l?ByuB,v115@7gB8HeF8BeE8EeD8EeE8JeT6IvhFygBGdB3hB1uBxq?B0qB,v115@7gB8HeF8BeE8EeD8EeE8Jex6IvhFTdBUhBmkBSrB1u?BXrB,v115@7gB8HeF8BeE8EeD8EeE8Jem7IvhFSiBxfB3hBUqBFr?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Je07IvhFxcBXmBlkBCnB2v?BTpB,v115@7gB8HeF8BeE8EeD8EeE8Jem6IvhF6hBTdBVrB0kBfr?BxuB
ISTZJLO,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
ISTZJOL,O,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
ISTZOLJ,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ISTZOJL,O,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
ISTOLJZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTOLZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTOJZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISTOZLJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTOZJL,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ISLTJZO,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLJTZO,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJZTO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJOTZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLZJTO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISLZJOT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISJTLZO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJTZLO,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
ISJTZOL,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
ISJTOLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJTOZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISJLTZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISJZTOL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISJZLTO,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISJZLOT,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJZOTL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOTZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOZLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ISZTLOJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZTJLO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ISZTJOL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZTOLJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOJL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZLTJO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLTOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISZLJOT,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ISZLOTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZJTLO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZJTOL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZJLTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISZJLOT,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ISZJOTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOJLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOTLZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISOTZLJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOTZJL,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ISOLTJZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISOJLTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJZLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOZJTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZJLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X
IZTLJOS,X,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
IZTLSJO,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X
IZTLSOJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X
IZTLOSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X
IZTJLOS,X,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
IZTJSLO,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
IZTJSOL,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
IZTJOLS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
IZTJOSL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTSLJO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X
IZTSLOJ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZTSJLO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X
IZTSJOL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZTOLJS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
IZTOLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
IZTOJSL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
IZLTJOS,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X
IZLTSJO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X
IZLTOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLJTOS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLJSTO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLJSOT,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLJOTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLJOST,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLSTJO,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLSTOJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZLSJOT,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZLOTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLOJST,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLOSTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X
IZJTLOS,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X
IZJTSLO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X
IZJTSOL,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJTOLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJTOSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJLTOS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJLSTO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJLSOT,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJLOST,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJSTLO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJSTOL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJSLTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJSLOT,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJSOTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSOLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJOLST,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJOSTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZSTLOJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZSTJOL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSTOLJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSLTJO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSLJOT,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZSLOTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSJTOL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSJLTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSJLOT,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJOLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOJLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
IZOTLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
IZOTJSL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOLJST,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOJLST,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOJSTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSJLT,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOTJLSZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJLZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJZLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLJS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTZLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTZJSL,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTZSLJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZSJL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJSTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJZTS,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
IOLJZST,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
IOLSTJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLZJST,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLZSTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJTLZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
IOJTZLS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTZSL,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLZTS,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X
IOJLZST,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
IOJSLTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSZTL,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOJSZLT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZTLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJZTSL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZLTS,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X
IOJZLST,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
IOJZSTL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZSLT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSTLZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOSTZLJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSTZJL,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IOSLTJZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
