sequence,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhF0cBTeBflBl?gBOrBCqB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBifB3?gB1pBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhFFbB0cBTeBq?kB3gBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeO/IvhFXbB0cBTeB1?pBxlBarB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBKkBf?lBFmBmqB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhF0cBTeBKkBf?lBlgBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8JeZ/IvhFTeBflB0gBl?hBClBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex6IvhFTeBKkBflB0?gBlhBOrB,v115@5gB8IeA8HeD8CeA8AeI8AeE8Jex7IvhFTeBOkBXgBl?hBarB0pB
TILJSZO,X,O,O,O,X,X,X,X,X
TILJSOZ,X,O,O,O,X,X,X,X,X
TILJZSO,X,O,O,O,X,X,X,X,X
TILJZOS,X,O,O,O,O,X,X,X,X
TILJOSZ,X,O,O,O,X,X,X,X,X
TILJOZS,X,O,O,O,O,X,X,X,X
TILSJZO,X,O,O,O,O,X,X,X,X
TILSJOZ,X,O,O,O,O,X,X,X,X
TILSZJO,X,O,O,O,O,X,X,O,X
TILSZOJ,X,O,O,O,O,X,O,O,X
TILSOJZ,X,O,O,O,O,X,X,X,X
TILSOZJ,X,O,O,O,O,X,O,O,X
TILZJSO,X,O,O,O,X,X,X,X,X
TILZJOS,X,O,O,O,O,X,X,X,X
TILZSJO,X,O,O,O,O,X,X,X,X
TILZSOJ,X,O,O,O,O,X,X,X,X
TILZOJS,X,O,O,O,O,X,X,X,X
TILZOSJ,X,O,O,O,O,X,X,X,X
TILOJSZ,X,O,O,O,X,X,X,X,X
TILOJZS,X,O,O,O,O,X,X,X,X
TILOSJZ,X,O,O,O,O,X,X,X,X
TILOSZJ,X,O,O,O,O,X,O,O,X
TILOZJS,X,O,O,O,O,X,X,X,X
TILOZSJ,X,O,O,O,O,X,X,X,X
TIJLSZO,X,O,O,O,X,X,X,X,X
TIJLSOZ,X,O,O,O,X,X,X,X,X
TIJLZSO,X,O,O,O,X,X,X,X,X
