sequence,v115@DhB8FeF8EeH8AeF8JeWBJvhFxcBTeB/kBUgBikBlqB,v115@DhB8FeF8EeH8AeF8Jex6IvhF8gBCdBTeB2kB3kBlqB,v115@DhB8FeF8EeH8AeF8JeX7IvhFxcBTeB0kB6qBOpBFrB,v115@DhB8FeF8EeH8AeF8JeZ/IvhFCdBTeBukB3gBFlB8qB,v115@DhB8FeF8EeH8AeF8Je//IvhFFbBxcBTeB2pB0lBCrB,v115@DhB8FeF8EeH8AeF8Je//IvhFRbBCdBTeB2pB0lBlqB,v115@DhB8FeF8EeH8AeF8JeO/IvhFXbBxcBTeB1pB0lBCrB,v115@DhB8FeF8EeH8AeF8JeZ/IvhF3bBCdBTeBFlBukB8qB,v115@DhB8FeF8EeH8AeF8Jex6IvhFCdBTeB2kB1qB3kB8qB
TILJSZO,X,X,X,X,X,X,X,O,O
TILJSOZ,X,X,X,O,X,X,O,O,O
TILJZSO,X,O,X,X,X,X,X,O,X
TILJZOS,X,O,X,X,X,X,X,O,X
TILJOSZ,X,X,X,O,X,X,O,O,O
TILJOZS,X,O,X,X,X,X,X,O,X
TILSJZO,X,X,X,X,X,X,X,O,X
TILSJOZ,X,X,X,O,X,X,O,O,X
TILSZJO,O,X,X,X,X,X,X,O,X
TILSZOJ,O,X,X,X,X,X,X,O,X
TILSOJZ,X,X,X,O,X,X,O,O,X
TILSOZJ,O,X,X,X,X,X,X,O,X
TILZJSO,X,O,O,X,X,X,X,O,X
TILZJOS,X,O,O,X,X,X,X,O,X
TILZSJO,X,X,O,X,X,X,X,O,X
TILZSOJ,X,O,O,X,X,X,X,O,X
TILZOJS,X,O,O,X,X,X,X,O,X
TILZOSJ,X,O,O,X,X,X,X,O,X
TILOJSZ,X,X,X,O,X,X,O,O,O
TILOJZS,X,O,X,X,X,X,X,O,X
TILOSJZ,X,X,X,O,X,X,O,O,X
TILOSZJ,O,X,X,X,X,X,X,O,X
TILOZJS,X,O,O,X,X,X,X,O,X
TILOZSJ,X,O,O,X,X,X,X,O,X
TIJLSZO,X,X,X,X,X,X,X,O,O
TIJLSOZ,X,X,X,O,X,X,O,O,O
TIJLZSO,X,O,X,X,X,X,X,O,X
TIJLZOS,X,O,X,X,X,X,X,O,X
TIJLOSZ,X,X,X,O,X,X,O,O,O
TIJLOZS,X,O,X,X,X,X,X,O,X
TIJSLZO,X,X,X,X,X,X,X,O,O
TIJSLOZ,X,X,X,O,O,X,O,O,O
TIJSZLO,O,X,X,X,O,X,X,O,O
TIJSZOL,O,X,X,X,O,X,O,O,O
TIJSOLZ,X,X,X,O,O,X,O,O,O
TIJSOZL,O,X,X,X,O,X,O,O,O
TIJZLSO,X,O,X,X,X,X,O,O,X
TIJZLOS,X,O,X,X,X,X,O,O,X
TIJZSLO,X,O,X,X,X,X,O,O,X
TIJZSOL,X,O,X,X,X,X,O,O,X
TIJZOLS,X,O,X,X,X,X,O,O,X
TIJZOSL,X,O,X,X,X,X,O,O,X
TIJOLSZ,X,X,X,O,X,X,O,O,O
TIJOLZS,X,O,X,X,X,X,X,O,X
TIJOSLZ,X,X,X,O,O,X,O,O,O
TIJOSZL,O,X,X,X,O,X,O,O,O
TIJOZLS,X,O,X,X,X,X,O,O,X
TIJOZSL,X,O,X,X,X,X,O,O,X
TISLJZO,X,X,X,X,X,X,X,O,X
TISLJOZ,X,X,X,O,X,X,O,O,X
TISLZJO,O,X,X,X,X,X,X,O,X
TISLZOJ,O,X,X,X,X,X,X,O,X
TISLOJZ,X,X,X,O,X,X,O,O,X
TISLOZJ,O,X,X,X,X,X,X,O,X
TISJLZO,X,X,X,X,X,X,X,O,X
TISJLOZ,X,X,X,O,X,X,O,O,X
TISJZLO,O,X,X,X,X,X,X,O,X
TISJZOL,O,X,X,X,X,X,O,O,X
TISJOLZ,X,X,X,O,X,X,O,O,X
TISJOZL,O,X,X,X,X,X,O,O,X
TISZLJO,O,X,X,X,X,X,X,O,X
TISZLOJ,O,X,X,X,X,X,X,O,X
TISZJLO,O,X,X,X,X,X,X,O,X
TISZJOL,O,X,X,X,X,X,O,O,X
TISZOLJ,O,X,X,X,X,X,X,O,X
TISZOJL,O,X,X,X,X,X,O,O,X
TISOLJZ,X,X,X,O,X,X,O,O,X
TISOLZJ,O,X,X,X,X,X,X,O,X
TISOJLZ,X,X,X,O,X,X,O,O,X
TISOJZL,O,X,X,X,X,X,O,O,X
TISOZLJ,O,X,X,X,X,X,X,O,X
TISOZJL,O,X,X,X,X,X,O,O,X
TIZLJSO,X,O,O,X,X,X,O,O,X
TIZLJOS,X,O,O,X,X,X,O,O,X
TIZLSJO,X,X,O,X,X,X,O,O,X
TIZLSOJ,X,O,O,X,X,X,O,O,X
TIZLOJS,X,O,O,X,X,X,O,O,X
TIZLOSJ,X,O,O,X,X,X,O,O,X
TIZJLSO,X,O,X,X,X,X,O,O,X
TIZJLOS,X,O,X,X,X,X,O,O,X
TIZJSLO,X,O,X,X,O,X,O,O,X
TIZJSOL,X,O,X,X,O,X,O,O,X
TIZJOLS,X,O,X,X,X,X,O,O,X
TIZJOSL,X,O,X,X,O,X,O,O,X
TIZSLJO,O,X,X,X,X,X,O,O,X
TIZSLOJ,O,O,X,X,X,X,O,O,X
TIZSJLO,O,X,X,X,X,X,O,O,X
TIZSJOL,O,X,X,X,X,X,O,O,X
TIZSOLJ,O,O,X,X,X,X,O,O,X
TIZSOJL,O,X,X,X,X,X,O,O,X
TIZOLJS,X,O,O,X,X,X,O,O,X
TIZOLSJ,X,O,O,X,X,X,O,O,X
TIZOJLS,X,O,X,X,X,X,O,O,X
TIZOJSL,X,O,X,X,O,X,O,O,X
TIZOSLJ,O,O,X,X,X,X,O,O,X
TIZOSJL,O,X,X,X,X,X,O,O,X
TIOLJSZ,X,X,X,O,X,X,O,O,O
TIOLJZS,X,O,X,X,X,X,X,O,X
TIOLSJZ,X,X,X,O,X,X,O,O,X
TIOLSZJ,O,X,X,X,X,X,X,O,X
TIOLZJS,X,O,O,X,X,X,X,O,X
TIOLZSJ,X,O,O,X,X,X,X,O,X
TIOJLSZ,X,X,X,O,X,X,O,O,O
TIOJLZS,X,O,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,O,O,X,O,O,O
TIOJSZL,O,X,X,X,O,X,O,O,O
TIOJZLS,X,O,X,X,X,X,O,O,X
TIOJZSL,X,O,X,X,X,X,O,O,X
TIOSLJZ,X,X,X,O,X,X,O,O,X
TIOSLZJ,O,X,X,X,X,X,X,O,X
TIOSJLZ,X,X,X,O,X,X,O,O,X
TIOSJZL,O,X,X,X,X,X,O,O,X
TIOSZLJ,O,X,X,X,X,X,X,O,X
TIOSZJL,O,X,X,X,X,X,O,O,X
TIOZLJS,X,O,O,X,X,X,O,O,X
TIOZLSJ,X,O,O,X,X,X,O,O,X
TIOZJLS,X,O,X,X,X,X,O,O,X
TIOZJSL,X,O,X,X,O,X,O,O,X
TIOZSLJ,O,O,X,X,X,X,O,O,X
TIOZSJL,O,X,X,X,X,X,O,O,X
TLIJSZO,X,X,X,X,X,X,X,O,O
TLIJSOZ,X,X,X,O,X,X,O,O,O
TLIJZSO,X,O,X,X,X,X,X,O,X
TLIJZOS,X,O,X,X,X,X,X,O,X
TLIJOSZ,X,X,X,O,X,X,O,O,O
TLIJOZS,X,O,X,X,X,X,X,O,X
TLISJZO,X,X,X,X,X,X,X,O,X
TLISJOZ,X,X,X,O,X,X,O,O,X
TLISZJO,O,X,X,X,X,X,X,O,X
TLISZOJ,O,X,X,X,X,X,X,O,X
TLISOJZ,X,X,X,O,X,X,O,O,X
TLISOZJ,O,X,X,X,X,X,X,O,X
TLIZJSO,X,O,O,X,X,X,X,O,X
TLIZJOS,X,O,O,X,X,X,X,O,X
TLIZSJO,X,X,O,X,X,X,X,O,X
TLIZSOJ,X,O,O,X,X,X,X,O,X
TLIZOJS,X,O,O,X,X,X,X,O,X
TLIZOSJ,X,O,O,X,X,X,X,O,X
TLIOJSZ,X,X,X,O,X,X,O,O,O
TLIOJZS,X,O,X,X,X,X,X,O,X
TLIOSJZ,X,X,X,O,X,X,O,O,X
TLIOSZJ,O,X,X,X,X,X,X,O,X
TLIOZJS,X,O,O,X,X,X,X,O,X
TLIOZSJ,X,O,O,X,X,X,X,O,X
TLJISZO,X,X,X,X,X,X,X,O,O
TLJISOZ,X,X,X,O,X,X,O,O,O
TLJIZSO,X,O,X,X,X,X,X,O,X
TLJIZOS,X,O,X,X,X,X,X,O,X
TLJIOSZ,X,X,X,O,X,X,O,O,O
