sequence,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBOhBTeBt?mB0nBXsB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBdiBGeB/?mBznB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFdiBqiBTeBO?kB/mB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhBCeBOkB8?mBXoBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhB3dBcjBO?kBCnBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBNhBWjB8?mBXoBzrB
TILJSZO,O,X,O,X,O,O
TILJSOZ,O,O,O,X,X,X
TILJZSO,O,X,O,X,O,O
TILJZOS,O,X,O,X,O,O
TILJOSZ,O,O,O,X,X,X
TILJOZS,O,O,O,X,O,O
TILSJZO,O,X,O,X,X,O
TILSJOZ,O,O,O,X,X,X
TILSZJO,O,X,X,X,X,O
TILSZOJ,O,O,X,X,X,X
TILSOJZ,O,O,O,X,X,X
TILSOZJ,X,O,X,X,X,X
TILZJSO,O,X,X,X,O,O
TILZJOS,O,X,X,X,O,O
TILZSJO,O,X,X,X,O,O
TILZSOJ,O,O,X,X,X,X
TILZOJS,O,O,X,X,X,O
TILZOSJ,O,O,X,X,X,X
TILOJSZ,O,O,O,X,X,X
TILOJZS,O,O,O,X,X,O
TILOSJZ,O,O,O,X,X,X
TILOSZJ,X,O,X,X,X,X
TILOZJS,O,O,X,X,X,O
TILOZSJ,O,O,X,X,X,X
TIJLSZO,O,X,O,O,O,O
TIJLSOZ,O,O,O,O,X,X
TIJLZSO,O,X,O,O,O,O
TIJLZOS,O,X,O,X,O,O
TIJLOSZ,O,O,O,X,X,X
TIJLOZS,O,O,O,X,O,O
TIJSLZO,O,X,O,O,O,O
TIJSLOZ,O,O,O,O,X,X
TIJSZLO,O,X,O,O,O,O
TIJSZOL,O,X,X,O,O,X
TIJSOLZ,O,O,O,O,X,X
TIJSOZL,O,O,X,O,X,X
TIJZLSO,O,X,O,O,O,O
TIJZLOS,O,X,O,X,O,O
TIJZSLO,O,X,O,O,O,O
TIJZSOL,O,X,X,O,O,X
TIJZOLS,O,X,X,X,O,O
TIJZOSL,O,X,X,O,O,X
TIJOLSZ,O,O,O,X,X,X
TIJOLZS,O,O,O,X,O,O
TIJOSLZ,O,O,O,O,X,X
TIJOSZL,O,O,X,O,X,X
TIJOZLS,O,O,X,X,O,O
TIJOZSL,O,O,X,O,O,X
TISLJZO,O,X,O,O,X,O
TISLJOZ,O,O,O,O,X,X
TISLZJO,O,X,X,O,X,O
TISLZOJ,O,O,X,X,X,X
TISLOJZ,O,O,O,X,X,X
TISLOZJ,X,O,X,X,X,X
TISJLZO,O,X,O,O,X,O
TISJLOZ,O,O,O,O,X,X
TISJZLO,O,X,O,O,X,O
TISJZOL,O,X,X,O,X,X
TISJOLZ,O,O,O,O,X,X
TISJOZL,O,O,X,O,X,X
TISZLJO,O,X,X,O,X,O
TISZLOJ,O,O,X,X,X,X
TISZJLO,O,X,X,O,X,O
TISZJOL,O,X,X,O,X,X
TISZOLJ,O,O,X,X,X,X
TISZOJL,O,O,X,X,X,X
TISOLJZ,O,O,X,X,X,X
TISOLZJ,X,O,X,X,X,X
TISOJLZ,O,O,X,X,X,X
TISOJZL,O,O,X,X,X,X
TISOZLJ,X,O,X,X,X,X
TISOZJL,X,O,X,X,X,X
TIZLJSO,O,X,X,X,O,O
TIZLJOS,O,X,X,X,O,O
TIZLSJO,O,X,X,X,O,O
TIZLSOJ,O,O,X,X,X,X
TIZLOJS,O,O,X,X,X,O
TIZLOSJ,O,O,X,X,X,X
TIZJLSO,O,X,X,O,O,O
TIZJLOS,O,X,X,X,O,O
TIZJSLO,O,X,X,O,O,O
TIZJSOL,O,X,X,O,O,X
TIZJOLS,O,X,X,X,O,O
TIZJOSL,O,X,X,O,O,X
TIZSLJO,O,X,X,O,X,O
TIZSLOJ,O,O,X,X,X,X
TIZSJLO,O,X,X,O,O,O
TIZSJOL,O,X,X,O,O,X
TIZSOLJ,O,O,X,X,X,X
TIZSOJL,O,O,X,X,X,X
TIZOLJS,O,O,X,X,X,O
TIZOLSJ,O,O,X,X,X,X
TIZOJLS,O,O,X,X,X,O
TIZOJSL,O,O,X,X,X,X
TIZOSLJ,O,O,X,X,X,X
TIZOSJL,O,O,X,X,X,X
TIOLJSZ,O,O,X,X,X,X
TIOLJZS,O,O,X,X,X,O
TIOLSJZ,O,O,X,X,X,X
TIOLSZJ,X,O,X,X,X,X
TIOLZJS,O,O,X,X,X,O
TIOLZSJ,O,O,X,X,X,X
TIOJLSZ,O,O,X,X,X,X
TIOJLZS,O,O,X,X,X,O
TIOJSLZ,O,O,X,X,X,X
TIOJSZL,O,O,X,X,X,X
TIOJZLS,O,O,X,X,X,O
TIOJZSL,O,O,X,X,X,X
TIOSLJZ,O,O,X,X,X,X
TIOSLZJ,X,O,X,X,X,X
TIOSJLZ,O,O,X,X,X,X
TIOSJZL,O,O,X,X,X,X
TIOSZLJ,X,O,X,X,X,X
TIOSZJL,X,O,X,X,X,X
TIOZLJS,O,O,X,X,X,O
TIOZLSJ,O,O,X,X,X,X
TIOZJLS,O,O,X,X,X,O
TIOZJSL,O,O,X,X,X,X
TIOZSLJ,O,O,X,X,X,X
TIOZSJL,O,O,X,X,X,X
TLIJSZO,O,X,O,X,O,O
TLIJSOZ,O,O,O,X,X,X
TLIJZSO,O,X,O,X,O,O
TLIJZOS,O,X,O,X,O,O
TLIJOSZ,O,O,O,X,X,X
TLIJOZS,O,O,O,X,O,O
TLISJZO,O,X,O,X,X,O
TLISJOZ,O,O,O,X,X,X
TLISZJO,O,X,X,X,X,O
TLISZOJ,O,O,X,X,X,X
TLISOJZ,O,O,O,X,X,X
TLISOZJ,X,O,X,X,X,X
TLIZJSO,O,X,X,X,O,O
TLIZJOS,O,X,X,X,O,O
TLIZSJO,O,X,X,X,O,O
TLIZSOJ,O,O,X,X,X,X
TLIZOJS,O,O,X,X,X,O
TLIZOSJ,O,O,X,X,X,X
TLIOJSZ,O,O,O,X,X,X
TLIOJZS,O,O,O,X,X,O
TLIOSJZ,O,O,O,X,X,X
TLIOSZJ,X,O,X,X,X,X
TLIOZJS,O,O,X,X,X,O
TLIOZSJ,O,O,X,X,X,X
TLJISZO,O,X,O,O,O,O
TLJISOZ,O,O,O,O,X,X
TLJIZSO,O,X,O,O,O,O
TLJIZOS,O,X,O,X,O,O
TLJIOSZ,O,O,O,X,X,X
TLJIOZS,O,O,O,X,O,O
TLJSIZO,O,X,O,O,O,O
TLJSIOZ,O,O,O,O,X,X
TLJSZIO,O,X,O,O,O,O
TLJSZOI,O,X,O,O,O,X
TLJSOIZ,O,O,O,O,X,X
TLJSOZI,O,O,O,O,X,X
TLJZISO,O,X,O,O,O,O
TLJZIOS,O,X,O,X,O,O
TLJZSIO,O,X,O,O,O,O
TLJZSOI,O,X,O,O,O,X
TLJZOIS,O,X,O,X,O,O
TLJZOSI,O,X,O,X,O,X
TLJOISZ,O,O,O,X,X,X
TLJOIZS,O,O,O,X,O,O
TLJOSIZ,O,O,O,X,X,X
TLJOSZI,O,O,O,X,X,X
TLJOZIS,O,O,O,X,O,O
TLJOZSI,O,O,O,X,O,X
TLSIJZO,O,X,O,O,X,O
TLSIJOZ,O,O,O,O,X,X
TLSIZJO,O,X,X,O,X,O
TLSIZOJ,O,O,X,X,X,X
TLSIOJZ,O,O,O,X,X,X
TLSIOZJ,X,O,X,X,X,X
TLSJIZO,O,X,O,O,O,O
TLSJIOZ,O,O,O,O,X,X
TLSJZIO,O,X,O,O,O,O
TLSJZOI,O,X,O,O,O,X
TLSJOIZ,O,O,O,O,X,X
TLSJOZI,O,O,O,O,X,X
TLSZIJO,O,X,X,O,O,O
TLSZIOJ,O,O,X,X,X,X
TLSZJIO,O,X,O,O,O,O
TLSZJOI,O,X,O,O,O,X
TLSZOIJ,O,O,X,X,X,X
TLSZOJI,O,O,O,O,O,X
TLSOIJZ,O,O,O,X,X,X
TLSOIZJ,X,O,X,X,X,X
TLSOJIZ,O,O,O,O,X,X
TLSOJZI,O,O,O,O,X,X
TLSOZIJ,X,O,X,X,X,X
TLSOZJI,X,O,O,O,X,X
TLZIJSO,O,X,X,X,O,O
TLZIJOS,O,X,X,X,O,O
TLZISJO,O,X,X,X,O,O
TLZISOJ,O,O,X,X,X,X
TLZIOJS,O,O,X,X,X,O
TLZIOSJ,O,O,X,X,X,X
TLZJISO,O,X,O,O,O,O
TLZJIOS,O,X,O,X,O,O
TLZJSIO,O,X,O,O,O,O
TLZJSOI,O,X,O,O,O,X
TLZJOIS,O,X,O,X,O,O
TLZJOSI,O,X,O,X,O,X
TLZSIJO,O,X,X,O,O,O
TLZSIOJ,O,O,X,X,X,X
TLZSJIO,O,X,O,O,O,O
TLZSJOI,O,X,O,O,O,X
TLZSOIJ,O,O,X,X,X,X
TLZSOJI,O,O,O,O,O,X
TLZOIJS,O,O,X,X,X,O
TLZOISJ,O,O,X,X,X,X
TLZOJIS,O,O,O,X,O,O
TLZOJSI,O,O,O,X,O,X
TLZOSIJ,O,O,X,X,X,X
TLZOSJI,O,O,O,X,O,X
TLOIJSZ,O,O,O,X,X,X
TLOIJZS,O,O,O,X,X,O
TLOISJZ,O,O,O,X,X,X
TLOISZJ,X,O,X,X,X,X
TLOIZJS,O,O,X,X,X,O
TLOIZSJ,O,O,X,X,X,X
TLOJISZ,O,O,O,X,X,X
TLOJIZS,O,O,O,X,O,O
TLOJSIZ,O,O,O,X,X,X
TLOJSZI,O,O,O,X,X,X
TLOJZIS,O,O,O,X,O,O
TLOJZSI,O,O,O,X,O,X
TLOSIJZ,O,O,O,X,X,X
TLOSIZJ,X,O,X,X,X,X
TLOSJIZ,O,O,O,X,X,X
TLOSJZI,O,O,O,X,X,X
TLOSZIJ,X,O,X,X,X,X
TLOSZJI,X,O,O,X,X,X
TLOZIJS,O,O,X,X,X,O
TLOZISJ,O,O,X,X,X,X
TLOZJIS,O,O,O,X,O,O
TLOZJSI,O,O,O,X,O,X
TLOZSIJ,O,O,X,X,X,X
TLOZSJI,O,O,O,X,O,X
TJILSZO,O,X,O,O,O,O
TJILSOZ,O,O,O,O,X,X
TJILZSO,O,X,O,O,O,O
TJILZOS,O,X,O,X,O,O
TJILOSZ,O,O,O,X,X,X
TJILOZS,O,O,O,X,O,O
TJISLZO,O,X,O,O,O,O
TJISLOZ,O,O,O,O,X,X
TJISZLO,O,X,O,O,O,O
TJISZOL,O,X,X,O,O,X
TJISOLZ,O,O,O,O,X,X
TJISOZL,O,O,X,O,X,X
TJIZLSO,O,X,O,O,O,O
TJIZLOS,O,X,O,X,O,O
TJIZSLO,O,X,O,O,O,O
TJIZSOL,O,X,X,O,O,X
TJIZOLS,O,X,X,X,O,O
TJIZOSL,O,X,X,O,O,X
TJIOLSZ,O,O,O,X,X,X
TJIOLZS,O,O,O,X,O,O
TJIOSLZ,O,O,O,O,X,X
TJIOSZL,O,O,X,O,X,X
TJIOZLS,O,O,X,X,O,O
TJIOZSL,O,O,X,O,O,X
TJLISZO,O,X,O,O,O,O
TJLISOZ,O,O,O,O,X,X
TJLIZSO,O,X,O,O,O,O
TJLIZOS,O,X,O,X,O,O
TJLIOSZ,O,O,O,X,X,X
TJLIOZS,O,O,O,X,O,O
TJLSIZO,O,X,O,O,O,O
TJLSIOZ,O,O,O,O,X,X
TJLSZIO,O,X,O,O,O,O
TJLSZOI,O,X,O,O,O,X
TJLSOIZ,O,O,O,O,X,X
TJLSOZI,O,O,O,O,X,X
TJLZISO,O,X,O,O,O,O
TJLZIOS,O,X,O,X,O,O
TJLZSIO,O,X,O,O,O,O
TJLZSOI,O,X,O,O,O,X
TJLZOIS,O,X,O,X,O,O
TJLZOSI,O,X,O,X,O,X
TJLOISZ,O,O,O,X,X,X
TJLOIZS,O,O,O,X,O,O
TJLOSIZ,O,O,O,X,X,X
TJLOSZI,O,O,O,X,X,X
TJLOZIS,O,O,O,X,O,O
TJLOZSI,O,O,O,X,O,X
TJSILZO,O,X,O,O,O,O
TJSILOZ,O,O,O,O,X,X
TJSIZLO,O,X,O,O,O,O
TJSIZOL,O,X,X,O,O,X
TJSIOLZ,O,O,O,O,X,X
TJSIOZL,O,O,X,O,X,X
TJSLIZO,O,X,O,O,O,O
TJSLIOZ,O,O,O,O,X,X
TJSLZIO,O,X,O,O,O,O
TJSLZOI,O,X,O,O,O,X
TJSLOIZ,O,O,O,O,X,X
TJSLOZI,O,O,O,O,X,X
TJSZILO,O,X,O,O,O,O
TJSZIOL,O,X,X,O,O,X
TJSZLIO,O,X,O,O,O,O
TJSZLOI,O,X,O,O,O,X
TJSZOIL,O,X,X,O,O,X
TJSZOLI,O,X,X,O,O,X
TJSOILZ,O,O,O,O,X,X
TJSOIZL,O,O,X,O,X,X
TJSOLIZ,O,O,O,O,X,X
TJSOLZI,O,O,O,O,X,X
TJSOZIL,O,O,X,O,X,X
TJSOZLI,O,O,X,O,X,X
TJZILSO,O,X,O,O,O,O
TJZILOS,O,X,O,X,O,O
TJZISLO,O,X,O,O,O,O
TJZISOL,O,X,X,O,O,X
TJZIOLS,O,X,X,X,O,O
TJZIOSL,O,X,X,O,O,X
TJZLISO,O,X,O,O,O,O
TJZLIOS,O,X,O,X,O,O
TJZLSIO,O,X,O,O,O,O
