sequence,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBqnBTjB/qBFm?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBRiBcoBfsB6s?BlqB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFlhBGjB/qBUmBKs?BzsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBCiBxnBXoBlq?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChBxiB0mBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFylBumB3iBcoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBSoB/qBFmBzn?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChB0mBxnBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8JeUBJvhF6qBxnBmkB3mBFo?BTsB
TLSJZOI,O,O,O,X,O,O,O,X,X
TLSJOIZ,O,O,O,X,O,O,O,X,X
TLSJOZI,O,O,O,X,O,O,O,X,X
TLSZIJO,O,O,O,X,O,O,O,O,X
TLSZIOJ,O,O,O,X,O,O,O,X,X
TLSZJIO,O,O,O,X,O,O,O,O,X
TLSZJOI,O,O,O,X,O,O,O,X,X
TLSZOIJ,O,O,O,X,O,O,O,X,X
TLSZOJI,O,O,O,X,O,O,O,X,X
TLSOIJZ,O,O,O,X,O,O,O,X,X
TLSOIZJ,O,O,O,X,X,O,X,X,X
TLSOJIZ,O,O,O,X,O,O,O,X,X
TLSOJZI,O,O,O,X,O,O,O,X,X
TLSOZIJ,O,O,O,X,O,O,X,X,X
TLSOZJI,O,O,O,X,O,O,X,X,X
TLZIJSO,O,X,O,O,O,O,O,O,O
TLZIJOS,O,O,O,O,X,O,X,O,O
TLZISJO,X,X,O,O,O,O,O,O,O
TLZISOJ,X,X,O,O,O,O,O,X,O
TLZIOJS,O,O,O,O,X,O,X,O,O
TLZIOSJ,X,X,O,O,X,O,X,X,O
TLZJISO,O,X,O,O,O,O,O,O,X
TLZJIOS,O,O,O,O,X,O,X,O,X
TLZJSIO,O,O,O,O,O,O,O,O,X
TLZJSOI,O,O,O,O,O,O,O,X,X
