sequence,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBqnBTjB/qBFm?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBRiBcoBfsB6s?BlqB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFlhBGjB/qBUmBKs?BzsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFzgBCiBxnBXoBlq?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChBxiB0mBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFylBumB3iBcoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8Jex/IvhFmhBSoB/qBFmBzn?BUsB,v115@HhB8HeB8GeD8AeB8BeB8Jem/IvhFChB0mBxnBXoBlq?BTsB,v115@HhB8HeB8GeD8AeB8BeB8JeUBJvhF6qBxnBmkB3mBFo?BTsB
TSZJOIL,O,O,O,O,O,O,O,X,X
TSZJOLI,O,O,X,O,O,O,O,X,X
TSZOILJ,O,O,O,O,O,O,O,X,X
TSZOIJL,O,O,O,O,O,O,O,X,X
TSZOLIJ,O,O,O,O,O,O,O,X,X
TSZOLJI,O,O,O,O,O,O,O,X,X
TSZOJIL,O,O,O,O,O,O,O,X,X
TSZOJLI,O,O,O,O,O,O,O,X,X
TSOILJZ,O,O,O,O,O,O,O,X,X
TSOILZJ,O,O,O,X,X,O,X,X,X
TSOIJLZ,O,O,O,O,O,O,O,X,X
TSOIJZL,O,O,O,X,O,O,O,X,X
TSOIZLJ,O,O,O,X,O,O,O,X,X
TSOIZJL,O,O,O,X,O,O,O,X,X
TSOLIJZ,O,O,O,X,O,O,O,X,X
TSOLIZJ,O,O,O,X,X,O,X,X,X
TSOLJIZ,O,O,O,X,O,O,O,X,X
TSOLJZI,O,O,O,X,O,O,O,X,X
TSOLZIJ,O,O,O,X,O,O,X,X,X
TSOLZJI,O,O,O,X,O,O,X,X,X
TSOJILZ,O,O,O,O,O,O,O,X,X
TSOJIZL,O,O,O,X,O,O,O,X,X
TSOJLIZ,O,O,O,X,O,O,O,X,X
TSOJLZI,O,O,O,X,O,O,O,X,X
TSOJZIL,O,O,O,O,O,O,O,X,X
TSOJZLI,O,O,O,O,O,O,O,X,X
TSOZILJ,O,O,O,O,O,O,O,X,X
TSOZIJL,O,O,O,O,O,O,O,X,X
TSOZLIJ,O,O,O,O,O,O,O,X,X
TSOZLJI,O,O,O,O,O,O,O,X,X
TSOZJIL,O,O,O,O,O,O,O,X,X
TSOZJLI,O,O,O,O,O,O,O,X,X
TZILJSO,O,X,O,O,O,O,O,O,X
TZILJOS,O,O,X,O,X,O,X,O,X
TZILSJO,O,X,O,O,O,O,O,O,X
TZILSOJ,O,X,O,O,O,O,O,X,X
TZILOJS,O,O,O,O,X,O,X,O,X
TZILOSJ,O,X,O,O,X,O,X,X,X
TZIJLSO,O,X,X,O,O,O,O,O,X
TZIJLOS,O,O,X,O,X,O,X,O,X
TZIJSLO,O,O,O,O,O,O,O,O,X
TZIJSOL,O,O,O,O,O,O,O,X,X
TZIJOLS,X,O,X,O,X,O,X,O,X
TZIJOSL,X,O,X,O,X,O,X,X,X
TZISLJO,O,O,O,O,O,O,O,O,X
TZISLOJ,O,O,O,O,O,O,O,X,X
TZISJLO,O,O,O,O,O,O,O,O,X
TZISJOL,O,O,O,O,O,O,O,X,X
TZISOLJ,O,O,O,O,O,O,O,X,X
TZISOJL,O,O,O,O,O,O,O,X,X
TZIOLJS,O,O,X,O,X,O,X,O,X
TZIOLSJ,O,X,X,O,X,O,X,X,X
TZIOJLS,X,O,X,O,X,O,X,O,X
TZIOJSL,X,O,X,O,X,O,X,X,X
TZIOSLJ,O,O,X,O,X,O,X,X,X
TZIOSJL,O,O,X,O,X,O,X,X,X
TZLIJSO,O,X,O,O,O,O,O,O,X
TZLIJOS,O,O,X,O,X,O,X,O,X
TZLISJO,O,X,O,O,O,O,O,O,X
TZLISOJ,O,X,O,O,O,O,O,X,X
TZLIOJS,O,O,O,O,X,O,X,O,X
TZLIOSJ,O,X,O,O,X,O,X,X,X
TZLJISO,O,X,O,O,O,O,O,O,X
TZLJIOS,O,O,X,O,X,O,X,O,X
TZLJSIO,O,O,O,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,O,O,X,X
TZLJOIS,O,O,O,O,X,O,X,O,X
TZLJOSI,O,O,O,O,O,O,O,X,X
TZLSIJO,O,O,O,O,O,O,O,O,X
TZLSIOJ,O,O,O,O,O,O,O,X,X
TZLSJIO,O,O,O,O,O,O,O,O,X
TZLSJOI,O,O,O,O,O,O,O,X,X
TZLSOIJ,O,O,O,O,O,O,O,X,X
TZLSOJI,O,O,O,O,O,O,O,X,X
TZLOIJS,O,O,O,O,X,O,X,O,X
TZLOISJ,O,X,O,O,X,O,X,X,X
TZLOJIS,O,O,O,O,X,O,X,O,X
TZLOJSI,O,O,O,O,O,O,O,X,X
TZLOSIJ,O,O,O,O,O,O,X,X,X
TZLOSJI,O,O,O,O,O,O,X,X,X
TZJILSO,O,X,X,O,O,O,O,O,X
TZJILOS,O,O,X,O,X,O,X,O,X
TZJISLO,O,O,O,O,O,O,O,O,X
TZJISOL,O,O,O,O,O,O,O,X,X
TZJIOLS,X,O,X,O,X,O,X,O,X
TZJIOSL,X,O,X,O,X,O,X,X,X
TZJLISO,O,X,O,O,O,O,O,O,X
TZJLIOS,O,O,X,O,X,O,X,O,X
TZJLSIO,O,O,O,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,O,O,X,X
TZJLOIS,O,O,O,O,X,O,X,O,X
TZJLOSI,O,O,O,O,O,O,O,X,X
TZJSILO,O,O,O,O,O,O,O,O,X
TZJSIOL,O,O,O,O,O,O,O,X,X
TZJSLIO,O,O,O,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,O,O,X,X
TZJSOIL,O,O,O,O,O,O,O,X,X
TZJSOLI,O,O,X,O,O,O,O,X,X
TZJOILS,X,O,X,O,X,O,X,O,X
TZJOISL,X,O,X,O,X,O,X,X,X
TZJOLIS,O,O,X,O,X,O,X,O,X
TZJOLSI,O,O,X,O,O,O,O,X,X
TZJOSIL,O,O,O,O,O,O,O,X,X
TZJOSLI,O,O,X,O,O,O,O,X,X
TZSILJO,O,O,O,O,O,O,O,O,X
TZSILOJ,O,O,O,O,O,O,O,X,X
TZSIJLO,O,O,O,O,O,O,O,O,X
TZSIJOL,O,O,O,O,O,O,O,X,X
TZSIOLJ,O,O,O,O,O,O,O,X,X
TZSIOJL,O,O,O,O,O,O,O,X,X
TZSLIJO,O,O,O,O,O,O,O,O,X
TZSLIOJ,O,O,O,O,O,O,O,X,X
TZSLJIO,O,O,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,O,X,X
TZSLOIJ,O,O,O,O,O,O,O,X,X
TZSLOJI,O,O,O,O,O,O,O,X,X
TZSJILO,O,O,O,O,O,O,O,O,X
TZSJIOL,O,O,O,O,O,O,O,X,X
TZSJLIO,O,O,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,O,X,X
TZSJOIL,O,O,O,O,O,O,O,X,X
TZSJOLI,O,O,X,O,O,O,O,X,X
TZSOILJ,O,O,O,O,O,O,O,X,X
TZSOIJL,O,O,O,O,O,O,O,X,X
TZSOLIJ,O,O,O,O,O,O,O,X,X
TZSOLJI,O,O,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,O,O,O,X,X
TZSOJLI,O,O,X,O,O,O,O,X,X
TZOILJS,O,O,X,O,X,O,X,O,X
TZOILSJ,O,X,X,O,X,O,X,X,X
TZOIJLS,X,O,X,O,X,O,X,O,X
TZOIJSL,X,O,X,O,X,O,X,X,X
TZOISLJ,O,O,X,O,X,O,X,X,X
TZOISJL,O,O,X,O,X,O,X,X,X
TZOLIJS,O,O,O,O,X,O,X,O,X
TZOLISJ,O,X,O,O,X,O,X,X,X
TZOLJIS,O,O,O,O,X,O,X,O,X
TZOLJSI,O,O,O,O,O,O,O,X,X
TZOLSIJ,O,O,O,O,O,O,X,X,X
TZOLSJI,O,O,O,O,O,O,X,X,X
TZOJILS,X,O,X,O,X,O,X,O,X
TZOJISL,X,O,X,O,X,O,X,X,X
TZOJLIS,O,O,O,O,X,O,X,O,X
TZOJLSI,O,O,O,O,O,O,O,X,X
TZOJSIL,O,O,O,O,O,O,O,X,X
TZOJSLI,O,O,X,O,O,O,O,X,X
TZOSILJ,O,O,O,O,O,O,X,X,X
TZOSIJL,O,O,O,O,O,O,X,X,X
TZOSLIJ,O,O,O,O,O,O,X,X,X
TZOSLJI,O,O,O,O,O,O,X,X,X
TZOSJIL,O,O,O,O,O,O,X,X,X
TZOSJLI,O,O,X,O,O,O,X,X,X
TOILJSZ,O,X,O,O,X,O,X,X,X
TOILJZS,X,X,O,O,X,O,X,X,X
TOILSJZ,O,X,O,O,X,O,X,X,X
TOILSZJ,O,X,O,X,X,O,X,X,X
TOILZJS,X,X,O,O,X,O,X,X,O
TOILZSJ,X,X,X,X,X,O,X,X,O
TOIJLSZ,X,X,O,O,X,O,X,X,X
TOIJLZS,X,X,O,O,X,O,X,X,X
TOIJSLZ,X,O,O,O,X,O,X,X,X
TOIJSZL,X,O,O,X,X,O,X,X,X
TOIJZLS,X,O,X,O,X,O,X,O,X
TOIJZSL,X,O,X,O,X,O,X,X,X
TOISLJZ,O,O,O,O,X,O,X,X,X
TOISLZJ,O,O,O,X,X,O,X,X,X
TOISJLZ,O,O,O,O,X,O,X,X,X
TOISJZL,O,O,O,X,X,O,X,X,X
TOISZLJ,O,O,O,X,X,O,X,X,X
TOISZJL,O,O,O,X,X,O,X,X,X
TOIZLJS,O,O,X,O,X,O,X,O,X
TOIZLSJ,O,X,X,O,X,O,X,X,X
TOIZJLS,X,O,X,O,X,O,X,O,X
TOIZJSL,X,O,X,O,X,O,X,X,X
TOIZSLJ,O,O,X,O,X,O,X,X,X
TOIZSJL,O,O,X,O,X,O,X,X,X
TOLIJSZ,O,X,O,O,X,O,X,X,X
TOLIJZS,X,X,O,O,X,O,X,X,X
TOLISJZ,O,X,O,O,X,O,X,X,X
TOLISZJ,O,X,O,X,X,O,X,X,X
TOLIZJS,X,X,O,O,X,O,X,X,O
TOLIZSJ,X,X,O,X,X,O,X,X,O
TOLJISZ,O,X,O,O,X,O,X,X,X
TOLJIZS,X,X,O,O,X,O,X,X,X
TOLJSIZ,O,O,O,X,O,O,O,X,X
TOLJSZI,O,O,O,X,O,O,O,X,X
TOLJZIS,X,O,O,O,X,O,X,O,X
TOLJZSI,O,O,O,O,O,O,X,X,X
TOLSIJZ,O,O,O,X,O,O,X,X,X
TOLSIZJ,O,O,O,X,X,O,X,X,X
TOLSJIZ,O,O,O,X,O,O,X,X,X
TOLSJZI,O,O,O,X,O,O,X,X,X
TOLSZIJ,O,O,O,X,O,O,X,X,X
TOLSZJI,O,O,O,X,O,O,X,X,X
TOLZIJS,O,O,O,O,X,O,X,O,O
TOLZISJ,X,X,O,O,X,O,X,X,O
TOLZJIS,O,O,O,O,X,O,X,O,X
TOLZJSI,O,O,O,O,O,O,X,X,X
TOLZSIJ,X,O,O,O,O,O,X,X,X
TOLZSJI,O,O,O,O,O,O,X,X,X
TOJILSZ,X,X,O,O,X,O,X,X,X
TOJILZS,X,X,O,O,X,O,X,X,X
TOJISLZ,X,O,O,O,X,O,X,X,X
TOJISZL,X,O,O,X,X,O,X,X,X
TOJIZLS,X,O,X,O,X,O,X,O,X
TOJIZSL,X,O,X,O,X,O,X,X,X
TOJLISZ,O,X,O,O,X,O,X,X,X
TOJLIZS,X,X,O,O,X,O,X,X,X
TOJLSIZ,O,O,O,X,O,O,O,X,X
TOJLSZI,O,O,O,X,O,O,O,X,X
TOJLZIS,X,O,O,O,X,O,X,O,X
TOJLZSI,O,O,O,O,O,O,X,X,X
TOJSILZ,O,O,O,O,O,O,O,X,X
TOJSIZL,O,O,O,X,O,O,O,X,X
TOJSLIZ,O,O,O,X,O,O,O,X,X
TOJSLZI,O,O,O,X,O,O,O,X,X
TOJSZIL,O,O,O,O,O,O,O,X,X
TOJSZLI,O,O,O,O,O,O,O,X,X
TOJZILS,X,O,X,O,X,O,X,O,X
TOJZISL,X,O,X,O,X,O,X,X,X
TOJZLIS,O,O,O,O,X,O,X,O,X
TOJZLSI,O,O,O,O,O,O,O,X,X
TOJZSIL,O,O,X,O,O,O,O,X,X
TOJZSLI,O,O,X,O,O,O,O,X,X
TOSILJZ,O,O,O,O,O,O,X,X,X
TOSILZJ,O,O,O,X,X,O,X,X,X
TOSIJLZ,O,O,O,O,O,O,X,X,X
TOSIJZL,O,O,O,X,O,O,X,X,X
TOSIZLJ,O,O,O,X,O,O,X,X,X
TOSIZJL,O,O,O,X,O,O,X,X,X
TOSLIJZ,O,O,O,X,O,O,X,X,X
TOSLIZJ,O,O,O,X,X,O,X,X,X
TOSLJIZ,O,O,O,X,O,O,X,X,X
TOSLJZI,O,O,O,X,O,O,X,X,X
TOSLZIJ,O,O,O,X,O,O,X,X,X
TOSLZJI,O,O,O,X,O,O,X,X,X
TOSJILZ,O,O,O,O,O,O,X,X,X
TOSJIZL,O,O,O,X,O,O,X,X,X
TOSJLIZ,O,O,O,X,O,O,X,X,X
TOSJLZI,O,O,O,X,O,O,X,X,X
TOSJZIL,O,O,O,O,O,O,X,X,X
TOSJZLI,O,O,O,O,O,O,X,X,X
TOSZILJ,O,O,O,O,O,O,X,X,X
TOSZIJL,O,O,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,O,O,O,X,X,X
TOSZLJI,O,O,O,O,O,O,X,X,X
TOSZJIL,O,O,O,O,O,O,X,X,X
TOSZJLI,O,O,O,O,O,O,X,X,X
TOZILJS,O,O,X,O,X,O,X,O,X
TOZILSJ,O,X,X,O,X,O,X,X,X
TOZIJLS,X,O,X,O,X,O,X,O,X
TOZIJSL,X,O,X,O,X,O,X,X,X
TOZISLJ,O,O,X,O,X,O,X,X,X
TOZISJL,O,O,X,O,X,O,X,X,X
TOZLIJS,O,O,O,O,X,O,X,O,X
TOZLISJ,O,X,O,O,X,O,X,X,X
TOZLJIS,O,O,O,O,X,O,X,O,X
TOZLJSI,O,O,O,O,O,O,O,X,X
TOZLSIJ,O,O,O,O,O,O,X,X,X
TOZLSJI,O,O,O,O,O,O,X,X,X
TOZJILS,X,O,X,O,X,O,X,O,X
TOZJISL,X,O,X,O,X,O,X,X,X
TOZJLIS,O,O,O,O,X,O,X,O,X
TOZJLSI,O,O,O,O,O,O,O,X,X
TOZJSIL,O,O,X,O,O,O,O,X,X
TOZJSLI,O,O,X,O,O,O,O,X,X
TOZSILJ,O,O,X,O,O,O,X,X,X
TOZSIJL,O,O,X,O,O,O,X,X,X
TOZSLIJ,O,O,X,O,O,O,X,X,X
TOZSLJI,O,O,X,O,O,O,X,X,X
TOZSJIL,O,O,X,O,O,O,X,X,X
TOZSJLI,O,O,X,O,O,O,X,X,X
ITLJSZO,O,X,O,X,O,O,O,X,X
ITLJSOZ,O,X,O,O,O,O,O,X,X
ITLJZSO,X,X,O,X,O,O,X,O,X
ITLJZOS,X,X,O,O,X,O,X,O,X
ITLJOSZ,O,X,O,O,X,O,X,X,X
ITLJOZS,X,X,O,O,X,O,X,X,X
ITLSJZO,O,X,O,X,O,O,O,X,X
ITLSJOZ,O,X,O,O,O,O,O,X,X
ITLSZJO,O,X,O,X,O,O,O,X,X
ITLSZOJ,O,X,O,X,O,O,O,X,X
ITLSOJZ,O,X,O,O,O,O,O,X,X
ITLSOZJ,O,X,O,X,X,O,X,X,X
ITLZJSO,X,X,O,X,O,O,X,O,O
ITLZJOS,X,X,O,O,X,O,X,O,O
ITLZSJO,X,X,X,X,O,O,O,O,O
ITLZSOJ,X,X,X,X,O,O,O,X,O
ITLZOJS,X,X,O,O,X,O,X,O,O
ITLZOSJ,X,X,X,X,X,O,X,X,O
ITLOJSZ,O,X,O,O,X,O,X,X,X
ITLOJZS,X,X,O,O,X,O,X,X,X
ITLOSJZ,O,X,O,O,X,O,X,X,X
ITLOSZJ,O,X,O,X,X,O,X,X,X
ITLOZJS,X,X,O,O,X,O,X,X,X
ITLOZSJ,X,X,X,X,X,O,X,X,X
ITJLSZO,O,X,O,X,O,O,O,X,X
ITJLSOZ,O,X,O,O,O,O,O,X,X
ITJLZSO,X,X,O,X,O,O,X,O,X
ITJLZOS,X,X,O,O,X,O,X,O,X
ITJLOSZ,O,X,O,O,X,O,X,X,X
ITJLOZS,X,X,O,O,X,O,X,X,X
ITJSLZO,O,O,O,X,O,O,O,X,X
ITJSLOZ,O,O,O,O,O,O,O,X,X
ITJSZLO,O,O,O,X,O,O,O,O,X
ITJSZOL,O,O,O,X,O,O,O,X,X
ITJSOLZ,O,O,O,O,O,O,O,X,X
ITJSOZL,O,O,O,X,O,O,O,X,X
ITJZLSO,O,X,X,O,O,O,O,O,X
ITJZLOS,O,O,X,O,X,O,X,O,X
ITJZSLO,O,O,X,O,O,O,O,O,X
ITJZSOL,O,O,X,O,O,O,O,X,X
ITJZOLS,X,O,X,O,X,O,X,O,X
ITJZOSL,X,O,X,O,X,O,X,X,X
ITJOLSZ,X,X,O,O,X,O,X,X,X
ITJOLZS,X,X,O,O,X,O,X,X,X
ITJOSLZ,X,O,O,O,X,O,X,X,X
ITJOSZL,X,O,O,X,X,O,X,X,X
ITJOZLS,X,O,X,O,X,O,X,O,X
ITJOZSL,X,O,X,O,X,O,X,X,X
ITSLJZO,O,O,O,X,O,O,O,X,X
ITSLJOZ,O,O,O,O,O,O,O,X,X
ITSLZJO,O,O,O,X,O,O,O,X,X
ITSLZOJ,O,O,O,X,O,O,O,X,X
ITSLOJZ,O,O,O,O,O,O,O,X,X
ITSLOZJ,O,O,O,X,X,O,X,X,X
ITSJLZO,O,O,O,X,O,O,O,X,X
ITSJLOZ,O,O,O,O,O,O,O,X,X
ITSJZLO,O,O,O,X,O,O,O,O,X
ITSJZOL,O,O,O,X,O,O,O,X,X
ITSJOLZ,O,O,O,O,O,O,O,X,X
ITSJOZL,O,O,O,X,O,O,O,X,X
ITSZLJO,O,O,O,X,O,O,O,O,X
ITSZLOJ,O,O,O,X,O,O,O,X,X
ITSZJLO,O,O,O,X,O,O,O,O,X
ITSZJOL,O,O,O,X,O,O,O,X,X
ITSZOLJ,O,O,O,X,O,O,O,X,X
ITSZOJL,O,O,O,X,O,O,O,X,X
ITSOLJZ,O,O,O,O,O,O,O,X,X
ITSOLZJ,O,O,O,X,X,O,X,X,X
ITSOJLZ,O,O,O,O,O,O,O,X,X
ITSOJZL,O,O,O,X,O,O,O,X,X
ITSOZLJ,O,O,O,X,O,O,O,X,X
ITSOZJL,O,O,O,X,O,O,O,X,X
ITZLJSO,O,X,X,O,O,O,O,O,X
ITZLJOS,O,O,X,O,X,O,X,O,X
ITZLSJO,O,X,X,O,O,O,O,O,X
ITZLSOJ,O,X,X,O,O,O,O,X,X
ITZLOJS,O,O,X,O,X,O,X,O,X
ITZLOSJ,O,X,X,O,X,O,X,X,X
ITZJLSO,O,X,X,O,O,O,O,O,X
ITZJLOS,O,O,X,O,X,O,X,O,X
ITZJSLO,O,O,X,O,O,O,O,O,X
ITZJSOL,O,O,X,O,O,O,O,X,X
ITZJOLS,X,O,X,O,X,O,X,O,X
ITZJOSL,X,O,X,O,X,O,X,X,X
ITZSLJO,O,O,X,O,O,O,O,O,X
ITZSLOJ,O,O,X,O,O,O,O,X,X
ITZSJLO,O,O,X,O,O,O,O,O,X
ITZSJOL,O,O,X,O,O,O,O,X,X
ITZSOLJ,O,O,X,O,O,O,O,X,X
ITZSOJL,O,O,X,O,O,O,O,X,X
ITZOLJS,O,O,X,O,X,O,X,O,X
ITZOLSJ,O,X,X,O,X,O,X,X,X
ITZOJLS,X,O,X,O,X,O,X,O,X
ITZOJSL,X,O,X,O,X,O,X,X,X
ITZOSLJ,O,O,X,O,X,O,X,X,X
ITZOSJL,O,O,X,O,X,O,X,X,X
ITOLJSZ,O,X,O,O,X,O,X,X,X
ITOLJZS,X,X,O,O,X,O,X,X,X
ITOLSJZ,O,X,O,O,X,O,X,X,X
ITOLSZJ,O,X,O,X,X,O,X,X,X
ITOLZJS,X,X,O,O,X,O,X,X,X
ITOLZSJ,X,X,X,X,X,O,X,X,X
ITOJLSZ,X,X,O,O,X,O,X,X,X
ITOJLZS,X,X,O,O,X,O,X,X,X
ITOJSLZ,X,O,O,O,X,O,X,X,X
ITOJSZL,X,O,O,X,X,O,X,X,X
ITOJZLS,X,O,X,O,X,O,X,O,X
ITOJZSL,X,O,X,O,X,O,X,X,X
ITOSLJZ,O,O,O,O,X,O,X,X,X
ITOSLZJ,O,O,O,X,X,O,X,X,X
ITOSJLZ,O,O,O,O,X,O,X,X,X
ITOSJZL,O,O,O,X,X,O,X,X,X
ITOSZLJ,O,O,O,X,X,O,X,X,X
ITOSZJL,O,O,O,X,X,O,X,X,X
ITOZLJS,O,O,X,O,X,O,X,O,X
ITOZLSJ,O,X,X,O,X,O,X,X,X
ITOZJLS,X,O,X,O,X,O,X,O,X
ITOZJSL,X,O,X,O,X,O,X,X,X
ITOZSLJ,O,O,X,O,X,O,X,X,X
ITOZSJL,O,O,X,O,X,O,X,X,X
ILTJSZO,O,X,O,X,X,O,O,X,X
ILTJSOZ,O,X,O,O,X,O,O,X,X
ILTJZSO,X,X,O,X,X,O,X,O,X
ILTJZOS,X,X,O,O,X,O,X,O,X
ILTJOSZ,O,X,O,O,X,O,X,X,X
ILTJOZS,X,X,O,O,X,O,X,X,X
ILTSJZO,O,X,O,X,X,O,O,X,X
ILTSJOZ,O,X,O,O,X,O,O,X,X
ILTSZJO,O,X,O,X,X,O,O,X,X
ILTSZOJ,O,X,O,X,X,O,O,X,X
ILTSOJZ,O,X,O,O,X,O,O,X,X
ILTSOZJ,O,X,O,X,X,O,X,X,X
ILTZJSO,X,X,O,X,X,O,X,O,O
ILTZJOS,X,X,O,O,X,O,X,O,O
ILTZSJO,X,X,O,X,X,O,O,O,O
ILTZSOJ,X,X,O,X,X,O,O,X,O
ILTZOJS,X,X,O,O,X,O,X,O,O
ILTZOSJ,X,X,O,X,X,O,X,X,O
ILTOJSZ,O,X,O,O,X,O,X,X,X
ILTOJZS,X,X,O,O,X,O,X,X,X
ILTOSJZ,O,X,O,O,X,O,X,X,X
ILTOSZJ,O,X,O,X,X,O,X,X,X
ILTOZJS,X,X,O,O,X,O,X,X,X
ILTOZSJ,X,X,O,X,X,O,X,X,X
ILJTSZO,X,X,O,X,X,X,X,X,X
ILJTSOZ,X,X,O,O,X,X,X,X,X
ILJTZSO,X,X,O,X,X,X,X,O,X
ILJTZOS,X,X,O,O,X,X,X,O,X
ILJTOSZ,X,X,O,O,X,X,X,X,X
ILJTOZS,X,X,O,O,X,X,X,X,X
ILJSTZO,O,X,O,X,X,X,O,X,X
ILJSTOZ,O,X,O,O,X,X,O,X,X
ILJSZTO,X,X,O,X,X,X,O,X,X
ILJSZOT,X,X,O,X,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,X,X,X,X
ILJSOZT,X,X,O,X,X,X,X,X,X
ILJZTSO,X,X,O,X,X,X,X,X,O
ILJZTOS,X,X,O,O,X,X,X,X,O
ILJZSTO,X,X,O,X,X,X,O,X,O
ILJZSOT,X,X,O,X,X,X,X,X,O
ILJZOTS,X,X,X,X,X,X,X,X,O
ILJZOST,X,X,X,X,X,X,X,X,O
ILJOTSZ,X,X,O,O,X,X,X,X,X
ILJOTZS,X,X,O,O,X,X,X,X,X
ILJOSTZ,O,X,O,X,X,X,X,X,X
ILJOSZT,X,X,O,X,X,X,X,X,X
ILJOZTS,X,X,O,X,X,X,X,X,X
ILJOZST,X,X,O,X,X,X,X,X,X
ILSTJZO,O,X,O,X,X,X,O,X,X
ILSTJOZ,O,X,O,O,X,X,O,X,X
ILSTZJO,O,X,O,X,X,X,O,X,X
ILSTZOJ,O,X,O,X,X,X,O,X,X
ILSTOJZ,O,X,O,O,X,X,O,X,X
ILSTOZJ,O,X,O,X,X,X,X,X,X
ILSJTZO,O,X,O,X,X,X,O,X,X
ILSJTOZ,O,X,O,O,X,X,O,X,X
ILSJZTO,X,X,O,X,X,X,O,X,X
ILSJZOT,X,X,O,X,X,X,X,X,X
ILSJOTZ,O,X,O,X,X,X,X,X,X
ILSJOZT,X,X,O,X,X,X,X,X,X
ILSZTJO,O,X,O,X,X,X,O,X,O
ILSZTOJ,O,X,O,X,X,X,O,X,O
ILSZJTO,O,X,O,X,X,X,O,X,O
ILSZJOT,O,X,O,X,X,X,X,X,O
ILSZOTJ,O,X,O,X,X,X,O,X,O
ILSZOJT,O,X,O,X,X,X,X,X,O
ILSOTJZ,O,X,O,X,X,X,O,X,X
ILSOTZJ,O,X,O,X,X,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,X,X,X
ILSOJZT,X,X,O,X,X,X,X,X,X
ILSOZTJ,O,X,O,X,X,X,O,X,X
ILSOZJT,O,X,O,X,X,X,X,X,X
ILZTJSO,X,X,O,X,X,O,O,O,O
ILZTJOS,O,X,O,O,X,O,X,O,O
ILZTSJO,O,X,O,X,X,O,O,O,O
ILZTSOJ,O,X,O,X,X,O,O,X,O
ILZTOJS,O,X,O,O,X,O,X,O,O
ILZTOSJ,O,X,O,X,X,O,X,X,O
ILZJTSO,X,X,O,X,X,X,O,X,O
ILZJTOS,O,X,O,O,X,X,X,X,O
ILZJSTO,O,X,O,X,X,X,O,X,O
ILZJSOT,O,X,O,X,X,X,X,X,O
ILZJOTS,O,X,X,X,X,X,X,X,O
ILZJOST,O,X,X,X,X,X,X,X,O
ILZSTJO,O,X,O,X,X,O,O,X,O
ILZSTOJ,O,X,O,X,X,O,O,X,O
ILZSJTO,O,X,O,X,X,X,O,X,O
ILZSJOT,O,X,O,X,X,X,X,X,O
ILZSOTJ,O,X,O,X,X,X,O,X,O
ILZSOJT,O,X,O,X,X,X,X,X,O
ILZOTJS,O,X,O,X,X,O,X,X,O
ILZOTSJ,O,X,O,X,X,O,X,X,O
ILZOJTS,O,X,O,X,X,X,X,X,O
ILZOJST,O,X,O,X,X,X,X,X,O
ILZOSTJ,O,X,O,X,X,O,O,X,O
ILZOSJT,O,X,O,X,X,X,X,X,O
ILOTJSZ,O,X,O,O,X,O,X,X,X
ILOTJZS,X,X,O,O,X,O,X,X,X
ILOTSJZ,O,X,O,O,X,O,X,X,X
ILOTSZJ,O,X,O,X,X,O,X,X,X
ILOTZJS,X,X,O,O,X,O,X,X,O
ILOTZSJ,X,X,O,X,X,O,X,X,O
ILOJTSZ,X,X,O,O,X,X,X,X,X
ILOJTZS,X,X,O,O,X,X,X,X,X
ILOJSTZ,O,X,O,X,X,X,X,X,X
ILOJSZT,X,X,O,X,X,X,X,X,X
ILOJZTS,X,X,O,X,X,X,X,X,O
ILOJZST,X,X,O,X,X,X,X,X,O
ILOSTJZ,O,X,O,X,X,X,O,X,X
ILOSTZJ,O,X,O,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X,X
ILOSJZT,X,X,O,X,X,X,X,X,X
ILOSZTJ,O,X,O,X,X,X,O,X,O
ILOSZJT,O,X,O,X,X,X,X,X,O
ILOZTJS,O,X,O,X,X,O,X,X,O
ILOZTSJ,O,X,O,X,X,O,X,X,O
ILOZJTS,O,X,O,X,X,X,X,X,O
ILOZJST,O,X,O,X,X,X,X,X,O
ILOZSTJ,O,X,O,X,X,O,O,X,O
ILOZSJT,O,X,O,X,X,X,X,X,O
IJTLSZO,X,X,O,X,O,O,X,X,X
IJTLSOZ,X,X,O,O,O,O,X,X,X
IJTLZSO,X,X,O,X,O,O,X,O,X
IJTLZOS,X,X,O,O,X,O,X,O,X
