sequence,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF6jBFhBXiB8?nBmqBzrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjB6?rBcsBmqB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex9IvhFFhBXiBTjBc?sB6rBmqB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex9IvhFFhBXiBTjBS?sBmqB0rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjBS?sBmqB0rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF6jBFhB8mBz?iBmqBXsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjBy?qB+rBcsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeeCJvhFfjB6jBFhBc?sBxqBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Je6DJvhFFhBXiB8nBO?sBxqBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jem8IvhFCeBFhBTjBc?sBxqB3rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhFTeB8mBWoBy?qBXsBFrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBTjBlmBc?sBmqBCsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeVBJvhFTeBmmBCoBx?qBcsB3rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeSCJvhFTeBUhBxnBl?mBmqBXsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX+IvhFFhBSoBUnBx?qBOsBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF8iB+jBzhBK?rB3lBFsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeFBJvhFXiBTjBCjBU?nBxqB2wB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jem8IvhFfjB6jBTnBx?qB0rBFrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhFFhB8mBCjBT?jBmqBXsB
IZJLSTO,O,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X,X,X,X
IZJLSOT,O,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
IZJLOTS,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IZJSTOL,O,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
IZJSLTO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IZJSLOT,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZJSOTL,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
IZJSOLT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IZJOTSL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
IZJOLTS,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IZJOLST,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IZJOSTL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
IZJOSLT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
IZSTLJO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IZSTJLO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSTJOL,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X
IZSTOJL,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IZSLJTO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZSJTLO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IZSJTOL,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZSJLTO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZSJOLT,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZSOTLJ,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X
IZSOTJL,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
IZSOJTL,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
IZOTLJS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
IZOTJLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IZOTJSL,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOTSLJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X
IZOTSJL,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZOLTJS,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IZOLJTS,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IZOLJST,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IZOLSTJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X
IZOLSJT,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IZOJTLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IZOJTSL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOJLTS,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IZOJLST,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IZOJSTL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOJSLT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOSTLJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X
IZOSTJL,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZOSLTJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IZOSLJT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOSJTL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOSJLT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOTLJSZ,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOTLJZS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTLSJZ,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X
IOTLSZJ,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
IOTLZJS,O,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOTLZSJ,O,X,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IOTJLSZ,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOTJSLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
IOTJSZL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZLS,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IOTSLJZ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X
IOTSLZJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X
IOTSJLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X
IOTSJZL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
IOTSZJL,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOTZLJS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
IOTZJLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTZJSL,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOTZSLJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X
IOTZSJL,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLTJZS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X
IOLTSZJ,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLTZJS,O,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOLTZSJ,O,X,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IOLJTSZ,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOLJSTZ,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOLJSZT,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X
IOLJZTS,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
IOLJZST,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X
IOLSTJZ,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOLSTZJ,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
IOLSJTZ,X,O,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X
IOLSJZT,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X
IOLSZTJ,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IOLSZJT,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOLZTJS,O,O,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X,X,X
IOLZTSJ,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IOLZJTS,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
IOLZJST,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOLZSTJ,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X
IOLZSJT,O,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
IOJTLSZ,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJTLZS,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOJTSLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
IOJTSZL,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOJTZSL,O,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IOJLTSZ,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOJLSTZ,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOJLSZT,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X
IOJLZTS,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
IOJLZST,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X
IOJSTLZ,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
IOJSTZL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOJSLTZ,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
IOJSLZT,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOJSZTL,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOJSZLT,X,O,O,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOJZTLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOJZTSL,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOJZLTS,O,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IOJZLST,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X
IOJZSTL,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOJZSLT,O,O,O,X,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOSTLJZ,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
IOSTLZJ,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
IOSTJLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X
IOSTJZL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOSTZLJ,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
IOSTZJL,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOSLTJZ,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
IOSLTZJ,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
IOSLJTZ,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
IOSLJZT,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOSLZTJ,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IOSLZJT,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSJTLZ,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
IOSJTZL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOSJLTZ,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
IOSJLZT,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOSJZTL,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOSJZLT,X,O,O,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOSZTLJ,X,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X
IOSZTJL,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
IOSZLTJ,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IOSZLJT,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSZJTL,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSZJLT,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZTLJS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
IOZTJLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOZTJSL,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZTSLJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X
IOZTSJL,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOZLTJS,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOZLTSJ,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IOZLJTS,O,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IOZLJST,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X
IOZLSTJ,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X
IOZLSJT,O,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
IOZJTLS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOZJTSL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZJLTS,O,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IOZJLST,O,O,O,O,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOZJSTL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZJSLT,O,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZSTLJ,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X
IOZSTJL,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOZSLTJ,O,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IOZSLJT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZSJTL,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZSJLT,O,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,X,O,X
LTIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZSO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,O,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
LTISJZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISJOZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISZJO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTISZOJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTISOJZ,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LTISOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIZJSO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
LTIZJOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
LTIZSJO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTIZSOJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTIOJSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
LTIOSJZ,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X
LTIOSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIOZJS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
LTIOZSJ,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTJISZO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJISOZ,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZSO,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
LTJIOSZ,O,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
LTJIOZS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
LTJSIZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTJSZOI,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTJSOIZ,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJSOZI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTJZISO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTJZIOS,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTJZSIO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTJZSOI,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
LTJZOIS,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTJZOSI,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTJOISZ,O,X,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X
LTJOIZS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
LTJOSIZ,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTJOSZI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTJOZIS,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTJOZSI,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTSIJZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSIZJO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTSIZOJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTSIOJZ,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSIOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSJZIO,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTSJZOI,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTSJOIZ,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSJOZI,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTSZIJO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X
LTSZIOJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
LTSZJIO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSZOIJ,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSZOJI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
LTSOIZJ,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSOJIZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSOJZI,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSOZIJ,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
LTZIJOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
LTZISJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZISOJ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZIOJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZJISO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTZJIOS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTZJSIO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LTZJSOI,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
LTZJOIS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTZJOSI,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZSIOJ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTZSJIO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
LTZOISJ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOJIS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTZOJSI,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTZOSIJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
