sequence,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFTbBicBGeBU?jBFnB3rB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhF2gBzcBfjB6?jBFnBUrB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFTbBfjB6jBF?nBOrB8rB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhF2gBFdB6jBf?nBznBUrB,v115@0gA8IeA8IeD8FeE8AeG8BeD8JeZ/IvhFibBFdBTeBf?nBWtBUrB
LTSIOZJ,O,O,O,X,X
LTSJIZO,X,O,O,X,O
LTSJIOZ,X,O,O,X,O
LTSJZIO,X,O,X,X,O
LTSJZOI,X,O,X,X,O
LTSJOIZ,X,O,O,X,O
LTSJOZI,X,O,X,X,O
LTSZIJO,O,O,O,X,O
LTSZIOJ,O,O,O,X,X
LTSZJIO,O,O,X,X,O
LTSZJOI,O,O,X,X,O
LTSZOIJ,O,O,O,X,X
LTSZOJI,O,O,X,X,X
LTSOIJZ,X,O,O,X,O
LTSOIZJ,O,O,O,X,X
LTSOJIZ,X,O,O,X,O
LTSOJZI,X,O,X,X,O
LTSOZIJ,O,O,O,X,X
LTSOZJI,O,O,X,X,X
LTZIJSO,O,X,X,X,X
LTZIJOS,O,X,X,X,X
LTZISJO,O,X,X,X,X
LTZISOJ,O,X,X,X,X
LTZIOJS,O,X,X,X,X
LTZIOSJ,O,X,X,X,X
LTZJISO,O,X,X,X,X
LTZJIOS,O,X,X,X,X
LTZJSIO,O,X,X,X,X
LTZJSOI,O,X,X,X,X
LTZJOIS,O,X,X,X,X
LTZJOSI,O,X,X,X,X
LTZSIJO,O,X,X,X,X
LTZSIOJ,O,X,X,X,X
LTZSJIO,O,X,X,X,X
LTZSJOI,O,X,X,X,X
LTZSOIJ,O,X,X,X,X
LTZSOJI,O,X,X,X,X
LTZOIJS,O,X,X,X,X
LTZOISJ,O,X,X,X,X
LTZOJIS,O,X,X,X,X
LTZOJSI,O,X,X,X,X
LTZOSIJ,O,X,X,X,X
LTZOSJI,O,X,X,X,X
LTOIJSZ,X,O,X,O,X
LTOIJZS,O,X,X,X,X
LTOISJZ,X,O,O,O,X
LTOISZJ,O,O,O,O,X
LTOIZJS,O,X,X,X,X
LTOIZSJ,O,X,X,X,X
LTOJISZ,X,O,X,O,X
LTOJIZS,O,X,X,X,X
LTOJSIZ,X,O,X,O,X
LTOJSZI,X,O,X,O,X
LTOJZIS,O,X,X,X,X
LTOJZSI,O,X,X,X,X
LTOSIJZ,X,O,O,O,X
LTOSIZJ,O,O,O,O,X
LTOSJIZ,X,O,O,O,X
LTOSJZI,X,O,X,O,X
LTOSZIJ,O,O,O,O,X
LTOSZJI,O,O,X,O,X
LTOZIJS,O,X,X,X,X
LTOZISJ,O,X,X,X,X
LTOZJIS,O,X,X,X,X
LTOZJSI,O,X,X,X,X
LTOZSIJ,O,X,X,X,X
LTOZSJI,O,X,X,X,X
LITJSZO,X,O,X,X,O
LITJSOZ,X,O,X,X,O
LITJZSO,O,X,X,X,X
LITJZOS,O,X,X,X,X
LITJOSZ,X,O,X,O,O
LITJOZS,O,X,X,X,X
LITSJZO,X,O,O,X,O
LITSJOZ,X,O,O,X,O
LITSZJO,O,O,O,X,O
LITSZOJ,O,O,O,X,X
LITSOJZ,X,O,O,X,O
LITSOZJ,O,O,O,X,X
LITZJSO,O,X,X,X,X
LITZJOS,O,X,X,X,X
LITZSJO,O,X,X,X,X
LITZSOJ,O,X,X,X,X
LITZOJS,O,X,X,X,X
LITZOSJ,O,X,X,X,X
LITOJSZ,X,O,X,O,X
LITOJZS,O,X,X,X,X
LITOSJZ,X,O,O,O,X
LITOSZJ,O,O,O,O,X
LITOZJS,O,X,X,X,X
LITOZSJ,O,X,X,X,X
LIJTSZO,X,O,X,X,O
LIJTSOZ,X,O,X,X,O
LIJTZSO,O,X,X,X,X
LIJTZOS,O,X,X,X,X
LIJTOSZ,X,O,X,O,O
LIJTOZS,O,X,X,X,X
LIJSTZO,X,O,O,X,O
LIJSTOZ,X,O,O,O,O
LIJSZTO,X,O,X,X,O
LIJSZOT,X,X,X,X,O
LIJSOTZ,X,O,O,O,O
LIJSOZT,X,X,X,O,O
LIJZTSO,X,X,X,X,X
LIJZTOS,O,X,X,X,X
LIJZSTO,X,O,X,X,O
LIJZSOT,O,X,X,X,O
LIJZOTS,O,X,X,X,X
LIJZOST,O,X,X,O,O
LIJOTSZ,X,X,X,O,O
LIJOTZS,O,X,X,X,X
LIJOSTZ,X,O,O,O,O
LIJOSZT,X,X,X,O,O
LIJOZTS,O,X,X,X,X
LIJOZST,O,X,X,O,O
LISTJZO,X,O,O,X,O
LISTJOZ,X,O,O,O,O
LISTZJO,O,O,O,X,O
LISTZOJ,O,O,O,X,X
LISTOJZ,X,O,O,O,O
LISTOZJ,O,O,O,O,X
LISJTZO,X,O,O,X,O
LISJTOZ,X,O,O,O,O
LISJZTO,X,O,X,X,O
LISJZOT,X,X,X,X,O
LISJOTZ,X,O,O,O,O
LISJOZT,X,X,X,O,O
LISZTJO,X,O,O,X,O
LISZTOJ,X,O,O,X,X
LISZJTO,X,O,X,X,O
LISZJOT,O,X,X,X,O
LISZOTJ,X,X,O,X,X
LISZOJT,O,X,X,X,X
LISOTJZ,X,O,O,O,O
LISOTZJ,O,O,O,O,X
LISOJTZ,X,O,O,O,O
LISOJZT,X,X,X,O,O
LISOZTJ,X,X,O,O,X
LISOZJT,O,X,X,O,X
LIZTJSO,O,X,X,X,X
LIZTJOS,O,X,X,X,X
LIZTSJO,O,X,X,X,X
LIZTSOJ,O,X,X,X,X
LIZTOJS,O,X,X,X,X
LIZTOSJ,O,X,X,X,X
LIZJTSO,O,X,X,X,X
LIZJTOS,O,X,X,X,X
LIZJSTO,X,O,X,X,O
LIZJSOT,O,X,X,X,O
LIZJOTS,O,X,X,X,X
LIZJOST,O,X,X,O,O
LIZSTJO,X,O,O,X,O
LIZSTOJ,X,O,O,X,X
LIZSJTO,X,O,X,X,O
LIZSJOT,O,X,X,X,O
LIZSOTJ,X,X,O,X,X
LIZSOJT,O,X,X,X,X
LIZOTJS,O,X,X,X,X
LIZOTSJ,O,X,X,X,X
LIZOJTS,O,X,X,X,X
LIZOJST,O,X,X,O,X
LIZOSTJ,X,X,O,O,X
LIZOSJT,O,X,X,O,X
LIOTJSZ,X,X,X,O,X
LIOTJZS,O,X,X,X,X
LIOTSJZ,X,X,O,O,X
LIOTSZJ,O,X,O,O,X
LIOTZJS,O,X,X,X,X
LIOTZSJ,O,X,X,X,X
LIOJTSZ,X,X,X,O,O
LIOJTZS,O,X,X,X,X
LIOJSTZ,X,O,O,O,O
LIOJSZT,X,X,X,O,O
LIOJZTS,O,X,X,X,X
LIOJZST,O,X,X,O,O
LIOSTJZ,X,O,O,O,O
LIOSTZJ,O,O,O,O,X
LIOSJTZ,X,O,O,O,O
LIOSJZT,X,X,X,O,O
LIOSZTJ,X,X,O,O,X
LIOSZJT,O,X,X,O,X
LIOZTJS,O,X,X,X,X
LIOZTSJ,O,X,X,X,X
LIOZJTS,O,X,X,X,X
LIOZJST,O,X,X,O,X
LIOZSTJ,X,X,O,O,X
LIOZSJT,O,X,X,O,X
LJTISZO,X,O,X,X,O
LJTISOZ,X,O,X,X,O
LJTIZSO,O,X,X,X,X
LJTIZOS,O,X,X,X,X
LJTIOSZ,X,O,X,O,O
LJTIOZS,O,X,X,X,X
LJTSIZO,X,O,X,X,O
LJTSIOZ,X,O,X,X,O
LJTSZIO,X,O,X,X,O
LJTSZOI,X,O,X,X,O
LJTSOIZ,X,O,X,X,O
LJTSOZI,X,O,X,X,O
LJTZISO,O,X,X,X,X
LJTZIOS,O,X,X,X,X
LJTZSIO,O,X,X,X,X
LJTZSOI,O,X,X,X,X
LJTZOIS,O,X,X,X,X
LJTZOSI,O,X,X,X,X
LJTOISZ,X,O,X,O,O
LJTOIZS,O,X,X,X,X
LJTOSIZ,X,O,X,O,O
LJTOSZI,X,O,X,O,O
LJTOZIS,O,X,X,X,X
LJTOZSI,O,X,X,X,X
LJITSZO,X,O,X,X,O
LJITSOZ,X,O,X,X,O
LJITZSO,O,X,X,X,X
LJITZOS,O,X,X,X,X
LJITOSZ,X,O,X,O,O
LJITOZS,O,X,X,X,X
LJISTZO,X,O,O,X,O
LJISTOZ,X,O,O,O,O
LJISZTO,X,O,X,X,O
LJISZOT,X,X,X,X,O
LJISOTZ,X,O,O,O,O
LJISOZT,X,X,X,O,O
LJIZTSO,X,X,X,X,X
LJIZTOS,O,X,X,X,X
LJIZSTO,X,O,X,X,O
LJIZSOT,O,X,X,X,O
LJIZOTS,O,X,X,X,X
LJIZOST,O,X,X,O,O
LJIOTSZ,X,X,X,O,O
LJIOTZS,O,X,X,X,X
LJIOSTZ,X,O,O,O,O
LJIOSZT,X,X,X,O,O
LJIOZTS,O,X,X,X,X
LJIOZST,O,X,X,O,O
LJSTIZO,X,O,O,X,O
LJSTIOZ,X,O,O,O,O
LJSTZIO,X,O,X,X,O
LJSTZOI,X,O,X,X,O
LJSTOIZ,X,O,O,O,O
LJSTOZI,X,O,X,O,O
LJSITZO,X,O,O,X,O
LJSITOZ,X,O,O,O,O
LJSIZTO,X,O,X,X,O
LJSIZOT,X,X,X,X,O
LJSIOTZ,X,O,O,O,O
LJSIOZT,X,X,X,O,O
LJSZTIO,X,O,X,X,O
LJSZTOI,X,O,X,X,O
LJSZITO,X,O,X,X,O
LJSZIOT,X,X,X,X,O
LJSZOTI,X,X,X,X,O
LJSZOIT,X,X,X,X,O
LJSOTIZ,X,O,O,O,O
LJSOTZI,X,O,X,O,O
LJSOITZ,X,O,O,O,O
LJSOIZT,X,X,X,O,O
LJSOZTI,X,X,X,O,O
LJSOZIT,X,X,X,O,O
LJZTISO,X,X,X,X,X
LJZTIOS,O,X,X,X,X
LJZTSIO,X,X,X,X,X
LJZTSOI,X,X,X,X,X
LJZTOIS,O,X,X,X,X
LJZTOSI,X,X,X,X,X
LJZITSO,X,X,X,X,X
LJZITOS,O,X,X,X,X
LJZISTO,X,O,X,X,O
LJZISOT,O,X,X,X,O
LJZIOTS,O,X,X,X,X
LJZIOST,O,X,X,O,O
LJZSTIO,X,O,X,X,O
LJZSTOI,X,O,X,X,O
LJZSITO,X,O,X,X,O
LJZSIOT,O,X,X,X,O
LJZSOTI,X,X,X,X,O
LJZSOIT,O,X,X,X,O
LJZOTIS,O,X,X,X,X
LJZOTSI,X,X,X,X,X
LJZOITS,O,X,X,X,X
LJZOIST,O,X,X,O,O
LJZOSTI,X,X,X,O,O
LJZOSIT,O,X,X,O,O
LJOTISZ,X,X,X,O,O
LJOTIZS,O,X,X,X,X
LJOTSIZ,X,X,X,O,O
LJOTSZI,X,X,X,O,O
LJOTZIS,O,X,X,X,X
LJOTZSI,O,X,X,X,X
LJOITSZ,X,X,X,O,O
LJOITZS,O,X,X,X,X
LJOISTZ,X,O,O,O,O
LJOISZT,X,X,X,O,O
LJOIZTS,O,X,X,X,X
LJOIZST,O,X,X,O,O
LJOSTIZ,X,O,O,O,O
LJOSTZI,X,O,X,O,O
LJOSITZ,X,O,O,O,O
LJOSIZT,X,X,X,O,O
LJOSZTI,X,X,X,O,O
LJOSZIT,X,X,X,O,O
LJOZTIS,O,X,X,X,X
LJOZTSI,X,X,X,X,X
LJOZITS,O,X,X,X,X
LJOZIST,O,X,X,O,O
LJOZSTI,X,X,X,O,O
LJOZSIT,O,X,X,O,O
LSTIJZO,X,O,O,X,O
LSTIJOZ,X,O,O,O,O
LSTIZJO,O,O,O,X,O
LSTIZOJ,O,O,O,X,X
LSTIOJZ,X,O,O,O,O
LSTIOZJ,O,O,O,O,X
LSTJIZO,X,O,O,X,O
LSTJIOZ,X,O,O,O,O
LSTJZIO,X,O,X,X,O
LSTJZOI,X,O,X,X,O
LSTJOIZ,X,O,O,O,O
LSTJOZI,X,O,X,O,O
LSTZIJO,O,O,O,X,O
LSTZIOJ,O,O,O,X,X
LSTZJIO,O,O,X,X,O
LSTZJOI,O,O,X,X,O
LSTZOIJ,O,O,O,X,X
LSTZOJI,O,O,X,X,X
LSTOIJZ,X,O,O,O,O
LSTOIZJ,O,O,O,O,X
LSTOJIZ,X,O,O,O,O
LSTOJZI,X,O,X,O,O
LSTOZIJ,O,O,O,O,X
LSTOZJI,O,O,X,O,X
LSITJZO,X,O,O,X,O
LSITJOZ,X,O,O,O,O
LSITZJO,O,O,O,X,O
LSITZOJ,O,O,O,X,X
LSITOJZ,X,O,O,O,O
LSITOZJ,O,O,O,O,X
LSIJTZO,X,O,O,X,O
LSIJTOZ,X,O,O,O,O
LSIJZTO,X,O,X,X,O
LSIJZOT,X,X,X,X,O
LSIJOTZ,X,O,O,O,O
LSIJOZT,X,X,X,O,O
LSIZTJO,X,O,O,X,O
LSIZTOJ,X,O,O,X,X
LSIZJTO,X,O,X,X,O
LSIZJOT,O,X,X,X,O
LSIZOTJ,X,X,O,X,X
LSIZOJT,O,X,X,X,X
LSIOTJZ,X,O,O,O,O
LSIOTZJ,O,O,O,O,X
LSIOJTZ,X,O,O,O,O
LSIOJZT,X,X,X,O,O
LSIOZTJ,X,X,O,O,X
LSIOZJT,O,X,X,O,X
LSJTIZO,X,O,O,X,O
LSJTIOZ,X,O,O,O,O
LSJTZIO,X,O,X,X,O
LSJTZOI,X,O,X,X,O
LSJTOIZ,X,O,O,O,O
LSJTOZI,X,O,X,O,O
LSJITZO,X,O,O,X,O
LSJITOZ,X,O,O,O,O
LSJIZTO,X,O,X,X,O
LSJIZOT,X,X,X,X,O
LSJIOTZ,X,O,O,O,O
LSJIOZT,X,X,X,O,O
LSJZTIO,X,O,X,X,O
LSJZTOI,X,O,X,X,O
LSJZITO,X,O,X,X,O
LSJZIOT,X,X,X,X,O
LSJZOTI,X,X,X,X,O
LSJZOIT,X,X,X,X,O
LSJOTIZ,X,O,O,O,O
LSJOTZI,X,O,X,O,O
LSJOITZ,X,O,O,O,O
LSJOIZT,X,X,X,O,O
LSJOZTI,X,X,X,O,O
LSJOZIT,X,X,X,O,O
LSZTIJO,X,O,O,X,O
LSZTIOJ,X,O,O,X,X
LSZTJIO,X,O,X,X,O
LSZTJOI,X,O,X,X,O
LSZTOIJ,X,O,O,X,X
LSZTOJI,X,O,X,X,X
LSZITJO,X,O,O,X,O
LSZITOJ,X,O,O,X,X
LSZIJTO,X,O,X,X,O
LSZIJOT,O,X,X,X,O
LSZIOTJ,X,X,O,X,X
LSZIOJT,O,X,X,X,X
LSZJTIO,X,O,X,X,O
LSZJTOI,X,O,X,X,O
LSZJITO,X,O,X,X,O
LSZJIOT,O,X,X,X,O
LSZJOTI,X,X,X,X,O
LSZJOIT,O,X,X,X,O
LSZOTIJ,X,X,O,X,X
LSZOTJI,X,X,X,X,X
LSZOITJ,X,X,O,X,X
LSZOIJT,O,X,X,X,X
LSZOJTI,X,X,X,X,X
LSZOJIT,O,X,X,X,X
LSOTIJZ,X,O,O,O,O
LSOTIZJ,O,O,O,O,X
LSOTJIZ,X,O,O,O,O
LSOTJZI,X,O,X,O,O
LSOTZIJ,O,O,O,O,X
LSOTZJI,O,O,X,O,X
LSOITJZ,X,O,O,O,O
LSOITZJ,O,O,O,O,X
LSOIJTZ,X,O,O,O,O
LSOIJZT,X,X,X,O,O
LSOIZTJ,X,X,O,O,X
LSOIZJT,O,X,X,O,X
LSOJTIZ,X,O,O,O,O
LSOJTZI,X,O,X,O,O
LSOJITZ,X,O,O,O,O
LSOJIZT,X,X,X,O,O
LSOJZTI,X,X,X,O,O
LSOJZIT,X,X,X,O,O
LSOZTIJ,X,X,O,O,X
LSOZTJI,X,X,X,O,X
LSOZITJ,X,X,O,O,X
LSOZIJT,O,X,X,O,X
LSOZJTI,X,X,X,O,X
LSOZJIT,O,X,X,O,X
LZTIJSO,O,X,X,X,X
LZTIJOS,O,X,X,X,X
LZTISJO,O,X,X,X,X
LZTISOJ,O,X,X,X,X
LZTIOJS,O,X,X,X,X
LZTIOSJ,O,X,X,X,X
LZTJISO,O,X,X,X,X
LZTJIOS,O,X,X,X,X
LZTJSIO,O,X,X,X,X
LZTJSOI,O,X,X,X,X
LZTJOIS,O,X,X,X,X
LZTJOSI,O,X,X,X,X
LZTSIJO,O,X,X,X,X
LZTSIOJ,O,X,X,X,X
LZTSJIO,O,X,X,X,X
LZTSJOI,O,X,X,X,X
LZTSOIJ,O,X,X,X,X
LZTSOJI,O,X,X,X,X
LZTOIJS,O,X,X,X,X
LZTOISJ,O,X,X,X,X
LZTOJIS,O,X,X,X,X
LZTOJSI,O,X,X,X,X
LZTOSIJ,O,X,X,X,X
LZTOSJI,O,X,X,X,X
LZITJSO,O,X,X,X,X
LZITJOS,O,X,X,X,X
LZITSJO,O,X,X,X,X
LZITSOJ,O,X,X,X,X
LZITOJS,O,X,X,X,X
LZITOSJ,O,X,X,X,X
LZIJTSO,O,X,X,X,X
LZIJTOS,O,X,X,X,X
LZIJSTO,X,O,X,X,O
LZIJSOT,O,X,X,X,O
LZIJOTS,O,X,X,X,X
LZIJOST,O,X,X,O,O
LZISTJO,X,O,O,X,O
LZISTOJ,X,O,O,X,X
LZISJTO,X,O,X,X,O
LZISJOT,O,X,X,X,O
LZISOTJ,X,X,O,X,X
LZISOJT,O,X,X,X,X
LZIOTJS,O,X,X,X,X
LZIOTSJ,O,X,X,X,X
LZIOJTS,O,X,X,X,X
LZIOJST,O,X,X,O,X
LZIOSTJ,X,X,O,O,X
LZIOSJT,O,X,X,O,X
LZJTISO,O,X,X,X,X
LZJTIOS,O,X,X,X,X
LZJTSIO,O,X,X,X,X
LZJTSOI,O,X,X,X,X
LZJTOIS,O,X,X,X,X
LZJTOSI,O,X,X,X,X
LZJITSO,O,X,X,X,X
LZJITOS,O,X,X,X,X
LZJISTO,X,O,X,X,O
LZJISOT,O,X,X,X,O
LZJIOTS,O,X,X,X,X
LZJIOST,O,X,X,O,O
LZJSTIO,X,O,X,X,O
LZJSTOI,X,O,X,X,O
LZJSITO,X,O,X,X,O
LZJSIOT,O,X,X,X,O
LZJSOTI,X,X,X,X,O
LZJSOIT,O,X,X,X,O
LZJOTIS,O,X,X,X,X
LZJOTSI,O,X,X,X,X
LZJOITS,O,X,X,X,X
LZJOIST,O,X,X,O,O
LZJOSTI,X,X,X,O,O
LZJOSIT,O,X,X,O,O
LZSTIJO,X,O,O,X,O
LZSTIOJ,X,O,O,X,X
LZSTJIO,X,O,X,X,O
LZSTJOI,X,O,X,X,O
LZSTOIJ,X,O,O,X,X
LZSTOJI,X,O,X,X,X
LZSITJO,X,O,O,X,O
LZSITOJ,X,O,O,X,X
LZSIJTO,X,O,X,X,O
LZSIJOT,O,X,X,X,O
LZSIOTJ,X,X,O,X,X
LZSIOJT,O,X,X,X,X
LZSJTIO,X,O,X,X,O
LZSJTOI,X,O,X,X,O
LZSJITO,X,O,X,X,O
LZSJIOT,O,X,X,X,O
LZSJOTI,X,X,X,X,O
LZSJOIT,O,X,X,X,O
LZSOTIJ,X,X,O,X,X
LZSOTJI,X,X,X,X,X
LZSOITJ,X,X,O,X,X
LZSOIJT,O,X,X,X,X
LZSOJTI,X,X,X,X,X
LZSOJIT,O,X,X,X,X
LZOTIJS,O,X,X,X,X
LZOTISJ,O,X,X,X,X
LZOTJIS,O,X,X,X,X
LZOTJSI,O,X,X,X,X
LZOTSIJ,O,X,X,X,X
LZOTSJI,O,X,X,X,X
LZOITJS,O,X,X,X,X
LZOITSJ,O,X,X,X,X
LZOIJTS,O,X,X,X,X
LZOIJST,O,X,X,O,X
LZOISTJ,X,X,O,O,X
LZOISJT,O,X,X,O,X
LZOJTIS,O,X,X,X,X
LZOJTSI,O,X,X,X,X
LZOJITS,O,X,X,X,X
LZOJIST,O,X,X,O,X
LZOJSTI,X,X,X,O,X
LZOJSIT,O,X,X,O,X
LZOSTIJ,X,X,O,O,X
LZOSTJI,X,X,X,O,X
LZOSITJ,X,X,O,O,X
LZOSIJT,O,X,X,O,X
LZOSJTI,X,X,X,O,X
LZOSJIT,O,X,X,O,X
LOTIJSZ,X,X,X,O,X
LOTIJZS,O,X,X,X,X
LOTISJZ,X,X,O,O,X
LOTISZJ,O,X,O,O,X
LOTIZJS,O,X,X,X,X
LOTIZSJ,O,X,X,X,X
LOTJISZ,X,X,X,O,X
LOTJIZS,O,X,X,X,X
LOTJSIZ,X,X,X,O,X
LOTJSZI,X,X,X,O,X
LOTJZIS,O,X,X,X,X
LOTJZSI,O,X,X,X,X
LOTSIJZ,X,X,O,O,X
LOTSIZJ,O,X,O,O,X
LOTSJIZ,X,X,O,O,X
LOTSJZI,X,X,X,O,X
LOTSZIJ,O,X,O,O,X
LOTSZJI,O,X,X,O,X
LOTZIJS,O,X,X,X,X
LOTZISJ,O,X,X,X,X
LOTZJIS,O,X,X,X,X
LOTZJSI,O,X,X,X,X
LOTZSIJ,O,X,X,X,X
LOTZSJI,O,X,X,X,X
LOITJSZ,X,X,X,O,X
LOITJZS,O,X,X,X,X
LOITSJZ,X,X,O,O,X
LOITSZJ,O,X,O,O,X
LOITZJS,O,X,X,X,X
LOITZSJ,O,X,X,X,X
LOIJTSZ,X,X,X,O,O
LOIJTZS,O,X,X,X,X
LOIJSTZ,X,O,O,O,O
LOIJSZT,X,X,X,O,O
LOIJZTS,O,X,X,X,X
LOIJZST,O,X,X,O,O
LOISTJZ,X,O,O,O,O
LOISTZJ,O,O,O,O,X
LOISJTZ,X,O,O,O,O
LOISJZT,X,X,X,O,O
LOISZTJ,X,X,O,O,X
LOISZJT,O,X,X,O,X
LOIZTJS,O,X,X,X,X
LOIZTSJ,O,X,X,X,X
LOIZJTS,O,X,X,X,X
LOIZJST,O,X,X,O,X
LOIZSTJ,X,X,O,O,X
LOIZSJT,O,X,X,O,X
LOJTISZ,X,X,X,O,O
LOJTIZS,O,X,X,X,X
LOJTSIZ,X,X,X,O,O
LOJTSZI,X,X,X,O,O
LOJTZIS,O,X,X,X,X
LOJTZSI,O,X,X,X,X
LOJITSZ,X,X,X,O,O
LOJITZS,O,X,X,X,X
LOJISTZ,X,O,O,O,O
LOJISZT,X,X,X,O,O
LOJIZTS,O,X,X,X,X
LOJIZST,O,X,X,O,O
LOJSTIZ,X,O,O,O,O
LOJSTZI,X,O,X,O,O
LOJSITZ,X,O,O,O,O
LOJSIZT,X,X,X,O,O
LOJSZTI,X,X,X,O,O
LOJSZIT,X,X,X,O,O
LOJZTIS,O,X,X,X,X
LOJZTSI,X,X,X,X,X
LOJZITS,O,X,X,X,X
LOJZIST,O,X,X,O,O
LOJZSTI,X,X,X,O,O
LOJZSIT,O,X,X,O,O
LOSTIJZ,X,O,O,O,O
LOSTIZJ,O,O,O,O,X
LOSTJIZ,X,O,O,O,O
LOSTJZI,X,O,X,O,O
LOSTZIJ,O,O,O,O,X
LOSTZJI,O,O,X,O,X
LOSITJZ,X,O,O,O,O
LOSITZJ,O,O,O,O,X
LOSIJTZ,X,O,O,O,O
LOSIJZT,X,X,X,O,O
LOSIZTJ,X,X,O,O,X
LOSIZJT,O,X,X,O,X
LOSJTIZ,X,O,O,O,O
LOSJTZI,X,O,X,O,O
LOSJITZ,X,O,O,O,O
LOSJIZT,X,X,X,O,O
LOSJZTI,X,X,X,O,O
LOSJZIT,X,X,X,O,O
LOSZTIJ,X,X,O,O,X
LOSZTJI,X,X,X,O,X
LOSZITJ,X,X,O,O,X
LOSZIJT,O,X,X,O,X
LOSZJTI,X,X,X,O,X
LOSZJIT,O,X,X,O,X
LOZTIJS,O,X,X,X,X
LOZTISJ,O,X,X,X,X
LOZTJIS,O,X,X,X,X
LOZTJSI,O,X,X,X,X
LOZTSIJ,O,X,X,X,X
LOZTSJI,O,X,X,X,X
LOZITJS,O,X,X,X,X
LOZITSJ,O,X,X,X,X
LOZIJTS,O,X,X,X,X
LOZIJST,O,X,X,O,X
LOZISTJ,X,X,O,O,X
LOZISJT,O,X,X,O,X
LOZJTIS,O,X,X,X,X
LOZJTSI,O,X,X,X,X
LOZJITS,O,X,X,X,X
LOZJIST,O,X,X,O,X
LOZJSTI,X,X,X,O,X
LOZJSIT,O,X,X,O,X
LOZSTIJ,X,X,O,O,X
LOZSTJI,X,X,X,O,X
LOZSITJ,X,X,O,O,X
LOZSIJT,O,X,X,O,X
LOZSJTI,X,X,X,O,X
LOZSJIT,O,X,X,O,X
JTILSZO,X,O,X,X,O
JTILSOZ,X,O,X,X,O
JTILZSO,O,X,X,X,X
JTILZOS,O,X,X,X,X
JTILOSZ,X,O,X,O,O
JTILOZS,O,X,X,X,X
JTISLZO,X,O,O,X,O
JTISLOZ,X,O,O,O,O
JTISZLO,X,O,X,X,O
JTISZOL,X,O,X,O,O
JTISOLZ,X,O,O,O,O
JTISOZL,X,O,X,O,O
JTIZLSO,O,X,X,X,X
JTIZLOS,O,X,X,X,X
JTIZSLO,O,O,X,X,X
JTIZSOL,O,O,X,X,X
JTIZOLS,O,X,X,X,X
JTIZOSL,O,O,X,X,X
JTIOLSZ,X,O,X,O,O
JTIOLZS,O,X,X,X,X
JTIOSLZ,X,O,O,O,O
JTIOSZL,X,O,X,O,O
JTIOZLS,O,X,X,X,X
JTIOZSL,O,O,X,X,X
JTLISZO,X,O,X,X,O
JTLISOZ,X,O,X,X,O
JTLIZSO,O,X,X,X,X
JTLIZOS,O,X,X,X,X
JTLIOSZ,X,O,X,O,O
JTLIOZS,O,X,X,X,X
JTLSIZO,X,O,X,X,O
JTLSIOZ,X,O,X,X,O
JTLSZIO,X,O,X,X,O
JTLSZOI,X,O,X,X,O
JTLSOIZ,X,O,X,X,O
JTLSOZI,X,O,X,X,O
JTLZISO,O,X,X,X,X
JTLZIOS,O,X,X,X,X
JTLZSIO,O,X,X,X,X
JTLZSOI,O,X,X,X,X
JTLZOIS,O,X,X,X,X
JTLZOSI,O,X,X,X,X
JTLOISZ,X,O,X,O,O
JTLOIZS,O,X,X,X,X
JTLOSIZ,X,O,X,O,O
JTLOSZI,X,O,X,O,O
JTLOZIS,O,X,X,X,X
JTLOZSI,O,X,X,X,X
JTSILZO,X,O,O,X,O
JTSILOZ,X,O,O,O,O
JTSIZLO,X,O,X,X,O
JTSIZOL,X,O,X,O,O
JTSIOLZ,X,O,O,O,O
JTSIOZL,X,O,X,O,O
JTSLIZO,X,O,O,X,O
JTSLIOZ,X,O,O,O,O
JTSLZIO,X,O,X,X,O
JTSLZOI,X,O,X,X,O
JTSLOIZ,X,O,O,O,O
JTSLOZI,X,O,X,O,O
JTSZILO,X,O,X,X,O
JTSZIOL,X,O,X,O,O
JTSZLIO,X,O,X,X,O
JTSZLOI,X,O,X,X,O
JTSZOIL,X,O,X,O,O
JTSZOLI,X,O,X,O,O
JTSOILZ,X,O,O,O,O
JTSOIZL,X,O,X,O,O
JTSOLIZ,X,O,O,O,O
JTSOLZI,X,O,X,O,O
JTSOZIL,X,O,X,O,O
JTSOZLI,X,O,X,O,O
JTZILSO,O,X,X,X,X
JTZILOS,O,X,X,X,X
JTZISLO,O,O,X,X,X
JTZISOL,O,O,X,X,X
JTZIOLS,O,X,X,X,X
JTZIOSL,O,O,X,X,X
JTZLISO,O,X,X,X,X
JTZLIOS,O,X,X,X,X
JTZLSIO,O,X,X,X,X
JTZLSOI,O,X,X,X,X
JTZLOIS,O,X,X,X,X
JTZLOSI,O,X,X,X,X
JTZSILO,O,O,X,X,X
JTZSIOL,O,O,X,X,X
JTZSLIO,O,O,X,X,X
JTZSLOI,O,O,X,X,X
JTZSOIL,O,O,X,X,X
JTZSOLI,O,O,X,X,X
JTZOILS,O,X,X,X,X
JTZOISL,O,O,X,X,X
JTZOLIS,O,X,X,X,X
JTZOLSI,O,X,X,X,X
