sequence,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jei/IvhFUhBGiBZoBF?lB/sBTpB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeZEJvhFCgBXhBmiB8?pBFnBzsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jel/IvhFUhBRiBKpBX?lBTnBetB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jex/IvhFXhBKpBzkBF?nB8sBmsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFRiB/pBFlBT?nBetBipB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFZoB/pBFlBT?nBipBGsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Je0/IvhFVmBZoBKpBT?nBXlBGsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeZEJvhFVmB3iBzkBe?tBUnBCqB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jex/IvhFXhBypBFnB8?sBTpBmsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFRiB/pBFlB2?sBzsBipB
TILJSZO,O,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,O,X,X
TILJZSO,O,O,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,O,X,X,X
TILJOSZ,X,X,X,X,X,X,X,O,X,X
TILJOZS,X,X,X,X,X,X,O,X,X,X
TILSJZO,O,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,O,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,O,X,X,X
TILZJSO,O,O,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,O,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,O,X,X,X
TILZOJS,X,O,X,X,X,X,O,X,X,X
TILZOSJ,O,O,X,X,X,X,O,X,X,X
TILOJSZ,X,X,X,X,X,X,X,O,X,X
TILOJZS,X,X,X,X,X,X,O,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,O,X,X,X
TILOZJS,X,X,X,X,X,X,O,X,X,X
TILOZSJ,O,X,X,X,X,X,O,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,O,X,X
TIJLZSO,O,O,X,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,O,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,O,X,X
TIJLOZS,X,X,X,X,X,X,O,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,O,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,O,X,X
TIJSOLZ,O,X,X,X,X,X,X,O,X,X
TIJSOZL,O,O,X,X,X,X,X,O,X,X
TIJZLSO,O,O,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,O,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X,O,X,X
TIJOLSZ,X,X,X,X,X,X,X,O,X,X
TIJOLZS,X,X,X,X,X,X,O,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,O,X,X
TIJOSZL,X,O,X,X,X,X,X,O,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X
