sequence,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBOhB8hBfjB6jBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBicBGeB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8JeR7Iv?hFzcBfjB6jBukBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hF2gBzcBfjB6jBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBSjB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFibBzcBUhBXoBGoBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBFjB3hBctBCtB
TILJSZO,X,X,X,O,X,X,X
TILJSOZ,X,X,X,O,O,X,X
TILJZSO,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,O,X,X
TILJOSZ,X,X,X,O,O,X,X
TILJOZS,X,X,X,X,O,X,X
TILSJZO,O,O,X,O,X,X,X
TILSJOZ,O,O,X,O,O,X,X
TILSZJO,O,O,X,O,X,O,X
TILSZOJ,O,O,X,O,X,O,X
TILSOJZ,O,O,X,O,O,X,X
TILSOZJ,O,O,X,O,X,X,X
TILZJSO,O,O,X,X,X,X,X
TILZJOS,O,O,X,X,O,X,X
TILZSJO,O,O,X,X,X,O,X
TILZSOJ,O,O,X,X,X,O,X
TILZOJS,O,O,X,X,O,X,X
TILZOSJ,O,O,X,X,X,O,X
TILOJSZ,X,X,X,O,O,X,X
TILOJZS,X,X,X,X,O,X,X
TILOSJZ,O,O,X,O,O,X,X
TILOSZJ,O,O,X,O,X,X,X
TILOZJS,O,O,X,X,O,X,X
TILOZSJ,O,O,X,X,X,X,X
TIJLSZO,X,X,O,O,X,X,X
TIJLSOZ,X,X,O,O,O,X,X
TIJLZSO,X,X,O,X,X,X,X
TIJLZOS,X,X,O,X,O,X,X
TIJLOSZ,X,X,O,O,O,X,X
TIJLOZS,X,X,X,X,O,X,X
TIJSLZO,O,O,O,O,X,X,X
TIJSLOZ,O,O,O,O,O,X,X
TIJSZLO,O,O,O,O,X,X,X
TIJSZOL,O,O,O,O,X,X,X
TIJSOLZ,O,O,O,O,O,X,X
TIJSOZL,O,O,O,O,X,X,X
TIJZLSO,O,O,O,X,X,X,X
TIJZLOS,O,O,O,X,O,X,O
TIJZSLO,O,O,O,O,X,X,X
TIJZSOL,O,O,O,O,X,X,O
TIJZOLS,O,O,O,X,O,X,O
TIJZOSL,O,O,O,O,X,X,O
TIJOLSZ,X,X,O,O,O,X,X
