sequence,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFibBGeBUhBFiBRr?B3rB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFibBUdBGeBFhBRr?B3rB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFUdBGeBxgBimBll?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFUdBGeBRgB1mBzl?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFGeBRgBFiB0mBzl?B3rB,v115@FhA8AeD8CeF8DeG8BeD8Jei6IvhFGeBRgBFiBXmBzm?BUrB,v115@FhA8AeD8CeF8DeG8BeD8JeT6IvhFRcBGeBFiB0mB/l?BKrB
TILJSZO,X,O,X,X,O,O,X
TILJSOZ,X,O,X,X,X,O,X
TILJZSO,O,O,X,X,O,O,X
TILJZOS,O,O,X,X,O,X,X
TILJOSZ,X,O,X,X,X,O,X
TILJOZS,O,O,X,X,O,X,X
TILSJZO,X,O,X,X,O,O,X
TILSJOZ,X,O,X,X,X,O,X
TILSZJO,X,O,X,X,X,O,X
TILSZOJ,X,O,X,X,X,X,X
TILSOJZ,X,O,X,X,X,O,X
TILSOZJ,X,O,X,X,X,X,X
TILZJSO,O,O,X,X,O,O,X
TILZJOS,O,O,X,X,O,X,X
TILZSJO,O,O,X,X,O,X,X
TILZSOJ,O,O,X,X,X,X,X
TILZOJS,O,O,X,X,O,X,X
TILZOSJ,O,O,X,X,X,X,X
TILOJSZ,X,O,X,X,X,O,X
TILOJZS,O,O,X,X,O,X,X
TILOSJZ,X,O,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X
TILOZJS,O,O,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X
TIJLSZO,X,O,X,X,O,O,X
TIJLSOZ,X,O,X,X,X,O,X
TIJLZSO,O,O,X,X,O,O,X
TIJLZOS,O,O,X,X,O,X,X
TIJLOSZ,X,O,X,X,X,O,X
TIJLOZS,O,O,X,X,O,X,X
TIJSLZO,X,O,X,X,O,O,X
TIJSLOZ,X,O,X,X,X,O,X
TIJSZLO,O,O,X,X,X,O,X
TIJSZOL,O,O,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,O,X
TIJSOZL,O,O,X,X,X,X,X
TIJZLSO,O,O,X,X,O,O,X
TIJZLOS,O,O,X,X,O,X,X
TIJZSLO,O,O,X,X,O,X,X
TIJZSOL,O,O,X,X,X,X,X
TIJZOLS,O,O,X,X,O,X,X
TIJZOSL,O,O,O,X,X,X,X
TIJOLSZ,X,O,X,X,X,O,X
TIJOLZS,O,O,X,X,O,X,X
TIJOSLZ,X,O,X,X,X,X,X
TIJOSZL,O,O,X,X,X,X,X
TIJOZLS,O,O,X,X,X,X,X
TIJOZSL,O,O,O,X,X,X,X
TISLJZO,X,O,X,X,O,O,X
TISLJOZ,X,O,X,X,X,O,X
TISLZJO,X,O,X,X,X,O,X
TISLZOJ,X,O,X,X,X,X,X
TISLOJZ,X,O,X,X,X,O,X
TISLOZJ,X,O,X,X,X,X,X
TISJLZO,X,O,X,X,O,O,X
TISJLOZ,X,O,X,X,X,O,X
TISJZLO,O,O,X,X,X,O,X
TISJZOL,O,O,X,X,X,X,X
TISJOLZ,X,O,X,X,X,O,X
TISJOZL,O,O,X,X,X,X,X
TISZLJO,O,O,X,X,X,O,X
TISZLOJ,O,O,X,X,X,X,X
TISZJLO,O,O,X,X,X,O,X
TISZJOL,O,O,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X
TISZOJL,O,O,X,X,X,X,X
TISOLJZ,X,O,X,X,X,O,X
TISOLZJ,X,O,X,X,X,X,X
TISOJLZ,X,O,X,X,X,O,X
TISOJZL,O,O,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X
TIZLJSO,O,O,X,X,O,O,X
TIZLJOS,O,O,X,X,O,X,X
TIZLSJO,O,O,X,X,O,X,X
TIZLSOJ,O,O,X,X,X,X,X
TIZLOJS,O,O,X,X,O,X,X
TIZLOSJ,O,O,X,X,X,X,X
TIZJLSO,O,O,X,X,O,O,X
TIZJLOS,O,O,X,X,O,X,X
TIZJSLO,O,O,X,X,O,X,X
TIZJSOL,O,O,X,X,X,X,X
TIZJOLS,O,O,X,X,O,X,X
TIZJOSL,O,O,O,X,X,X,X
TIZSLJO,O,O,X,X,O,X,X
TIZSLOJ,O,O,X,X,X,X,X
TIZSJLO,O,O,X,X,O,X,X
TIZSJOL,O,O,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X
TIZOLJS,O,O,X,X,O,X,X
TIZOLSJ,O,O,X,X,X,X,X
TIZOJLS,O,O,X,X,O,X,X
TIZOJSL,O,O,O,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,O,X
TIOLJZS,O,O,X,X,O,X,X
TIOLSJZ,X,O,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,O,X
TIOJLZS,O,O,X,X,O,X,X
TIOJSLZ,X,O,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X
TIOJZLS,O,O,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X
TIOSLJZ,X,O,X,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X
TIOZJSL,O,O,O,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X
TLIJSZO,X,O,X,X,O,O,X
TLIJSOZ,X,O,X,X,X,O,X
TLIJZSO,O,O,X,X,O,O,X
TLIJZOS,O,O,X,X,O,X,X
TLIJOSZ,X,O,X,X,X,O,X
TLIJOZS,O,O,X,X,O,X,X
TLISJZO,X,O,X,X,O,O,X
TLISJOZ,X,O,X,X,X,O,X
TLISZJO,X,O,X,X,X,O,X
TLISZOJ,X,O,X,X,X,X,X
TLISOJZ,X,O,X,X,X,O,X
TLISOZJ,X,O,X,X,X,X,X
TLIZJSO,O,O,X,X,O,O,X
TLIZJOS,O,O,X,X,O,X,X
TLIZSJO,O,O,X,X,O,X,X
TLIZSOJ,O,O,X,X,X,X,X
TLIZOJS,O,O,X,X,O,X,X
TLIZOSJ,O,O,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,O,X
TLIOJZS,O,O,X,X,O,X,X
TLIOSJZ,X,O,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X
TLIOZJS,O,O,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X
TLJISZO,X,O,X,X,O,O,X
TLJISOZ,X,O,X,X,X,O,X
TLJIZSO,O,O,X,X,O,O,X
TLJIZOS,O,O,X,X,O,X,X
TLJIOSZ,X,O,X,X,X,O,X
TLJIOZS,O,O,X,X,O,X,X
TLJSIZO,X,O,X,O,O,O,X
TLJSIOZ,X,O,X,O,X,O,X
TLJSZIO,X,X,X,O,X,X,X
TLJSZOI,X,O,X,O,X,X,X
TLJSOIZ,X,O,X,O,X,X,X
TLJSOZI,X,O,X,O,X,X,X
TLJZISO,O,O,X,X,O,O,X
TLJZIOS,O,O,X,X,O,X,X
TLJZSIO,X,X,X,O,O,X,X
TLJZSOI,O,O,X,O,X,X,X
TLJZOIS,O,O,X,X,O,X,X
TLJZOSI,O,O,X,X,X,X,X
TLJOISZ,X,O,X,X,X,O,X
TLJOIZS,O,O,X,X,O,X,X
TLJOSIZ,X,O,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X
TLJOZIS,O,O,X,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X
TLSIJZO,X,O,X,O,O,O,X
TLSIJOZ,X,O,X,O,X,O,X
TLSIZJO,X,O,X,O,X,O,X
TLSIZOJ,X,O,X,O,X,X,X
TLSIOJZ,X,O,X,O,X,O,X
TLSIOZJ,X,O,X,O,X,X,X
TLSJIZO,X,O,X,O,O,O,X
TLSJIOZ,X,O,X,O,X,O,X
TLSJZIO,X,X,X,O,X,X,X
TLSJZOI,X,O,X,O,X,X,X
TLSJOIZ,X,O,X,O,X,X,X
TLSJOZI,X,O,X,O,X,X,X
TLSZIJO,X,X,X,O,X,X,X
TLSZIOJ,X,X,X,O,X,X,X
TLSZJIO,X,X,X,O,X,X,X
TLSZJOI,X,O,X,O,X,X,X
TLSZOIJ,X,X,X,O,X,X,X
TLSZOJI,X,O,X,O,X,X,X
TLSOIJZ,X,O,X,O,X,X,X
TLSOIZJ,X,O,X,O,X,X,X
TLSOJIZ,X,O,X,O,X,X,X
TLSOJZI,X,O,X,O,X,X,X
TLSOZIJ,X,X,X,O,X,X,X
TLSOZJI,X,O,X,O,X,X,X
TLZIJSO,O,O,X,X,O,O,X
TLZIJOS,O,O,X,X,O,X,X
TLZISJO,O,O,X,X,O,X,X
TLZISOJ,O,O,X,X,X,X,X
TLZIOJS,O,O,X,X,O,X,X
TLZIOSJ,O,O,X,X,X,X,X
TLZJISO,O,O,X,X,O,O,X
TLZJIOS,O,O,X,X,O,X,X
TLZJSIO,X,X,X,O,O,X,X
