sequence,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcB6jBcmBm?iBXnBFtB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcB3dBimBG?oBRsBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhF6hBxdB/nBF?jB2rBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcBWjBymBX?jBctBxwB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFViBajB5jB0?hB2rBftB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcBcmBXnBO?tB6tBlsB
TILJSZO,X,O,X,X,X,X
TILJSOZ,X,O,X,X,X,X
TILJZSO,O,O,X,O,X,X
TILJZOS,O,O,X,O,X,X
TILJOSZ,X,O,X,X,X,X
TILJOZS,O,O,X,O,X,X
TILSJZO,O,O,X,X,X,X
TILSJOZ,O,O,X,X,X,X
TILSZJO,O,X,X,O,X,X
TILSZOJ,O,X,X,O,X,X
TILSOJZ,O,O,X,X,X,X
TILSOZJ,O,X,X,O,X,X
TILZJSO,O,O,X,O,X,X
TILZJOS,O,O,X,O,X,X
TILZSJO,X,X,X,O,X,X
TILZSOJ,O,X,X,O,X,X
TILZOJS,O,O,X,O,X,X
TILZOSJ,O,X,X,O,X,X
TILOJSZ,X,O,X,X,X,X
TILOJZS,O,O,X,O,X,X
TILOSJZ,O,O,X,X,X,X
TILOSZJ,O,X,X,O,X,X
TILOZJS,O,O,X,O,X,X
TILOZSJ,O,X,X,O,X,X
TIJLSZO,X,O,X,X,X,X
TIJLSOZ,X,O,X,X,X,X
TIJLZSO,O,O,X,O,X,X
TIJLZOS,O,O,X,O,X,X
TIJLOSZ,X,O,X,X,X,X
TIJLOZS,O,O,X,O,X,X
TIJSLZO,X,X,X,X,O,X
TIJSLOZ,X,X,X,X,O,X
TIJSZLO,X,X,X,X,O,X
TIJSZOL,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,O,X
TIJSOZL,X,X,X,X,O,X
TIJZLSO,O,X,X,O,X,X
TIJZLOS,O,X,X,O,X,X
TIJZSLO,O,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X
TIJZOSL,O,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,X
TIJOLZS,O,O,X,O,X,X
TIJOSLZ,X,X,X,X,O,X
TIJOSZL,X,X,X,X,O,X
TIJOZLS,O,X,X,O,X,X
TIJOZSL,O,X,X,X,X,X
TISLJZO,O,O,X,X,O,X
TISLJOZ,O,O,X,X,O,X
TISLZJO,O,X,X,O,X,X
TISLZOJ,O,X,X,O,O,X
TISLOJZ,O,O,X,X,O,X
TISLOZJ,O,X,X,O,O,X
TISJLZO,O,X,X,X,O,X
TISJLOZ,O,X,X,X,O,X
TISJZLO,O,X,X,X,O,X
TISJZOL,O,X,X,X,O,X
TISJOLZ,O,X,X,X,O,X
TISJOZL,O,X,X,X,O,X
TISZLJO,O,X,X,O,X,X
TISZLOJ,O,X,X,O,O,X
TISZJLO,O,X,X,X,X,X
TISZJOL,O,X,X,X,X,X
TISZOLJ,O,X,X,O,O,X
TISZOJL,O,X,X,X,X,X
TISOLJZ,O,O,X,X,O,X
TISOLZJ,O,X,X,O,O,X
TISOJLZ,O,X,X,X,O,X
TISOJZL,O,X,X,X,O,X
TISOZLJ,O,X,X,O,O,X
TISOZJL,O,X,X,X,X,X
TIZLJSO,O,O,X,O,X,X
TIZLJOS,O,O,X,O,X,X
TIZLSJO,X,X,X,O,X,X
TIZLSOJ,O,X,X,O,X,X
TIZLOJS,O,O,X,O,X,X
TIZLOSJ,O,X,X,O,X,X
TIZJLSO,O,X,X,O,X,X
TIZJLOS,O,X,X,O,X,X
TIZJSLO,O,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X
TIZJOLS,O,X,X,O,X,X
TIZJOSL,O,X,X,X,X,X
TIZSLJO,O,X,X,O,X,X
TIZSLOJ,O,X,X,O,X,X
TIZSJLO,O,X,X,X,X,O
TIZSJOL,O,X,X,X,X,O
TIZSOLJ,O,X,X,O,X,X
TIZSOJL,O,X,X,X,X,O
TIZOLJS,O,O,X,O,X,X
TIZOLSJ,O,X,X,O,X,X
TIZOJLS,O,X,X,O,X,X
TIZOJSL,O,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,X
TIZOSJL,O,X,X,X,X,O
TIOLJSZ,X,O,X,X,X,X
TIOLJZS,O,O,X,O,X,X
TIOLSJZ,O,O,X,X,X,X
TIOLSZJ,O,X,X,O,X,X
TIOLZJS,O,O,X,O,X,X
TIOLZSJ,O,X,X,O,X,X
TIOJLSZ,X,O,X,X,X,X
TIOJLZS,O,O,X,O,X,X
TIOJSLZ,X,X,X,X,O,X
TIOJSZL,X,X,X,X,O,X
TIOJZLS,O,X,X,O,X,X
TIOJZSL,O,X,X,X,X,X
TIOSLJZ,O,O,X,X,O,X
TIOSLZJ,O,X,X,O,O,X
TIOSJLZ,O,X,X,X,O,X
TIOSJZL,O,X,X,X,O,X
TIOSZLJ,O,X,X,O,O,X
