sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TSZOLIJ,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,X,O,X,X,X
TSZOJIL,O,O,O,X,O,X,X,X
TSZOJLI,O,O,O,X,O,X,X,X
TSOILJZ,O,O,O,O,X,X,X,X
TSOILZJ,O,O,O,X,X,X,X,X
TSOIJLZ,O,O,O,O,X,X,O,X
TSOIJZL,O,O,O,X,X,X,O,X
TSOIZLJ,O,O,O,X,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X
TSOLIJZ,O,O,O,O,X,X,X,X
TSOLIZJ,O,O,O,X,X,X,X,X
TSOLJIZ,O,O,O,O,X,X,X,X
TSOLJZI,O,O,O,X,O,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,X
TSOLZJI,O,O,O,X,O,X,X,X
TSOJILZ,O,O,O,O,X,X,O,X
TSOJIZL,O,O,O,X,X,X,O,X
TSOJLIZ,O,O,O,O,X,X,X,X
TSOJLZI,O,O,O,X,O,X,X,X
TSOJZIL,O,O,O,X,O,X,X,X
TSOJZLI,O,O,O,X,O,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X
TSOZLJI,O,O,O,X,O,X,X,X
TSOZJIL,O,O,O,X,O,X,X,X
TSOZJLI,O,O,O,X,O,X,X,X
TZILJSO,O,O,X,X,O,X,X,O
TZILJOS,O,O,X,O,O,X,X,O
TZILSJO,O,O,X,X,X,X,X,O
TZILSOJ,O,O,X,X,X,X,X,O
TZILOJS,O,O,X,O,O,X,X,O
TZILOSJ,O,O,X,X,X,X,X,O
TZIJLSO,O,O,X,X,O,X,X,O
TZIJLOS,O,O,X,O,O,X,X,O
TZIJSLO,O,O,O,X,O,X,X,O
TZIJSOL,O,O,O,X,O,X,X,O
TZIJOLS,O,O,X,O,O,X,O,O
TZIJOSL,O,O,O,X,O,X,O,O
TZISLJO,O,O,O,X,X,X,X,O
TZISLOJ,O,O,O,X,X,X,X,O
TZISJLO,O,O,O,X,X,X,X,O
TZISJOL,O,O,O,X,X,X,X,O
TZISOLJ,O,O,O,X,X,X,X,O
TZISOJL,O,O,O,X,X,X,X,O
TZIOLJS,O,O,X,O,O,X,X,O
TZIOLSJ,O,O,X,X,X,X,X,O
TZIOJLS,O,O,X,O,O,X,O,O
TZIOJSL,O,O,O,X,O,X,O,O
TZIOSLJ,O,O,O,X,X,X,X,O
TZIOSJL,O,O,O,X,X,X,X,O
TZLIJSO,O,O,X,X,O,X,X,O
TZLIJOS,O,O,X,O,O,X,X,O
TZLISJO,O,O,X,X,X,X,X,O
TZLISOJ,O,O,X,X,X,X,X,O
TZLIOJS,O,O,X,O,O,X,X,O
TZLIOSJ,O,O,X,X,X,X,X,O
TZLJISO,O,O,X,X,O,X,X,X
TZLJIOS,O,O,X,O,O,O,X,X
TZLJSIO,O,O,X,X,O,O,X,X
TZLJSOI,O,O,X,X,O,O,X,X
TZLJOIS,O,O,X,O,O,O,X,X
TZLJOSI,O,O,X,X,O,O,X,X
TZLSIJO,O,O,X,X,X,X,X,X
TZLSIOJ,O,O,X,X,X,X,X,X
TZLSJIO,O,O,X,X,O,X,X,X
TZLSJOI,O,O,X,X,O,X,X,X
TZLSOIJ,O,O,X,X,X,X,X,X
TZLSOJI,O,O,X,X,O,X,X,X
TZLOIJS,O,O,X,O,O,X,X,O
TZLOISJ,O,O,X,X,X,X,X,O
TZLOJIS,O,O,X,O,O,O,X,X
TZLOJSI,O,O,X,X,O,O,X,X
TZLOSIJ,O,O,X,X,X,X,X,X
TZLOSJI,O,O,X,X,O,X,X,X
TZJILSO,O,O,X,X,O,X,X,X
TZJILOS,O,O,X,O,O,O,X,X
TZJISLO,O,O,O,X,O,X,X,X
TZJISOL,O,O,O,X,O,X,X,X
TZJIOLS,O,O,X,O,O,O,O,X
TZJIOSL,O,O,O,X,O,X,O,X
TZJLISO,O,O,X,X,O,X,X,X
TZJLIOS,O,O,X,O,O,O,X,X
TZJLSIO,O,O,X,X,O,O,X,X
TZJLSOI,O,O,X,X,O,O,X,X
TZJLOIS,O,O,X,O,O,O,X,X
TZJLOSI,O,O,X,X,O,O,X,X
TZJSILO,O,O,O,X,O,O,X,X
TZJSIOL,O,O,O,X,O,O,X,X
TZJSLIO,O,O,O,X,O,O,X,X
TZJSLOI,O,O,O,X,O,O,X,X
TZJSOIL,O,O,O,X,O,O,X,X
TZJSOLI,O,O,O,X,O,O,X,X
TZJOILS,O,O,X,O,O,O,O,X
TZJOISL,O,O,O,X,O,X,O,X
TZJOLIS,O,O,X,O,O,O,X,X
TZJOLSI,O,O,X,X,O,O,X,X
TZJOSIL,O,O,O,X,O,O,X,X
TZJOSLI,O,O,O,X,O,O,X,X
TZSILJO,O,O,O,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,X,O,X,X,X
TZSLJOI,O,O,O,X,O,X,X,X
TZSLOIJ,O,O,O,X,X,X,X,X
TZSLOJI,O,O,O,X,O,X,X,X
TZSJILO,O,O,O,X,O,X,X,X
TZSJIOL,O,O,O,X,O,X,X,X
TZSJLIO,O,O,O,X,O,X,X,X
TZSJLOI,O,O,O,X,O,X,X,X
TZSJOIL,O,O,O,X,O,X,X,X
TZSJOLI,O,O,O,X,O,X,X,X
TZSOILJ,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,X,O,X,X,X
TZSOJIL,O,O,O,X,O,X,X,X
TZSOJLI,O,O,O,X,O,X,X,X
TZOILJS,O,O,X,O,O,X,X,O
TZOILSJ,O,O,X,X,X,X,X,O
TZOIJLS,O,O,X,O,O,X,O,O
TZOIJSL,O,O,O,X,O,X,O,O
TZOISLJ,O,O,O,X,X,X,X,O
TZOISJL,O,O,O,X,X,X,X,O
TZOLIJS,O,O,X,O,O,X,X,O
TZOLISJ,O,O,X,X,X,X,X,O
TZOLJIS,O,O,X,O,O,O,X,X
TZOLJSI,O,O,X,X,O,O,X,X
TZOLSIJ,O,O,X,X,X,X,X,X
TZOLSJI,O,O,X,X,O,X,X,X
TZOJILS,O,O,X,O,O,O,O,X
TZOJISL,O,O,O,X,O,X,O,X
TZOJLIS,O,O,X,O,O,O,X,X
TZOJLSI,O,O,X,X,O,O,X,X
TZOJSIL,O,O,O,X,O,O,X,X
TZOJSLI,O,O,O,X,O,O,X,X
TZOSILJ,O,O,O,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,X
TZOSLJI,O,O,O,X,O,X,X,X
TZOSJIL,O,O,O,X,O,X,X,X
TZOSJLI,O,O,O,X,O,X,X,X
TOILJSZ,X,X,O,O,X,X,O,X
TOILJZS,X,X,X,O,O,X,O,X
TOILSJZ,O,O,O,O,X,X,X,X
TOILSZJ,O,O,O,X,X,X,X,X
TOILZJS,O,O,X,O,O,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X
TOIJLSZ,X,X,O,O,X,X,O,X
TOIJLZS,X,X,X,O,O,X,O,X
TOIJSLZ,O,O,O,O,X,X,O,X
TOIJSZL,O,O,O,X,X,X,O,X
TOIJZLS,O,O,X,O,O,X,O,X
TOIJZSL,O,O,O,X,O,X,O,X
TOISLJZ,O,O,O,O,X,X,X,X
TOISLZJ,O,O,O,X,X,X,X,X
TOISJLZ,O,O,O,O,X,X,O,X
TOISJZL,O,O,O,X,X,X,O,X
TOISZLJ,O,O,O,X,X,X,X,X
TOISZJL,O,O,O,X,X,X,X,X
TOIZLJS,O,O,X,O,O,X,X,X
TOIZLSJ,O,O,X,X,X,X,X,X
TOIZJLS,O,O,X,O,O,X,O,X
TOIZJSL,O,O,O,X,O,X,O,X
TOIZSLJ,O,O,O,X,X,X,X,X
TOIZSJL,O,O,O,X,X,X,X,X
TOLIJSZ,X,X,O,O,X,X,O,X
TOLIJZS,X,X,X,O,O,X,O,X
TOLISJZ,O,O,O,O,X,X,X,X
TOLISZJ,O,O,O,X,X,X,X,X
TOLIZJS,O,O,X,O,O,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,X
TOLJISZ,X,X,O,O,X,O,O,X
TOLJIZS,X,X,X,O,O,O,O,X
TOLJSIZ,X,X,O,O,X,O,X,X
TOLJSZI,X,X,O,X,O,X,X,X
TOLJZIS,X,X,X,O,O,X,X,X
TOLJZSI,X,X,X,X,O,X,X,X
TOLSIJZ,O,O,O,O,X,X,X,X
TOLSIZJ,O,O,O,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,X,X,X
TOLSJZI,O,O,O,X,O,X,X,X
TOLSZIJ,O,O,O,X,X,X,X,X
TOLSZJI,O,O,O,X,O,X,X,X
TOLZIJS,O,O,X,O,O,X,X,X
TOLZISJ,O,O,X,X,X,X,X,X
TOLZJIS,O,O,X,O,O,X,X,X
TOLZJSI,O,O,X,X,O,X,X,X
TOLZSIJ,O,O,X,X,X,X,X,X
TOLZSJI,O,O,X,X,O,X,X,X
TOJILSZ,X,X,O,O,X,O,O,X
TOJILZS,X,X,X,O,O,O,O,X
TOJISLZ,O,O,O,O,X,X,O,X
TOJISZL,O,O,O,X,X,X,O,X
TOJIZLS,O,O,X,O,O,X,O,X
TOJIZSL,O,O,O,X,O,X,O,X
TOJLISZ,X,X,O,O,X,O,O,X
TOJLIZS,X,X,X,O,O,O,O,X
TOJLSIZ,X,X,O,O,X,O,X,X
TOJLSZI,X,X,O,X,O,X,X,X
TOJLZIS,X,X,X,O,O,X,X,X
TOJLZSI,X,X,X,X,O,X,X,X
TOJSILZ,O,O,O,O,X,O,O,X
TOJSIZL,O,O,O,X,X,X,O,X
TOJSLIZ,O,O,O,O,X,O,X,X
TOJSLZI,O,O,O,X,O,X,X,X
TOJSZIL,O,O,O,X,O,X,X,X
TOJSZLI,O,O,O,X,O,X,X,X
TOJZILS,O,O,X,O,O,X,O,X
TOJZISL,O,O,O,X,O,X,O,X
TOJZLIS,O,O,X,O,O,X,X,X
TOJZLSI,O,O,X,X,O,X,X,X
TOJZSIL,O,O,O,X,O,X,X,X
TOJZSLI,O,O,O,X,O,X,X,X
TOSILJZ,O,O,O,O,X,X,X,X
TOSILZJ,O,O,O,X,X,X,X,X
TOSIJLZ,O,O,O,O,X,X,O,X
TOSIJZL,O,O,O,X,X,X,O,X
TOSIZLJ,O,O,O,X,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X
TOSLIJZ,O,O,O,O,X,X,X,X
TOSLIZJ,O,O,O,X,X,X,X,X
TOSLJIZ,O,O,O,O,X,X,X,X
TOSLJZI,O,O,O,X,O,X,X,X
TOSLZIJ,O,O,O,X,X,X,X,X
TOSLZJI,O,O,O,X,O,X,X,X
TOSJILZ,O,O,O,O,X,X,O,X
TOSJIZL,O,O,O,X,X,X,O,X
TOSJLIZ,O,O,O,O,X,X,X,X
TOSJLZI,O,O,O,X,O,X,X,X
TOSJZIL,O,O,O,X,O,X,X,X
TOSJZLI,O,O,O,X,O,X,X,X
TOSZILJ,O,O,O,X,X,X,X,X
TOSZIJL,O,O,O,X,X,X,X,X
TOSZLIJ,O,O,O,X,X,X,X,X
TOSZLJI,O,O,O,X,O,X,X,X
TOSZJIL,O,O,O,X,O,X,X,X
TOSZJLI,O,O,O,X,O,X,X,X
TOZILJS,O,O,X,O,O,X,X,X
TOZILSJ,O,O,X,X,X,X,X,X
TOZIJLS,O,O,X,O,O,X,O,X
TOZIJSL,O,O,O,X,O,X,O,X
TOZISLJ,O,O,O,X,X,X,X,X
TOZISJL,O,O,O,X,X,X,X,X
TOZLIJS,O,O,X,O,O,X,X,X
TOZLISJ,O,O,X,X,X,X,X,X
TOZLJIS,O,O,X,O,O,X,X,X
TOZLJSI,O,O,X,X,O,X,X,X
TOZLSIJ,O,O,X,X,X,X,X,X
TOZLSJI,O,O,X,X,O,X,X,X
TOZJILS,O,O,X,O,O,X,O,X
TOZJISL,O,O,O,X,O,X,O,X
TOZJLIS,O,O,X,O,O,X,X,X
TOZJLSI,O,O,X,X,O,X,X,X
TOZJSIL,O,O,O,X,O,X,X,X
TOZJSLI,O,O,O,X,O,X,X,X
TOZSILJ,O,O,O,X,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X,X
TOZSLIJ,O,O,O,X,X,X,X,X
TOZSLJI,O,O,O,X,O,X,X,X
TOZSJIL,O,O,O,X,O,X,X,X
TOZSJLI,O,O,O,X,O,X,X,X
ITLJSZO,X,X,O,X,X,X,X,X
ITLJSOZ,X,X,O,O,X,X,X,X
ITLJZSO,X,X,X,X,O,X,X,O
ITLJZOS,X,X,X,O,O,X,X,O
ITLJOSZ,X,X,O,O,X,X,O,X
ITLJOZS,X,X,X,O,O,X,O,X
ITLSJZO,O,O,O,X,X,X,X,X
ITLSJOZ,O,O,O,O,X,X,X,X
ITLSZJO,O,O,O,X,X,X,X,O
ITLSZOJ,O,O,O,X,X,X,X,O
ITLSOJZ,O,O,O,O,X,X,X,X
ITLSOZJ,O,O,O,X,X,X,X,X
ITLZJSO,O,O,X,X,O,X,X,O
ITLZJOS,O,O,X,O,O,X,X,O
ITLZSJO,O,O,X,X,X,X,X,O
ITLZSOJ,O,O,X,X,X,X,X,O
ITLZOJS,O,O,X,O,O,X,X,O
ITLZOSJ,O,O,X,X,X,X,X,O
ITLOJSZ,X,X,O,O,X,X,O,X
ITLOJZS,X,X,X,O,O,X,O,X
ITLOSJZ,O,O,O,O,X,X,X,X
ITLOSZJ,O,O,O,X,X,X,X,X
ITLOZJS,O,O,X,O,O,X,X,O
ITLOZSJ,O,O,X,X,X,X,X,O
ITJLSZO,X,X,O,X,X,X,X,X
ITJLSOZ,X,X,O,O,X,X,X,X
ITJLZSO,X,X,X,X,O,X,X,O
ITJLZOS,X,X,X,O,O,X,X,O
ITJLOSZ,X,X,O,O,X,X,O,X
ITJLOZS,X,X,X,O,O,X,O,X
ITJSLZO,O,O,O,X,X,X,X,X
ITJSLOZ,O,O,O,O,X,X,X,X
ITJSZLO,O,O,O,X,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X,X
ITJSOLZ,O,O,O,O,X,X,O,X
ITJSOZL,O,O,O,X,X,X,O,X
ITJZLSO,O,O,X,X,O,X,X,O
ITJZLOS,O,O,X,O,O,X,X,O
ITJZSLO,O,O,O,X,O,X,X,O
ITJZSOL,O,O,O,X,O,X,X,O
ITJZOLS,O,O,X,O,O,X,O,O
ITJZOSL,O,O,O,X,O,X,O,O
ITJOLSZ,X,X,O,O,X,X,O,X
ITJOLZS,X,X,X,O,O,X,O,X
ITJOSLZ,O,O,O,O,X,X,O,X
ITJOSZL,O,O,O,X,X,X,O,X
ITJOZLS,O,O,X,O,O,X,O,X
ITJOZSL,O,O,O,X,O,X,O,X
ITSLJZO,O,O,O,X,X,X,X,X
ITSLJOZ,O,O,O,O,X,X,X,X
ITSLZJO,O,O,O,X,X,X,X,O
ITSLZOJ,O,O,O,X,X,X,X,O
ITSLOJZ,O,O,O,O,X,X,X,X
ITSLOZJ,O,O,O,X,X,X,X,X
ITSJLZO,O,O,O,X,X,X,X,X
ITSJLOZ,O,O,O,O,X,X,X,X
ITSJZLO,O,O,O,X,X,X,X,X
ITSJZOL,O,O,O,X,X,X,X,X
ITSJOLZ,O,O,O,O,X,X,O,X
ITSJOZL,O,O,O,X,X,X,O,X
ITSZLJO,O,O,O,X,X,X,X,O
ITSZLOJ,O,O,O,X,X,X,X,O
ITSZJLO,O,O,O,X,X,X,X,O
ITSZJOL,O,O,O,X,X,X,X,O
ITSZOLJ,O,O,O,X,X,X,X,O
ITSZOJL,O,O,O,X,X,X,X,O
ITSOLJZ,O,O,O,O,X,X,X,X
ITSOLZJ,O,O,O,X,X,X,X,X
ITSOJLZ,O,O,O,O,X,X,O,X
ITSOJZL,O,O,O,X,X,X,O,X
ITSOZLJ,O,O,O,X,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X,X
ITZLJSO,O,O,X,X,O,X,X,O
ITZLJOS,O,O,X,O,O,X,X,O
ITZLSJO,O,O,X,X,X,X,X,O
ITZLSOJ,O,O,X,X,X,X,X,O
ITZLOJS,O,O,X,O,O,X,X,O
ITZLOSJ,O,O,X,X,X,X,X,O
ITZJLSO,O,O,X,X,O,X,X,O
ITZJLOS,O,O,X,O,O,X,X,O
ITZJSLO,O,O,O,X,O,X,X,O
ITZJSOL,O,O,O,X,O,X,X,O
ITZJOLS,O,O,X,O,O,X,O,O
ITZJOSL,O,O,O,X,O,X,O,O
ITZSLJO,O,O,O,X,X,X,X,O
ITZSLOJ,O,O,O,X,X,X,X,O
ITZSJLO,O,O,O,X,X,X,X,O
ITZSJOL,O,O,O,X,X,X,X,O
ITZSOLJ,O,O,O,X,X,X,X,O
ITZSOJL,O,O,O,X,X,X,X,O
ITZOLJS,O,O,X,O,O,X,X,O
ITZOLSJ,O,O,X,X,X,X,X,O
ITZOJLS,O,O,X,O,O,X,O,O
ITZOJSL,O,O,O,X,O,X,O,O
ITZOSLJ,O,O,O,X,X,X,X,O
ITZOSJL,O,O,O,X,X,X,X,O
ITOLJSZ,X,X,O,O,X,X,O,X
ITOLJZS,X,X,X,O,O,X,O,X
ITOLSJZ,O,O,O,O,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X
ITOLZJS,O,O,X,O,O,X,X,O
ITOLZSJ,O,O,X,X,X,X,X,O
ITOJLSZ,X,X,O,O,X,X,O,X
ITOJLZS,X,X,X,O,O,X,O,X
ITOJSLZ,O,O,O,O,X,X,O,X
ITOJSZL,O,O,O,X,X,X,O,X
ITOJZLS,O,O,X,O,O,X,O,X
ITOJZSL,O,O,O,X,O,X,O,X
ITOSLJZ,O,O,O,O,X,X,X,X
ITOSLZJ,O,O,O,X,X,X,X,X
ITOSJLZ,O,O,O,O,X,X,O,X
ITOSJZL,O,O,O,X,X,X,O,X
ITOSZLJ,O,O,O,X,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X,X
ITOZLJS,O,O,X,O,O,X,X,O
ITOZLSJ,O,O,X,X,X,X,X,O
ITOZJLS,O,O,X,O,O,X,O,O
ITOZJSL,O,O,O,X,O,X,O,O
ITOZSLJ,O,O,O,X,X,X,X,O
ITOZSJL,O,O,O,X,X,X,X,O
ILTJSZO,X,X,O,X,X,X,X,X
ILTJSOZ,X,X,O,O,X,X,X,X
ILTJZSO,X,X,X,X,X,X,X,O
ILTJZOS,X,X,X,O,X,X,X,O
ILTJOSZ,X,X,O,O,X,X,X,X
ILTJOZS,X,X,X,O,X,X,X,X
ILTSJZO,O,O,O,X,X,X,X,X
ILTSJOZ,O,O,O,O,X,X,X,X
ILTSZJO,O,O,O,X,X,X,X,O
ILTSZOJ,O,O,O,X,X,X,X,O
ILTSOJZ,O,O,O,O,X,X,X,X
ILTSOZJ,O,O,O,X,X,X,X,X
ILTZJSO,O,O,X,X,X,X,X,O
ILTZJOS,O,O,X,O,X,X,X,O
ILTZSJO,O,O,X,X,X,X,X,O
ILTZSOJ,O,O,X,X,X,X,X,O
ILTZOJS,O,O,X,O,X,X,X,O
ILTZOSJ,O,O,X,X,X,X,X,O
ILTOJSZ,X,X,O,O,X,X,X,X
ILTOJZS,X,X,X,O,X,X,X,X
ILTOSJZ,O,O,O,O,X,X,X,X
ILTOSZJ,O,O,O,X,X,X,X,X
ILTOZJS,O,O,X,O,X,X,X,O
ILTOZSJ,O,O,X,X,X,X,X,O
ILJTSZO,X,X,O,X,X,X,X,X
ILJTSOZ,X,X,O,O,X,X,X,X
ILJTZSO,X,X,X,X,X,X,X,O
ILJTZOS,X,X,X,O,X,O,X,O
ILJTOSZ,X,X,O,O,X,O,X,X
ILJTOZS,X,X,X,O,X,O,X,X
ILJSTZO,X,X,X,X,X,O,X,X
ILJSTOZ,X,X,O,X,X,O,X,X
ILJSZTO,X,X,X,X,X,O,X,X
ILJSZOT,X,X,O,X,X,O,X,X
ILJSOTZ,X,X,O,O,X,O,X,X
ILJSOZT,X,X,O,O,X,O,X,X
ILJZTSO,X,X,X,X,X,X,X,O
ILJZTOS,X,X,X,X,O,O,X,O
ILJZSTO,X,X,X,X,X,O,X,X
ILJZSOT,X,X,X,X,O,O,X,X
ILJZOTS,X,X,X,O,O,O,X,O
ILJZOST,X,X,X,O,O,O,X,X
ILJOTSZ,X,X,O,O,X,O,O,X
ILJOTZS,X,X,X,O,X,O,O,X
ILJOSTZ,X,X,O,O,X,O,O,X
ILJOSZT,X,X,O,O,X,O,O,X
ILJOZTS,X,X,X,O,O,O,O,X
ILJOZST,X,X,X,O,O,O,O,X
ILSTJZO,X,O,X,X,X,X,X,X
ILSTJOZ,X,O,O,X,X,X,X,X
ILSTZJO,O,O,X,X,X,X,X,O
ILSTZOJ,O,O,X,X,X,X,X,O
ILSTOJZ,X,O,O,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X,X
ILSJTOZ,X,O,O,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X
ILSJZOT,O,O,O,X,X,X,X,X
ILSJOTZ,X,O,O,O,X,X,X,X
ILSJOZT,O,O,O,O,X,X,X,X
ILSZTJO,O,O,X,X,X,X,X,O
ILSZTOJ,O,O,X,X,X,X,X,O
ILSZJTO,O,O,X,X,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,X,O
ILSZOJT,O,O,O,X,X,X,X,X
ILSOTJZ,X,O,O,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X
ILSOJTZ,X,O,O,O,X,X,X,X
ILSOJZT,O,O,O,O,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,X
ILSOZJT,O,O,O,X,X,X,X,X
ILZTJSO,O,X,X,X,X,X,X,O
ILZTJOS,O,X,X,X,X,X,X,O
ILZTSJO,O,X,X,X,X,X,X,O
ILZTSOJ,O,X,X,X,X,X,X,O
ILZTOJS,O,X,X,X,X,X,X,O
ILZTOSJ,O,X,X,X,X,X,X,O
ILZJTSO,O,X,X,X,X,X,X,O
ILZJTOS,O,X,X,X,O,O,X,O
ILZJSTO,O,O,X,X,X,O,X,X
ILZJSOT,O,O,X,X,O,O,X,X
ILZJOTS,O,X,X,O,O,O,X,O
ILZJOST,O,O,X,O,O,O,X,X
ILZSTJO,O,O,X,X,X,X,X,O
ILZSTOJ,O,O,X,X,X,X,X,O
ILZSJTO,O,O,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,O
ILZSOJT,O,O,X,X,X,X,X,X
ILZOTJS,O,X,X,X,X,X,X,O
ILZOTSJ,O,X,X,X,X,X,X,O
ILZOJTS,O,X,X,O,O,O,X,O
ILZOJST,O,O,X,O,O,O,X,X
ILZOSTJ,O,O,X,X,X,X,X,O
ILZOSJT,O,O,X,X,X,X,X,X
ILOTJSZ,X,X,O,O,X,X,X,X
ILOTJZS,X,X,X,O,X,X,X,X
ILOTSJZ,O,O,O,O,X,X,X,X
ILOTSZJ,O,O,O,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,O
ILOTZSJ,O,O,X,X,X,X,X,O
ILOJTSZ,X,X,O,O,X,O,O,X
ILOJTZS,X,X,X,O,X,O,O,X
ILOJSTZ,X,X,O,O,X,O,O,X
ILOJSZT,X,X,O,O,X,O,O,X
ILOJZTS,X,X,X,O,O,O,O,X
ILOJZST,X,X,X,O,O,O,O,X
ILOSTJZ,X,O,O,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,X
ILOSJTZ,X,O,O,O,X,X,X,X
ILOSJZT,O,O,O,O,X,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,X
ILOSZJT,O,O,O,X,X,X,X,X
ILOZTJS,O,X,X,X,X,X,X,O
ILOZTSJ,O,X,X,X,X,X,X,O
ILOZJTS,O,X,X,O,O,X,X,O
ILOZJST,O,O,X,O,O,X,X,X
ILOZSTJ,O,O,X,X,X,X,X,O
ILOZSJT,O,O,X,X,X,X,X,X
IJTLSZO,X,X,O,X,X,X,X,X
IJTLSOZ,X,X,O,O,X,X,X,X
IJTLZSO,X,X,X,X,O,X,X,O
IJTLZOS,X,X,X,O,O,O,X,O
IJTLOSZ,X,X,O,O,X,O,O,X
IJTLOZS,X,X,X,O,O,O,O,X
IJTSLZO,O,O,O,X,X,X,X,X
IJTSLOZ,O,O,O,O,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X
IJTSOLZ,O,O,O,O,X,X,O,X
IJTSOZL,O,O,O,X,X,X,O,X
IJTZLSO,O,O,X,X,O,X,X,O
IJTZLOS,O,O,X,O,O,O,X,O
IJTZSLO,O,O,O,X,O,X,X,O
IJTZSOL,O,O,O,X,O,X,X,O
IJTZOLS,O,O,X,O,O,O,O,O
IJTZOSL,O,O,O,X,O,X,O,O
IJTOLSZ,X,X,O,O,X,O,O,X
IJTOLZS,X,X,X,O,O,O,O,X
IJTOSLZ,O,O,O,O,X,X,O,X
IJTOSZL,O,O,O,X,X,X,O,X
IJTOZLS,O,O,X,O,O,X,O,X
IJTOZSL,O,O,O,X,O,X,O,X
IJLTSZO,X,X,O,X,X,X,X,X
IJLTSOZ,X,X,O,O,X,X,X,X
IJLTZSO,X,X,X,X,X,X,X,O
IJLTZOS,X,X,X,O,X,O,X,O
IJLTOSZ,X,X,O,O,X,O,X,X
IJLTOZS,X,X,X,O,X,O,X,X
IJLSTZO,X,X,X,X,X,O,X,X
IJLSTOZ,X,X,O,X,X,O,X,X
IJLSZTO,X,X,X,X,X,O,X,X
IJLSZOT,X,X,O,X,X,O,X,X
IJLSOTZ,X,X,O,O,X,O,X,X
IJLSOZT,X,X,O,O,X,O,X,X
IJLZTSO,X,X,X,X,X,X,X,O
IJLZTOS,X,X,X,X,O,O,X,O
IJLZSTO,X,X,X,X,X,O,X,X
IJLZSOT,X,X,X,X,O,O,X,X
IJLZOTS,X,X,X,O,O,O,X,O
IJLZOST,X,X,X,O,O,O,X,X
IJLOTSZ,X,X,O,O,X,O,O,X
IJLOTZS,X,X,X,O,X,O,O,X
IJLOSTZ,X,X,O,O,X,O,O,X
IJLOSZT,X,X,O,O,X,O,O,X
IJLOZTS,X,X,X,O,O,O,O,X
IJLOZST,X,X,X,O,O,O,O,X
IJSTLZO,X,O,O,X,X,O,X,X
IJSTLOZ,X,O,O,O,X,O,X,X
IJSTZLO,X,O,O,X,X,O,X,X
IJSTZOL,X,O,O,X,X,O,X,X
