sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TIOZLJS,O,O,X,O,O,X,X,O
TIOZLSJ,O,O,X,X,X,X,X,O
TIOZJLS,O,O,X,O,O,X,O,O
TIOZJSL,O,O,O,X,O,X,O,O
TIOZSLJ,O,O,O,X,X,X,X,O
TIOZSJL,O,O,O,X,X,X,X,O
TLIJSZO,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,O,O,X,X,X,X
TLIJZSO,X,X,X,X,O,X,X,O
TLIJZOS,X,X,X,O,O,X,X,O
TLIJOSZ,X,X,O,O,X,X,O,X
TLIJOZS,X,X,X,O,O,X,O,X
TLISJZO,O,O,O,X,X,X,X,X
TLISJOZ,O,O,O,O,X,X,X,X
TLISZJO,O,O,O,X,X,X,X,O
TLISZOJ,O,O,O,X,X,X,X,O
TLISOJZ,O,O,O,O,X,X,X,X
TLISOZJ,O,O,O,X,X,X,X,X
TLIZJSO,O,O,X,X,O,X,X,O
TLIZJOS,O,O,X,O,O,X,X,O
TLIZSJO,O,O,X,X,X,X,X,O
TLIZSOJ,O,O,X,X,X,X,X,O
TLIZOJS,O,O,X,O,O,X,X,O
TLIZOSJ,O,O,X,X,X,X,X,O
TLIOJSZ,X,X,O,O,X,X,O,X
TLIOJZS,X,X,X,O,O,X,O,X
TLIOSJZ,O,O,O,O,X,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,X
TLIOZJS,O,O,X,O,O,X,X,O
TLIOZSJ,O,O,X,X,X,X,X,O
TLJISZO,X,X,O,X,X,X,X,X
TLJISOZ,X,X,O,O,X,X,X,X
TLJIZSO,X,X,X,X,O,X,X,X
TLJIZOS,X,X,X,O,O,O,X,X
TLJIOSZ,X,X,O,O,X,O,O,X
TLJIOZS,X,X,X,O,O,O,O,X
TLJSIZO,X,X,O,X,X,O,X,X
TLJSIOZ,X,X,O,O,X,O,X,X
TLJSZIO,X,X,O,X,O,O,X,X
