sequence,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBfiB?xdBCjBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBzcB?5jBaoB3iBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeOAJvhF8gBzcB?5jB3iBaoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeKAJvhFzbBfiB?xdBGjBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhFGeB3gB?RiBUiBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Je2AJvhFRdBSjB?UiB3gBToBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhFzcBGeB?3gBxnBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFfiBxdB?TgBSoBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhFyhBTgB?3iBcoBGoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8JeKAJvhFzbBFdB?5jBmnB8nBfsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhF0dBTgB?OsBXtB6tBlrB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFRdBcjB?TgBXnBStBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jez8IvhFGeBigB?/oBRsBcsBlqB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Je2AJvhFzcBSjB?3gBxnBUoBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jei7IvhF5jB3gB?mnB8nBzmBFsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jem7IvhFUdB5jB?TgBlnBaoBfsB,v115@zgB8HeB8HeB8BeB8DeE8EeF8AeC8Jex7IvhF0dB6jB?TgBXnBVtBmrB
TILJSZO,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TILJOSZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TILJOZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TILSJZO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
TILSJOZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TILSZJO,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TILSZOJ,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O
TILSOJZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O
TILSOZJ,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
TILZJSO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TILZSJO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TILZOSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOJSZ,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X
TILOJZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
TILOSJZ,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,O
TILOSZJ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O
TILOZJS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O
TILOZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TIJLSZO,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
TIJLZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIJLOSZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIJLOZS,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIJSLZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TIJSLOZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TIJSZLO,X,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TIJSZOL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TIJSOLZ,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X
TIJSOZL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TIJZLSO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJZSLO,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJZOSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TIJOLZS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
