sequence,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je08IvhFxdBflBlgBO?rB6qBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhF0cBxdBWlB/?mBlqBywB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je07IvhFxdBzfBumBX?hBlqBywB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhFxdBflBlhBu?qBirB0rB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Jex9IvhFflB0gBlhB6?qBOrBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhFqgBxdBlhB/?qBOrBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeT7IvhFxdBflBlhBq?qB2rB0rB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhF+gBxdBlhBy?qBzrBXrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8Je8/IvhFqgBxdBlhB/?qBmrBTrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeX7IvhFOhBxdBSlB1?rB0qBzrB,v115@zgB8HeA8FeD8EeF8EeF8DeC8JeX7IvhFxdBUhBFlBa?sBTmBWwB
TILJSZO,X,O,X,O,X,X,O,X,X,X,X
TILJSOZ,X,O,O,O,X,X,O,X,X,X,X
TILJZSO,X,O,X,O,X,X,O,X,X,X,X
TILJZOS,X,O,O,X,X,X,X,X,X,X,X
TILJOSZ,X,O,O,O,X,X,O,X,X,X,X
TILJOZS,X,O,O,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,O,X,X,O,X,X,X,X
TILSJOZ,X,O,X,O,X,X,O,X,X,X,X
TILSZJO,X,O,X,X,O,X,X,X,X,O,O
TILSZOJ,X,O,X,X,O,X,O,X,X,O,O
TILSOJZ,X,O,X,O,X,X,O,X,X,X,X
TILSOZJ,X,O,X,X,X,X,O,X,X,X,X
TILZJSO,X,O,X,X,X,X,X,X,X,O,O
TILZJOS,X,O,X,X,X,X,X,O,X,O,X
TILZSJO,X,O,X,X,X,X,X,X,X,O,O
TILZSOJ,X,O,X,X,X,X,O,X,X,O,O
TILZOJS,X,X,X,X,X,X,X,X,X,O,X
TILZOSJ,X,X,X,X,X,X,X,X,X,O,O
TILOJSZ,X,O,O,X,X,X,X,X,X,X,X
TILOJZS,X,O,O,X,X,X,X,O,X,X,X
TILOSJZ,X,O,X,X,X,X,O,X,X,X,X
TILOSZJ,X,O,X,X,O,X,O,O,X,X,X
TILOZJS,X,X,X,X,X,X,X,O,X,X,X
TILOZSJ,X,X,X,X,X,X,X,O,X,X,X
TIJLSZO,X,O,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,O,X,X,O,X,X,X,X
