sequence,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFuf?BcgBCeBXjBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFCb?BuiBcjBXgBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BTfBOlBXjB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?BXgBziB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFcg?BqiBTeBfqBlsBupB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeBXgB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JecAJvhFTe?BOkBfqBysB5nBlpB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeC+IvhFxf?BXjBTfBOlB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jel6IvhFcg?BTeBysBmpB5nB/pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BOlBXjBTkBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB/pBOqBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeB0fB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFui?BcjBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeuCJvhFcj?BxfBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeG+IvhFxf?BziBikBXlBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFOl?BTkB3nBFoB0pBCtB
TILJSZO,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TILJZOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TILJOSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TILJOZS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TILSJZO,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TILSJOZ,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TILSZJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TILSZOJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TILSOJZ,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,O,X
TILSOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TILZJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TILZJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TILZSJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TILZSOJ,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TILZOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TILZOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TILOJSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TILOJZS,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X
TILOSJZ,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TILOSZJ,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TILOZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TILOZSJ,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIJLSZO,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TIJLSOZ,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TIJLZSO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TIJSLZO,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TIJSLOZ,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TIJSZLO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLSO,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TIJZLOS,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TIJZSLO,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TIJZSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TIJZOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
TIJOLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIJOSLZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIJOSZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOZSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLJZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TISLJOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TISLZJO,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TISLZOJ,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TISLOJZ,O,X,X,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TISLOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TISJLZO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TISJLOZ,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TISJZLO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZLJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TISZLOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TISZJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TISZJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
