sequence,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeR7IvhFUdBukBzgB/?qBirBtrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Jeq/IvhFTbBUdBRmBN?mBGqB3rB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhFTbBUdB/qBy?rBGrBNrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeR7IvhFUdBtkBfnBu?qBilBTrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhF/gBNiB2qB0?mBTrBCrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhFTbBehBUdB/?qBirBtrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Jeu/IvhFcgBTcBNiBR?qB3rBCrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeR7IvhFUdBqkBdrBz?mB/qBGrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhFGcBNiBTlB0?mBKrB/qB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhFOgBzgB3mBN?nB0qB6rB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Jex7IvhFNiBClB0mBf?lBzqBGrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Jez6IvhFNiBSlB0mBR?qBXrBGrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhFTcBKlBfmBu?rBNnB0qB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhFNiB3gB0mBO?lBzqB6rB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhFOgBUdB3lBz?mBdmBSwB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeR7IvhFNiBGgBzkB0?mBXmBSwB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeU7IvhFtkBxhByqBz?mBuqB3rB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeU7IvhF3cBtkBOnBz?gBxqBSwB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeR7IvhFNiBzkBCmBc?mB3rBGqB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeNCJvhFRgBzkBfrB0?mB6rBGqB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeWAJvhFxhB0gBdnBz?kBXmBSwB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Jez6IvhFNiB0mBRqBG?qBfrB6rB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeT8IvhFNiBqkBxlB0?lB3rBGqB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeuAJvhFtkBxhB8qBz?mBalB3rB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Je5/IvhFilBurB/lBc?mBNnBzqB,v115@zgA8FeD8GeC8FeD8FeF8CeD8Jez6IvhFxhBClBmmB9?qB3mBUrB,v115@zgA8FeD8GeC8FeD8FeF8CeD8JeNCJvhFCgBxlBcmBz?kBuqB3rB
TILJSZO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJZSO,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILSJZO,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSJOZ,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSZOJ,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILSOJZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZJSO,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZSOJ,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILOJSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJLSZO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TIJLZSO,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TIJSLZO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
