sequence,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgB3?iBOrBCsB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhFTfB0gBlhB3?iBOrBCsB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgB3?iBKrBWxB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhFxbBCgBXhBl?iBUnBTrB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhF8fBqgBlhB3?iBxrBTrB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgBu?nBimB3rB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhF8fBqgBTcBl?iBxrB3rB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jem6IvhFCcBTfBlhB3?iBxrBUrB
TSZJOIL,O,O,O,O,X,O,X,X
TSZJOLI,X,O,X,X,X,X,X,X
TSZOILJ,O,O,O,O,X,O,X,X
TSZOIJL,O,O,O,O,X,O,X,X
TSZOLIJ,O,O,O,O,X,O,X,X
TSZOLJI,X,O,X,O,X,O,X,O
TSZOJIL,O,O,O,O,X,O,X,X
TSZOJLI,X,O,X,X,X,X,X,O
TSOILJZ,O,X,O,O,X,O,X,O
TSOILZJ,O,O,O,O,X,O,X,O
TSOIJLZ,O,X,O,O,X,O,X,O
TSOIJZL,O,X,O,O,X,O,X,O
TSOIZLJ,O,O,O,O,X,O,X,O
TSOIZJL,O,O,O,O,X,O,X,O
TSOLIJZ,O,X,O,O,X,O,X,O
TSOLIZJ,O,O,O,O,X,O,X,X
TSOLJIZ,O,X,O,O,X,O,X,O
TSOLJZI,O,O,O,O,X,O,X,O
TSOLZIJ,O,O,O,O,X,O,X,X
TSOLZJI,O,O,O,O,O,O,X,O
TSOJILZ,O,X,O,O,X,O,X,O
TSOJIZL,O,X,O,O,X,O,X,O
TSOJLIZ,O,X,O,O,X,O,X,O
TSOJLZI,O,X,O,O,X,O,X,O
TSOJZIL,O,O,O,O,X,O,X,X
TSOJZLI,O,O,X,X,X,O,X,O
TSOZILJ,O,O,O,O,X,O,X,X
TSOZIJL,O,O,O,O,X,O,X,X
TSOZLIJ,O,O,O,O,X,O,X,X
TSOZLJI,X,O,X,O,X,O,X,O
TSOZJIL,O,O,O,O,X,O,X,X
TSOZJLI,X,O,X,X,X,X,X,O
TZILJSO,O,X,O,O,O,X,O,X
TZILJOS,O,X,O,O,X,O,O,X
TZILSJO,O,X,O,O,O,X,O,X
TZILSOJ,O,X,O,O,O,X,O,X
TZILOJS,O,X,O,O,X,O,O,X
TZILOSJ,O,X,O,X,X,X,O,X
TZIJLSO,O,X,O,O,O,X,O,X
TZIJLOS,O,X,O,O,X,O,O,X
TZIJSLO,O,X,X,O,O,O,O,X
TZIJSOL,O,X,O,O,X,O,O,X
TZIJOLS,O,X,O,X,X,O,O,X
TZIJOSL,O,X,O,X,X,O,O,X
TZISLJO,O,X,O,O,O,O,O,X
TZISLOJ,O,X,O,O,O,O,O,X
TZISJLO,O,X,X,O,O,O,O,X
TZISJOL,O,X,O,O,X,O,O,X
TZISOLJ,O,X,O,O,X,O,O,X
TZISOJL,O,X,O,O,X,O,O,X
TZIOLJS,O,X,O,X,X,O,O,X
TZIOLSJ,O,X,O,X,X,X,O,X
TZIOJLS,O,X,O,X,X,O,O,X
TZIOJSL,O,X,O,X,X,O,O,X
TZIOSLJ,O,X,O,X,X,X,O,X
TZIOSJL,O,X,O,X,X,O,O,X
TZLIJSO,O,X,O,O,O,X,O,X
TZLIJOS,O,X,O,O,X,O,O,X
TZLISJO,O,X,O,O,O,X,O,X
TZLISOJ,O,X,O,O,O,X,O,X
TZLIOJS,O,X,O,O,X,O,O,X
TZLIOSJ,O,X,O,X,X,X,O,X
TZLJISO,O,X,O,O,O,X,O,X
TZLJIOS,O,X,O,O,X,X,O,X
TZLJSIO,X,X,O,O,O,X,O,X
TZLJSOI,X,X,O,O,O,X,O,X
TZLJOIS,O,X,O,O,X,X,O,X
TZLJOSI,X,X,O,O,X,X,O,X
TZLSIJO,O,X,O,O,O,X,O,X
TZLSIOJ,O,O,O,O,O,X,O,X
TZLSJIO,O,X,X,O,O,X,O,X
TZLSJOI,O,O,X,O,O,X,O,X
TZLSOIJ,O,O,O,O,X,X,X,X
TZLSOJI,O,O,X,O,O,X,O,X
TZLOIJS,O,X,O,O,X,O,O,X
TZLOISJ,O,O,O,X,X,X,O,X
TZLOJIS,O,X,O,O,X,X,O,X
TZLOJSI,X,X,O,O,X,X,O,X
TZLOSIJ,O,O,O,O,X,X,X,X
TZLOSJI,O,O,X,O,X,X,O,X
TZJILSO,O,X,O,O,O,X,O,X
TZJILOS,O,X,O,O,X,O,O,X
TZJISLO,O,X,X,O,O,O,O,X
TZJISOL,O,X,O,O,X,O,O,X
TZJIOLS,O,X,O,X,X,O,O,X
TZJIOSL,O,X,O,X,X,O,O,X
TZJLISO,O,X,X,O,O,X,O,X
TZJLIOS,O,X,X,O,X,O,O,X
TZJLSIO,X,X,X,O,O,X,O,X
TZJLSOI,X,X,X,O,O,X,O,X
TZJLOIS,O,X,X,O,X,O,O,X
TZJLOSI,X,X,X,O,X,X,O,X
TZJSILO,O,X,X,O,O,O,O,X
TZJSIOL,O,X,X,O,X,O,O,X
TZJSLIO,X,X,X,O,O,O,O,X
TZJSLOI,X,X,X,O,O,O,O,X
TZJSOIL,O,X,X,O,X,O,X,X
TZJSOLI,X,X,X,X,X,O,X,X
TZJOILS,O,X,O,X,X,O,O,X
TZJOISL,O,X,O,X,X,O,O,X
TZJOLIS,O,X,X,O,X,O,O,X
TZJOLSI,X,X,X,O,X,X,O,X
TZJOSIL,O,X,X,O,X,O,X,X
TZJOSLI,X,X,X,X,X,O,X,X
TZSILJO,O,X,O,O,O,O,O,X
TZSILOJ,O,X,O,O,O,O,O,X
TZSIJLO,O,X,X,O,O,O,O,X
TZSIJOL,O,X,O,O,X,O,O,X
TZSIOLJ,O,O,O,O,X,O,O,X
TZSIOJL,O,O,O,O,X,O,O,X
TZSLIJO,X,X,X,O,O,O,O,X
TZSLIOJ,O,O,O,O,O,O,O,X
TZSLJIO,X,X,X,O,O,O,O,X
TZSLJOI,X,O,X,O,O,O,O,X
TZSLOIJ,O,O,O,O,X,O,X,X
TZSLOJI,X,O,X,O,O,O,O,X
TZSJILO,X,X,X,O,O,O,O,X
TZSJIOL,O,X,O,O,X,O,O,X
TZSJLIO,X,X,X,O,O,X,O,X
TZSJLOI,X,X,X,O,O,X,O,X
TZSJOIL,O,O,O,O,X,O,X,X
TZSJOLI,X,O,X,X,X,X,X,X
TZSOILJ,O,O,O,O,X,O,X,X
TZSOIJL,O,O,O,O,X,O,X,X
TZSOLIJ,O,O,O,O,X,O,X,X
TZSOLJI,X,O,X,O,X,O,X,X
TZSOJIL,O,O,O,O,X,O,X,X
TZSOJLI,X,O,X,X,X,X,X,X
TZOILJS,O,X,O,X,X,O,O,X
TZOILSJ,O,O,O,X,X,X,O,X
TZOIJLS,O,X,O,X,X,O,O,X
TZOIJSL,O,X,O,X,X,O,O,X
TZOISLJ,O,O,O,X,X,O,O,X
TZOISJL,O,O,O,X,X,O,O,X
TZOLIJS,O,X,O,O,X,O,O,X
TZOLISJ,O,O,O,X,X,X,O,X
TZOLJIS,O,X,O,O,X,X,O,X
TZOLJSI,X,X,O,O,X,X,O,X
TZOLSIJ,O,O,O,O,X,X,X,X
TZOLSJI,O,O,X,O,X,X,O,X
TZOJILS,O,X,O,X,X,O,O,X
TZOJISL,O,X,O,X,X,O,O,X
TZOJLIS,O,X,X,O,X,O,O,X
TZOJLSI,X,X,X,O,X,X,O,X
TZOJSIL,O,X,X,O,X,O,X,X
TZOJSLI,X,X,X,X,X,O,X,X
TZOSILJ,O,O,O,O,X,O,X,X
TZOSIJL,O,O,O,O,X,O,X,X
TZOSLIJ,O,O,O,O,X,O,X,X
TZOSLJI,X,O,X,O,X,O,X,X
TZOSJIL,O,O,O,O,X,O,X,X
TZOSJLI,X,O,X,X,X,X,X,X
TOILJSZ,O,X,O,O,X,O,X,X
TOILJZS,O,X,O,O,X,O,O,X
TOILSJZ,O,X,O,O,X,O,O,X
TOILSZJ,O,O,O,O,X,O,O,X
TOILZJS,O,X,O,O,X,O,O,X
TOILZSJ,O,O,O,X,X,X,O,X
TOIJLSZ,O,X,O,O,X,O,X,X
TOIJLZS,O,X,O,O,X,O,X,X
TOIJSLZ,X,X,X,O,X,O,X,O
TOIJSZL,O,X,O,O,X,O,X,O
TOIJZLS,O,X,O,X,X,O,X,O
TOIJZSL,O,X,O,X,X,O,X,O
TOISLJZ,O,X,O,O,X,O,O,O
TOISLZJ,O,O,O,O,X,O,O,O
TOISJLZ,O,X,O,O,X,O,O,O
TOISJZL,O,X,O,O,X,O,X,O
TOISZLJ,O,O,O,O,X,O,O,O
TOISZJL,O,O,O,O,X,O,O,O
TOIZLJS,O,X,O,X,X,O,O,O
TOIZLSJ,O,O,O,X,X,X,O,O
TOIZJLS,O,X,O,X,X,O,O,O
TOIZJSL,O,X,O,X,X,O,O,O
TOIZSLJ,O,O,O,X,X,O,O,O
TOIZSJL,O,O,O,X,X,O,O,O
TOLIJSZ,O,X,O,O,X,O,X,X
TOLIJZS,O,X,O,O,X,O,O,X
TOLISJZ,O,X,O,O,X,O,O,X
TOLISZJ,O,O,O,O,X,O,O,X
TOLIZJS,O,X,O,O,X,O,O,X
TOLIZSJ,O,O,O,X,X,X,O,X
TOLJISZ,O,X,O,O,X,O,X,X
TOLJIZS,O,X,O,O,X,O,X,X
TOLJSIZ,O,X,O,O,X,O,X,X
TOLJSZI,O,X,O,O,X,O,X,X
TOLJZIS,O,X,O,O,X,O,O,X
TOLJZSI,O,X,O,O,X,X,O,X
TOLSIJZ,O,X,O,O,X,O,X,X
TOLSIZJ,O,O,O,O,X,O,X,X
TOLSJIZ,O,X,O,O,X,O,X,X
TOLSJZI,O,O,O,O,X,O,X,X
TOLSZIJ,O,O,O,O,X,O,X,X
TOLSZJI,O,O,O,O,X,O,O,X
TOLZIJS,O,X,O,O,X,O,O,X
TOLZISJ,O,O,O,X,X,X,O,X
TOLZJIS,O,X,O,O,X,X,O,X
TOLZJSI,X,X,O,O,X,X,O,X
TOLZSIJ,O,O,O,O,X,X,X,X
TOLZSJI,O,O,X,O,X,X,O,X
TOJILSZ,O,X,O,O,X,O,X,X
TOJILZS,O,X,O,O,X,O,X,X
TOJISLZ,X,X,X,O,X,O,X,O
TOJISZL,O,X,O,O,X,O,X,O
TOJIZLS,O,X,O,X,X,O,X,O
TOJIZSL,O,X,O,X,X,O,X,O
TOJLISZ,O,X,O,O,X,O,X,X
TOJLIZS,O,X,O,O,X,O,X,X
TOJLSIZ,O,X,O,O,X,O,X,X
TOJLSZI,O,X,O,O,X,O,X,X
TOJLZIS,O,X,O,O,X,O,X,X
TOJLZSI,X,X,O,O,X,X,X,X
TOJSILZ,X,X,X,O,X,O,X,O
TOJSIZL,O,X,O,O,X,O,X,O
TOJSLIZ,X,X,X,O,X,O,X,O
TOJSLZI,X,X,X,O,X,O,X,O
TOJSZIL,O,X,O,O,X,O,X,X
TOJSZLI,X,X,X,X,X,O,X,O
TOJZILS,O,X,O,X,X,O,X,X
TOJZISL,O,X,O,X,X,O,X,X
TOJZLIS,O,X,X,O,X,O,X,X
TOJZLSI,X,X,X,O,X,X,X,X
TOJZSIL,O,X,X,O,X,O,X,X
TOJZSLI,X,X,X,X,X,O,X,X
TOSILJZ,O,X,O,O,X,O,X,O
TOSILZJ,O,O,O,O,X,O,X,O
TOSIJLZ,O,X,O,O,X,O,X,O
TOSIJZL,O,X,O,O,X,O,X,O
TOSIZLJ,O,O,O,O,X,O,X,O
TOSIZJL,O,O,O,O,X,O,X,O
TOSLIJZ,O,X,O,O,X,O,X,O
TOSLIZJ,O,O,O,O,X,O,X,X
TOSLJIZ,O,X,O,O,X,O,X,O
TOSLJZI,O,O,O,O,X,O,X,O
TOSLZIJ,O,O,O,O,X,O,X,X
TOSLZJI,O,O,O,O,X,O,X,O
TOSJILZ,O,X,O,O,X,O,X,O
TOSJIZL,O,X,O,O,X,O,X,O
TOSJLIZ,O,X,O,O,X,O,X,O
TOSJLZI,O,X,O,O,X,O,X,O
TOSJZIL,O,O,O,O,X,O,X,X
TOSJZLI,O,O,X,X,X,O,X,O
TOSZILJ,O,O,O,O,X,O,X,X
TOSZIJL,O,O,O,O,X,O,X,X
TOSZLIJ,O,O,O,O,X,O,X,X
TOSZLJI,X,O,X,O,X,O,X,O
TOSZJIL,O,O,O,O,X,O,X,X
TOSZJLI,X,O,X,X,X,X,X,O
TOZILJS,O,X,O,X,X,O,O,X
TOZILSJ,O,O,O,X,X,X,O,X
TOZIJLS,O,X,O,X,X,O,O,X
TOZIJSL,O,X,O,X,X,O,O,X
TOZISLJ,O,O,O,X,X,O,O,X
TOZISJL,O,O,O,X,X,O,O,X
TOZLIJS,O,X,O,O,X,O,O,X
TOZLISJ,O,O,O,X,X,X,O,X
TOZLJIS,O,X,O,O,X,X,O,X
TOZLJSI,X,X,O,O,X,X,O,X
TOZLSIJ,O,O,O,O,X,X,X,X
TOZLSJI,O,O,X,O,X,X,O,X
TOZJILS,O,X,O,X,X,O,O,X
TOZJISL,O,X,O,X,X,O,O,X
TOZJLIS,O,X,X,O,X,O,O,X
TOZJLSI,X,X,X,O,X,X,O,X
TOZJSIL,O,X,X,O,X,O,X,X
TOZJSLI,X,X,X,X,X,O,X,X
TOZSILJ,O,O,O,O,X,O,X,X
TOZSIJL,O,O,O,O,X,O,X,X
TOZSLIJ,O,O,O,O,X,O,X,X
TOZSLJI,X,O,X,O,X,O,X,X
TOZSJIL,O,O,O,O,X,O,X,X
TOZSJLI,X,O,X,X,X,X,X,X
ITLJSZO,O,X,O,O,X,O,O,X
ITLJSOZ,X,X,X,O,X,X,O,X
ITLJZSO,O,X,O,O,X,X,O,X
ITLJZOS,O,X,O,O,X,O,O,X
ITLJOSZ,X,X,O,O,X,X,X,X
ITLJOZS,X,X,O,O,X,X,O,X
ITLSJZO,O,X,O,O,O,O,O,X
ITLSJOZ,X,X,X,O,X,X,O,X
ITLSZJO,O,X,O,O,O,O,O,X
ITLSZOJ,O,X,O,X,O,O,O,X
ITLSOJZ,O,X,X,O,X,X,O,X
ITLSOZJ,O,X,X,X,O,O,O,X
ITLZJSO,O,X,O,O,O,X,O,X
ITLZJOS,O,X,O,O,X,O,O,X
ITLZSJO,O,X,O,O,O,X,O,X
ITLZSOJ,O,X,O,O,O,X,O,X
ITLZOJS,O,X,O,O,X,O,O,X
ITLZOSJ,O,X,O,X,X,X,O,X
ITLOJSZ,O,X,O,O,X,X,X,X
ITLOJZS,O,X,O,O,X,X,O,X
ITLOSJZ,O,X,O,O,X,X,O,X
ITLOSZJ,O,X,O,O,X,X,O,X
ITLOZJS,O,X,O,O,X,X,O,X
ITLOZSJ,O,X,O,X,X,X,O,X
ITJLSZO,O,X,O,O,X,O,O,X
ITJLSOZ,X,X,X,O,X,X,O,X
ITJLZSO,O,X,O,O,X,X,O,X
ITJLZOS,O,X,O,O,X,O,O,X
ITJLOSZ,X,X,X,O,X,X,X,X
ITJLOZS,X,X,O,O,X,X,O,X
ITJSLZO,X,X,X,O,X,O,O,O
ITJSLOZ,X,X,X,O,X,X,O,O
ITJSZLO,O,X,X,O,X,O,O,O
ITJSZOL,O,X,O,X,X,O,O,O
ITJSOLZ,X,X,X,O,X,O,O,O
ITJSOZL,X,X,X,X,X,O,X,X
ITJZLSO,O,X,O,O,X,X,O,O
ITJZLOS,O,X,O,O,X,O,O,O
ITJZSLO,O,X,X,O,X,O,O,O
ITJZSOL,O,X,O,O,X,O,O,O
ITJZOLS,O,X,O,X,X,O,O,O
ITJZOSL,O,X,O,X,X,O,O,X
ITJOLSZ,X,X,X,O,X,O,X,X
ITJOLZS,O,X,X,O,X,O,X,X
ITJOSLZ,X,X,X,O,X,O,X,X
ITJOSZL,O,X,X,O,X,O,X,X
ITJOZLS,O,X,X,X,X,O,X,X
ITJOZSL,O,X,X,X,X,O,X,X
ITSLJZO,O,X,O,O,O,O,O,O
ITSLJOZ,X,X,X,O,X,X,O,O
ITSLZJO,O,X,O,O,O,O,O,O
ITSLZOJ,O,X,O,X,O,O,O,O
ITSLOJZ,X,X,X,O,X,O,O,O
ITSLOZJ,O,X,X,X,O,O,O,O
ITSJLZO,X,X,X,O,O,O,O,O
ITSJLOZ,X,X,X,O,X,X,O,O
ITSJZLO,O,X,X,O,X,O,O,O
ITSJZOL,O,X,O,X,X,O,O,O
ITSJOLZ,X,X,X,O,X,X,O,O
ITSJOZL,X,X,X,X,X,O,X,O
ITSZLJO,O,X,O,O,O,O,O,O
ITSZLOJ,O,X,O,X,O,O,O,O
ITSZJLO,O,X,X,O,O,O,O,O
ITSZJOL,O,X,O,X,X,O,O,O
ITSZOLJ,O,X,O,X,X,O,O,O
ITSZOJL,O,X,O,X,X,O,O,O
ITSOLJZ,X,X,X,O,X,O,O,O
ITSOLZJ,O,X,O,X,O,O,O,O
ITSOJLZ,X,X,X,O,X,O,O,O
ITSOJZL,O,X,O,X,X,O,X,O
ITSOZLJ,O,X,O,X,X,O,O,O
ITSOZJL,O,X,O,X,X,O,O,O
ITZLJSO,O,X,O,O,O,X,O,O
ITZLJOS,O,X,O,O,X,O,O,O
ITZLSJO,O,X,O,O,O,X,O,O
ITZLSOJ,O,X,O,O,O,X,O,O
ITZLOJS,O,X,O,O,X,O,O,O
ITZLOSJ,O,X,O,X,X,X,O,O
ITZJLSO,O,X,O,O,O,X,O,O
ITZJLOS,O,X,O,O,X,O,O,O
ITZJSLO,O,X,X,O,O,O,O,O
ITZJSOL,O,X,O,O,X,O,O,O
ITZJOLS,O,X,O,X,X,O,O,O
ITZJOSL,O,X,O,X,X,O,O,O
ITZSLJO,O,X,O,O,O,O,O,O
ITZSLOJ,O,X,O,O,O,O,O,O
ITZSJLO,O,X,X,O,O,O,O,O
ITZSJOL,O,X,O,O,X,O,O,O
ITZSOLJ,O,X,O,O,X,O,O,O
ITZSOJL,O,X,O,O,X,O,O,O
ITZOLJS,O,X,O,X,X,O,O,O
ITZOLSJ,O,X,O,X,X,X,O,O
ITZOJLS,O,X,O,X,X,O,O,O
ITZOJSL,O,X,O,X,X,O,O,O
ITZOSLJ,O,X,O,X,X,X,O,O
ITZOSJL,O,X,O,X,X,O,O,O
ITOLJSZ,O,X,O,O,X,O,X,X
ITOLJZS,O,X,O,O,X,O,O,X
ITOLSJZ,O,X,O,O,X,O,O,X
ITOLSZJ,O,X,O,O,X,O,O,X
ITOLZJS,O,X,O,O,X,O,O,X
ITOLZSJ,O,X,O,X,X,X,O,X
ITOJLSZ,O,X,O,O,X,O,X,X
ITOJLZS,O,X,O,O,X,O,X,X
ITOJSLZ,X,X,X,O,X,O,X,O
ITOJSZL,O,X,O,O,X,O,X,O
ITOJZLS,O,X,O,X,X,O,X,O
ITOJZSL,O,X,O,X,X,O,X,O
ITOSLJZ,O,X,O,O,X,O,O,O
ITOSLZJ,O,X,O,O,X,O,O,O
ITOSJLZ,X,X,X,O,X,O,O,O
ITOSJZL,O,X,O,O,X,O,X,O
ITOSZLJ,O,X,O,O,X,O,O,O
ITOSZJL,O,X,O,O,X,O,O,O
ITOZLJS,O,X,O,X,X,O,O,O
ITOZLSJ,O,X,O,X,X,X,O,O
ITOZJLS,O,X,O,X,X,O,O,O
ITOZJSL,O,X,O,X,X,O,O,O
ITOZSLJ,O,X,O,X,X,O,O,O
ITOZSJL,O,X,O,X,X,O,O,O
ILTJSZO,O,X,O,O,X,X,O,X
ILTJSOZ,X,X,X,O,X,X,O,X
ILTJZSO,O,X,O,O,X,X,O,X
ILTJZOS,O,X,O,O,X,X,O,X
ILTJOSZ,X,X,O,O,X,X,X,X
ILTJOZS,X,X,O,O,X,X,O,X
ILTSJZO,O,X,O,O,O,X,O,X
ILTSJOZ,X,X,X,O,X,X,O,X
ILTSZJO,O,X,O,O,O,X,O,X
ILTSZOJ,O,X,O,X,O,X,O,X
ILTSOJZ,O,X,X,O,X,X,O,X
ILTSOZJ,O,X,X,X,O,X,O,X
ILTZJSO,O,X,O,O,O,X,O,X
ILTZJOS,O,X,O,O,X,X,O,X
ILTZSJO,O,X,O,O,O,X,O,X
ILTZSOJ,O,X,O,O,O,X,O,X
ILTZOJS,O,X,O,O,X,X,O,X
ILTZOSJ,O,X,O,X,X,X,O,X
ILTOJSZ,O,X,O,O,X,X,X,X
ILTOJZS,O,X,O,O,X,X,O,X
ILTOSJZ,O,X,O,O,X,X,O,X
ILTOSZJ,O,X,O,O,X,X,O,X
ILTOZJS,O,X,O,O,X,X,O,X
ILTOZSJ,O,X,O,X,X,X,O,X
ILJTSZO,O,X,O,O,X,X,O,X
ILJTSOZ,X,X,X,O,X,X,O,X
ILJTZSO,O,X,O,O,X,X,O,X
ILJTZOS,O,X,O,O,X,X,O,X
ILJTOSZ,O,X,O,O,X,X,X,X
ILJTOZS,O,X,O,O,X,X,O,X
ILJSTZO,X,X,X,O,O,X,X,O
ILJSTOZ,X,X,X,O,X,X,X,O
ILJSZTO,X,X,X,O,O,X,O,O
ILJSZOT,X,X,X,O,O,X,O,O
ILJSOTZ,X,X,X,O,X,X,X,X
ILJSOZT,X,X,X,O,X,X,O,X
ILJZTSO,O,X,O,O,O,X,O,O
ILJZTOS,O,X,O,O,X,X,O,O
ILJZSTO,X,X,X,O,O,X,O,O
ILJZSOT,X,X,X,O,O,X,O,O
ILJZOTS,O,X,O,O,X,X,O,O
ILJZOST,O,X,O,O,O,X,O,O
ILJOTSZ,O,X,O,O,X,X,X,X
ILJOTZS,O,X,O,O,X,X,X,X
ILJOSTZ,O,X,O,O,X,X,X,X
ILJOSZT,O,X,O,O,X,X,X,X
ILJOZTS,O,X,O,O,X,X,O,X
ILJOZST,O,X,O,O,X,X,O,X
ILSTJZO,O,X,O,O,O,X,O,O
ILSTJOZ,X,X,X,O,X,X,O,O
ILSTZJO,O,X,O,X,O,X,O,O
ILSTZOJ,O,O,O,X,O,X,O,O
ILSTOJZ,O,X,O,X,X,X,O,O
ILSTOZJ,O,O,O,X,O,X,O,O
ILSJTZO,O,X,X,O,O,X,X,O
ILSJTOZ,O,X,X,O,X,X,X,O
ILSJZTO,O,X,X,O,O,X,O,O
ILSJZOT,O,X,X,O,O,X,O,O
ILSJOTZ,O,X,X,O,X,X,X,X
ILSJOZT,O,X,X,O,X,X,O,X
ILSZTJO,O,X,O,X,O,X,O,O
ILSZTOJ,O,O,O,X,O,X,O,O
ILSZJTO,X,X,X,O,O,X,O,O
ILSZJOT,X,X,X,O,O,X,O,O
ILSZOTJ,O,O,O,X,O,X,O,O
ILSZOJT,O,O,O,X,O,X,O,O
ILSOTJZ,O,X,O,X,X,X,X,O
ILSOTZJ,O,O,O,X,O,X,O,O
ILSOJTZ,O,X,X,O,X,X,X,O
ILSOJZT,O,O,O,O,X,X,O,O
ILSOZTJ,O,O,O,X,O,X,O,O
ILSOZJT,O,O,O,X,O,X,O,O
ILZTJSO,X,X,X,O,O,X,O,O
ILZTJOS,X,X,X,O,X,X,O,O
ILZTSJO,X,X,X,X,O,X,O,O
ILZTSOJ,X,X,X,X,O,X,O,O
ILZTOJS,X,X,X,X,X,X,O,O
ILZTOSJ,X,X,X,X,X,X,O,O
ILZJTSO,X,X,X,O,O,X,O,O
ILZJTOS,X,X,X,O,X,X,O,O
ILZJSTO,X,X,X,O,O,X,O,O
ILZJSOT,X,X,X,O,O,X,O,O
ILZJOTS,X,X,X,O,X,X,O,O
ILZJOST,X,X,X,O,O,X,O,O
ILZSTJO,X,X,X,O,O,X,O,O
ILZSTOJ,X,O,X,X,O,X,O,O
ILZSJTO,X,X,X,O,O,X,O,O
ILZSJOT,X,X,X,O,O,X,O,O
ILZSOTJ,X,O,X,X,O,X,O,O
ILZSOJT,X,O,X,O,O,X,O,O
ILZOTJS,X,X,X,X,X,X,O,O
ILZOTSJ,X,O,X,X,X,X,O,O
ILZOJTS,X,X,X,O,X,X,O,O
ILZOJST,X,O,X,O,O,X,O,O
ILZOSTJ,X,O,X,X,O,X,O,O
ILZOSJT,X,O,X,X,O,X,O,O
ILOTJSZ,O,X,O,O,X,X,X,X
ILOTJZS,O,X,O,O,X,X,O,X
ILOTSJZ,O,X,O,O,X,X,O,X
ILOTSZJ,O,O,O,O,X,X,O,X
ILOTZJS,O,X,O,O,X,X,O,X
ILOTZSJ,O,O,O,X,X,X,O,X
ILOJTSZ,O,X,O,O,X,X,X,X
ILOJTZS,O,X,O,O,X,X,X,X
ILOJSTZ,O,X,O,O,X,X,X,O
ILOJSZT,O,O,O,O,X,X,X,O
ILOJZTS,O,X,O,O,X,X,O,O
ILOJZST,O,O,O,O,X,X,O,O
ILOSTJZ,O,X,O,O,X,X,X,O
ILOSTZJ,O,O,O,X,O,X,O,O
ILOSJTZ,O,X,O,O,X,X,X,O
ILOSJZT,O,O,O,O,X,X,O,O
ILOSZTJ,O,O,O,X,O,X,O,O
ILOSZJT,O,O,O,O,O,X,O,O
ILOZTJS,O,X,X,O,X,X,O,O
ILOZTSJ,O,O,X,X,X,X,O,O
ILOZJTS,O,X,O,O,X,X,O,O
ILOZJST,O,O,O,O,O,X,O,O
ILOZSTJ,O,O,O,O,O,X,O,O
ILOZSJT,O,O,O,O,O,X,O,O
IJTLSZO,X,X,X,O,X,O,O,X
IJTLSOZ,X,X,X,O,X,X,O,X
IJTLZSO,O,X,X,O,X,X,O,X
IJTLZOS,O,X,X,O,X,O,O,X
IJTLOSZ,X,X,X,O,X,X,X,X
IJTLOZS,X,X,X,O,X,X,O,X
IJTSLZO,X,X,X,O,X,O,O,O
IJTSLOZ,X,X,X,O,X,X,O,O
IJTSZLO,O,X,X,O,X,O,O,O
IJTSZOL,O,X,X,X,X,O,O,O
IJTSOLZ,X,X,X,O,X,O,O,O
IJTSOZL,X,X,X,X,X,O,X,X
IJTZLSO,O,X,X,O,X,X,O,O
IJTZLOS,O,X,X,O,X,O,O,O
IJTZSLO,O,X,X,O,X,O,O,O
IJTZSOL,O,X,X,O,X,O,O,O
IJTZOLS,O,X,X,X,X,O,O,O
IJTZOSL,O,X,X,X,X,O,O,X
IJTOLSZ,X,X,X,O,X,O,X,X
IJTOLZS,O,X,X,O,X,O,X,X
IJTOSLZ,X,X,X,O,X,O,X,X
IJTOSZL,O,X,X,O,X,O,X,X
IJTOZLS,O,X,X,X,X,O,X,X
IJTOZSL,O,X,X,X,X,O,X,X
IJLTSZO,X,X,O,O,X,X,O,X
IJLTSOZ,X,X,X,O,X,X,O,X
IJLTZSO,X,X,O,O,X,X,O,X
IJLTZOS,X,X,O,O,X,X,O,X
IJLTOSZ,X,X,O,O,X,X,X,X
IJLTOZS,X,X,O,O,X,X,O,X
IJLSTZO,X,X,X,O,O,X,X,O
IJLSTOZ,X,X,X,O,X,X,X,O
IJLSZTO,X,X,X,O,O,X,O,O
IJLSZOT,X,X,X,O,O,X,O,O
IJLSOTZ,X,X,X,O,X,X,X,X
IJLSOZT,X,X,X,O,X,X,O,X
IJLZTSO,X,X,O,O,O,X,O,O
IJLZTOS,X,X,O,O,X,X,O,O
IJLZSTO,X,X,X,O,O,X,O,O
IJLZSOT,X,X,X,O,O,X,O,O
IJLZOTS,X,X,O,O,X,X,O,O
IJLZOST,X,X,O,O,O,X,O,O
IJLOTSZ,X,X,O,O,X,X,X,X
IJLOTZS,X,X,O,O,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X
IJLOSZT,X,X,O,O,X,X,X,X
IJLOZTS,X,X,O,O,X,X,O,X
IJLOZST,X,X,O,O,X,X,O,X
