sequence,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFRbB/iBajBzgBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFygB2iB0fBziB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBmdBKlBzgB0iBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbByiBmgB0iBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBidBOlB8lBziBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hFibBmdB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jem7Iv?hFidBxfBziB0fB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFzbB/iBajBRlBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gByiB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFehB/iBajB0fBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jei6Iv?hFzbBRlB3nBUlBmnBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gBliBRlB8sB3qBisB
TJZLOSI,O,O,O,X,O,X,X,X,X,X,X,X
TJZSILO,O,O,O,O,O,O,X,O,X,O,X,X
TJZSIOL,O,O,O,X,O,O,X,O,X,O,X,X
TJZSLIO,O,O,O,O,O,X,X,O,X,O,X,X
TJZSLOI,O,O,O,O,O,X,X,X,X,O,X,X
TJZSOIL,O,O,O,X,O,O,X,X,X,O,X,X
TJZSOLI,O,O,O,X,O,X,X,X,X,O,X,X
TJZOILS,O,O,O,X,O,O,X,X,X,X,X,X
TJZOISL,O,X,X,X,O,O,X,X,X,O,X,X
TJZOLIS,O,O,O,X,O,O,X,X,X,X,X,X
TJZOLSI,O,O,O,X,O,X,X,X,X,X,X,X
TJZOSIL,O,O,O,X,O,O,X,X,X,O,X,X
TJZOSLI,O,O,O,X,O,X,X,X,X,O,X,X
TJOILSZ,O,X,X,O,X,X,O,O,O,X,X,X
TJOILZS,X,X,X,X,X,O,O,X,O,X,X,X
TJOISLZ,O,X,X,O,X,X,O,O,O,X,X,X
TJOISZL,O,X,X,O,X,X,X,O,X,X,X,X
TJOIZLS,X,X,X,X,X,O,O,X,O,X,X,X
TJOIZSL,O,X,X,X,X,O,X,O,X,X,X,X
TJOLISZ,O,X,X,O,X,X,O,X,O,X,X,X
TJOLIZS,X,X,X,X,X,X,O,X,O,X,X,X
TJOLSIZ,O,X,O,O,O,X,O,X,X,X,X,X
TJOLSZI,O,X,O,O,O,X,O,X,X,X,X,X
TJOLZIS,X,X,O,X,O,X,X,X,X,X,X,X
TJOLZSI,X,X,O,O,O,X,X,X,X,X,X,X
TJOSILZ,O,X,X,O,O,X,O,O,X,X,X,X
TJOSIZL,O,X,X,O,X,X,O,O,X,X,X,X
TJOSLIZ,O,X,X,O,O,X,O,O,X,X,X,X
TJOSLZI,O,O,X,O,O,X,O,X,X,O,X,X
TJOSZIL,O,O,X,O,O,X,O,X,X,O,X,X
TJOSZLI,O,O,X,O,O,X,O,X,X,O,X,X
TJOZILS,O,O,O,X,O,O,X,X,X,X,X,X
TJOZISL,O,X,X,X,O,O,X,X,X,O,X,X
TJOZLIS,O,O,O,X,O,O,X,X,X,X,X,X
TJOZLSI,O,O,O,O,O,X,X,X,X,X,X,X
TJOZSIL,O,O,X,O,O,O,X,X,X,O,X,X
TJOZSLI,O,O,O,O,O,X,X,X,X,O,X,X
TSILJZO,O,O,O,O,O,X,X,O,X,O,O,X
TSILJOZ,O,X,X,O,O,X,O,O,O,X,X,X
TSILZJO,O,O,O,X,O,O,X,O,X,O,O,X
TSILZOJ,O,O,O,X,O,O,X,O,X,O,O,X
TSILOJZ,O,X,O,O,O,X,O,O,O,X,X,X
TSILOZJ,O,X,O,X,O,O,O,O,X,X,X,X
TSIJLZO,O,O,X,O,O,X,X,O,X,O,O,X
TSIJLOZ,O,X,X,O,O,X,O,O,O,X,X,X
TSIJZLO,O,O,O,O,X,X,X,O,X,O,O,X
TSIJZOL,O,O,O,X,X,X,O,O,X,O,O,X
TSIJOLZ,O,X,X,O,O,X,O,O,O,X,X,X
TSIJOZL,O,X,X,X,X,X,O,O,X,X,X,X
TSIZLJO,O,O,O,X,O,O,X,O,X,O,O,X
TSIZLOJ,O,O,O,X,O,O,X,O,X,O,O,X
TSIZJLO,O,O,O,X,O,O,X,O,X,O,O,X
TSIZJOL,O,O,O,X,O,O,O,O,X,O,O,X
TSIZOLJ,O,O,X,X,O,O,O,O,X,O,O,X
TSIZOJL,O,O,O,X,O,O,O,O,X,O,O,X
TSIOLJZ,O,X,X,O,O,X,O,O,O,X,X,X
TSIOLZJ,O,X,X,X,O,O,O,O,X,X,X,X
TSIOJLZ,O,X,X,O,O,X,O,O,O,X,X,X
TSIOJZL,O,X,X,O,X,X,O,O,X,X,X,X
TSIOZLJ,O,X,X,X,O,O,O,O,X,X,X,X
TSIOZJL,O,X,O,X,O,O,O,O,X,X,X,X
TSLIJZO,O,O,O,O,O,X,X,O,X,O,O,X
TSLIJOZ,O,X,X,O,O,X,O,O,O,X,X,X
TSLIZJO,O,O,O,X,O,X,X,O,X,O,O,X
TSLIZOJ,O,O,O,X,O,X,X,O,X,O,O,X
TSLIOJZ,O,X,O,O,O,X,O,O,O,X,X,X
TSLIOZJ,O,X,O,X,O,X,O,O,X,X,X,X
TSLJIZO,O,O,O,O,O,X,X,O,X,O,X,X
TSLJIOZ,O,X,X,O,O,X,O,O,X,X,X,X
TSLJZIO,O,O,O,O,O,X,X,O,X,O,X,X
TSLJZOI,O,O,O,O,O,X,X,X,X,O,X,X
TSLJOIZ,O,X,O,O,X,X,O,O,X,X,X,X
TSLJOZI,O,O,O,O,X,X,O,X,X,O,X,X
TSLZIJO,O,O,O,X,O,X,X,O,X,O,X,X
TSLZIOJ,O,O,O,X,O,X,X,O,X,O,X,X
TSLZJIO,O,O,O,O,O,X,X,O,X,O,X,X
TSLZJOI,O,O,O,O,O,X,X,X,X,O,X,X
TSLZOIJ,O,O,O,X,O,X,X,X,X,O,X,X
TSLZOJI,O,O,O,O,O,X,X,X,X,O,X,X
TSLOIJZ,O,X,O,O,O,X,O,O,O,X,X,X
TSLOIZJ,O,X,O,X,O,X,O,O,X,X,X,X
TSLOJIZ,O,X,O,O,O,X,O,O,X,X,X,X
TSLOJZI,O,O,O,O,O,X,O,X,X,O,X,X
TSLOZIJ,O,O,O,X,O,X,O,X,X,O,X,X
TSLOZJI,O,O,O,O,O,X,O,X,X,O,X,X
TSJILZO,O,O,X,O,O,X,X,O,X,O,X,X
TSJILOZ,O,X,X,O,O,X,O,O,X,X,X,X
TSJIZLO,O,O,O,O,X,X,X,O,X,O,X,X
TSJIZOL,O,O,O,X,X,X,O,O,X,O,X,X
TSJIOLZ,O,X,X,O,O,X,O,O,X,X,X,X
TSJIOZL,O,X,X,X,X,X,O,O,X,X,X,X
TSJLIZO,O,O,O,O,O,X,X,O,X,O,X,X
TSJLIOZ,O,X,X,O,O,X,O,O,X,X,X,X
TSJLZIO,O,O,O,O,O,X,X,O,X,O,X,X
TSJLZOI,O,O,O,O,O,X,X,X,X,O,X,X
TSJLOIZ,O,X,O,O,X,X,O,O,X,X,X,X
TSJLOZI,O,O,O,O,X,X,O,X,X,O,X,X
TSJZILO,O,O,O,O,O,X,X,O,X,O,X,X
TSJZIOL,O,O,O,X,O,X,O,O,X,O,X,X
TSJZLIO,O,O,O,O,O,X,X,O,X,O,X,X
TSJZLOI,O,O,O,O,O,X,X,X,X,O,X,X
TSJZOIL,O,O,O,X,O,X,O,X,X,O,X,X
TSJZOLI,O,O,O,X,O,X,O,X,X,O,X,X
TSJOILZ,O,X,X,O,O,X,O,O,X,X,X,X
TSJOIZL,O,X,X,O,X,X,O,O,X,X,X,X
TSJOLIZ,O,X,X,O,O,X,O,O,X,X,X,X
TSJOLZI,O,O,X,O,O,X,O,X,X,O,X,X
TSJOZIL,O,O,X,O,O,X,O,X,X,O,X,X
TSJOZLI,O,O,X,O,O,X,O,X,X,O,X,X
TSZILJO,O,O,O,X,O,O,X,O,X,O,X,X
TSZILOJ,O,O,O,X,O,O,X,O,X,O,X,X
TSZIJLO,O,O,O,X,O,O,X,O,X,O,X,X
TSZIJOL,O,O,O,X,O,O,O,O,X,O,X,X
TSZIOLJ,O,O,X,X,O,O,O,O,X,O,X,X
TSZIOJL,O,O,O,X,O,O,O,O,X,O,X,X
TSZLIJO,O,O,O,X,O,X,X,O,X,O,X,X
TSZLIOJ,O,O,O,X,O,X,X,O,X,O,X,X
TSZLJIO,O,O,O,O,O,X,X,O,X,O,X,X
TSZLJOI,O,O,O,O,O,X,X,X,X,O,X,X
TSZLOIJ,O,O,O,X,O,X,X,X,X,O,X,X
TSZLOJI,O,O,O,O,O,X,X,X,X,O,X,X
TSZJILO,O,O,O,O,O,O,X,O,X,O,X,X
TSZJIOL,O,O,O,X,O,O,O,O,X,O,X,X
TSZJLIO,O,O,O,O,O,X,X,O,X,O,X,X
TSZJLOI,O,O,O,O,O,X,X,X,X,O,X,X
TSZJOIL,O,O,O,X,O,O,O,X,X,O,X,X
TSZJOLI,O,O,O,X,O,X,O,X,X,O,X,X
TSZOILJ,O,O,X,X,O,O,O,X,X,O,X,X
TSZOIJL,O,O,O,X,O,O,O,X,X,O,X,X
TSZOLIJ,O,O,O,X,O,X,O,X,X,O,X,X
TSZOLJI,O,O,O,O,O,X,O,X,X,O,X,X
TSZOJIL,O,O,O,O,O,O,O,X,X,O,X,X
TSZOJLI,O,O,O,O,O,X,O,X,X,O,X,X
TSOILJZ,O,X,X,O,O,X,O,O,O,X,X,X
TSOILZJ,O,X,X,X,O,O,O,O,X,X,X,X
TSOIJLZ,O,X,X,O,O,X,O,O,O,X,X,X
TSOIJZL,O,X,X,O,X,X,O,O,X,X,X,X
TSOIZLJ,O,X,X,X,O,O,O,O,X,X,X,X
TSOIZJL,O,X,O,X,O,O,O,O,X,X,X,X
TSOLIJZ,O,X,O,O,O,X,O,O,O,X,X,X
TSOLIZJ,O,X,O,X,O,X,O,O,X,X,X,X
TSOLJIZ,O,X,O,O,O,X,O,O,X,X,X,X
TSOLJZI,O,O,O,O,O,X,O,X,X,O,X,X
TSOLZIJ,O,O,O,X,O,X,O,X,X,O,X,X
TSOLZJI,O,O,O,O,O,X,O,X,X,O,X,X
TSOJILZ,O,X,X,O,O,X,O,O,X,X,X,X
TSOJIZL,O,X,X,O,X,X,O,O,X,X,X,X
TSOJLIZ,O,X,X,O,O,X,O,O,X,X,X,X
TSOJLZI,O,O,X,O,O,X,O,X,X,O,X,X
TSOJZIL,O,O,X,O,O,X,O,X,X,O,X,X
TSOJZLI,O,O,X,O,O,X,O,X,X,O,X,X
TSOZILJ,O,O,X,X,O,O,O,X,X,O,X,X
TSOZIJL,O,O,O,X,O,O,O,X,X,O,X,X
TSOZLIJ,O,O,O,X,O,X,O,X,X,O,X,X
TSOZLJI,O,O,O,O,O,X,O,X,X,O,X,X
TSOZJIL,O,O,O,O,O,O,O,X,X,O,X,X
TSOZJLI,O,O,O,O,O,X,O,X,X,O,X,X
TZILJSO,X,O,O,X,O,O,X,X,X,O,X,X
TZILJOS,X,O,O,X,X,O,X,X,O,X,X,O
TZILSJO,X,O,O,X,O,O,X,X,X,O,X,X
TZILSOJ,X,X,O,X,O,O,X,X,X,O,X,X
TZILOJS,X,O,O,X,X,O,X,X,O,X,X,O
TZILOSJ,X,X,O,X,X,O,X,X,X,X,X,X
TZIJLSO,O,O,O,X,O,O,X,X,X,O,X,X
TZIJLOS,X,O,O,X,X,O,X,X,O,X,X,O
TZIJSLO,O,O,O,X,O,O,X,O,X,O,X,X
TZIJSOL,O,O,O,X,O,O,X,O,X,O,X,O
TZIJOLS,O,O,O,X,O,O,O,X,O,X,X,O
TZIJOSL,O,X,X,X,O,O,X,O,X,O,X,O
TZISLJO,O,O,O,X,O,O,X,O,X,O,X,X
TZISLOJ,O,O,O,X,O,O,X,O,X,O,X,X
TZISJLO,O,O,O,X,O,O,X,O,X,O,X,X
TZISJOL,O,O,O,X,O,O,X,O,X,O,X,O
TZISOLJ,O,O,X,X,O,O,X,O,X,O,X,X
TZISOJL,O,O,O,X,O,O,X,O,X,O,X,O
TZIOLJS,O,O,O,X,O,O,O,X,O,X,X,O
TZIOLSJ,O,X,O,X,O,O,X,X,X,X,X,X
TZIOJLS,O,O,O,X,O,O,O,X,O,X,X,O
TZIOJSL,O,X,X,X,O,O,X,O,X,O,X,O
TZIOSLJ,O,X,X,X,O,O,X,O,X,O,X,X
TZIOSJL,O,X,X,X,O,O,X,O,X,O,X,O
TZLIJSO,X,O,O,X,O,O,X,X,X,O,X,X
TZLIJOS,X,O,O,X,X,O,X,X,O,X,X,O
TZLISJO,X,O,O,X,O,O,X,X,X,O,X,X
TZLISOJ,X,X,O,X,O,O,X,X,X,O,X,X
TZLIOJS,X,O,O,X,X,O,X,X,O,X,X,O
TZLIOSJ,X,X,O,X,X,O,X,X,X,X,X,X
TZLJISO,O,O,O,X,O,O,X,X,X,O,X,X
TZLJIOS,X,O,O,X,X,O,X,X,X,X,X,X
TZLJSIO,O,O,O,O,O,X,X,X,X,O,X,X
TZLJSOI,O,O,O,O,O,X,X,X,X,O,X,X
TZLJOIS,O,O,O,X,O,O,X,X,X,X,X,X
TZLJOSI,O,O,O,X,O,X,X,X,X,X,X,X
TZLSIJO,O,O,O,X,O,X,X,X,X,O,X,X
TZLSIOJ,O,O,O,X,O,X,X,X,X,O,X,X
TZLSJIO,O,O,O,O,O,X,X,X,X,O,X,X
TZLSJOI,O,O,O,O,O,X,X,X,X,O,X,X
TZLSOIJ,O,O,O,X,O,X,X,X,X,O,X,X
TZLSOJI,O,O,O,O,O,X,X,X,X,O,X,X
TZLOIJS,O,O,O,X,O,O,X,X,O,X,X,O
TZLOISJ,O,X,O,X,O,O,X,X,X,X,X,X
TZLOJIS,O,O,O,X,O,O,X,X,X,X,X,X
TZLOJSI,O,O,O,O,O,X,X,X,X,X,X,X
TZLOSIJ,O,X,O,X,O,X,X,X,X,X,X,X
TZLOSJI,O,X,O,O,O,X,X,X,X,X,X,X
TZJILSO,O,O,O,X,O,O,X,X,X,O,X,X
TZJILOS,X,O,O,X,X,O,X,X,X,X,X,O
TZJISLO,O,O,O,X,O,O,X,O,X,O,X,X
TZJISOL,O,O,O,X,O,O,X,O,X,O,X,O
TZJIOLS,O,O,O,X,O,O,X,X,X,X,X,O
TZJIOSL,O,X,X,X,O,O,X,O,X,O,X,O
TZJLISO,O,O,O,X,O,O,X,X,X,O,X,X
TZJLIOS,X,O,O,X,X,O,X,X,X,X,X,X
TZJLSIO,O,O,O,O,O,X,X,X,X,O,X,X
TZJLSOI,O,O,O,O,O,X,X,X,X,O,X,X
TZJLOIS,O,O,O,X,O,O,X,X,X,X,X,X
TZJLOSI,O,O,O,X,O,X,X,X,X,X,X,X
TZJSILO,O,O,O,O,O,O,X,O,X,O,X,X
TZJSIOL,O,O,O,X,O,O,X,O,X,O,X,X
TZJSLIO,O,O,O,O,O,X,X,O,X,O,X,X
TZJSLOI,O,O,O,O,O,X,X,X,X,O,X,X
TZJSOIL,O,O,O,X,O,O,X,X,X,O,X,X
TZJSOLI,O,O,O,X,O,X,X,X,X,O,X,X
TZJOILS,O,O,O,X,O,O,X,X,X,X,X,O
TZJOISL,O,X,X,X,O,O,X,X,X,O,X,O
TZJOLIS,O,O,O,X,O,O,X,X,X,X,X,X
TZJOLSI,O,O,O,X,O,X,X,X,X,X,X,X
TZJOSIL,O,O,O,X,O,O,X,X,X,O,X,X
TZJOSLI,O,O,O,X,O,X,X,X,X,O,X,X
TZSILJO,O,O,O,X,O,O,X,O,X,O,X,X
TZSILOJ,O,O,O,X,O,O,X,O,X,O,X,X
TZSIJLO,O,O,O,X,O,O,X,O,X,O,X,X
TZSIJOL,O,O,O,X,O,O,O,O,X,O,X,O
TZSIOLJ,O,O,X,X,O,O,O,O,X,O,X,X
TZSIOJL,O,O,O,X,O,O,O,O,X,O,X,O
TZSLIJO,O,O,O,X,O,X,X,O,X,O,X,X
TZSLIOJ,O,O,O,X,O,X,X,O,X,O,X,X
TZSLJIO,O,O,O,O,O,X,X,O,X,O,X,X
TZSLJOI,O,O,O,O,O,X,X,X,X,O,X,X
TZSLOIJ,O,O,O,X,O,X,X,X,X,O,X,X
TZSLOJI,O,O,O,O,O,X,X,X,X,O,X,X
TZSJILO,O,O,O,O,O,O,X,O,X,O,X,X
TZSJIOL,O,O,O,X,O,O,O,O,X,O,X,X
TZSJLIO,O,O,O,O,O,X,X,O,X,O,X,X
TZSJLOI,O,O,O,O,O,X,X,X,X,O,X,X
TZSJOIL,O,O,O,X,O,O,O,X,X,O,X,X
TZSJOLI,O,O,O,X,O,X,O,X,X,O,X,X
TZSOILJ,O,O,X,X,O,O,O,X,X,O,X,X
TZSOIJL,O,O,O,X,O,O,O,X,X,O,X,O
TZSOLIJ,O,O,O,X,O,X,O,X,X,O,X,X
TZSOLJI,O,O,O,O,O,X,O,X,X,O,X,X
TZSOJIL,O,O,O,O,O,O,O,X,X,O,X,X
TZSOJLI,O,O,O,O,O,X,O,X,X,O,X,X
TZOILJS,O,O,O,X,O,O,O,X,O,X,X,O
TZOILSJ,O,X,O,X,O,O,X,X,X,X,X,X
TZOIJLS,O,O,O,X,O,O,O,X,O,X,X,O
TZOIJSL,O,X,X,X,O,O,X,X,X,O,X,O
TZOISLJ,O,X,X,X,O,O,X,X,X,O,X,X
TZOISJL,O,X,X,X,O,O,X,X,X,O,X,O
TZOLIJS,O,O,O,X,O,O,O,X,O,X,X,O
TZOLISJ,O,X,O,X,O,O,X,X,X,X,X,X
TZOLJIS,O,O,O,X,O,O,X,X,X,X,X,X
TZOLJSI,O,O,O,O,O,X,X,X,X,X,X,X
TZOLSIJ,O,X,O,X,O,X,O,X,X,X,X,X
TZOLSJI,O,X,O,O,O,X,O,X,X,X,X,X
TZOJILS,O,O,O,X,O,O,X,X,X,X,X,O
TZOJISL,O,X,X,X,O,O,X,X,X,O,X,O
TZOJLIS,O,O,O,X,O,O,X,X,X,X,X,X
TZOJLSI,O,O,O,O,O,X,X,X,X,X,X,X
TZOJSIL,O,O,O,O,O,O,X,X,X,O,X,X
TZOJSLI,O,O,O,O,O,X,X,X,X,O,X,X
TZOSILJ,O,O,X,X,O,O,O,X,X,O,X,X
TZOSIJL,O,O,O,X,O,O,O,X,X,O,X,O
TZOSLIJ,O,O,O,X,O,X,O,X,X,O,X,X
TZOSLJI,O,O,O,O,O,X,O,X,X,O,X,X
TZOSJIL,O,O,O,O,O,O,O,X,X,O,X,X
TZOSJLI,O,O,O,O,O,X,O,X,X,O,X,X
TOILJSZ,O,X,X,O,X,X,O,O,O,X,X,X
TOILJZS,X,X,X,X,X,O,O,X,O,X,X,X
TOILSJZ,O,X,O,O,O,X,O,O,O,X,X,X
TOILSZJ,O,X,O,X,O,O,O,O,X,X,X,X
TOILZJS,X,X,O,X,O,O,O,X,O,X,X,X
TOILZSJ,X,X,O,X,O,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,X,O,O,O,X,X,X
TOIJLZS,X,X,X,X,X,O,O,X,O,X,X,X
TOIJSLZ,O,X,X,O,X,X,O,O,O,X,X,X
TOIJSZL,O,X,X,O,X,X,X,O,X,X,X,X
TOIJZLS,X,X,X,X,X,O,O,X,O,X,X,O
TOIJZSL,O,X,X,X,X,O,X,O,X,X,X,O
TOISLJZ,O,X,X,O,O,X,O,O,O,X,X,X
TOISLZJ,O,X,X,X,O,O,O,O,X,X,X,X
TOISJLZ,O,X,X,O,O,X,O,O,O,X,X,X
TOISJZL,O,X,X,O,X,X,O,O,X,X,X,X
TOISZLJ,O,X,X,X,O,O,O,O,X,X,X,X
TOISZJL,O,X,X,X,O,O,O,O,X,X,X,X
TOIZLJS,X,X,O,X,O,O,O,X,O,X,X,O
TOIZLSJ,X,X,O,X,O,O,X,X,X,X,X,X
TOIZJLS,X,X,O,X,O,O,O,X,O,X,X,O
TOIZJSL,O,X,X,X,O,O,X,O,X,X,X,O
TOIZSLJ,O,X,X,X,O,O,X,O,X,X,X,X
TOIZSJL,O,X,X,X,O,O,X,O,X,X,X,O
TOLIJSZ,O,X,X,O,X,X,O,X,O,X,X,X
TOLIJZS,X,X,X,X,X,O,O,X,O,X,X,X
TOLISJZ,O,X,O,O,O,X,O,X,O,X,X,X
TOLISZJ,O,X,O,X,O,O,O,X,X,X,X,X
TOLIZJS,X,X,O,X,O,O,O,X,O,X,X,X
TOLIZSJ,X,X,O,X,O,O,X,X,X,X,X,X
TOLJISZ,O,X,X,O,X,X,O,X,O,X,X,X
TOLJIZS,X,X,X,X,X,X,O,X,O,X,X,X
TOLJSIZ,O,X,O,O,O,X,O,X,X,X,X,X
TOLJSZI,O,X,O,O,O,X,O,X,X,X,X,X
TOLJZIS,X,X,O,X,O,X,X,X,X,X,X,X
TOLJZSI,X,X,O,O,O,X,X,X,X,X,X,X
TOLSIJZ,O,X,O,O,O,X,O,X,O,X,X,X
TOLSIZJ,O,X,O,X,O,X,O,X,X,X,X,X
TOLSJIZ,O,X,O,O,O,X,O,X,X,X,X,X
TOLSJZI,O,X,O,O,O,X,O,X,X,X,X,X
TOLSZIJ,O,X,O,X,O,X,O,X,X,X,X,X
TOLSZJI,O,X,O,O,O,X,O,X,X,X,X,X
TOLZIJS,X,X,O,X,O,O,O,X,O,X,X,X
TOLZISJ,X,X,O,X,O,O,X,X,X,X,X,X
TOLZJIS,X,X,O,X,O,O,X,X,X,X,X,X
TOLZJSI,X,X,O,O,O,X,X,X,X,X,X,X
TOLZSIJ,X,X,O,X,O,X,O,X,X,X,X,X
TOLZSJI,X,X,O,O,O,X,O,X,X,X,X,X
TOJILSZ,O,X,X,O,X,X,O,O,O,X,X,X
TOJILZS,X,X,X,X,X,O,O,X,O,X,X,X
TOJISLZ,O,X,X,O,X,X,O,O,O,X,X,X
TOJISZL,O,X,X,O,X,X,X,O,X,X,X,X
TOJIZLS,X,X,X,X,X,O,O,X,O,X,X,X
TOJIZSL,O,X,X,X,X,O,X,O,X,X,X,X
TOJLISZ,O,X,X,O,X,X,O,X,O,X,X,X
TOJLIZS,X,X,X,X,X,X,O,X,O,X,X,X
TOJLSIZ,O,X,O,O,O,X,O,X,X,X,X,X
TOJLSZI,O,X,O,O,O,X,O,X,X,X,X,X
TOJLZIS,X,X,O,X,O,X,X,X,X,X,X,X
TOJLZSI,X,X,O,O,O,X,X,X,X,X,X,X
TOJSILZ,O,X,X,O,O,X,O,O,X,X,X,X
TOJSIZL,O,X,X,O,X,X,O,O,X,X,X,X
TOJSLIZ,O,X,X,O,O,X,O,O,X,X,X,X
TOJSLZI,O,O,X,O,O,X,O,X,X,O,X,X
TOJSZIL,O,O,X,O,O,X,O,X,X,O,X,X
TOJSZLI,O,O,X,O,O,X,O,X,X,O,X,X
TOJZILS,O,O,O,X,O,O,X,X,X,X,X,X
TOJZISL,O,X,X,X,O,O,X,X,X,O,X,X
TOJZLIS,O,O,O,X,O,O,X,X,X,X,X,X
TOJZLSI,O,O,O,O,O,X,X,X,X,X,X,X
TOJZSIL,O,O,X,O,O,O,X,X,X,O,X,X
TOJZSLI,O,O,O,O,O,X,X,X,X,O,X,X
TOSILJZ,O,X,X,O,O,X,O,O,O,X,X,X
TOSILZJ,O,X,X,X,O,O,O,O,X,X,X,X
TOSIJLZ,O,X,X,O,O,X,O,O,O,X,X,X
TOSIJZL,O,X,X,O,X,X,O,O,X,X,X,X
TOSIZLJ,O,X,X,X,O,O,O,O,X,X,X,X
TOSIZJL,O,X,O,X,O,O,O,O,X,X,X,X
TOSLIJZ,O,X,O,O,O,X,O,O,O,X,X,X
TOSLIZJ,O,X,O,X,O,X,O,O,X,X,X,X
TOSLJIZ,O,X,O,O,O,X,O,O,X,X,X,X
TOSLJZI,O,O,O,O,O,X,O,X,X,O,X,X
TOSLZIJ,O,O,O,X,O,X,O,X,X,O,X,X
TOSLZJI,O,O,O,O,O,X,O,X,X,O,X,X
TOSJILZ,O,X,X,O,O,X,O,O,X,X,X,X
TOSJIZL,O,X,X,O,X,X,O,O,X,X,X,X
TOSJLIZ,O,X,X,O,O,X,O,O,X,X,X,X
TOSJLZI,O,O,X,O,O,X,O,X,X,O,X,X
TOSJZIL,O,O,X,O,O,X,O,X,X,O,X,X
TOSJZLI,O,O,X,O,O,X,O,X,X,O,X,X
TOSZILJ,O,O,X,X,O,O,O,X,X,O,X,X
TOSZIJL,O,O,O,X,O,O,O,X,X,O,X,X
TOSZLIJ,O,O,O,X,O,X,O,X,X,O,X,X
TOSZLJI,O,O,O,O,O,X,O,X,X,O,X,X
TOSZJIL,O,O,O,O,O,O,O,X,X,O,X,X
TOSZJLI,O,O,O,O,O,X,O,X,X,O,X,X
TOZILJS,O,O,O,X,O,O,O,X,O,X,X,O
TOZILSJ,O,X,O,X,O,O,X,X,X,X,X,X
TOZIJLS,O,O,O,X,O,O,O,X,O,X,X,O
TOZIJSL,O,X,X,X,O,O,X,X,X,O,X,O
TOZISLJ,O,X,X,X,O,O,X,X,X,O,X,X
TOZISJL,O,X,X,X,O,O,X,X,X,O,X,O
TOZLIJS,O,O,O,X,O,O,O,X,O,X,X,O
TOZLISJ,O,X,O,X,O,O,X,X,X,X,X,X
TOZLJIS,O,O,O,X,O,O,X,X,X,X,X,X
TOZLJSI,O,O,O,O,O,X,X,X,X,X,X,X
TOZLSIJ,O,X,O,X,O,X,O,X,X,X,X,X
TOZLSJI,O,X,O,O,O,X,O,X,X,X,X,X
TOZJILS,O,O,O,X,O,O,X,X,X,X,X,O
TOZJISL,O,X,X,X,O,O,X,X,X,O,X,O
TOZJLIS,O,O,O,X,O,O,X,X,X,X,X,X
TOZJLSI,O,O,O,O,O,X,X,X,X,X,X,X
TOZJSIL,O,O,O,O,O,O,X,X,X,O,X,X
TOZJSLI,O,O,O,O,O,X,X,X,X,O,X,X
TOZSILJ,O,O,X,X,O,O,O,X,X,O,X,X
TOZSIJL,O,O,O,X,O,O,O,X,X,O,X,O
TOZSLIJ,O,O,O,X,O,X,O,X,X,O,X,X
TOZSLJI,O,O,O,O,O,X,O,X,X,O,X,X
TOZSJIL,O,O,O,O,O,O,O,X,X,O,X,X
TOZSJLI,O,O,O,O,O,X,O,X,X,O,X,X
ITLJSZO,X,X,X,O,X,X,X,O,X,X,X,X
ITLJSOZ,X,X,X,O,X,X,X,O,O,X,X,X
ITLJZSO,X,X,X,X,X,O,X,X,X,X,X,X
ITLJZOS,X,X,X,X,X,O,X,X,O,X,X,X
ITLJOSZ,X,X,X,X,X,X,O,O,O,X,X,X
ITLJOZS,X,X,X,X,X,O,O,X,O,X,X,X
ITLSJZO,X,X,O,O,O,X,X,O,X,X,O,X
ITLSJOZ,X,X,X,O,O,X,X,O,O,X,X,X
ITLSZJO,X,X,O,X,O,O,X,O,X,X,O,X
ITLSZOJ,X,X,O,X,O,O,X,O,X,X,O,X
ITLSOJZ,X,X,O,O,O,X,X,O,O,X,X,X
ITLSOZJ,X,X,O,X,O,O,X,O,X,X,X,X
ITLZJSO,X,X,O,X,O,O,X,X,X,X,X,X
ITLZJOS,X,X,O,X,X,O,X,X,O,X,X,X
