sequence,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFRbB/iBajBzgBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFygB2iB0fBziB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBmdBKlBzgB0iBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbByiBmgB0iBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBidBOlB8lBziBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hFibBmdB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jem7Iv?hFidBxfBziB0fB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFzbB/iBajBRlBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gByiB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFehB/iBajB0fBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jei6Iv?hFzbBRlB3nBUlBmnBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gBliBRlB8sB3qBisB
TIZLSOJ,X,X,O,X,O,O,X,X,X,O,X,X
TIZLOJS,X,O,O,X,X,O,X,X,O,X,X,O
TIZLOSJ,X,X,O,X,X,O,X,X,X,X,X,X
TIZJLSO,O,O,O,X,O,O,X,X,X,O,X,X
TIZJLOS,X,O,O,X,X,O,X,X,O,X,X,O
TIZJSLO,O,O,O,X,O,O,X,O,X,O,X,X
TIZJSOL,O,O,O,X,O,O,X,O,X,O,X,O
TIZJOLS,O,O,O,X,O,O,O,X,O,X,X,O
TIZJOSL,O,X,X,X,O,O,X,O,X,O,X,O
TIZSLJO,O,O,O,X,O,O,X,O,X,O,X,X
TIZSLOJ,O,O,O,X,O,O,X,O,X,O,X,X
TIZSJLO,O,O,O,X,O,O,X,O,X,O,X,X
TIZSJOL,O,O,O,X,O,O,X,O,X,O,X,O
TIZSOLJ,O,O,X,X,O,O,X,O,X,O,X,X
TIZSOJL,O,O,O,X,O,O,X,O,X,O,X,O
TIZOLJS,O,O,O,X,O,O,O,X,O,X,X,O
TIZOLSJ,O,X,O,X,O,O,X,X,X,X,X,X
TIZOJLS,O,O,O,X,O,O,O,X,O,X,X,O
TIZOJSL,O,X,X,X,O,O,X,O,X,O,X,O
TIZOSLJ,O,X,X,X,O,O,X,O,X,O,X,X
TIZOSJL,O,X,X,X,O,O,X,O,X,O,X,O
TIOLJSZ,O,X,X,O,X,X,O,O,O,X,X,X
TIOLJZS,X,X,X,X,X,O,O,X,O,X,X,X
TIOLSJZ,O,X,O,O,O,X,O,O,O,X,X,X
TIOLSZJ,O,X,O,X,O,O,O,O,X,X,X,X
TIOLZJS,X,X,O,X,O,O,O,X,O,X,X,X
TIOLZSJ,X,X,O,X,O,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,O,O,O,X,X,X
TIOJLZS,X,X,X,X,X,O,O,X,O,X,X,X
TIOJSLZ,O,X,X,O,X,X,O,O,O,X,X,X
TIOJSZL,O,X,X,O,X,X,X,O,X,X,X,X
TIOJZLS,X,X,X,X,X,O,O,X,O,X,X,O
TIOJZSL,O,X,X,X,X,O,X,O,X,X,X,O
TIOSLJZ,O,X,X,O,O,X,O,O,O,X,X,X
TIOSLZJ,O,X,X,X,O,O,O,O,X,X,X,X
TIOSJLZ,O,X,X,O,O,X,O,O,O,X,X,X
TIOSJZL,O,X,X,O,X,X,O,O,X,X,X,X
TIOSZLJ,O,X,X,X,O,O,O,O,X,X,X,X
TIOSZJL,O,X,X,X,O,O,O,O,X,X,X,X
TIOZLJS,X,X,O,X,O,O,O,X,O,X,X,O
TIOZLSJ,X,X,O,X,O,O,X,X,X,X,X,X
TIOZJLS,X,X,O,X,O,O,O,X,O,X,X,O
TIOZJSL,O,X,X,X,O,O,X,O,X,X,X,O
TIOZSLJ,O,X,X,X,O,O,X,O,X,X,X,X
TIOZSJL,O,X,X,X,O,O,X,O,X,X,X,O
TLIJSZO,X,X,X,O,X,X,X,O,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,O,O,X,X,X
