sequence,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFzgBfnBxiBGoBFr?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFFhB8mBziB5oBfr?BmsB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFRhBGjBfrB0mBln?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFXhBxiBzmBStBmq?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeRAJvhF3hBTlBlnBctBir?BGtB,v115@9gA8IeB8HeB8HeD8AeC8LeUAJvhFRhBSoBlmB3nBmq?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFxhB3lBcrBTnBOt?B6tB
TILJSZO,X,O,O,X,X,X,X
TILJSOZ,X,O,O,X,X,X,X
TILJZSO,X,O,O,X,X,X,X
TILJZOS,X,O,X,X,X,X,X
TILJOSZ,X,O,O,O,X,X,X
TILJOZS,X,O,X,O,X,X,X
TILSJZO,X,O,O,X,X,X,X
TILSJOZ,O,O,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X
TILSOJZ,O,X,O,O,X,X,X
TILSOZJ,O,O,X,X,X,X,X
TILZJSO,O,O,O,X,X,X,X
TILZJOS,O,O,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X
TILZOJS,O,X,X,O,X,O,X
TILZOSJ,O,X,X,X,X,O,X
TILOJSZ,X,X,O,O,X,X,X
TILOJZS,X,X,X,O,X,O,X
TILOSJZ,O,X,X,O,X,X,X
TILOSZJ,O,X,X,X,X,O,X
TILOZJS,O,X,X,O,X,O,X
TILOZSJ,O,X,X,X,X,O,X
TIJLSZO,X,O,O,X,X,X,X
TIJLSOZ,X,O,O,X,X,X,X
TIJLZSO,X,O,O,X,X,X,X
TIJLZOS,X,O,X,X,X,O,X
TIJLOSZ,X,O,O,X,X,O,X
TIJLOZS,X,O,X,X,X,O,X
TIJSLZO,X,O,O,X,X,X,X
TIJSLOZ,X,O,O,X,X,X,X
TIJSZLO,X,O,O,X,X,X,X
TIJSZOL,X,O,O,X,X,O,O
TIJSOLZ,X,O,O,X,X,O,X
TIJSOZL,X,O,X,X,X,O,O
TIJZLSO,X,O,O,X,X,X,X
TIJZLOS,X,O,X,X,X,O,X
TIJZSLO,X,O,X,X,X,X,X
TIJZSOL,X,O,X,X,X,O,X
TIJZOLS,X,O,X,X,X,O,X
TIJZOSL,X,O,X,X,X,O,X
TIJOLSZ,X,O,O,X,X,O,X
TIJOLZS,X,O,X,X,X,O,X
TIJOSLZ,X,O,X,X,X,O,X
TIJOSZL,X,O,X,X,X,O,O
TIJOZLS,X,O,X,X,X,O,X
TIJOZSL,X,O,X,X,X,O,X
TISLJZO,X,O,O,X,X,X,X
TISLJOZ,O,O,O,X,X,X,X
TISLZJO,O,O,O,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X
TISLOJZ,O,X,O,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X
TISJLZO,X,O,O,X,X,X,X
TISJLOZ,O,O,O,X,X,X,X
TISJZLO,X,O,O,X,X,X,X
TISJZOL,X,O,O,X,X,X,O
TISJOLZ,O,O,O,X,X,X,X
TISJOZL,X,O,X,X,X,X,O
TISZLJO,O,O,O,X,X,X,X
TISZLOJ,O,O,O,X,X,X,O
TISZJLO,O,O,O,X,X,X,X
TISZJOL,O,O,O,X,X,X,O
TISZOLJ,O,O,O,X,X,O,O
TISZOJL,O,O,O,X,X,X,O
TISOLJZ,O,X,O,X,X,X,X
TISOLZJ,O,O,X,X,X,O,X
TISOJLZ,O,X,O,X,X,X,X
TISOJZL,X,X,X,X,X,X,O
TISOZLJ,O,O,X,X,X,O,O
TISOZJL,O,O,X,X,X,X,O
TIZLJSO,O,O,O,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X
TIZLOJS,O,X,X,X,X,O,X
TIZLOSJ,O,X,X,X,X,O,X
TIZJLSO,O,O,O,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X
TIZJOLS,O,O,X,X,X,O,X
TIZJOSL,O,O,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,O,X
TIZSOJL,O,O,X,X,X,X,X
TIZOLJS,O,X,X,X,O,O,X
TIZOLSJ,O,X,X,X,O,O,X
TIZOJLS,O,X,X,X,X,O,X
TIZOJSL,O,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,O,X
TIZOSJL,O,X,X,X,X,X,X
TIOLJSZ,X,X,O,O,X,O,X
TIOLJZS,X,X,X,O,X,O,X
TIOLSJZ,O,X,X,O,X,X,X
TIOLSZJ,O,X,X,X,O,O,X
TIOLZJS,O,X,X,O,O,O,X
TIOLZSJ,O,X,X,X,O,O,X
TIOJLSZ,X,X,O,O,X,O,X
TIOJLZS,X,X,X,O,X,O,X
TIOJSLZ,X,X,X,O,X,O,X
TIOJSZL,X,X,X,O,X,O,O
TIOJZLS,X,X,X,X,X,O,X
TIOJZSL,X,X,X,O,X,O,X
TIOSLJZ,O,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,O,X
TIOSJLZ,O,X,X,O,X,X,X
TIOSJZL,X,X,X,O,X,X,O
