sequence,v115@6gB8HeB8FeD8EeE8AeB8AeG8Jei6IvhFzcB5jBckBm?gB3gBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JecAJvhFmcB5jBTfBX?hBikBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8Je/AJvhFahBzcB5jBO?kB0fBFqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeaBJvhFzcB5jBOkBX?gBcqBlpB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeK/IvhFfgBlbBzcB5?jB8lBmpB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeO/IvhFzcB5jB8lB3?kBFlBiqB,v115@6gB8HeB8FeD8EeE8AeB8AeG8JeeBJvhFzcB5jB/kBF?gBikBcqB
TIOSJLZ,X,O,O,X,X,X,O
TIOSJZL,O,O,O,X,X,O,O
TIOSZLJ,O,O,O,X,X,X,X
TIOSZJL,O,O,O,X,X,O,X
TIOZLJS,O,X,O,O,X,X,X
TIOZLSJ,O,X,O,O,X,X,X
TIOZJLS,O,X,O,O,O,X,X
TIOZJSL,O,O,O,O,X,X,X
TIOZSLJ,O,O,O,O,X,X,X
TIOZSJL,O,O,O,O,X,O,X
TLIJSZO,X,O,O,X,X,X,X
TLIJSOZ,X,O,O,X,X,X,X
TLIJZSO,O,X,O,O,X,X,X
TLIJZOS,O,X,O,O,X,X,X
TLIJOSZ,X,O,O,X,X,X,X
TLIJOZS,O,X,O,O,X,X,X
TLISJZO,X,O,O,X,X,X,X
TLISJOZ,X,O,O,X,X,X,X
TLISZJO,X,O,O,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X
TLISOJZ,X,O,O,X,X,X,X
TLISOZJ,X,O,O,X,X,X,X
TLIZJSO,O,X,O,O,X,X,X
TLIZJOS,O,X,O,O,X,X,X
TLIZSJO,O,X,O,O,X,X,X
TLIZSOJ,O,X,O,O,X,X,X
TLIZOJS,O,X,O,O,X,X,X
TLIZOSJ,O,X,O,O,X,X,X
TLIOJSZ,X,O,O,X,X,X,X
TLIOJZS,O,X,O,O,X,X,X
TLIOSJZ,X,O,O,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X
TLIOZJS,O,X,O,O,X,X,X
TLIOZSJ,O,X,O,O,X,X,X
TLJISZO,X,O,O,X,X,X,X
TLJISOZ,X,O,O,X,X,X,X
TLJIZSO,O,X,O,O,X,X,X
TLJIZOS,O,X,O,O,X,X,X
TLJIOSZ,X,O,O,X,X,X,X
TLJIOZS,O,X,O,O,X,X,X
TLJSIZO,X,O,O,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X
TLJSZIO,X,O,O,X,X,X,X
TLJSZOI,X,O,O,X,X,X,X
TLJSOIZ,X,O,O,X,X,X,X
TLJSOZI,X,O,O,X,X,X,X
TLJZISO,O,X,O,O,X,X,X
TLJZIOS,O,X,O,O,X,X,X
TLJZSIO,O,X,O,O,X,X,X
TLJZSOI,O,X,O,O,X,X,X
TLJZOIS,O,X,O,O,X,X,X
TLJZOSI,O,X,O,O,X,X,X
TLJOISZ,X,O,O,X,X,X,X
TLJOIZS,O,X,O,O,X,X,X
TLJOSIZ,X,O,O,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X
TLJOZIS,O,X,O,O,X,X,X
TLJOZSI,O,X,O,O,X,X,X
TLSIJZO,X,O,O,X,X,X,X
TLSIJOZ,X,O,O,X,X,X,X
TLSIZJO,X,O,O,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X
TLSIOJZ,X,O,O,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,X
TLSJIZO,X,O,O,X,X,X,X
TLSJIOZ,X,O,O,X,X,X,X
TLSJZIO,X,O,O,X,X,X,X
TLSJZOI,X,O,O,X,X,X,X
TLSJOIZ,X,O,O,X,X,X,X
TLSJOZI,X,O,O,X,X,X,X
TLSZIJO,X,O,O,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X
TLSZJOI,X,O,O,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X
TLSOIJZ,X,O,O,X,X,X,X
TLSOIZJ,X,O,O,X,X,X,X
TLSOJIZ,X,O,O,X,X,X,X
TLSOJZI,X,O,O,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X
TLZIJSO,O,X,O,O,X,X,X
TLZIJOS,O,X,O,O,X,X,X
TLZISJO,O,X,O,O,X,X,X
TLZISOJ,O,X,O,O,X,X,X
TLZIOJS,O,X,O,O,X,X,X
TLZIOSJ,O,X,O,O,X,X,X
TLZJISO,O,X,O,O,X,X,X
TLZJIOS,O,X,O,O,X,X,X
TLZJSIO,O,X,O,O,X,X,X
TLZJSOI,O,X,O,O,X,X,X
TLZJOIS,O,X,O,O,X,X,X
TLZJOSI,O,X,O,O,X,X,X
TLZSIJO,O,X,O,O,X,X,X
TLZSIOJ,O,X,O,O,X,X,X
TLZSJIO,O,X,O,O,X,X,X
TLZSJOI,O,X,O,O,X,X,X
TLZSOIJ,O,X,O,O,X,X,X
TLZSOJI,O,X,O,O,X,X,X
TLZOIJS,O,X,O,O,X,X,X
TLZOISJ,O,X,O,O,X,X,X
TLZOJIS,O,X,O,O,X,X,X
TLZOJSI,O,X,O,O,X,X,X
TLZOSIJ,O,X,O,O,X,X,X
TLZOSJI,O,X,O,O,X,X,X
TLOIJSZ,X,O,O,X,X,X,X
TLOIJZS,O,X,O,O,X,X,X
TLOISJZ,X,O,O,X,X,X,X
TLOISZJ,X,O,O,X,X,X,X
TLOIZJS,O,X,O,O,X,X,X
TLOIZSJ,O,X,O,O,X,X,X
TLOJISZ,X,O,O,X,X,X,X
TLOJIZS,O,X,O,O,X,X,X
TLOJSIZ,X,O,O,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X
TLOJZIS,O,X,O,O,X,X,X
TLOJZSI,O,X,O,O,X,X,X
TLOSIJZ,X,O,O,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,X
TLOSJIZ,X,O,O,X,X,X,X
TLOSJZI,X,O,O,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X
TLOZIJS,O,X,O,O,X,X,X
TLOZISJ,O,X,O,O,X,X,X
TLOZJIS,O,X,O,O,X,X,X
TLOZJSI,O,X,O,O,X,X,X
TLOZSIJ,O,X,O,O,X,X,X
TLOZSJI,O,X,O,O,X,X,X
TJILSZO,X,O,O,X,O,X,X
TJILSOZ,X,O,O,X,O,X,X
TJILZSO,O,X,O,O,O,X,X
TJILZOS,O,X,O,O,O,X,X
TJILOSZ,X,O,O,X,O,X,X
TJILOZS,O,X,O,O,O,X,X
TJISLZO,X,O,O,X,X,X,X
TJISLOZ,X,O,O,X,X,X,O
TJISZLO,O,O,O,X,X,X,X
TJISZOL,O,O,O,X,X,X,O
TJISOLZ,X,O,O,X,X,X,O
TJISOZL,O,O,O,X,X,X,O
TJIZLSO,O,X,O,O,O,X,X
TJIZLOS,O,X,O,O,O,X,X
TJIZSLO,O,O,O,O,X,X,X
TJIZSOL,O,O,O,O,X,X,X
TJIZOLS,O,X,O,O,O,X,X
TJIZOSL,O,O,O,O,X,X,X
TJIOLSZ,X,O,O,X,O,X,X
TJIOLZS,O,X,O,O,O,X,X
TJIOSLZ,X,O,O,X,X,X,O
TJIOSZL,O,O,O,X,X,X,O
TJIOZLS,O,X,O,O,O,X,X
TJIOZSL,O,O,O,O,X,X,X
TJLISZO,X,O,O,X,O,X,X
TJLISOZ,X,O,O,X,O,X,X
TJLIZSO,O,X,O,O,O,X,X
TJLIZOS,O,X,O,O,O,X,X
TJLIOSZ,X,O,O,X,O,X,X
TJLIOZS,O,X,O,O,O,X,X
TJLSIZO,X,O,O,X,O,X,X
TJLSIOZ,X,O,O,X,O,X,X
TJLSZIO,X,O,O,X,O,X,X
TJLSZOI,X,O,O,X,O,X,X
TJLSOIZ,X,O,O,X,O,X,X
TJLSOZI,X,O,O,X,O,X,X
TJLZISO,O,X,O,O,O,X,X
TJLZIOS,O,X,O,O,O,X,X
TJLZSIO,O,X,O,O,O,X,X
TJLZSOI,O,X,O,O,O,X,X
TJLZOIS,O,X,O,O,O,X,X
TJLZOSI,O,X,O,O,O,X,X
TJLOISZ,X,O,O,X,O,X,X
TJLOIZS,O,X,O,O,O,X,X
TJLOSIZ,X,O,O,X,O,X,X
TJLOSZI,X,O,O,X,O,X,X
TJLOZIS,O,X,O,O,O,X,X
TJLOZSI,O,X,O,O,O,X,X
TJSILZO,X,O,O,X,X,X,X
TJSILOZ,X,O,O,X,X,X,O
TJSIZLO,O,O,O,X,X,X,X
TJSIZOL,O,O,O,X,X,X,O
TJSIOLZ,X,O,O,X,X,X,O
TJSIOZL,O,O,O,X,X,X,O
TJSLIZO,X,O,O,X,X,X,X
TJSLIOZ,X,O,O,X,X,X,O
TJSLZIO,X,O,O,X,X,X,X
TJSLZOI,X,O,O,X,X,X,X
TJSLOIZ,X,O,O,X,X,X,O
TJSLOZI,X,O,O,X,X,X,X
TJSZILO,O,O,O,X,X,X,X
TJSZIOL,O,O,O,X,X,X,O
TJSZLIO,O,O,O,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X
TJSZOIL,O,O,O,X,X,X,O
TJSZOLI,O,O,O,X,X,X,X
TJSOILZ,X,O,O,X,X,X,O
TJSOIZL,O,O,O,X,X,X,O
TJSOLIZ,X,O,O,X,X,X,O
TJSOLZI,X,O,O,X,X,X,X
TJSOZIL,O,O,O,X,X,X,O
TJSOZLI,O,O,O,X,X,X,X
TJZILSO,O,X,O,O,O,X,X
TJZILOS,O,X,O,O,O,X,X
TJZISLO,O,O,O,O,X,X,X
TJZISOL,O,O,O,O,X,X,X
TJZIOLS,O,X,O,O,O,X,X
TJZIOSL,O,O,O,O,X,X,X
TJZLISO,O,X,O,O,O,X,X
TJZLIOS,O,X,O,O,O,X,X
TJZLSIO,O,X,O,O,O,X,X
TJZLSOI,O,X,O,O,O,X,X
TJZLOIS,O,X,O,O,O,X,X
TJZLOSI,O,X,O,O,O,X,X
TJZSILO,O,O,O,O,X,X,X
TJZSIOL,O,O,O,O,X,X,X
TJZSLIO,O,O,O,O,X,X,X
TJZSLOI,O,O,O,O,X,X,X
TJZSOIL,O,O,O,O,X,X,X
TJZSOLI,O,O,O,O,X,X,X
TJZOILS,O,X,O,O,O,X,X
TJZOISL,O,O,O,O,X,X,X
TJZOLIS,O,X,O,O,O,X,X
TJZOLSI,O,X,O,O,O,X,X
TJZOSIL,O,O,O,O,X,X,X
TJZOSLI,O,O,O,O,X,X,X
TJOILSZ,X,O,O,X,O,X,X
TJOILZS,O,X,O,O,O,X,X
TJOISLZ,X,O,O,X,X,X,O
TJOISZL,O,O,O,X,X,X,O
TJOIZLS,O,X,O,O,O,X,X
TJOIZSL,O,O,O,O,X,X,X
TJOLISZ,X,O,O,X,O,X,X
TJOLIZS,O,X,O,O,O,X,X
TJOLSIZ,X,O,O,X,O,X,X
TJOLSZI,X,O,O,X,O,X,X
TJOLZIS,O,X,O,O,O,X,X
TJOLZSI,O,X,O,O,O,X,X
TJOSILZ,X,O,O,X,X,X,O
TJOSIZL,O,O,O,X,X,X,O
TJOSLIZ,X,O,O,X,X,X,O
TJOSLZI,X,O,O,X,X,X,X
TJOSZIL,O,O,O,X,X,X,O
TJOSZLI,O,O,O,X,X,X,X
TJOZILS,O,X,O,O,O,X,X
TJOZISL,O,O,O,O,X,X,X
TJOZLIS,O,X,O,O,O,X,X
TJOZLSI,O,X,O,O,O,X,X
TJOZSIL,O,O,O,O,X,X,X
TJOZSLI,O,O,O,O,X,X,X
TSILJZO,X,O,O,X,X,X,X
TSILJOZ,X,O,O,X,X,X,O
TSILZJO,X,O,O,X,X,X,X
TSILZOJ,X,O,O,X,X,X,X
TSILOJZ,X,O,O,X,X,X,X
TSILOZJ,X,O,O,X,X,X,X
TSIJLZO,X,O,O,X,X,X,X
TSIJLOZ,X,O,O,X,X,X,O
TSIJZLO,O,O,O,X,X,O,X
TSIJZOL,O,O,O,X,X,O,O
TSIJOLZ,X,O,O,X,X,X,O
TSIJOZL,O,O,O,X,X,O,O
TSIZLJO,O,O,O,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X
TSIZJLO,O,O,O,X,X,O,X
TSIZJOL,O,O,O,X,X,O,O
TSIZOLJ,O,O,O,X,X,X,X
TSIZOJL,O,O,O,X,X,O,X
TSIOLJZ,X,O,O,X,X,X,X
TSIOLZJ,X,O,O,X,X,X,X
TSIOJLZ,X,O,O,X,X,X,O
TSIOJZL,O,O,O,X,X,O,O
TSIOZLJ,O,O,O,X,X,X,X
TSIOZJL,O,O,O,X,X,O,X
TSLIJZO,X,O,O,X,X,X,X
TSLIJOZ,X,O,O,X,X,X,O
TSLIZJO,X,O,O,X,X,X,X
TSLIZOJ,X,O,O,X,X,X,X
TSLIOJZ,X,O,O,X,X,X,X
TSLIOZJ,X,O,O,X,X,X,X
TSLJIZO,X,O,O,X,X,X,X
TSLJIOZ,X,O,O,X,X,X,O
TSLJZIO,X,O,O,X,X,X,X
TSLJZOI,X,O,O,X,X,X,X
TSLJOIZ,X,O,O,X,X,X,O
TSLJOZI,X,O,O,X,X,X,X
TSLZIJO,X,O,O,X,X,X,X
TSLZIOJ,X,O,O,X,X,X,X
TSLZJIO,X,O,O,X,X,X,X
TSLZJOI,X,O,O,X,X,X,X
TSLZOIJ,X,O,O,X,X,X,X
TSLZOJI,X,O,O,X,X,X,X
TSLOIJZ,X,O,O,X,X,X,X
TSLOIZJ,X,O,O,X,X,X,X
TSLOJIZ,X,O,O,X,X,X,X
TSLOJZI,X,O,O,X,X,X,X
TSLOZIJ,X,O,O,X,X,X,X
TSLOZJI,X,O,O,X,X,X,X
TSJILZO,X,O,O,X,X,X,X
TSJILOZ,X,O,O,X,X,X,O
TSJIZLO,O,O,O,X,X,O,X
TSJIZOL,O,O,O,X,X,O,O
TSJIOLZ,X,O,O,X,X,X,O
TSJIOZL,O,O,O,X,X,O,O
TSJLIZO,X,O,O,X,X,X,X
TSJLIOZ,X,O,O,X,X,X,O
TSJLZIO,X,O,O,X,X,X,X
TSJLZOI,X,O,O,X,X,X,X
TSJLOIZ,X,O,O,X,X,X,O
TSJLOZI,X,O,O,X,X,X,X
TSJZILO,O,O,O,X,X,O,X
TSJZIOL,O,O,O,X,X,O,O
TSJZLIO,O,O,O,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X
TSJZOIL,O,O,O,X,X,O,O
TSJZOLI,O,O,O,X,X,X,X
TSJOILZ,X,O,O,X,X,X,O
TSJOIZL,O,O,O,X,X,O,O
TSJOLIZ,X,O,O,X,X,X,O
TSJOLZI,X,O,O,X,X,X,X
TSJOZIL,O,O,O,X,X,O,O
TSJOZLI,O,O,O,X,X,X,X
TSZILJO,O,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X
TSZIJLO,O,O,O,X,X,O,X
TSZIJOL,O,O,O,X,X,O,O
TSZIOLJ,O,O,O,X,X,X,X
TSZIOJL,O,O,O,X,X,O,X
TSZLIJO,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X
TSZLJOI,O,O,O,X,X,X,X
TSZLOIJ,O,O,O,X,X,X,X
TSZLOJI,O,O,O,X,X,X,X
TSZJILO,O,O,O,X,X,O,X
TSZJIOL,O,O,O,X,X,O,O
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X
TSZJOIL,O,O,O,X,X,O,O
TSZJOLI,O,O,O,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X
TSZOIJL,O,O,O,X,X,O,X
TSZOLIJ,O,O,O,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X
TSZOJIL,O,O,O,X,X,O,X
TSZOJLI,O,O,O,X,X,X,X
TSOILJZ,X,O,O,X,X,X,X
TSOILZJ,X,O,O,X,X,X,X
TSOIJLZ,X,O,O,X,X,X,O
TSOIJZL,O,O,O,X,X,O,O
TSOIZLJ,O,O,O,X,X,X,X
TSOIZJL,O,O,O,X,X,O,X
TSOLIJZ,X,O,O,X,X,X,X
TSOLIZJ,X,O,O,X,X,X,X
TSOLJIZ,X,O,O,X,X,X,X
TSOLJZI,X,O,O,X,X,X,X
TSOLZIJ,X,O,O,X,X,X,X
TSOLZJI,X,O,O,X,X,X,X
TSOJILZ,X,O,O,X,X,X,O
TSOJIZL,O,O,O,X,X,O,O
TSOJLIZ,X,O,O,X,X,X,O
TSOJLZI,X,O,O,X,X,X,X
TSOJZIL,O,O,O,X,X,O,O
TSOJZLI,O,O,O,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X
TSOZIJL,O,O,O,X,X,O,X
TSOZLIJ,O,O,O,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X
TSOZJIL,O,O,O,X,X,O,X
TSOZJLI,O,O,O,X,X,X,X
TZILJSO,O,X,O,O,X,X,X
TZILJOS,O,X,O,O,X,X,X
TZILSJO,O,X,O,O,X,X,X
TZILSOJ,O,X,O,O,X,X,X
TZILOJS,O,X,O,O,X,X,X
TZILOSJ,O,X,O,O,X,X,X
TZIJLSO,O,X,O,O,O,X,X
TZIJLOS,O,X,O,O,O,X,X
TZIJSLO,O,O,O,O,X,X,X
TZIJSOL,O,O,O,O,X,X,X
TZIJOLS,O,X,O,O,O,X,X
TZIJOSL,O,O,O,O,X,X,X
TZISLJO,O,O,O,O,X,X,X
TZISLOJ,O,O,O,O,X,X,X
TZISJLO,O,O,O,O,X,O,X
TZISJOL,O,O,O,O,X,O,X
TZISOLJ,O,O,O,O,X,X,X
TZISOJL,O,O,O,O,X,O,X
TZIOLJS,O,X,O,O,X,X,X
TZIOLSJ,O,X,O,O,X,X,X
TZIOJLS,O,X,O,O,O,X,X
TZIOJSL,O,O,O,O,X,X,X
TZIOSLJ,O,O,O,O,X,X,X
TZIOSJL,O,O,O,O,X,O,X
TZLIJSO,O,X,O,O,X,X,X
TZLIJOS,O,X,O,O,X,X,X
TZLISJO,O,X,O,O,X,X,X
TZLISOJ,O,X,O,O,X,X,X
TZLIOJS,O,X,O,O,X,X,X
TZLIOSJ,O,X,O,O,X,X,X
TZLJISO,O,X,O,O,X,X,X
TZLJIOS,O,X,O,O,X,X,X
TZLJSIO,O,X,O,O,X,X,X
TZLJSOI,O,X,O,O,X,X,X
TZLJOIS,O,X,O,O,X,X,X
TZLJOSI,O,X,O,O,X,X,X
TZLSIJO,O,X,O,O,X,X,X
TZLSIOJ,O,X,O,O,X,X,X
TZLSJIO,O,X,O,O,X,X,X
TZLSJOI,O,X,O,O,X,X,X
TZLSOIJ,O,X,O,O,X,X,X
TZLSOJI,O,X,O,O,X,X,X
TZLOIJS,O,X,O,O,X,X,X
TZLOISJ,O,X,O,O,X,X,X
TZLOJIS,O,X,O,O,X,X,X
TZLOJSI,O,X,O,O,X,X,X
TZLOSIJ,O,X,O,O,X,X,X
TZLOSJI,O,X,O,O,X,X,X
TZJILSO,O,X,O,O,O,X,X
TZJILOS,O,X,O,O,O,X,X
TZJISLO,O,O,O,O,X,X,X
TZJISOL,O,O,O,O,X,X,X
TZJIOLS,O,X,O,O,O,X,X
TZJIOSL,O,O,O,O,X,X,X
TZJLISO,O,X,O,O,O,X,X
TZJLIOS,O,X,O,O,O,X,X
TZJLSIO,O,X,O,O,O,X,X
TZJLSOI,O,X,O,O,O,X,X
TZJLOIS,O,X,O,O,O,X,X
TZJLOSI,O,X,O,O,O,X,X
TZJSILO,O,O,O,O,X,X,X
TZJSIOL,O,O,O,O,X,X,X
TZJSLIO,O,O,O,O,X,X,X
TZJSLOI,O,O,O,O,X,X,X
TZJSOIL,O,O,O,O,X,X,X
TZJSOLI,O,O,O,O,X,X,X
TZJOILS,O,X,O,O,O,X,X
TZJOISL,O,O,O,O,X,X,X
TZJOLIS,O,X,O,O,O,X,X
TZJOLSI,O,X,O,O,O,X,X
TZJOSIL,O,O,O,O,X,X,X
TZJOSLI,O,O,O,O,X,X,X
TZSILJO,O,O,O,O,X,X,X
TZSILOJ,O,O,O,O,X,X,X
TZSIJLO,O,O,O,O,X,O,X
TZSIJOL,O,O,O,O,X,O,X
TZSIOLJ,O,O,O,O,X,X,X
TZSIOJL,O,O,O,O,X,O,X
TZSLIJO,O,O,O,O,X,X,X
TZSLIOJ,O,O,O,O,X,X,X
TZSLJIO,O,O,O,O,X,X,X
TZSLJOI,O,O,O,O,X,X,X
TZSLOIJ,O,O,O,O,X,X,X
TZSLOJI,O,O,O,O,X,X,X
TZSJILO,O,O,O,O,X,O,X
TZSJIOL,O,O,O,O,X,O,X
TZSJLIO,O,O,O,O,X,X,X
TZSJLOI,O,O,O,O,X,X,X
TZSJOIL,O,O,O,O,X,O,X
TZSJOLI,O,O,O,O,X,X,X
TZSOILJ,O,O,O,O,X,X,X
TZSOIJL,O,O,O,O,X,O,X
TZSOLIJ,O,O,O,O,X,X,X
TZSOLJI,O,O,O,O,X,X,X
TZSOJIL,O,O,O,O,X,O,X
TZSOJLI,O,O,O,O,X,X,X
TZOILJS,O,X,O,O,X,X,X
TZOILSJ,O,X,O,O,X,X,X
TZOIJLS,O,X,O,O,O,X,X
TZOIJSL,O,O,O,O,X,X,X
TZOISLJ,O,O,O,O,X,X,X
TZOISJL,O,O,O,O,X,O,X
TZOLIJS,O,X,O,O,X,X,X
TZOLISJ,O,X,O,O,X,X,X
TZOLJIS,O,X,O,O,X,X,X
TZOLJSI,O,X,O,O,X,X,X
TZOLSIJ,O,X,O,O,X,X,X
TZOLSJI,O,X,O,O,X,X,X
TZOJILS,O,X,O,O,O,X,X
TZOJISL,O,O,O,O,X,X,X
TZOJLIS,O,X,O,O,O,X,X
TZOJLSI,O,X,O,O,O,X,X
TZOJSIL,O,O,O,O,X,X,X
TZOJSLI,O,O,O,O,X,X,X
TZOSILJ,O,O,O,O,X,X,X
TZOSIJL,O,O,O,O,X,O,X
TZOSLIJ,O,O,O,O,X,X,X
TZOSLJI,O,O,O,O,X,X,X
TZOSJIL,O,O,O,O,X,O,X
