sequence,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFicBuiBcjBX?gBzhBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBqiBTeBX?gB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBSjBXgB0?hBziBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Je2AJvhFRcBCeBzhBX?jB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhF/hBRdBSjB2?nB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jei7IvhFWjBRhB0fBz?hBXjBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFyhBGeBXgBz?iB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhF2hBTeBXgBS?nB8sBFsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhFxhBOoB0fBl?hBCjB/sB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFTcBcjBXgBS?nB2sBlsB
TIZOSJL,O,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,O,O,O,X,X,X
TIOLJZS,O,O,X,X,X,O,X,X,X,X
TIOLSJZ,O,O,X,O,O,X,O,X,X,X
TIOLSZJ,O,O,X,O,X,X,O,X,X,X
TIOLZJS,O,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,O,O,O,X,X,X
TIOJLZS,O,O,X,X,X,O,X,X,X,X
TIOJSLZ,X,X,X,O,O,X,O,X,O,X
TIOJSZL,X,X,X,O,O,X,O,X,O,X
TIOJZLS,O,O,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,X,X,O,X
TIOSLJZ,O,O,X,O,O,X,O,X,X,X
TIOSLZJ,O,O,X,O,X,X,O,X,X,X
TIOSJLZ,O,O,X,O,O,X,O,X,X,X
TIOSJZL,O,O,X,O,O,X,O,X,X,X
TIOSZLJ,O,O,X,O,X,X,O,X,X,X
TIOSZJL,O,O,X,O,X,X,O,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,O,X,X,X,X,X,X
TIOZSLJ,O,O,X,O,X,X,X,X,X,X
TIOZSJL,O,O,X,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,O,O,X,X,X,X
TLIJSOZ,X,X,X,X,O,O,X,X,X,X
TLIJZSO,O,O,X,X,X,O,X,X,X,X
TLIJZOS,O,O,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,O,O,X,X,X,X
TLIJOZS,O,O,X,X,X,O,X,X,X,X
TLISJZO,O,O,O,X,O,O,X,X,X,X
TLISJOZ,O,O,X,X,O,O,O,X,X,X
TLISZJO,O,O,O,X,X,X,X,X,X,X
TLISZOJ,O,O,O,X,X,X,O,X,X,X
TLISOJZ,O,O,X,X,O,X,O,X,X,X
TLISOZJ,O,O,O,X,X,X,O,X,X,X
TLIZJSO,O,O,O,X,X,O,X,X,X,X
TLIZJOS,O,O,X,X,X,O,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X,X,X
TLIZOJS,O,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,O,O,X,X,X
TLIOJZS,O,O,X,X,X,O,X,X,X,X
TLIOSJZ,O,O,X,X,O,X,O,X,X,X
TLIOSZJ,O,O,X,X,X,X,O,X,X,X
TLIOZJS,O,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,O,O,X,X,X,X
TLJISOZ,X,X,X,X,O,O,X,X,X,X
TLJIZSO,O,O,X,X,X,O,X,X,X,X
TLJIZOS,O,O,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,O,O,O,X,X,X,X
TLJIOZS,O,O,X,X,X,O,X,X,X,X
TLJSIZO,O,O,O,X,O,X,X,X,X,X
TLJSIOZ,O,O,X,O,O,X,O,X,X,X
TLJSZIO,O,O,O,X,O,X,X,X,X,X
TLJSZOI,O,O,O,O,O,X,X,X,X,X
TLJSOIZ,O,O,X,O,O,X,O,X,X,X
TLJSOZI,O,O,X,O,O,X,O,X,X,X
TLJZISO,O,O,O,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,O,X,X,X,X,X
TLJZSOI,O,O,O,X,O,X,X,X,X,X
TLJZOIS,O,O,X,X,X,X,X,X,X,X
TLJZOSI,O,O,O,X,O,X,X,X,X,X
TLJOISZ,X,X,X,O,O,X,O,X,X,X
TLJOIZS,O,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,O,O,X,O,X,X,X
TLJOSZI,O,O,X,O,O,X,O,X,X,X
TLJOZIS,O,O,X,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,O,X,O,X,X,X
TLSIJZO,O,O,O,X,O,X,X,X,X,X
TLSIJOZ,O,O,X,O,O,X,O,X,X,X
TLSIZJO,O,O,O,X,X,X,X,X,X,O
TLSIZOJ,O,O,O,X,X,X,O,X,X,O
TLSIOJZ,O,O,X,O,O,X,O,X,X,X
TLSIOZJ,O,O,O,O,X,X,O,X,X,O
TLSJIZO,O,O,O,X,O,X,X,X,X,X
