sequence,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgBxcBXeBenBFm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFdBXeBxgBmlBzm?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFUdBFeBxgB3gBmm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgB2hBXeBRmBFn?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhF1gB0cBXeBOnBxl?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBTgBxhBmmB3m?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBxgBXiBmlBzm?BUrB
TILJSZO,X,X,O,X,O,X,O
TILJSOZ,X,X,X,X,X,X,O
TILJZSO,X,X,O,X,O,X,O
TILJZOS,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,O,O
TILJOZS,X,X,O,X,X,O,X
TILSJZO,X,X,X,X,O,X,O
TILSJOZ,X,X,X,X,X,X,O
TILSZJO,X,X,X,X,O,X,O
TILSZOJ,X,X,X,X,O,X,X
TILSOJZ,X,X,X,X,X,X,O
TILSOZJ,X,X,X,X,O,X,X
TILZJSO,X,X,O,X,O,X,X
TILZJOS,X,X,O,X,X,X,X
TILZSJO,X,X,X,X,O,X,X
TILZSOJ,X,X,X,X,O,X,X
TILZOJS,X,X,O,X,X,X,X
TILZOSJ,X,X,X,X,O,X,X
TILOJSZ,X,X,O,X,X,O,X
TILOJZS,X,X,O,X,X,O,X
TILOSJZ,X,X,X,X,X,O,X
TILOSZJ,X,X,X,X,O,X,X
TILOZJS,X,X,O,X,X,O,X
TILOZSJ,X,X,X,X,O,X,X
TIJLSZO,O,X,O,X,O,X,O
TIJLSOZ,X,X,X,X,X,X,O
TIJLZSO,O,X,O,X,O,X,O
TIJLZOS,O,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,O,O
TIJLOZS,X,X,O,X,X,O,X
TIJSLZO,O,X,O,X,O,X,O
TIJSLOZ,X,X,X,X,X,X,O
TIJSZLO,O,X,O,O,O,X,O
TIJSZOL,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,O,O
TIJSOZL,O,X,X,X,X,X,X
TIJZLSO,O,X,O,O,O,X,O
TIJZLOS,O,X,O,X,X,X,X
TIJZSLO,O,X,O,O,O,X,O
TIJZSOL,O,X,X,X,X,X,X
TIJZOLS,O,X,O,X,X,O,X
TIJZOSL,O,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,O
TIJOLZS,X,X,O,X,X,O,X
TIJOSLZ,X,X,X,X,X,O,O
TIJOSZL,O,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,O,X
TIJOZSL,O,X,X,X,X,X,X
TISLJZO,X,X,X,X,O,X,O
TISLJOZ,X,X,X,X,X,X,O
TISLZJO,X,X,X,X,O,X,O
TISLZOJ,X,X,X,X,O,X,X
TISLOJZ,X,X,X,X,X,X,O
TISLOZJ,X,X,X,X,O,X,X
TISJLZO,X,X,X,X,O,X,O
TISJLOZ,X,X,X,X,X,X,O
TISJZLO,X,X,X,O,O,X,O
TISJZOL,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,O,O
TISJOZL,X,X,X,X,X,X,X
TISZLJO,X,X,X,X,O,X,O
TISZLOJ,X,X,X,O,O,X,X
TISZJLO,X,X,X,X,O,X,X
TISZJOL,X,X,X,X,X,X,X
TISZOLJ,X,X,X,O,O,X,X
TISZOJL,X,X,X,O,X,X,X
TISOLJZ,X,X,X,X,X,O,O
TISOLZJ,X,X,X,X,O,X,X
TISOJLZ,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,O,X,X
TISOZJL,X,X,X,X,X,X,X
TIZLJSO,O,X,O,X,O,X,X
TIZLJOS,O,X,O,X,X,X,X
TIZLSJO,X,X,X,X,O,X,X
TIZLSOJ,X,X,X,O,O,X,X
TIZLOJS,X,X,O,O,X,X,X
TIZLOSJ,X,X,X,O,O,X,X
TIZJLSO,O,X,O,X,O,X,X
TIZJLOS,O,X,O,X,X,X,X
TIZJSLO,O,X,O,X,O,X,X
TIZJSOL,O,X,X,X,X,X,X
