sequence,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8Jei6IvhFGcBTdB?5jB3fBllBUrB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBzbB?SiB5jBllB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBTdB?5jBllBfrB6rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhFlbBSiB?5jBzfB8lB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeT6IvhFlbBGdB?5jBykB8lB3rB
ITLOSZJ,O,O,X,X,X
ITLOZJS,X,O,O,O,O
ITLOZSJ,X,O,X,O,O
ITJLSZO,O,X,X,X,X
ITJLSOZ,O,X,X,X,X
ITJLZSO,X,O,X,X,O
ITJLZOS,X,O,X,X,O
ITJLOSZ,O,X,X,X,X
ITJLOZS,X,O,X,O,O
ITJSLZO,O,X,X,X,X
ITJSLOZ,O,X,X,X,X
ITJSZLO,O,X,X,X,X
ITJSZOL,O,X,X,X,X
ITJSOLZ,O,X,X,X,X
ITJSOZL,O,X,X,X,X
ITJZLSO,X,O,O,X,O
ITJZLOS,X,O,O,X,O
ITJZSLO,O,O,O,X,O
ITJZSOL,O,O,O,X,X
ITJZOLS,X,O,O,X,O
ITJZOSL,O,O,O,X,X
ITJOLSZ,O,X,X,X,X
ITJOLZS,X,O,X,O,X
ITJOSLZ,O,X,X,X,X
ITJOSZL,O,X,X,X,X
ITJOZLS,X,O,O,O,X
ITJOZSL,O,O,O,O,X
ITSLJZO,O,X,X,X,X
ITSLJOZ,O,X,X,X,X
ITSLZJO,O,O,X,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,O,X,X,X,X
ITSLOZJ,O,O,X,X,X
ITSJLZO,O,X,X,X,X
ITSJLOZ,O,X,X,X,X
ITSJZLO,O,X,X,X,X
ITSJZOL,O,X,X,X,X
ITSJOLZ,O,X,X,X,X
ITSJOZL,O,X,X,X,X
ITSZLJO,O,O,X,X,X
ITSZLOJ,O,O,X,X,X
ITSZJLO,O,O,O,X,X
ITSZJOL,O,O,O,X,X
ITSZOLJ,O,O,X,X,X
ITSZOJL,O,O,O,X,X
ITSOLJZ,O,X,X,X,X
ITSOLZJ,O,O,X,X,X
ITSOJLZ,O,X,X,X,X
ITSOJZL,O,X,X,X,X
ITSOZLJ,O,O,X,X,X
ITSOZJL,O,O,O,X,X
ITZLJSO,X,O,O,X,O
ITZLJOS,X,O,O,O,O
ITZLSJO,X,O,X,X,O
ITZLSOJ,X,O,X,O,O
ITZLOJS,X,O,O,O,O
ITZLOSJ,X,O,X,O,O
ITZJLSO,X,O,O,X,O
ITZJLOS,X,O,O,O,O
ITZJSLO,O,O,O,X,O
ITZJSOL,O,O,O,X,X
ITZJOLS,X,O,O,O,O
ITZJOSL,O,O,O,O,X
ITZSLJO,O,O,X,X,O
ITZSLOJ,O,O,X,O,O
ITZSJLO,O,O,O,X,O
ITZSJOL,O,O,O,X,X
ITZSOLJ,O,O,X,O,X
ITZSOJL,O,O,O,O,X
ITZOLJS,X,O,O,O,O
ITZOLSJ,X,O,X,O,O
ITZOJLS,X,O,O,O,O
ITZOJSL,O,O,O,O,X
ITZOSLJ,O,O,X,O,X
ITZOSJL,O,O,O,O,X
ITOLJSZ,O,X,X,X,X
ITOLJZS,X,O,X,O,X
ITOLSJZ,O,X,X,X,X
ITOLSZJ,O,O,X,X,X
ITOLZJS,X,O,O,O,X
ITOLZSJ,X,O,X,O,X
ITOJLSZ,O,X,X,X,X
ITOJLZS,X,O,X,O,X
ITOJSLZ,O,X,X,X,X
ITOJSZL,O,X,X,X,X
ITOJZLS,X,O,O,O,X
ITOJZSL,O,O,O,O,X
ITOSLJZ,O,X,X,X,X
ITOSLZJ,O,O,X,X,X
ITOSJLZ,O,X,X,X,X
ITOSJZL,O,X,X,X,X
ITOSZLJ,O,O,X,X,X
ITOSZJL,O,O,O,X,X
ITOZLJS,X,O,O,O,X
ITOZLSJ,X,O,X,O,X
ITOZJLS,X,O,O,O,X
ITOZJSL,O,O,O,O,X
ITOZSLJ,O,O,X,O,X
ITOZSJL,O,O,O,O,X
ILTJSZO,O,X,X,X,X
ILTJSOZ,O,X,X,X,X
ILTJZSO,X,O,X,X,O
ILTJZOS,X,O,X,X,O
ILTJOSZ,O,X,X,X,X
ILTJOZS,X,O,X,O,O
ILTSJZO,O,X,X,X,X
ILTSJOZ,O,X,X,X,X
ILTSZJO,O,O,X,X,X
ILTSZOJ,O,O,X,X,X
ILTSOJZ,O,X,X,X,X
ILTSOZJ,O,O,X,X,X
ILTZJSO,X,O,O,X,O
ILTZJOS,X,O,O,O,O
ILTZSJO,X,O,X,X,O
ILTZSOJ,X,O,X,O,O
ILTZOJS,X,O,O,O,O
ILTZOSJ,X,O,X,O,O
ILTOJSZ,O,X,X,X,X
ILTOJZS,X,O,X,O,O
ILTOSJZ,O,X,X,X,X
ILTOSZJ,O,O,X,X,X
ILTOZJS,X,O,O,O,O
ILTOZSJ,X,O,X,O,O
ILJTSZO,O,X,X,X,X
ILJTSOZ,O,X,X,X,X
ILJTZSO,X,O,X,X,O
ILJTZOS,X,O,X,X,O
ILJTOSZ,O,X,X,X,X
ILJTOZS,X,O,X,O,O
ILJSTZO,X,X,X,X,X
ILJSTOZ,O,X,X,X,X
ILJSZTO,X,O,X,X,O
ILJSZOT,O,X,X,X,O
ILJSOTZ,O,X,X,X,X
ILJSOZT,O,X,X,O,O
ILJZTSO,X,O,O,X,O
ILJZTOS,X,O,O,O,O
ILJZSTO,X,O,X,X,O
ILJZSOT,X,X,X,X,O
ILJZOTS,X,O,O,O,O
ILJZOST,X,X,X,O,O
ILJOTSZ,O,X,X,X,X
ILJOTZS,X,X,X,O,O
ILJOSTZ,O,X,X,X,X
ILJOSZT,O,X,X,O,O
ILJOZTS,X,O,O,O,O
ILJOZST,X,X,X,O,O
ILSTJZO,O,X,X,X,X
ILSTJOZ,O,X,X,X,X
ILSTZJO,O,O,X,X,X
ILSTZOJ,O,O,X,X,X
ILSTOJZ,O,X,X,X,X
ILSTOZJ,O,O,X,X,X
ILSJTZO,O,X,X,X,X
ILSJTOZ,O,X,X,X,X
ILSJZTO,X,O,X,X,O
ILSJZOT,O,X,X,X,O
ILSJOTZ,O,X,X,X,X
ILSJOZT,O,X,X,O,O
ILSZTJO,O,O,X,X,O
ILSZTOJ,O,O,X,O,O
ILSZJTO,X,O,X,X,O
ILSZJOT,O,X,X,X,O
ILSZOTJ,O,X,X,O,O
ILSZOJT,O,X,X,O,O
ILSOTJZ,O,X,X,X,X
ILSOTZJ,O,X,X,X,X
ILSOJTZ,O,X,X,X,X
ILSOJZT,O,X,X,O,O
ILSOZTJ,O,X,X,O,O
ILSOZJT,O,X,X,O,O
ILZTJSO,X,O,O,X,O
ILZTJOS,X,O,O,O,O
ILZTSJO,X,O,X,X,O
ILZTSOJ,X,O,X,O,O
ILZTOJS,X,O,O,O,O
ILZTOSJ,X,O,X,O,O
ILZJTSO,X,O,O,X,O
ILZJTOS,X,O,O,O,O
ILZJSTO,X,O,X,X,O
ILZJSOT,X,X,X,X,O
ILZJOTS,X,O,O,O,O
ILZJOST,X,X,X,O,O
ILZSTJO,X,O,X,X,O
ILZSTOJ,X,O,X,O,O
ILZSJTO,X,O,X,X,O
ILZSJOT,X,X,X,X,O
ILZSOTJ,X,X,X,O,O
ILZSOJT,X,X,X,O,O
ILZOTJS,X,O,O,O,O
ILZOTSJ,X,O,X,O,O
ILZOJTS,X,O,O,O,O
ILZOJST,X,X,X,O,O
ILZOSTJ,X,X,X,O,O
ILZOSJT,X,X,X,O,O
ILOTJSZ,O,X,X,X,X
ILOTJZS,X,O,X,O,O
ILOTSJZ,O,X,X,X,X
ILOTSZJ,O,O,X,X,X
ILOTZJS,X,O,O,O,O
ILOTZSJ,X,O,X,O,O
ILOJTSZ,O,X,X,X,X
ILOJTZS,X,X,X,O,O
ILOJSTZ,O,X,X,X,X
ILOJSZT,O,X,X,O,O
ILOJZTS,X,O,O,O,O
ILOJZST,X,X,X,O,O
ILOSTJZ,O,X,X,X,X
ILOSTZJ,O,X,X,X,X
ILOSJTZ,O,X,X,X,X
ILOSJZT,O,X,X,O,O
ILOSZTJ,O,X,X,O,O
ILOSZJT,O,X,X,O,O
ILOZTJS,X,O,O,O,O
ILOZTSJ,X,O,X,O,O
ILOZJTS,X,O,O,O,O
ILOZJST,X,X,X,O,O
ILOZSTJ,X,X,X,O,O
ILOZSJT,X,X,X,O,O
IJTLSZO,O,X,X,X,X
IJTLSOZ,O,X,X,X,X
IJTLZSO,X,O,X,X,O
IJTLZOS,X,O,X,X,O
IJTLOSZ,O,X,X,X,X
IJTLOZS,X,O,X,O,O
IJTSLZO,O,X,X,X,X
IJTSLOZ,O,X,X,X,X
IJTSZLO,O,X,X,X,X
IJTSZOL,O,X,X,X,X
IJTSOLZ,O,X,X,X,X
IJTSOZL,O,X,X,X,X
IJTZLSO,X,O,O,X,O
IJTZLOS,X,O,O,X,O
IJTZSLO,O,O,O,X,O
IJTZSOL,O,O,O,X,X
IJTZOLS,X,O,O,X,O
IJTZOSL,O,O,O,X,X
IJTOLSZ,O,X,X,X,X
IJTOLZS,X,O,X,O,X
IJTOSLZ,O,X,X,X,X
IJTOSZL,O,X,X,X,X
IJTOZLS,X,O,O,O,X
IJTOZSL,O,O,O,O,X
IJLTSZO,O,X,X,X,X
IJLTSOZ,O,X,X,X,X
IJLTZSO,X,O,X,X,O
IJLTZOS,X,O,X,X,O
IJLTOSZ,O,X,X,X,X
IJLTOZS,X,O,X,O,O
IJLSTZO,X,X,X,X,X
IJLSTOZ,O,X,X,X,X
IJLSZTO,X,O,X,X,O
IJLSZOT,O,X,X,X,O
IJLSOTZ,O,X,X,X,X
IJLSOZT,O,X,X,O,O
IJLZTSO,X,O,O,X,O
IJLZTOS,X,O,O,O,O
IJLZSTO,X,O,X,X,O
IJLZSOT,X,X,X,X,O
IJLZOTS,X,O,O,O,O
IJLZOST,X,X,X,O,O
IJLOTSZ,O,X,X,X,X
IJLOTZS,X,X,X,O,O
IJLOSTZ,O,X,X,X,X
IJLOSZT,O,X,X,O,O
IJLOZTS,X,O,O,O,O
IJLOZST,X,X,X,O,O
IJSTLZO,O,X,X,X,X
IJSTLOZ,O,X,X,X,X
IJSTZLO,O,X,X,X,X
IJSTZOL,O,X,X,X,X
IJSTOLZ,O,X,X,X,X
IJSTOZL,O,X,X,X,X
IJSLTZO,O,X,X,X,X
IJSLTOZ,O,X,X,X,X
IJSLZTO,X,O,X,X,O
IJSLZOT,O,X,X,X,O
IJSLOTZ,O,X,X,X,X
IJSLOZT,O,X,X,O,O
IJSZTLO,X,O,O,X,O
IJSZTOL,X,O,O,X,X
IJSZLTO,X,O,X,X,O
IJSZLOT,O,X,X,X,O
IJSZOTL,X,X,O,X,X
IJSZOLT,O,X,X,X,X
IJSOTLZ,O,X,X,X,X
IJSOTZL,O,X,X,X,X
IJSOLTZ,O,X,X,X,X
IJSOLZT,O,X,X,O,X
IJSOZTL,X,X,O,O,X
IJSOZLT,O,X,X,O,X
IJZTLSO,X,O,O,X,O
IJZTLOS,X,O,O,O,O
IJZTSLO,O,O,O,X,O
IJZTSOL,O,O,O,X,X
IJZTOLS,X,O,O,O,O
IJZTOSL,O,O,O,O,X
IJZLTSO,X,O,O,X,O
IJZLTOS,X,O,O,O,O
IJZLSTO,X,O,X,X,O
IJZLSOT,X,X,X,X,O
IJZLOTS,X,O,O,O,O
IJZLOST,X,X,X,O,O
IJZSTLO,X,O,O,X,O
IJZSTOL,X,O,O,X,X
IJZSLTO,X,O,X,X,O
IJZSLOT,O,X,X,X,O
IJZSOTL,X,X,O,X,X
IJZSOLT,O,X,X,X,X
IJZOTLS,X,O,O,O,O
IJZOTSL,O,O,O,O,X
IJZOLTS,X,O,O,O,O
IJZOLST,X,X,X,O,O
IJZOSTL,X,X,O,O,X
IJZOSLT,O,X,X,O,X
IJOTLSZ,O,X,X,X,X
IJOTLZS,X,X,X,O,X
IJOTSLZ,O,X,X,X,X
IJOTSZL,O,X,X,X,X
IJOTZLS,X,X,O,O,X
IJOTZSL,O,X,O,O,X
IJOLTSZ,O,X,X,X,X
IJOLTZS,X,X,X,O,O
IJOLSTZ,O,X,X,X,X
IJOLSZT,O,X,X,O,O
IJOLZTS,X,O,O,O,O
IJOLZST,X,X,X,O,O
IJOSTLZ,O,X,X,X,X
IJOSTZL,O,X,X,X,X
IJOSLTZ,O,X,X,X,X
IJOSLZT,O,X,X,O,X
IJOSZTL,X,X,O,O,X
IJOSZLT,O,X,X,O,X
IJOZTLS,X,O,O,O,O
IJOZTSL,O,O,O,O,X
IJOZLTS,X,O,O,O,O
IJOZLST,X,X,X,O,O
IJOZSTL,X,X,O,O,X
IJOZSLT,O,X,X,O,X
ISTLJZO,O,X,X,X,X
ISTLJOZ,O,X,X,X,X
ISTLZJO,O,O,X,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,O,X,X,X,X
ISTLOZJ,O,O,X,X,X
ISTJLZO,O,X,X,X,X
ISTJLOZ,O,X,X,X,X
ISTJZLO,O,X,X,X,X
ISTJZOL,O,X,X,X,X
ISTJOLZ,O,X,X,X,X
ISTJOZL,O,X,X,X,X
ISTZLJO,O,O,X,X,X
ISTZLOJ,O,O,X,X,X
ISTZJLO,O,O,O,X,X
ISTZJOL,O,O,O,X,X
ISTZOLJ,O,O,X,X,X
ISTZOJL,O,O,O,X,X
ISTOLJZ,O,X,X,X,X
ISTOLZJ,O,O,X,X,X
ISTOJLZ,O,X,X,X,X
ISTOJZL,O,X,X,X,X
ISTOZLJ,O,O,X,X,X
ISTOZJL,O,O,O,X,X
ISLTJZO,O,X,X,X,X
ISLTJOZ,O,X,X,X,X
ISLTZJO,O,O,X,X,X
ISLTZOJ,O,O,X,X,X
ISLTOJZ,O,X,X,X,X
ISLTOZJ,O,O,X,X,X
ISLJTZO,O,X,X,X,X
ISLJTOZ,O,X,X,X,X
ISLJZTO,X,O,X,X,O
ISLJZOT,O,X,X,X,O
ISLJOTZ,O,X,X,X,X
ISLJOZT,O,X,X,O,O
ISLZTJO,O,O,X,X,O
ISLZTOJ,O,O,X,O,O
ISLZJTO,X,O,X,X,O
ISLZJOT,O,X,X,X,O
ISLZOTJ,O,X,X,O,O
ISLZOJT,O,X,X,O,O
ISLOTJZ,O,X,X,X,X
ISLOTZJ,O,X,X,X,X
ISLOJTZ,O,X,X,X,X
ISLOJZT,O,X,X,O,O
ISLOZTJ,O,X,X,O,O
ISLOZJT,O,X,X,O,O
ISJTLZO,O,X,X,X,X
ISJTLOZ,O,X,X,X,X
ISJTZLO,O,X,X,X,X
ISJTZOL,O,X,X,X,X
ISJTOLZ,O,X,X,X,X
ISJTOZL,O,X,X,X,X
ISJLTZO,O,X,X,X,X
ISJLTOZ,O,X,X,X,X
ISJLZTO,X,O,X,X,O
ISJLZOT,O,X,X,X,O
ISJLOTZ,O,X,X,X,X
ISJLOZT,O,X,X,O,O
ISJZTLO,X,O,O,X,O
ISJZTOL,X,O,O,X,X
ISJZLTO,X,O,X,X,O
ISJZLOT,O,X,X,X,O
ISJZOTL,X,X,O,X,X
ISJZOLT,O,X,X,X,X
ISJOTLZ,O,X,X,X,X
ISJOTZL,O,X,X,X,X
ISJOLTZ,O,X,X,X,X
ISJOLZT,O,X,X,O,X
ISJOZTL,X,X,O,O,X
ISJOZLT,O,X,X,O,X
ISZTLJO,O,O,X,X,O
ISZTLOJ,O,O,X,O,O
ISZTJLO,O,O,O,X,O
ISZTJOL,O,O,O,X,X
ISZTOLJ,O,O,X,O,X
ISZTOJL,O,O,O,O,X
ISZLTJO,O,O,X,X,O
ISZLTOJ,O,O,X,O,O
ISZLJTO,X,O,X,X,O
ISZLJOT,O,X,X,X,O
ISZLOTJ,O,X,X,O,O
ISZLOJT,O,X,X,O,O
ISZJTLO,X,O,O,X,O
ISZJTOL,X,O,O,X,X
ISZJLTO,X,O,X,X,O
ISZJLOT,O,X,X,X,O
ISZJOTL,X,X,O,X,X
ISZJOLT,O,X,X,X,X
ISZOTLJ,O,X,X,O,X
ISZOTJL,O,X,O,O,X
ISZOLTJ,O,X,X,O,X
ISZOLJT,O,X,X,O,X
ISZOJTL,X,X,O,O,X
ISZOJLT,O,X,X,O,X
ISOTLJZ,O,X,X,X,X
ISOTLZJ,O,X,X,X,X
ISOTJLZ,O,X,X,X,X
ISOTJZL,O,X,X,X,X
ISOTZLJ,O,X,X,X,X
ISOTZJL,O,X,O,X,X
ISOLTJZ,O,X,X,X,X
ISOLTZJ,O,X,X,X,X
ISOLJTZ,O,X,X,X,X
ISOLJZT,O,X,X,O,X
ISOLZTJ,O,X,X,O,X
ISOLZJT,O,X,X,O,X
ISOJTLZ,O,X,X,X,X
ISOJTZL,O,X,X,X,X
ISOJLTZ,O,X,X,X,X
ISOJLZT,O,X,X,O,X
ISOJZTL,X,X,O,O,X
ISOJZLT,O,X,X,O,X
ISOZTLJ,O,X,X,O,X
ISOZTJL,O,X,O,O,X
ISOZLTJ,O,X,X,O,X
ISOZLJT,O,X,X,O,X
ISOZJTL,X,X,O,O,X
ISOZJLT,O,X,X,O,X
IZTLJSO,X,O,O,X,O
IZTLJOS,X,O,O,O,O
IZTLSJO,X,O,X,X,O
IZTLSOJ,X,O,X,O,O
IZTLOJS,X,O,O,O,O
IZTLOSJ,X,O,X,O,O
IZTJLSO,X,O,O,X,O
IZTJLOS,X,O,O,O,O
IZTJSLO,O,O,O,X,O
IZTJSOL,O,O,O,X,X
IZTJOLS,X,O,O,O,O
IZTJOSL,O,O,O,O,X
IZTSLJO,O,O,X,X,O
IZTSLOJ,O,O,X,O,O
IZTSJLO,O,O,O,X,O
IZTSJOL,O,O,O,X,X
IZTSOLJ,O,O,X,O,X
IZTSOJL,O,O,O,O,X
IZTOLJS,X,O,O,O,O
IZTOLSJ,X,O,X,O,O
IZTOJLS,X,O,O,O,O
IZTOJSL,O,O,O,O,X
IZTOSLJ,O,O,X,O,X
IZTOSJL,O,O,O,O,X
IZLTJSO,X,O,O,X,O
IZLTJOS,X,O,O,O,O
IZLTSJO,X,O,X,X,O
IZLTSOJ,X,O,X,O,O
IZLTOJS,X,O,O,O,O
IZLTOSJ,X,O,X,O,O
IZLJTSO,X,O,O,X,O
IZLJTOS,X,O,O,O,O
IZLJSTO,X,O,X,X,O
IZLJSOT,X,X,X,X,O
IZLJOTS,X,O,O,O,O
IZLJOST,X,X,X,O,O
IZLSTJO,X,O,X,X,O
IZLSTOJ,X,O,X,O,O
IZLSJTO,X,O,X,X,O
IZLSJOT,X,X,X,X,O
IZLSOTJ,X,X,X,O,O
IZLSOJT,X,X,X,O,O
IZLOTJS,X,O,O,O,O
IZLOTSJ,X,O,X,O,O
IZLOJTS,X,O,O,O,O
IZLOJST,X,X,X,O,O
IZLOSTJ,X,X,X,O,O
IZLOSJT,X,X,X,O,O
IZJTLSO,X,O,O,X,O
IZJTLOS,X,O,O,O,O
IZJTSLO,O,O,O,X,O
IZJTSOL,O,O,O,X,X
IZJTOLS,X,O,O,O,O
IZJTOSL,O,O,O,O,X
IZJLTSO,X,O,O,X,O
IZJLTOS,X,O,O,O,O
IZJLSTO,X,O,X,X,O
IZJLSOT,X,X,X,X,O
IZJLOTS,X,O,O,O,O
IZJLOST,X,X,X,O,O
IZJSTLO,X,O,O,X,O
IZJSTOL,X,O,O,X,X
IZJSLTO,X,O,X,X,O
IZJSLOT,O,X,X,X,O
IZJSOTL,X,X,O,X,X
IZJSOLT,O,X,X,X,X
IZJOTLS,X,O,O,O,O
IZJOTSL,O,O,O,O,X
IZJOLTS,X,O,O,O,O
IZJOLST,X,X,X,O,O
IZJOSTL,X,X,O,O,X
IZJOSLT,O,X,X,O,X
IZSTLJO,O,O,X,X,O
IZSTLOJ,O,O,X,O,O
IZSTJLO,O,O,O,X,O
IZSTJOL,O,O,O,X,X
IZSTOLJ,O,O,X,O,X
IZSTOJL,O,O,O,O,X
IZSLTJO,O,O,X,X,O
IZSLTOJ,O,O,X,O,O
IZSLJTO,X,O,X,X,O
IZSLJOT,O,X,X,X,O
IZSLOTJ,O,X,X,O,O
IZSLOJT,O,X,X,O,O
IZSJTLO,X,O,O,X,O
IZSJTOL,X,O,O,X,X
IZSJLTO,X,O,X,X,O
IZSJLOT,O,X,X,X,O
IZSJOTL,X,X,O,X,X
IZSJOLT,O,X,X,X,X
IZSOTLJ,O,X,X,O,X
IZSOTJL,O,X,O,O,X
IZSOLTJ,O,X,X,O,X
IZSOLJT,O,X,X,O,X
IZSOJTL,X,X,O,O,X
IZSOJLT,O,X,X,O,X
IZOTLJS,X,O,O,O,O
IZOTLSJ,X,O,X,O,O
IZOTJLS,X,O,O,O,O
IZOTJSL,O,O,O,O,X
IZOTSLJ,O,O,X,O,X
IZOTSJL,O,O,O,O,X
IZOLTJS,X,O,O,O,O
IZOLTSJ,X,O,X,O,O
IZOLJTS,X,O,O,O,O
IZOLJST,X,X,X,O,O
IZOLSTJ,X,X,X,O,O
IZOLSJT,X,X,X,O,O
IZOJTLS,X,O,O,O,O
IZOJTSL,O,O,O,O,X
IZOJLTS,X,O,O,O,O
IZOJLST,X,X,X,O,O
IZOJSTL,X,X,O,O,X
IZOJSLT,O,X,X,O,X
IZOSTLJ,O,X,X,O,X
IZOSTJL,O,X,O,O,X
IZOSLTJ,O,X,X,O,X
IZOSLJT,O,X,X,O,X
IZOSJTL,X,X,O,O,X
IZOSJLT,O,X,X,O,X
IOTLJSZ,O,X,X,X,X
IOTLJZS,X,O,X,O,X
IOTLSJZ,O,X,X,X,X
IOTLSZJ,O,O,X,X,X
IOTLZJS,X,O,O,O,X
IOTLZSJ,X,O,X,O,X
IOTJLSZ,O,X,X,X,X
IOTJLZS,X,O,X,O,X
IOTJSLZ,O,X,X,X,X
IOTJSZL,O,X,X,X,X
IOTJZLS,X,O,O,O,X
IOTJZSL,O,O,O,O,X
IOTSLJZ,O,X,X,X,X
IOTSLZJ,O,O,X,X,X
IOTSJLZ,O,X,X,X,X
IOTSJZL,O,X,X,X,X
IOTSZLJ,O,O,X,X,X
IOTSZJL,O,O,O,X,X
IOTZLJS,X,O,O,O,X
IOTZLSJ,X,O,X,O,X
IOTZJLS,X,O,O,O,X
IOTZJSL,O,O,O,O,X
IOTZSLJ,O,O,X,O,X
IOTZSJL,O,O,O,O,X
IOLTJSZ,O,X,X,X,X
IOLTJZS,X,O,X,O,O
IOLTSJZ,O,X,X,X,X
IOLTSZJ,O,O,X,X,X
IOLTZJS,X,O,O,O,O
IOLTZSJ,X,O,X,O,O
IOLJTSZ,O,X,X,X,X
IOLJTZS,X,X,X,O,O
IOLJSTZ,O,X,X,X,X
IOLJSZT,O,X,X,O,O
IOLJZTS,X,O,O,O,O
IOLJZST,X,X,X,O,O
IOLSTJZ,O,X,X,X,X
IOLSTZJ,O,X,X,X,X
IOLSJTZ,O,X,X,X,X
IOLSJZT,O,X,X,O,O
IOLSZTJ,O,X,X,O,O
IOLSZJT,O,X,X,O,O
IOLZTJS,X,O,O,O,O
IOLZTSJ,X,O,X,O,O
IOLZJTS,X,O,O,O,O
IOLZJST,X,X,X,O,O
IOLZSTJ,X,X,X,O,O
IOLZSJT,X,X,X,O,O
IOJTLSZ,O,X,X,X,X
IOJTLZS,X,X,X,O,X
IOJTSLZ,O,X,X,X,X
IOJTSZL,O,X,X,X,X
IOJTZLS,X,X,O,O,X
IOJTZSL,O,X,O,O,X
IOJLTSZ,O,X,X,X,X
IOJLTZS,X,X,X,O,O
IOJLSTZ,O,X,X,X,X
IOJLSZT,O,X,X,O,O
IOJLZTS,X,O,O,O,O
IOJLZST,X,X,X,O,O
IOJSTLZ,O,X,X,X,X
IOJSTZL,O,X,X,X,X
IOJSLTZ,O,X,X,X,X
IOJSLZT,O,X,X,O,X
IOJSZTL,X,X,O,O,X
IOJSZLT,O,X,X,O,X
IOJZTLS,X,O,O,O,O
IOJZTSL,O,O,O,O,X
IOJZLTS,X,O,O,O,O
IOJZLST,X,X,X,O,O
IOJZSTL,X,X,O,O,X
IOJZSLT,O,X,X,O,X
IOSTLJZ,O,X,X,X,X
IOSTLZJ,O,X,X,X,X
IOSTJLZ,O,X,X,X,X
IOSTJZL,O,X,X,X,X
IOSTZLJ,O,X,X,X,X
IOSTZJL,O,X,O,X,X
IOSLTJZ,O,X,X,X,X
IOSLTZJ,O,X,X,X,X
IOSLJTZ,O,X,X,X,X
IOSLJZT,O,X,X,O,X
IOSLZTJ,O,X,X,O,X
IOSLZJT,O,X,X,O,X
IOSJTLZ,O,X,X,X,X
IOSJTZL,O,X,X,X,X
IOSJLTZ,O,X,X,X,X
IOSJLZT,O,X,X,O,X
IOSJZTL,X,X,O,O,X
IOSJZLT,O,X,X,O,X
IOSZTLJ,O,X,X,O,X
IOSZTJL,O,X,O,O,X
IOSZLTJ,O,X,X,O,X
IOSZLJT,O,X,X,O,X
IOSZJTL,X,X,O,O,X
IOSZJLT,O,X,X,O,X
IOZTLJS,X,O,O,O,O
IOZTLSJ,X,O,X,O,O
IOZTJLS,X,O,O,O,O
IOZTJSL,O,O,O,O,X
IOZTSLJ,O,O,X,O,X
IOZTSJL,O,O,O,O,X
IOZLTJS,X,O,O,O,O
IOZLTSJ,X,O,X,O,O
IOZLJTS,X,O,O,O,O
IOZLJST,X,X,X,O,O
IOZLSTJ,X,X,X,O,O
IOZLSJT,X,X,X,O,O
IOZJTLS,X,O,O,O,O
IOZJTSL,O,O,O,O,X
IOZJLTS,X,O,O,O,O
IOZJLST,X,X,X,O,O
IOZJSTL,X,X,O,O,X
IOZJSLT,O,X,X,O,X
IOZSTLJ,O,X,X,O,X
IOZSTJL,O,X,O,O,X
IOZSLTJ,O,X,X,O,X
IOZSLJT,O,X,X,O,X
IOZSJTL,X,X,O,O,X
IOZSJLT,O,X,X,O,X
LTIJSZO,O,X,X,X,X
LTIJSOZ,O,X,X,X,X
LTIJZSO,X,O,X,X,O
LTIJZOS,X,O,X,X,O
LTIJOSZ,O,X,X,X,X
LTIJOZS,X,O,X,O,O
LTISJZO,O,X,X,X,X
LTISJOZ,O,X,X,X,X
LTISZJO,O,O,X,X,X
LTISZOJ,O,O,X,X,X
LTISOJZ,O,X,X,X,X
LTISOZJ,O,O,X,X,X
LTIZJSO,X,O,O,X,O
LTIZJOS,X,O,O,O,O
LTIZSJO,X,O,X,X,O
LTIZSOJ,X,O,X,O,O
LTIZOJS,X,O,O,O,O
LTIZOSJ,X,O,X,O,O
LTIOJSZ,O,X,X,X,X
LTIOJZS,X,O,X,O,O
LTIOSJZ,O,X,X,X,X
LTIOSZJ,O,O,X,X,X
LTIOZJS,X,O,O,O,O
LTIOZSJ,X,O,X,O,O
LTJISZO,O,X,X,X,X
LTJISOZ,O,X,X,X,X
LTJIZSO,X,O,X,X,O
LTJIZOS,X,O,X,X,O
LTJIOSZ,O,X,X,X,X
LTJIOZS,X,O,X,O,O
LTJSIZO,O,X,X,X,X
LTJSIOZ,O,X,X,X,X
LTJSZIO,O,X,X,X,X
LTJSZOI,O,X,X,X,X
LTJSOIZ,O,X,X,X,X
LTJSOZI,O,X,X,X,X
LTJZISO,X,O,X,X,O
LTJZIOS,X,O,X,X,O
LTJZSIO,X,O,X,X,O
LTJZSOI,X,O,X,X,O
LTJZOIS,X,O,X,X,O
LTJZOSI,X,O,X,X,O
LTJOISZ,O,X,X,X,X
LTJOIZS,X,O,X,O,O
LTJOSIZ,O,X,X,X,X
LTJOSZI,O,X,X,X,X
LTJOZIS,X,O,X,O,O
LTJOZSI,X,O,X,O,O
LTSIJZO,O,X,X,X,X
LTSIJOZ,O,X,X,X,X
