sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB
TLSZOIJ,O,O,O,O,O,O,X
TLSZOJI,O,O,O,O,O,O,X
TLSOIJZ,O,O,O,O,X,X,O
TLSOIZJ,O,O,O,O,O,O,X
TLSOJIZ,O,O,O,O,X,X,O
TLSOJZI,O,O,O,O,X,O,X
TLSOZIJ,O,O,O,O,O,O,X
TLSOZJI,O,O,O,O,O,O,X
TLZIJSO,O,O,O,O,O,O,X
TLZIJOS,O,O,X,O,O,O,X
TLZISJO,O,O,O,O,O,O,X
TLZISOJ,O,O,O,O,O,O,X
TLZIOJS,O,O,X,O,O,O,X
TLZIOSJ,O,O,X,O,O,O,X
TLZJISO,O,O,O,O,O,O,X
TLZJIOS,O,O,X,O,O,O,X
TLZJSIO,O,O,O,O,O,O,X
TLZJSOI,O,O,O,O,O,O,X
TLZJOIS,O,O,X,O,O,O,X
TLZJOSI,O,O,X,O,O,O,X
TLZSIJO,O,O,O,O,O,O,X
TLZSIOJ,O,O,O,O,O,O,X
TLZSJIO,O,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,O,X
TLZSOIJ,O,O,O,O,O,O,X
TLZSOJI,O,O,O,O,O,O,X
TLZOIJS,O,O,X,O,O,O,X
TLZOISJ,O,O,X,O,O,O,X
TLZOJIS,O,O,X,O,O,O,X
TLZOJSI,O,O,X,O,O,O,X
TLZOSIJ,O,O,X,O,O,O,X
TLZOSJI,O,O,X,O,O,O,X
TLOIJSZ,X,X,O,O,X,X,O
TLOIJZS,X,X,X,O,O,X,X
TLOISJZ,O,O,O,O,X,X,O
TLOISZJ,O,O,O,O,O,O,X
TLOIZJS,O,O,X,O,O,O,X
TLOIZSJ,O,O,X,O,O,O,X
TLOJISZ,X,X,O,O,X,X,O
TLOJIZS,X,X,X,O,O,X,X
TLOJSIZ,X,X,O,O,X,X,O
TLOJSZI,X,X,O,O,X,O,X
TLOJZIS,X,X,X,O,O,O,X
TLOJZSI,X,X,X,O,O,O,X
TLOSIJZ,O,O,O,O,X,X,O
TLOSIZJ,O,O,O,O,O,O,X
TLOSJIZ,O,O,O,O,X,X,O
TLOSJZI,O,O,O,O,X,O,X
TLOSZIJ,O,O,O,O,O,O,X
TLOSZJI,O,O,O,O,O,O,X
TLOZIJS,O,O,X,O,O,O,X
TLOZISJ,O,O,X,O,O,O,X
TLOZJIS,O,O,X,O,O,O,X
TLOZJSI,O,O,X,O,O,O,X
TLOZSIJ,O,O,X,O,O,O,X
TLOZSJI,O,O,X,O,O,O,X
TJILSZO,X,X,O,O,X,X,X
TJILSOZ,X,X,O,O,X,X,O
TJILZSO,X,X,O,O,O,X,X
TJILZOS,X,X,X,O,O,X,X
TJILOSZ,X,X,O,O,X,X,O
TJILOZS,X,X,X,O,O,X,X
TJISLZO,O,O,O,O,X,X,X
TJISLOZ,O,O,O,O,X,X,O
TJISZLO,O,O,O,O,X,X,X
TJISZOL,O,O,O,O,X,X,O
TJISOLZ,O,O,O,O,X,X,O
TJISOZL,O,O,O,O,X,X,O
TJIZLSO,O,O,O,O,O,X,X
TJIZLOS,O,O,X,O,O,X,X
TJIZSLO,O,O,O,O,O,X,X
TJIZSOL,O,O,O,O,O,X,O
TJIZOLS,O,O,X,O,O,X,X
TJIZOSL,O,O,X,O,O,X,O
TJIOLSZ,X,X,O,O,X,X,O
TJIOLZS,X,X,X,O,O,X,X
TJIOSLZ,O,O,O,X,X,X,O
TJIOSZL,O,O,O,X,X,X,O
TJIOZLS,O,O,X,O,O,X,X
TJIOZSL,O,O,X,O,O,X,O
TJLISZO,X,X,O,O,X,X,X
TJLISOZ,X,X,O,O,X,X,O
TJLIZSO,X,X,O,O,O,X,X
TJLIZOS,X,X,X,O,O,X,X
TJLIOSZ,X,X,O,O,X,X,O
TJLIOZS,X,X,X,O,O,X,X
TJLSIZO,X,X,O,O,X,X,X
TJLSIOZ,X,X,O,O,X,X,O
TJLSZIO,X,X,O,O,X,O,X
TJLSZOI,X,X,O,O,X,O,X
TJLSOIZ,X,X,O,O,X,X,O
TJLSOZI,X,X,O,O,X,O,X
TJLZISO,X,X,O,O,O,O,X
TJLZIOS,X,X,X,O,O,O,X
TJLZSIO,X,X,O,O,O,O,X
TJLZSOI,X,X,O,O,O,O,X
TJLZOIS,X,X,X,O,O,O,X
TJLZOSI,X,X,X,O,O,O,X
TJLOISZ,X,X,O,O,X,X,O
TJLOIZS,X,X,X,O,O,X,X
TJLOSIZ,X,X,O,O,X,X,O
TJLOSZI,X,X,O,O,X,O,X
TJLOZIS,X,X,X,O,O,O,X
TJLOZSI,X,X,X,O,O,O,X
TJSILZO,O,O,O,O,X,X,X
TJSILOZ,O,O,O,O,X,X,O
TJSIZLO,O,O,O,O,X,X,X
TJSIZOL,O,O,O,O,X,X,O
TJSIOLZ,O,O,O,O,X,X,O
TJSIOZL,O,O,O,O,X,X,O
TJSLIZO,O,O,O,O,X,X,X
TJSLIOZ,O,O,O,O,X,X,O
TJSLZIO,O,O,O,O,X,O,X
TJSLZOI,O,O,O,O,X,O,X
TJSLOIZ,O,O,O,O,X,X,O
TJSLOZI,O,O,O,O,X,O,X
TJSZILO,O,O,O,O,X,O,X
TJSZIOL,O,O,O,O,X,O,O
TJSZLIO,O,O,O,O,X,O,X
TJSZLOI,O,O,O,O,X,O,X
TJSZOIL,O,O,O,O,X,O,O
TJSZOLI,O,O,O,O,X,O,X
TJSOILZ,O,O,O,O,X,X,O
TJSOIZL,O,O,O,O,X,X,O
TJSOLIZ,O,O,O,O,X,X,O
TJSOLZI,O,O,O,O,X,O,X
TJSOZIL,O,O,O,O,X,O,O
TJSOZLI,O,O,O,O,X,O,X
TJZILSO,O,O,O,O,O,O,X
TJZILOS,O,O,X,O,O,O,X
TJZISLO,O,O,O,O,O,O,X
TJZISOL,O,O,O,O,O,O,O
TJZIOLS,O,O,X,O,O,O,X
TJZIOSL,O,O,X,O,O,O,O
TJZLISO,O,O,O,O,O,O,X
TJZLIOS,O,O,X,O,O,O,X
TJZLSIO,O,O,O,O,O,O,X
TJZLSOI,O,O,O,O,O,O,X
TJZLOIS,O,O,X,O,O,O,X
TJZLOSI,O,O,X,O,O,O,X
TJZSILO,O,O,O,O,O,O,X
TJZSIOL,O,O,O,O,O,O,O
TJZSLIO,O,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,O,X
TJZSOIL,O,O,O,O,O,O,O
TJZSOLI,O,O,O,O,O,O,X
TJZOILS,O,O,X,O,O,O,X
TJZOISL,O,O,X,O,O,O,O
TJZOLIS,O,O,X,O,O,O,X
TJZOLSI,O,O,X,O,O,O,X
TJZOSIL,O,O,X,O,O,O,O
TJZOSLI,O,O,X,O,O,O,X
TJOILSZ,X,X,O,O,X,X,O
TJOILZS,X,X,X,O,O,X,X
TJOISLZ,O,O,O,X,X,X,O
TJOISZL,O,O,O,X,X,X,O
TJOIZLS,O,O,X,O,O,X,X
TJOIZSL,O,O,X,O,O,X,O
TJOLISZ,X,X,O,O,X,X,O
TJOLIZS,X,X,X,O,O,X,X
TJOLSIZ,X,X,O,O,X,X,O
TJOLSZI,X,X,O,O,X,O,X
TJOLZIS,X,X,X,O,O,O,X
TJOLZSI,X,X,X,O,O,O,X
TJOSILZ,O,O,O,O,X,X,O
TJOSIZL,O,O,O,O,X,X,O
TJOSLIZ,O,O,O,O,X,X,O
TJOSLZI,O,O,O,O,X,O,X
TJOSZIL,O,O,O,O,X,O,O
TJOSZLI,O,O,O,O,X,O,X
TJOZILS,O,O,X,O,O,O,X
TJOZISL,O,O,X,O,O,O,O
TJOZLIS,O,O,X,O,O,O,X
TJOZLSI,O,O,X,O,O,O,X
TJOZSIL,O,O,X,O,O,O,O
TJOZSLI,O,O,X,O,O,O,X
TSILJZO,O,O,O,O,X,X,X
TSILJOZ,O,O,O,O,X,X,O
TSILZJO,O,O,O,O,O,O,X
TSILZOJ,O,O,O,O,O,O,X
TSILOJZ,O,O,O,O,X,X,O
TSILOZJ,O,O,O,O,O,O,X
TSIJLZO,O,O,O,O,X,X,X
TSIJLOZ,O,O,O,O,X,X,O
TSIJZLO,O,O,O,O,X,X,X
TSIJZOL,O,O,O,O,X,X,O
TSIJOLZ,O,O,O,O,X,X,O
TSIJOZL,O,O,O,O,X,X,O
TSIZLJO,O,O,O,O,O,O,X
TSIZLOJ,O,O,O,O,O,O,X
TSIZJLO,O,O,O,O,O,O,X
TSIZJOL,O,O,O,O,O,O,O
TSIZOLJ,O,O,O,O,O,O,X
TSIZOJL,O,O,O,O,O,O,O
TSIOLJZ,O,O,O,O,X,X,O
TSIOLZJ,O,O,O,O,O,O,X
TSIOJLZ,O,O,O,O,X,X,O
TSIOJZL,O,O,O,O,X,X,O
TSIOZLJ,O,O,O,O,O,O,X
TSIOZJL,O,O,O,O,O,O,O
TSLIJZO,O,O,O,O,X,X,X
TSLIJOZ,O,O,O,O,X,X,O
TSLIZJO,O,O,O,O,O,O,X
TSLIZOJ,O,O,O,O,O,O,X
TSLIOJZ,O,O,O,O,X,X,O
TSLIOZJ,O,O,O,O,O,O,X
TSLJIZO,O,O,O,O,X,X,X
TSLJIOZ,O,O,O,O,X,X,O
TSLJZIO,O,O,O,O,X,O,X
TSLJZOI,O,O,O,O,X,O,X
TSLJOIZ,O,O,O,O,X,X,O
TSLJOZI,O,O,O,O,X,O,X
TSLZIJO,O,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,O,X
TSLZJIO,O,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,O,X
TSLZOJI,O,O,O,O,O,O,X
TSLOIJZ,O,O,O,O,X,X,O
TSLOIZJ,O,O,O,O,O,O,X
TSLOJIZ,O,O,O,O,X,X,O
TSLOJZI,O,O,O,O,X,O,X
TSLOZIJ,O,O,O,O,O,O,X
TSLOZJI,O,O,O,O,O,O,X
TSJILZO,O,O,O,O,X,X,X
TSJILOZ,O,O,O,O,X,X,O
TSJIZLO,O,O,O,O,X,X,X
TSJIZOL,O,O,O,O,X,X,O
TSJIOLZ,O,O,O,O,X,X,O
TSJIOZL,O,O,O,O,X,X,O
TSJLIZO,O,O,O,O,X,X,X
TSJLIOZ,O,O,O,O,X,X,O
TSJLZIO,O,O,O,O,X,O,X
TSJLZOI,O,O,O,O,X,O,X
TSJLOIZ,O,O,O,O,X,X,O
TSJLOZI,O,O,O,O,X,O,X
TSJZILO,O,O,O,O,X,O,X
TSJZIOL,O,O,O,O,X,O,O
TSJZLIO,O,O,O,O,X,O,X
TSJZLOI,O,O,O,O,X,O,X
TSJZOIL,O,O,O,O,X,O,O
TSJZOLI,O,O,O,O,X,O,X
TSJOILZ,O,O,O,O,X,X,O
TSJOIZL,O,O,O,O,X,X,O
TSJOLIZ,O,O,O,O,X,X,O
