sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB
TZSLIOJ,O,O,O,O,O,O,X
TZSLJIO,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,X
TZSLOIJ,O,O,O,O,O,O,X
TZSLOJI,O,O,O,O,O,O,X
TZSJILO,O,O,O,O,O,O,X
TZSJIOL,O,O,O,O,O,O,O
TZSJLIO,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,X
TZSJOIL,O,O,O,O,O,O,O
TZSJOLI,O,O,O,O,O,O,X
TZSOILJ,O,O,O,O,O,O,X
TZSOIJL,O,O,O,O,O,O,O
TZSOLIJ,O,O,O,O,O,O,X
TZSOLJI,O,O,O,O,O,O,X
TZSOJIL,O,O,O,O,O,O,O
TZSOJLI,O,O,O,O,O,O,X
TZOILJS,O,O,X,O,O,O,X
TZOILSJ,O,O,X,O,O,O,X
TZOIJLS,O,O,X,O,O,O,X
TZOIJSL,O,O,X,O,O,O,O
TZOISLJ,O,O,X,O,O,O,X
TZOISJL,O,O,X,O,O,O,O
TZOLIJS,O,O,X,O,O,O,X
TZOLISJ,O,O,X,O,O,O,X
TZOLJIS,O,O,X,O,O,O,X
TZOLJSI,O,O,X,O,O,O,X
TZOLSIJ,O,O,X,O,O,O,X
TZOLSJI,O,O,X,O,O,O,X
TZOJILS,O,O,X,O,O,O,X
TZOJISL,O,O,X,O,O,O,O
TZOJLIS,O,O,X,O,O,O,X
TZOJLSI,O,O,X,O,O,O,X
TZOJSIL,O,O,X,O,O,O,O
TZOJSLI,O,O,X,O,O,O,X
TZOSILJ,O,O,X,O,O,O,X
TZOSIJL,O,O,X,O,O,O,O
TZOSLIJ,O,O,X,O,O,O,X
TZOSLJI,O,O,X,O,O,O,X
TZOSJIL,O,O,X,O,O,O,O
TZOSJLI,O,O,X,O,O,O,X
TOILJSZ,X,X,O,O,X,X,O
TOILJZS,X,X,X,O,O,X,X
TOILSJZ,O,O,O,O,X,X,O
TOILSZJ,O,O,O,X,O,O,X
TOILZJS,O,O,X,O,O,O,X
TOILZSJ,O,O,X,O,O,O,X
TOIJLSZ,X,X,O,O,X,X,O
TOIJLZS,X,X,X,O,O,X,X
TOIJSLZ,O,O,O,X,X,X,O
TOIJSZL,O,O,O,X,X,X,O
TOIJZLS,O,O,X,O,O,X,X
TOIJZSL,O,O,X,O,O,X,O
TOISLJZ,O,O,O,X,X,X,O
TOISLZJ,O,O,O,X,O,O,X
TOISJLZ,O,O,O,X,X,X,O
TOISJZL,O,O,O,X,X,X,O
TOISZLJ,O,O,O,X,O,O,X
TOISZJL,O,O,O,X,O,O,O
TOIZLJS,O,O,X,O,O,O,X
TOIZLSJ,O,O,X,O,O,O,X
TOIZJLS,O,O,X,O,O,O,X
TOIZJSL,O,O,X,O,O,O,O
TOIZSLJ,O,O,X,X,O,O,X
TOIZSJL,O,O,X,O,O,O,O
TOLIJSZ,X,X,O,O,X,X,O
TOLIJZS,X,X,X,O,O,X,X
TOLISJZ,O,O,O,O,X,X,O
TOLISZJ,O,O,O,O,O,O,X
TOLIZJS,O,O,X,O,O,O,X
TOLIZSJ,O,O,X,O,O,O,X
TOLJISZ,X,X,O,O,X,X,O
TOLJIZS,X,X,X,O,O,X,X
TOLJSIZ,X,X,O,O,X,X,O
TOLJSZI,X,X,O,O,X,O,X
TOLJZIS,X,X,X,O,O,O,X
TOLJZSI,X,X,X,O,O,O,X
TOLSIJZ,O,O,O,O,X,X,O
TOLSIZJ,O,O,O,O,O,O,X
TOLSJIZ,O,O,O,O,X,X,O
TOLSJZI,O,O,O,O,X,O,X
TOLSZIJ,O,O,O,O,O,O,X
TOLSZJI,O,O,O,O,O,O,X
TOLZIJS,O,O,X,O,O,O,X
TOLZISJ,O,O,X,O,O,O,X
TOLZJIS,O,O,X,O,O,O,X
TOLZJSI,O,O,X,O,O,O,X
TOLZSIJ,O,O,X,O,O,O,X
TOLZSJI,O,O,X,O,O,O,X
TOJILSZ,X,X,O,O,X,X,O
TOJILZS,X,X,X,O,O,X,X
TOJISLZ,O,O,O,X,X,X,O
TOJISZL,O,O,O,X,X,X,O
TOJIZLS,O,O,X,O,O,X,X
TOJIZSL,O,O,X,O,O,X,O
TOJLISZ,X,X,O,O,X,X,O
TOJLIZS,X,X,X,O,O,X,X
TOJLSIZ,X,X,O,O,X,X,O
TOJLSZI,X,X,O,O,X,O,X
TOJLZIS,X,X,X,O,O,O,X
TOJLZSI,X,X,X,O,O,O,X
TOJSILZ,O,O,O,O,X,X,O
TOJSIZL,O,O,O,O,X,X,O
TOJSLIZ,O,O,O,O,X,X,O
TOJSLZI,O,O,O,O,X,O,X
TOJSZIL,O,O,O,O,X,O,O
TOJSZLI,O,O,O,O,X,O,X
TOJZILS,O,O,X,O,O,O,X
TOJZISL,O,O,X,O,O,O,O
TOJZLIS,O,O,X,O,O,O,X
TOJZLSI,O,O,X,O,O,O,X
TOJZSIL,O,O,X,O,O,O,O
TOJZSLI,O,O,X,O,O,O,X
TOSILJZ,O,O,O,O,X,X,O
TOSILZJ,O,O,O,O,O,O,X
TOSIJLZ,O,O,O,O,X,X,O
TOSIJZL,O,O,O,O,X,X,O
TOSIZLJ,O,O,O,O,O,O,X
TOSIZJL,O,O,O,O,O,O,O
TOSLIJZ,O,O,O,O,X,X,O
TOSLIZJ,O,O,O,O,O,O,X
TOSLJIZ,O,O,O,O,X,X,O
TOSLJZI,O,O,O,O,X,O,X
TOSLZIJ,O,O,O,O,O,O,X
TOSLZJI,O,O,O,O,O,O,X
TOSJILZ,O,O,O,O,X,X,O
TOSJIZL,O,O,O,O,X,X,O
TOSJLIZ,O,O,O,O,X,X,O
TOSJLZI,O,O,O,O,X,O,X
TOSJZIL,O,O,O,O,X,O,O
TOSJZLI,O,O,O,O,X,O,X
TOSZILJ,O,O,O,O,O,O,X
TOSZIJL,O,O,O,O,O,O,O
TOSZLIJ,O,O,O,O,O,O,X
TOSZLJI,O,O,O,O,O,O,X
TOSZJIL,O,O,O,O,O,O,O
TOSZJLI,O,O,O,O,O,O,X
TOZILJS,O,O,X,O,O,O,X
TOZILSJ,O,O,X,O,O,O,X
TOZIJLS,O,O,X,O,O,O,X
TOZIJSL,O,O,X,O,O,O,O
TOZISLJ,O,O,X,O,O,O,X
TOZISJL,O,O,X,O,O,O,O
TOZLIJS,O,O,X,O,O,O,X
TOZLISJ,O,O,X,O,O,O,X
TOZLJIS,O,O,X,O,O,O,X
TOZLJSI,O,O,X,O,O,O,X
TOZLSIJ,O,O,X,O,O,O,X
TOZLSJI,O,O,X,O,O,O,X
TOZJILS,O,O,X,O,O,O,X
TOZJISL,O,O,X,O,O,O,O
TOZJLIS,O,O,X,O,O,O,X
TOZJLSI,O,O,X,O,O,O,X
TOZJSIL,O,O,X,O,O,O,O
TOZJSLI,O,O,X,O,O,O,X
TOZSILJ,O,O,X,O,O,O,X
TOZSIJL,O,O,X,O,O,O,O
TOZSLIJ,O,O,X,O,O,O,X
TOZSLJI,O,O,X,O,O,O,X
TOZSJIL,O,O,X,O,O,O,O
TOZSJLI,O,O,X,O,O,O,X
ITLJSZO,X,X,O,O,X,X,X
ITLJSOZ,X,X,O,O,X,X,O
ITLJZSO,X,X,O,O,O,X,X
ITLJZOS,X,X,X,O,O,X,X
ITLJOSZ,X,X,O,O,X,X,O
ITLJOZS,X,X,X,O,O,X,X
ITLSJZO,O,O,O,O,X,X,X
ITLSJOZ,O,O,O,O,X,X,O
ITLSZJO,O,O,O,O,O,O,X
ITLSZOJ,O,O,O,O,O,O,X
ITLSOJZ,O,O,O,O,X,X,O
ITLSOZJ,O,O,O,O,O,O,X
ITLZJSO,O,O,O,O,O,O,X
ITLZJOS,O,O,X,O,O,O,X
ITLZSJO,O,O,O,O,O,O,X
ITLZSOJ,O,O,O,O,O,O,X
ITLZOJS,O,O,X,O,O,O,X
ITLZOSJ,O,O,X,O,O,O,X
ITLOJSZ,X,X,O,O,X,X,O
ITLOJZS,X,X,X,O,O,X,X
ITLOSJZ,O,O,O,O,X,X,O
ITLOSZJ,O,O,O,O,O,O,X
ITLOZJS,O,O,X,O,O,O,X
ITLOZSJ,O,O,X,O,O,O,X
ITJLSZO,X,X,O,O,X,X,X
ITJLSOZ,X,X,O,O,X,X,O
ITJLZSO,X,X,O,O,O,X,X
ITJLZOS,X,X,X,O,O,X,X
ITJLOSZ,X,X,O,O,X,X,O
ITJLOZS,X,X,X,O,O,X,X
ITJSLZO,O,O,O,O,X,X,X
ITJSLOZ,O,O,O,O,X,X,O
ITJSZLO,O,O,O,O,X,X,X
ITJSZOL,O,O,O,O,X,X,O
ITJSOLZ,O,O,O,O,X,X,O
ITJSOZL,O,O,O,O,X,X,O
ITJZLSO,O,O,O,O,O,X,X
ITJZLOS,O,O,X,O,O,X,X
ITJZSLO,O,O,O,O,O,X,X
ITJZSOL,O,O,O,O,O,X,O
ITJZOLS,O,O,X,O,O,X,X
ITJZOSL,O,O,X,O,O,X,O
ITJOLSZ,X,X,O,O,X,X,O
ITJOLZS,X,X,X,O,O,X,X
ITJOSLZ,O,O,O,X,X,X,O
ITJOSZL,O,O,O,X,X,X,O
ITJOZLS,O,O,X,O,O,X,X
ITJOZSL,O,O,X,O,O,X,O
ITSLJZO,O,O,O,O,X,X,X
ITSLJOZ,O,O,O,O,X,X,O
ITSLZJO,O,O,O,O,O,O,X
ITSLZOJ,O,O,O,O,O,O,X
ITSLOJZ,O,O,O,O,X,X,O
ITSLOZJ,O,O,O,O,O,O,X
ITSJLZO,O,O,O,O,X,X,X
ITSJLOZ,O,O,O,O,X,X,O
ITSJZLO,O,O,O,O,X,X,X
ITSJZOL,O,O,O,O,X,X,O
ITSJOLZ,O,O,O,O,X,X,O
ITSJOZL,O,O,O,O,X,X,O
ITSZLJO,O,O,O,O,O,O,X
ITSZLOJ,O,O,O,O,O,O,X
ITSZJLO,O,O,O,O,O,O,X
ITSZJOL,O,O,O,O,O,O,O
ITSZOLJ,O,O,O,O,O,O,X
ITSZOJL,O,O,O,O,O,O,O
ITSOLJZ,O,O,O,O,X,X,O
ITSOLZJ,O,O,O,O,O,O,X
ITSOJLZ,O,O,O,O,X,X,O
ITSOJZL,O,O,O,O,X,X,O
ITSOZLJ,O,O,O,O,O,O,X
ITSOZJL,O,O,O,O,O,O,O
ITZLJSO,O,O,O,O,O,O,X
ITZLJOS,O,O,X,O,O,O,X
ITZLSJO,O,O,O,O,O,O,X
ITZLSOJ,O,O,O,O,O,O,X
ITZLOJS,O,O,X,O,O,O,X
ITZLOSJ,O,O,X,O,O,O,X
ITZJLSO,O,O,O,O,O,O,X
ITZJLOS,O,O,X,O,O,O,X
ITZJSLO,O,O,O,O,O,O,X
ITZJSOL,O,O,O,O,O,O,O
ITZJOLS,O,O,X,O,O,O,X
ITZJOSL,O,O,X,O,O,O,O
ITZSLJO,O,O,O,O,O,O,X
ITZSLOJ,O,O,O,O,O,O,X
ITZSJLO,O,O,O,O,O,O,X
ITZSJOL,O,O,O,O,O,O,O
ITZSOLJ,O,O,O,O,O,O,X
ITZSOJL,O,O,O,O,O,O,O
ITZOLJS,O,O,X,O,O,O,X
ITZOLSJ,O,O,X,O,O,O,X
ITZOJLS,O,O,X,O,O,O,X
ITZOJSL,O,O,X,O,O,O,O
ITZOSLJ,O,O,X,O,O,O,X
ITZOSJL,O,O,X,O,O,O,O
ITOLJSZ,X,X,O,O,X,X,O
ITOLJZS,X,X,X,O,O,X,X
ITOLSJZ,O,O,O,O,X,X,O
ITOLSZJ,O,O,O,X,O,O,X
ITOLZJS,O,O,X,O,O,O,X
ITOLZSJ,O,O,X,O,O,O,X
ITOJLSZ,X,X,O,O,X,X,O
ITOJLZS,X,X,X,O,O,X,X
ITOJSLZ,O,O,O,X,X,X,O
ITOJSZL,O,O,O,X,X,X,O
ITOJZLS,O,O,X,O,O,X,X
ITOJZSL,O,O,X,O,O,X,O
ITOSLJZ,O,O,O,X,X,X,O
ITOSLZJ,O,O,O,X,O,O,X
ITOSJLZ,O,O,O,X,X,X,O
ITOSJZL,O,O,O,X,X,X,O
ITOSZLJ,O,O,O,X,O,O,X
ITOSZJL,O,O,O,X,O,O,O
ITOZLJS,O,O,X,O,O,O,X
ITOZLSJ,O,O,X,O,O,O,X
ITOZJLS,O,O,X,O,O,O,X
ITOZJSL,O,O,X,O,O,O,O
ITOZSLJ,O,O,X,X,O,O,X
ITOZSJL,O,O,X,O,O,O,O
ILTJSZO,X,X,O,X,X,X,X
ILTJSOZ,X,X,O,O,X,X,O
ILTJZSO,X,X,O,X,O,X,X
ILTJZOS,X,X,X,X,O,X,X
ILTJOSZ,X,X,O,O,X,X,O
ILTJOZS,X,X,X,O,O,X,X
ILTSJZO,O,O,O,X,X,X,X
ILTSJOZ,O,O,O,O,X,X,O
ILTSZJO,O,O,O,X,O,O,X
ILTSZOJ,O,O,O,X,O,O,X
ILTSOJZ,O,O,O,O,X,X,O
ILTSOZJ,O,O,O,X,O,O,X
ILTZJSO,O,O,O,X,O,O,X
ILTZJOS,O,O,X,X,O,O,X
ILTZSJO,O,O,O,X,O,O,X
ILTZSOJ,O,O,O,X,O,O,X
ILTZOJS,O,O,X,X,O,O,X
ILTZOSJ,O,O,X,X,O,O,X
ILTOJSZ,X,X,O,O,X,X,O
ILTOJZS,X,X,X,O,O,X,X
ILTOSJZ,O,O,O,X,X,X,O
ILTOSZJ,O,O,O,X,O,O,X
ILTOZJS,O,O,X,X,O,O,X
ILTOZSJ,O,O,X,X,O,O,X
ILJTSZO,X,X,O,X,X,X,X
ILJTSOZ,X,X,O,O,X,X,O
ILJTZSO,X,X,O,X,O,X,X
ILJTZOS,X,X,X,X,O,X,X
ILJTOSZ,X,X,O,O,X,X,O
ILJTOZS,X,X,X,O,O,X,X
ILJSTZO,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,O,X,X,X
ILJSZTO,X,X,X,O,X,X,X
ILJSZOT,X,X,O,O,X,X,X
ILJSOTZ,X,X,O,O,X,X,X
ILJSOZT,X,X,O,O,X,X,X
ILJZTSO,X,X,X,O,X,X,X
ILJZTOS,X,X,X,O,O,X,X
ILJZSTO,X,X,X,O,X,X,X
ILJZSOT,X,X,O,O,O,X,X
ILJZOTS,X,X,X,O,O,X,X
ILJZOST,X,X,X,O,O,X,X
ILJOTSZ,X,X,X,O,X,X,O
ILJOTZS,X,X,X,O,O,X,X
ILJOSTZ,X,X,O,O,X,X,X
ILJOSZT,X,X,O,O,X,X,X
ILJOZTS,X,X,X,O,O,X,X
ILJOZST,X,X,X,O,O,X,X
ILSTJZO,X,O,O,X,X,X,X
ILSTJOZ,X,O,O,O,X,X,X
ILSTZJO,O,O,O,X,O,O,X
ILSTZOJ,O,O,O,X,O,O,X
ILSTOJZ,X,O,O,O,X,X,X
ILSTOZJ,O,O,O,X,O,O,X
ILSJTZO,X,O,O,X,X,X,X
ILSJTOZ,X,O,O,O,X,X,X
ILSJZTO,O,O,X,O,X,X,X
ILSJZOT,O,O,O,O,X,X,X
ILSJOTZ,X,O,O,O,X,X,X
ILSJOZT,O,O,O,O,X,X,X
ILSZTJO,O,O,X,O,X,O,X
ILSZTOJ,O,O,X,O,X,O,X
ILSZJTO,O,O,X,O,X,O,X
ILSZJOT,O,O,O,O,O,X,X
ILSZOTJ,O,O,X,O,X,O,X
ILSZOJT,O,O,O,O,O,X,X
ILSOTJZ,X,O,O,O,X,X,X
ILSOTZJ,O,O,O,X,O,X,X
ILSOJTZ,X,O,O,O,X,X,X
ILSOJZT,O,O,O,O,X,X,X
ILSOZTJ,O,O,X,O,X,X,X
ILSOZJT,O,O,O,O,O,X,X
ILZTJSO,O,X,X,O,O,O,X
ILZTJOS,O,X,X,O,O,O,X
ILZTSJO,O,X,X,O,O,O,X
ILZTSOJ,O,X,X,O,O,O,X
ILZTOJS,O,X,X,O,O,O,X
ILZTOSJ,O,X,X,X,O,O,X
ILZJTSO,O,X,X,O,X,O,X
ILZJTOS,O,X,X,O,O,O,X
ILZJSTO,O,O,X,O,X,O,X
ILZJSOT,O,O,O,O,O,X,X
ILZJOTS,O,X,X,O,O,X,X
ILZJOST,O,O,X,O,O,X,X
ILZSTJO,O,O,X,O,X,O,X
ILZSTOJ,O,O,X,O,X,O,X
ILZSJTO,O,O,X,O,X,O,X
ILZSJOT,O,O,O,O,O,X,X
ILZSOTJ,O,O,X,O,X,O,X
ILZSOJT,O,O,O,O,O,X,X
ILZOTJS,O,X,X,O,O,O,X
ILZOTSJ,O,X,X,X,O,O,X
ILZOJTS,O,X,X,O,O,X,X
ILZOJST,O,O,X,O,O,X,X
ILZOSTJ,O,O,X,O,X,O,X
ILZOSJT,O,O,X,O,O,X,X
ILOTJSZ,X,X,X,O,X,X,O
ILOTJZS,X,X,X,O,O,X,X
ILOTSJZ,O,O,X,X,X,X,O
ILOTSZJ,O,O,X,X,O,X,X
ILOTZJS,O,O,X,X,O,X,X
ILOTZSJ,O,O,X,X,O,X,X
ILOJTSZ,X,X,X,O,X,X,O
ILOJTZS,X,X,X,O,O,X,X
ILOJSTZ,X,X,O,O,X,X,X
ILOJSZT,X,X,O,O,X,X,X
ILOJZTS,X,X,X,O,O,X,X
ILOJZST,X,X,X,O,O,X,X
ILOSTJZ,X,O,O,O,X,X,X
ILOSTZJ,O,O,X,X,O,X,X
ILOSJTZ,X,O,O,O,X,X,X
ILOSJZT,O,O,O,O,X,X,X
ILOSZTJ,O,O,X,X,X,X,X
ILOSZJT,O,O,O,O,O,X,X
ILOZTJS,O,X,X,O,O,X,X
ILOZTSJ,O,X,X,X,O,X,X
ILOZJTS,O,X,X,O,O,X,X
ILOZJST,O,O,X,O,O,X,X
ILOZSTJ,O,O,X,X,X,X,X
ILOZSJT,O,O,X,O,O,X,X
IJTLSZO,X,X,O,O,X,X,X
IJTLSOZ,X,X,O,O,X,X,O
IJTLZSO,X,X,O,O,O,X,X
IJTLZOS,X,X,X,O,O,X,X
IJTLOSZ,X,X,O,O,X,X,O
IJTLOZS,X,X,X,O,O,X,X
IJTSLZO,O,O,O,O,X,X,X
IJTSLOZ,O,O,O,O,X,X,O
IJTSZLO,O,O,O,O,X,X,X
IJTSZOL,O,O,O,O,X,X,O
IJTSOLZ,O,O,O,O,X,X,O
IJTSOZL,O,O,O,O,X,X,O
IJTZLSO,O,O,O,O,O,X,X
IJTZLOS,O,O,X,O,O,X,X
IJTZSLO,O,O,O,O,O,X,X
IJTZSOL,O,O,O,O,O,X,O
IJTZOLS,O,O,X,O,O,X,X
IJTZOSL,O,O,X,O,O,X,O
IJTOLSZ,X,X,O,O,X,X,O
IJTOLZS,X,X,X,O,O,X,X
IJTOSLZ,O,O,O,X,X,X,O
IJTOSZL,O,O,O,X,X,X,O
IJTOZLS,O,O,X,O,O,X,X
IJTOZSL,O,O,X,O,O,X,O
IJLTSZO,X,X,O,X,X,X,X
IJLTSOZ,X,X,O,O,X,X,O
IJLTZSO,X,X,O,X,O,X,X
IJLTZOS,X,X,X,X,O,X,X
IJLTOSZ,X,X,O,O,X,X,O
IJLTOZS,X,X,X,O,O,X,X
IJLSTZO,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,O,X,X,X
IJLSZTO,X,X,X,O,X,X,X
IJLSZOT,X,X,O,O,X,X,X
IJLSOTZ,X,X,O,O,X,X,X
IJLSOZT,X,X,O,O,X,X,X
IJLZTSO,X,X,X,O,X,X,X
IJLZTOS,X,X,X,O,O,X,X
IJLZSTO,X,X,X,O,X,X,X
IJLZSOT,X,X,O,O,O,X,X
IJLZOTS,X,X,X,O,O,X,X
IJLZOST,X,X,X,O,O,X,X
IJLOTSZ,X,X,X,O,X,X,O
IJLOTZS,X,X,X,O,O,X,X
IJLOSTZ,X,X,O,O,X,X,X
IJLOSZT,X,X,O,O,X,X,X
IJLOZTS,X,X,X,O,O,X,X
IJLOZST,X,X,X,O,O,X,X
IJSTLZO,X,O,O,O,X,X,X
IJSTLOZ,X,O,O,O,X,X,O
IJSTZLO,X,O,O,O,X,X,X
IJSTZOL,X,O,O,O,X,X,O
IJSTOLZ,X,O,O,O,X,X,O
IJSTOZL,X,O,O,O,X,X,O
IJSLTZO,X,O,O,X,X,X,X
IJSLTOZ,X,O,O,O,X,X,X
IJSLZTO,O,O,X,O,X,X,X
IJSLZOT,O,O,O,O,X,X,X
IJSLOTZ,X,O,O,O,X,X,X
IJSLOZT,O,O,O,O,X,X,X
IJSZTLO,O,O,O,X,X,X,X
IJSZTOL,O,O,O,O,X,X,X
IJSZLTO,O,O,X,O,X,X,X
IJSZLOT,O,O,O,O,X,X,X
IJSZOTL,O,O,O,O,X,X,X
IJSZOLT,O,O,O,O,X,X,X
IJSOTLZ,X,O,O,O,X,X,O
IJSOTZL,X,O,O,O,X,X,O
IJSOLTZ,X,O,O,O,X,X,X
IJSOLZT,O,O,O,O,X,X,X
IJSOZTL,O,O,O,O,X,X,X
IJSOZLT,O,O,O,O,X,X,X
IJZTLSO,O,X,O,X,X,X,X
IJZTLOS,O,X,X,X,O,X,X
IJZTSLO,O,O,O,X,X,X,X
IJZTSOL,O,O,O,O,X,X,O
IJZTOLS,O,X,X,O,O,X,X
IJZTOSL,O,O,X,O,X,X,O
IJZLTSO,O,X,X,O,X,X,X
IJZLTOS,O,X,X,O,O,X,X
IJZLSTO,O,O,X,O,X,X,X
IJZLSOT,O,O,O,O,O,X,X
IJZLOTS,O,X,X,O,O,X,X
IJZLOST,O,O,X,O,O,X,X
IJZSTLO,O,O,O,X,X,X,X
IJZSTOL,O,O,O,O,X,X,X
IJZSLTO,O,O,X,O,X,X,X
IJZSLOT,O,O,O,O,O,X,X
IJZSOTL,O,O,O,O,X,X,X
IJZSOLT,O,O,O,O,O,X,X
IJZOTLS,O,X,X,O,O,X,X
IJZOTSL,O,O,X,O,X,X,O
IJZOLTS,O,X,X,O,O,X,X
IJZOLST,O,O,X,O,O,X,X
IJZOSTL,O,O,X,O,X,X,X
IJZOSLT,O,O,X,O,O,X,X
IJOTLSZ,X,X,O,O,X,X,O
IJOTLZS,X,X,X,O,O,X,X
IJOTSLZ,O,O,O,X,X,X,O
IJOTSZL,O,O,O,X,X,X,O
IJOTZLS,O,O,X,O,O,X,X
IJOTZSL,O,O,X,O,O,X,O
IJOLTSZ,X,X,X,O,X,X,O
IJOLTZS,X,X,X,O,O,X,X
IJOLSTZ,X,X,O,O,X,X,X
IJOLSZT,X,X,O,O,X,X,X
IJOLZTS,X,X,X,O,O,X,X
IJOLZST,X,X,X,O,O,X,X
IJOSTLZ,X,O,O,X,X,X,O
IJOSTZL,X,O,O,X,X,X,O
IJOSLTZ,X,O,O,X,X,X,X
IJOSLZT,O,O,O,X,X,X,X
IJOSZTL,O,O,O,X,X,X,X
IJOSZLT,O,O,O,X,X,X,X
IJOZTLS,O,X,X,O,O,X,X
IJOZTSL,O,O,X,O,X,X,O
IJOZLTS,O,X,X,O,O,X,X
IJOZLST,O,O,X,O,O,X,X
IJOZSTL,O,O,X,O,X,X,X
IJOZSLT,O,O,X,O,O,X,X
ISTLJZO,O,O,O,O,X,X,X
ISTLJOZ,O,O,O,O,X,X,O
ISTLZJO,O,O,O,O,O,O,X
ISTLZOJ,O,O,O,O,O,O,X
ISTLOJZ,O,O,O,O,X,X,O
ISTLOZJ,O,O,O,O,O,O,X
ISTJLZO,O,O,O,O,X,X,X
ISTJLOZ,O,O,O,O,X,X,O
ISTJZLO,O,O,O,O,X,X,X
ISTJZOL,O,O,O,O,X,X,O
ISTJOLZ,O,O,O,O,X,X,O
ISTJOZL,O,O,O,O,X,X,O
ISTZLJO,O,O,O,O,O,O,X
ISTZLOJ,O,O,O,O,O,O,X
ISTZJLO,O,O,O,O,O,O,X
ISTZJOL,O,O,O,O,O,O,O
ISTZOLJ,O,O,O,O,O,O,X
ISTZOJL,O,O,O,O,O,O,O
ISTOLJZ,O,O,O,O,X,X,O
ISTOLZJ,O,O,O,O,O,O,X
ISTOJLZ,O,O,O,O,X,X,O
ISTOJZL,O,O,O,O,X,X,O
ISTOZLJ,O,O,O,O,O,O,X
ISTOZJL,O,O,O,O,O,O,O
ISLTJZO,X,O,O,X,X,X,X
ISLTJOZ,X,O,O,O,X,X,X
ISLTZJO,O,O,O,X,O,O,X
ISLTZOJ,O,O,O,X,O,O,X
ISLTOJZ,X,O,O,O,X,X,X
ISLTOZJ,O,O,O,X,O,O,X
ISLJTZO,X,O,O,X,X,X,X
ISLJTOZ,X,O,O,O,X,X,X
ISLJZTO,O,O,X,O,X,X,X
ISLJZOT,O,O,O,O,X,X,X
ISLJOTZ,X,O,O,O,X,X,X
ISLJOZT,O,O,O,O,X,X,X
ISLZTJO,O,O,X,O,X,O,X
ISLZTOJ,O,O,X,O,X,O,X
ISLZJTO,O,O,X,O,X,O,X
ISLZJOT,O,O,O,O,O,X,X
ISLZOTJ,O,O,X,O,X,O,X
ISLZOJT,O,O,O,O,O,X,X
ISLOTJZ,X,O,O,O,X,X,X
ISLOTZJ,O,O,O,X,O,X,X
ISLOJTZ,X,O,O,O,X,X,X
ISLOJZT,O,O,O,O,X,X,X
ISLOZTJ,O,O,X,O,X,X,X
ISLOZJT,O,O,O,O,O,X,X
ISJTLZO,X,O,O,O,X,X,X
ISJTLOZ,X,O,O,O,X,X,O
ISJTZLO,X,O,O,O,X,X,X
ISJTZOL,X,O,O,O,X,X,O
ISJTOLZ,X,O,O,O,X,X,O
ISJTOZL,X,O,O,O,X,X,O
ISJLTZO,X,O,O,X,X,X,X
ISJLTOZ,X,O,O,O,X,X,X
ISJLZTO,O,O,X,O,X,X,X
ISJLZOT,O,O,O,O,X,X,X
ISJLOTZ,X,O,O,O,X,X,X
ISJLOZT,O,O,O,O,X,X,X
ISJZTLO,O,O,O,X,X,X,X
ISJZTOL,O,O,O,O,X,X,X
ISJZLTO,O,O,X,O,X,X,X
ISJZLOT,O,O,O,O,X,X,X
ISJZOTL,O,O,O,O,X,X,X
ISJZOLT,O,O,O,O,X,X,X
ISJOTLZ,X,O,O,O,X,X,O
ISJOTZL,X,O,O,O,X,X,O
ISJOLTZ,X,O,O,O,X,X,X
ISJOLZT,O,O,O,O,X,X,X
ISJOZTL,O,O,O,O,X,X,X
ISJOZLT,O,O,O,O,X,X,X
ISZTLJO,O,O,O,X,X,O,X
ISZTLOJ,O,O,O,X,X,O,X
ISZTJLO,O,O,O,X,X,O,X
ISZTJOL,O,O,O,O,X,O,X
ISZTOLJ,O,O,O,X,X,O,X
ISZTOJL,O,O,O,O,X,O,X
ISZLTJO,O,O,X,O,X,O,X
ISZLTOJ,O,O,X,O,X,O,X
ISZLJTO,O,O,X,O,X,O,X
ISZLJOT,O,O,O,O,O,X,X
ISZLOTJ,O,O,X,O,X,O,X
ISZLOJT,O,O,O,O,O,X,X
ISZJTLO,O,O,O,X,X,O,X
ISZJTOL,O,O,O,O,X,O,X
ISZJLTO,O,O,X,O,X,O,X
ISZJLOT,O,O,O,O,O,X,X
ISZJOTL,O,O,O,O,X,X,X
