sequence,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeT6IvhFOgBfiB?xdBCjB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeO/IvhFXbBRdB?SjBUiBzkBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFfiB6iB?TeBmfB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFzcBGeB?ykB3iB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFGdBTeB?/kBalBUiBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeOAJvhFfiBxdB?TfBCjB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFzcBSjB?mfB3iB0kBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8JeT6IvhFGeBykB?RiBUiBXlBFsB,v115@3gA8HeB8HeC8BeC8BeB8CeH8AeC8Jex6IvhFSjBTfB?elBUiBfsBlsB
TILJSZO,O,O,X,O,X,O,X,X,X
TILJSOZ,O,O,X,O,X,O,X,O,X
TILJZSO,O,O,X,O,X,X,X,X,X
TILJZOS,O,O,X,O,X,X,X,O,X
TILJOSZ,X,O,X,O,X,O,X,O,X
TILJOZS,X,O,X,O,X,X,X,O,X
TILSJZO,O,O,X,O,X,O,X,X,X
TILSJOZ,O,O,O,O,X,O,X,O,X
TILSZJO,O,O,X,O,X,O,X,X,X
TILSZOJ,O,O,O,O,X,O,X,X,X
TILSOJZ,O,O,O,O,X,O,X,O,X
TILSOZJ,O,O,O,O,X,O,X,X,X
TILZJSO,O,O,X,O,X,X,O,X,X
TILZJOS,O,O,X,O,O,X,O,O,X
TILZSJO,O,O,X,O,X,X,X,X,X
TILZSOJ,O,O,X,O,X,X,X,X,X
TILZOJS,O,O,X,O,O,X,O,O,X
TILZOSJ,O,O,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,X,O,X,O,X
TILOJZS,X,O,X,O,X,X,X,O,X
TILOSJZ,X,O,O,O,X,O,X,O,X
TILOSZJ,X,O,O,O,X,O,X,X,X
TILOZJS,X,O,X,O,O,X,O,O,X
TILOZSJ,X,O,X,X,X,X,X,X,X
TIJLSZO,O,O,X,O,X,O,X,X,X
TIJLSOZ,O,O,X,O,X,O,X,O,X
TIJLZSO,O,O,X,O,X,X,X,X,X
TIJLZOS,O,O,X,O,X,X,X,O,X
TIJLOSZ,X,O,X,O,X,O,X,O,X
