sequence,v115@AhA8IeA8HeB8FeG8AeA8Kei/IvhFOmB8mBziB5oB3k?BlsB,v115@AhA8IeA8HeB8FeG8AeA8KeOEJvhF8kBihBziB5oB3m?BlsB,v115@AhA8IeA8HeB8FeG8AeA8Kem/IvhFihB3iB5oBTkB1r?B8sB,v115@AhA8IeA8HeB8FeG8AeA8KeKEJvhFzfBlhB3iB5oB2r?B8sB,v115@AhA8IeA8HeB8FeG8AeA8Kem/IvhFKmBfnBliB5oBTk?B8sB,v115@AhA8IeA8HeB8FeG8AeA8Kei/IvhFOmBliB5oB3kBzm?B8sB
TJOSZIL,O,O,O,X,X,O
TJOSZLI,O,O,O,X,X,O
TJOZILS,O,O,O,O,X,O
TJOZISL,O,O,O,O,X,O
TJOZLIS,O,O,O,O,X,O
TJOZLSI,O,O,O,O,X,O
TJOZSIL,O,O,O,O,X,O
TJOZSLI,O,O,O,O,X,O
TSILJZO,O,O,O,X,X,O
TSILJOZ,O,O,X,X,X,O
TSILZJO,O,O,O,X,X,O
TSILZOJ,O,O,O,X,X,O
TSILOJZ,O,O,O,X,X,O
TSILOZJ,O,O,O,X,X,O
TSIJLZO,O,O,O,X,X,O
TSIJLOZ,O,O,X,X,X,O
TSIJZLO,O,O,O,X,X,O
TSIJZOL,O,O,O,X,X,O
TSIJOLZ,O,O,X,X,X,O
TSIJOZL,O,O,X,X,X,O
TSIZLJO,O,O,O,X,X,O
TSIZLOJ,O,O,O,X,X,O
TSIZJLO,O,O,O,X,X,O
TSIZJOL,O,O,O,X,X,O
TSIZOLJ,O,O,O,X,X,O
TSIZOJL,O,O,O,X,X,O
TSIOLJZ,O,O,O,X,X,O
TSIOLZJ,O,O,O,X,X,O
TSIOJLZ,O,O,O,X,X,O
TSIOJZL,O,O,O,X,X,O
TSIOZLJ,O,O,O,X,X,O
TSIOZJL,O,O,O,X,X,O
TSLIJZO,O,O,O,X,X,O
TSLIJOZ,O,O,X,X,X,O
TSLIZJO,O,O,O,X,X,O
TSLIZOJ,O,O,O,X,X,O
TSLIOJZ,O,O,O,X,X,O
TSLIOZJ,O,O,O,X,X,O
TSLJIZO,O,O,O,X,X,O
TSLJIOZ,O,O,X,X,X,O
TSLJZIO,O,O,O,X,X,O
TSLJZOI,O,O,O,X,X,O
TSLJOIZ,O,O,X,X,X,O
TSLJOZI,O,O,X,X,X,O
TSLZIJO,O,O,O,X,X,O
TSLZIOJ,O,O,O,X,X,O
TSLZJIO,O,O,O,X,X,O
TSLZJOI,O,O,O,X,X,O
TSLZOIJ,O,O,O,X,X,O
TSLZOJI,O,O,O,X,X,O
TSLOIJZ,O,O,O,X,X,O
TSLOIZJ,O,O,O,X,X,O
TSLOJIZ,O,O,O,X,X,O
TSLOJZI,O,O,O,X,X,O
TSLOZIJ,O,O,O,X,X,O
TSLOZJI,O,O,O,X,X,O
TSJILZO,O,O,O,X,X,O
TSJILOZ,O,O,X,X,X,O
TSJIZLO,O,O,O,X,X,O
TSJIZOL,O,O,O,X,X,O
TSJIOLZ,O,O,X,X,X,O
TSJIOZL,O,O,X,X,X,O
TSJLIZO,O,O,O,X,X,O
TSJLIOZ,O,O,X,X,X,O
TSJLZIO,O,O,O,X,X,O
TSJLZOI,O,O,O,X,X,O
TSJLOIZ,O,O,X,X,X,O
TSJLOZI,O,O,X,X,X,O
TSJZILO,O,O,O,X,X,O
TSJZIOL,O,O,O,X,X,O
TSJZLIO,O,O,O,X,X,O
TSJZLOI,O,O,O,X,X,O
TSJZOIL,O,O,O,X,X,O
TSJZOLI,O,O,O,X,X,O
TSJOILZ,O,O,X,X,X,O
TSJOIZL,O,O,X,X,X,O
TSJOLIZ,O,O,X,X,X,O
TSJOLZI,O,O,X,X,X,O
TSJOZIL,O,O,X,X,X,O
TSJOZLI,O,O,X,X,X,O
TSZILJO,O,O,O,X,X,O
TSZILOJ,O,O,O,X,X,O
TSZIJLO,O,O,O,X,X,O
TSZIJOL,O,O,O,X,X,O
TSZIOLJ,O,O,O,X,X,O
TSZIOJL,O,O,O,X,X,O
TSZLIJO,O,O,O,X,X,O
TSZLIOJ,O,O,O,X,X,O
TSZLJIO,O,O,O,X,X,O
TSZLJOI,O,O,O,X,X,O
TSZLOIJ,O,O,O,X,X,O
TSZLOJI,O,O,O,X,X,O
TSZJILO,O,O,O,X,X,O
TSZJIOL,O,O,O,X,X,O
TSZJLIO,O,O,O,X,X,O
TSZJLOI,O,O,O,X,X,O
TSZJOIL,O,O,O,X,X,O
TSZJOLI,O,O,O,X,X,O
TSZOILJ,O,O,O,X,X,O
TSZOIJL,O,O,O,X,X,O
TSZOLIJ,O,O,O,X,X,O
TSZOLJI,O,O,O,X,X,O
TSZOJIL,O,O,O,X,X,O
TSZOJLI,O,O,O,X,X,O
TSOILJZ,O,O,O,X,X,O
TSOILZJ,O,O,O,X,X,O
TSOIJLZ,O,O,O,X,X,O
TSOIJZL,O,O,O,X,X,O
TSOIZLJ,O,O,O,X,X,O
TSOIZJL,O,O,O,X,X,O
TSOLIJZ,O,O,O,X,X,O
TSOLIZJ,O,O,O,X,X,O
TSOLJIZ,O,O,O,X,X,O
TSOLJZI,O,O,O,X,X,O
TSOLZIJ,O,O,O,X,X,O
TSOLZJI,O,O,O,X,X,O
TSOJILZ,O,O,O,X,X,O
TSOJIZL,O,O,O,X,X,O
TSOJLIZ,O,O,O,X,X,O
TSOJLZI,O,O,O,X,X,O
TSOJZIL,O,O,O,X,X,O
TSOJZLI,O,O,O,X,X,O
TSOZILJ,O,O,O,X,X,O
TSOZIJL,O,O,O,X,X,O
TSOZLIJ,O,O,O,X,X,O
TSOZLJI,O,O,O,X,X,O
TSOZJIL,O,O,O,X,X,O
TSOZJLI,O,O,O,X,X,O
TZILJSO,O,O,O,O,O,O
TZILJOS,O,O,O,O,X,X
TZILSJO,O,O,O,O,O,O
TZILSOJ,O,O,O,O,O,O
TZILOJS,O,O,O,O,O,O
TZILOSJ,O,O,O,O,O,O
TZIJLSO,O,O,O,O,O,O
TZIJLOS,O,O,O,O,X,X
TZIJSLO,O,O,O,O,X,O
TZIJSOL,O,O,O,O,X,O
TZIJOLS,O,O,O,O,X,O
TZIJOSL,O,O,O,O,X,O
TZISLJO,O,O,O,O,X,O
TZISLOJ,O,O,O,O,X,O
TZISJLO,O,O,O,O,X,O
TZISJOL,O,O,O,O,X,O
TZISOLJ,O,O,O,O,X,O
TZISOJL,O,O,O,X,X,O
TZIOLJS,O,O,O,X,O,O
TZIOLSJ,O,O,O,X,O,O
TZIOJLS,O,O,O,X,O,O
TZIOJSL,O,O,O,X,X,O
TZIOSLJ,O,O,O,X,X,O
TZIOSJL,O,O,O,X,X,O
TZLIJSO,O,O,O,O,O,O
TZLIJOS,O,O,O,O,X,X
TZLISJO,O,O,O,O,O,O
TZLISOJ,O,O,O,O,O,O
TZLIOJS,O,O,O,O,O,O
TZLIOSJ,O,O,O,O,O,O
TZLJISO,O,O,O,O,O,O
TZLJIOS,O,O,O,O,X,X
TZLJSIO,O,O,O,O,O,O
TZLJSOI,O,O,O,O,O,O
TZLJOIS,O,O,O,O,X,X
TZLJOSI,O,O,O,O,X,X
TZLSIJO,O,O,O,O,O,O
TZLSIOJ,O,O,O,O,O,O
TZLSJIO,O,O,O,O,O,O
TZLSJOI,O,O,O,O,O,O
TZLSOIJ,O,O,O,O,O,O
TZLSOJI,O,O,O,O,O,O
TZLOIJS,O,O,O,O,O,O
TZLOISJ,O,O,O,O,O,O
TZLOJIS,O,O,O,O,O,O
TZLOJSI,O,O,O,O,O,O
TZLOSIJ,O,O,O,O,O,O
TZLOSJI,O,O,O,O,O,O
TZJILSO,O,O,O,O,O,O
TZJILOS,O,O,O,O,X,X
TZJISLO,O,O,O,O,X,O
TZJISOL,O,O,O,O,X,O
TZJIOLS,O,O,O,O,X,O
TZJIOSL,O,O,O,O,X,O
TZJLISO,O,O,O,O,O,O
TZJLIOS,O,O,O,O,X,X
TZJLSIO,O,O,O,O,O,O
TZJLSOI,O,O,O,O,O,O
TZJLOIS,O,O,O,O,X,X
TZJLOSI,O,O,O,O,X,X
TZJSILO,O,O,O,O,X,O
TZJSIOL,O,O,O,O,X,O
TZJSLIO,O,O,O,O,X,O
TZJSLOI,O,O,O,O,X,O
TZJSOIL,O,O,O,O,X,O
TZJSOLI,O,O,O,O,X,O
TZJOILS,O,O,O,O,X,O
TZJOISL,O,O,O,O,X,O
TZJOLIS,O,O,O,O,X,O
TZJOLSI,O,O,O,O,X,O
TZJOSIL,O,O,O,O,X,O
TZJOSLI,O,O,O,O,X,O
TZSILJO,O,O,O,O,X,O
TZSILOJ,O,O,O,O,X,O
TZSIJLO,O,O,O,O,X,O
TZSIJOL,O,O,O,O,X,O
TZSIOLJ,O,O,O,O,X,O
TZSIOJL,O,O,O,X,X,O
TZSLIJO,O,O,O,O,X,O
TZSLIOJ,O,O,O,O,X,O
TZSLJIO,O,O,O,O,X,O
TZSLJOI,O,O,O,O,X,O
TZSLOIJ,O,O,O,O,X,O
TZSLOJI,O,O,O,O,X,O
TZSJILO,O,O,O,O,X,O
TZSJIOL,O,O,O,O,X,O
TZSJLIO,O,O,O,O,X,O
TZSJLOI,O,O,O,O,X,O
TZSJOIL,O,O,O,O,X,O
TZSJOLI,O,O,O,O,X,O
TZSOILJ,O,O,O,O,X,O
TZSOIJL,O,O,O,X,X,O
TZSOLIJ,O,O,O,O,X,O
TZSOLJI,O,O,O,O,X,O
TZSOJIL,O,O,O,X,X,O
TZSOJLI,O,O,O,X,X,O
TZOILJS,O,O,O,X,O,O
TZOILSJ,O,O,O,X,O,O
TZOIJLS,O,O,O,X,O,O
TZOIJSL,O,O,O,X,X,O
TZOISLJ,O,O,O,X,X,O
TZOISJL,O,O,O,X,X,O
TZOLIJS,O,O,O,X,O,O
TZOLISJ,O,O,O,X,O,O
TZOLJIS,O,O,O,X,O,O
TZOLJSI,O,O,O,X,O,O
TZOLSIJ,O,O,O,X,O,O
TZOLSJI,O,O,O,X,O,O
TZOJILS,O,O,O,X,O,O
TZOJISL,O,O,O,X,X,O
TZOJLIS,O,O,O,X,O,O
TZOJLSI,O,O,O,X,O,O
TZOJSIL,O,O,O,X,X,O
TZOJSLI,O,O,O,X,X,O
TZOSILJ,O,O,O,X,X,O
TZOSIJL,O,O,O,X,X,O
TZOSLIJ,O,O,O,X,X,O
TZOSLJI,O,O,O,X,X,O
TZOSJIL,O,O,O,X,X,O
TZOSJLI,O,O,O,X,X,O
TOILJSZ,X,X,O,X,O,X
TOILJZS,X,X,O,X,O,X
TOILSJZ,O,O,O,X,O,X
TOILSZJ,O,O,O,X,O,X
TOILZJS,O,O,O,X,O,X
TOILZSJ,O,O,O,X,O,X
TOIJLSZ,X,X,O,X,O,X
TOIJLZS,X,X,O,X,O,X
TOIJSLZ,O,O,O,X,X,O
TOIJSZL,O,O,O,X,X,O
TOIJZLS,O,O,O,X,O,O
TOIJZSL,O,O,O,X,X,O
TOISLJZ,O,O,O,X,X,O
TOISLZJ,O,O,O,X,X,O
TOISJLZ,O,O,O,X,X,O
TOISJZL,O,O,O,X,X,O
TOISZLJ,O,O,O,X,X,O
TOISZJL,O,O,O,X,X,O
TOIZLJS,O,O,O,X,O,O
TOIZLSJ,O,O,O,X,O,O
TOIZJLS,O,O,O,X,O,O
TOIZJSL,O,O,O,X,X,O
TOIZSLJ,O,O,O,X,X,O
TOIZSJL,O,O,O,X,X,O
TOLIJSZ,X,X,O,X,O,X
TOLIJZS,X,X,O,X,O,X
TOLISJZ,O,O,O,X,O,X
TOLISZJ,O,O,O,X,O,X
TOLIZJS,O,O,O,X,O,X
TOLIZSJ,O,O,O,X,O,X
TOLJISZ,X,X,O,X,O,X
TOLJIZS,X,X,O,X,O,X
TOLJSIZ,X,X,O,X,O,X
TOLJSZI,X,X,O,X,O,X
TOLJZIS,X,X,O,X,O,X
TOLJZSI,X,X,O,X,O,X
TOLSIJZ,O,O,O,X,O,X
TOLSIZJ,O,O,O,X,O,X
TOLSJIZ,O,O,O,X,O,X
TOLSJZI,O,O,O,X,O,X
TOLSZIJ,O,O,O,X,O,X
TOLSZJI,O,O,O,X,O,X
TOLZIJS,O,O,O,X,O,X
TOLZISJ,O,O,O,X,O,X
TOLZJIS,O,O,O,X,O,X
TOLZJSI,O,O,O,X,O,X
TOLZSIJ,O,O,O,X,O,X
TOLZSJI,O,O,O,X,O,X
TOJILSZ,X,X,O,X,O,X
TOJILZS,X,X,O,X,O,X
TOJISLZ,O,O,O,X,X,O
TOJISZL,O,O,O,X,X,O
TOJIZLS,O,O,O,X,O,O
TOJIZSL,O,O,O,X,X,O
TOJLISZ,X,X,O,X,O,X
TOJLIZS,X,X,O,X,O,X
TOJLSIZ,X,X,O,X,O,X
TOJLSZI,X,X,O,X,O,X
TOJLZIS,X,X,O,X,O,X
TOJLZSI,X,X,O,X,O,X
TOJSILZ,O,O,O,X,X,O
TOJSIZL,O,O,O,X,X,O
TOJSLIZ,O,O,O,X,X,O
TOJSLZI,O,O,O,X,X,O
TOJSZIL,O,O,O,X,X,O
TOJSZLI,O,O,O,X,X,O
TOJZILS,O,O,O,X,O,O
