sequence,v115@/gA8BeA8DeF8DeE8EeF8AeC8JeT6IvhF0bBmcB5jBa?oB3iBFsB,v115@/gA8BeA8DeF8DeE8EeF8AeC8JeT6IvhF0bBxcBiiB+?oBXjBFsB,v115@/gA8BeA8DeF8DeE8EeF8AeC8JeT6IvhF0bBGeBZnBq?sB/tBlrB,v115@/gA8BeA8DeF8DeE8EeF8AeC8JeT6IvhF0bBfjB6jBZ?nBWyBlrB
ILTJSZO,O,O,X,X
ILTJSOZ,O,O,X,X
ILTJZSO,O,O,X,X
ILTJZOS,O,O,X,X
ILTJOSZ,O,O,X,X
ILTJOZS,O,O,X,X
ILTSJZO,O,X,O,X
ILTSJOZ,O,X,O,X
ILTSZJO,O,X,O,X
ILTSZOJ,O,X,O,X
ILTSOJZ,O,X,O,X
ILTSOZJ,O,X,O,X
ILTZJSO,O,O,X,X
ILTZJOS,O,O,X,X
ILTZSJO,O,X,O,X
ILTZSOJ,O,X,O,X
ILTZOJS,O,O,X,X
ILTZOSJ,O,X,O,X
ILTOJSZ,O,O,X,X
ILTOJZS,O,O,X,X
ILTOSJZ,O,X,O,X
ILTOSZJ,O,X,O,X
ILTOZJS,O,O,X,X
ILTOZSJ,O,X,O,X
ILJTSZO,O,X,X,X
ILJTSOZ,O,X,X,X
ILJTZSO,O,X,X,X
ILJTZOS,O,X,X,X
ILJTOSZ,O,X,X,X
ILJTOZS,O,X,X,X
ILJSTZO,X,X,O,O
ILJSTOZ,X,X,O,O
ILJSZTO,X,X,O,O
ILJSZOT,O,X,O,O
ILJSOTZ,X,X,O,O
ILJSOZT,O,X,O,O
ILJZTSO,O,X,X,X
ILJZTOS,O,X,X,X
ILJZSTO,X,X,O,O
ILJZSOT,O,X,O,O
ILJZOTS,O,X,X,X
ILJZOST,O,X,O,O
ILJOTSZ,O,X,X,X
ILJOTZS,O,X,X,X
ILJOSTZ,X,X,O,O
ILJOSZT,O,X,O,O
ILJOZTS,O,X,X,X
ILJOZST,O,X,O,O
ILSTJZO,X,X,O,X
ILSTJOZ,X,X,O,X
ILSTZJO,X,X,O,X
ILSTZOJ,X,X,O,X
ILSTOJZ,X,X,O,X
ILSTOZJ,X,X,O,X
ILSJTZO,X,X,O,X
ILSJTOZ,X,X,O,X
ILSJZTO,X,X,O,X
ILSJZOT,O,X,O,X
ILSJOTZ,X,X,O,X
ILSJOZT,O,X,O,X
ILSZTJO,X,X,O,X
ILSZTOJ,X,X,O,X
ILSZJTO,X,X,O,X
ILSZJOT,O,X,O,X
ILSZOTJ,X,X,O,X
ILSZOJT,O,X,O,X
ILSOTJZ,X,X,O,X
ILSOTZJ,X,X,O,X
ILSOJTZ,X,X,O,X
ILSOJZT,O,X,O,X
ILSOZTJ,X,X,O,X
ILSOZJT,O,X,O,X
ILZTJSO,O,O,X,X
ILZTJOS,O,O,X,X
ILZTSJO,O,X,O,X
ILZTSOJ,O,X,O,X
ILZTOJS,O,O,X,X
ILZTOSJ,O,X,O,X
ILZJTSO,O,X,X,X
ILZJTOS,O,X,X,X
ILZJSTO,X,X,O,O
ILZJSOT,O,X,O,O
ILZJOTS,O,X,X,X
ILZJOST,O,X,O,O
ILZSTJO,X,X,O,X
ILZSTOJ,X,X,O,X
ILZSJTO,X,X,O,X
ILZSJOT,O,X,O,X
ILZSOTJ,X,X,O,X
ILZSOJT,O,X,O,X
ILZOTJS,O,O,X,X
ILZOTSJ,O,X,O,X
ILZOJTS,O,X,X,X
ILZOJST,O,X,O,O
ILZOSTJ,X,X,O,X
ILZOSJT,O,X,O,X
ILOTJSZ,O,O,X,X
ILOTJZS,O,O,X,X
ILOTSJZ,O,X,O,X
ILOTSZJ,O,X,O,X
ILOTZJS,O,O,X,X
ILOTZSJ,O,X,O,X
ILOJTSZ,O,X,X,X
ILOJTZS,O,X,X,X
ILOJSTZ,X,X,O,O
ILOJSZT,O,X,O,O
ILOJZTS,O,X,X,X
ILOJZST,O,X,O,O
ILOSTJZ,X,X,O,X
ILOSTZJ,X,X,O,X
ILOSJTZ,X,X,O,X
ILOSJZT,O,X,O,X
ILOSZTJ,X,X,O,X
ILOSZJT,O,X,O,X
ILOZTJS,O,O,X,X
ILOZTSJ,O,X,O,X
ILOZJTS,O,X,X,X
ILOZJST,O,X,O,O
ILOZSTJ,X,X,O,X
ILOZSJT,O,X,O,X
IJTLSZO,O,O,X,X
IJTLSOZ,O,O,X,X
IJTLZSO,O,O,X,X
IJTLZOS,O,O,X,X
IJTLOSZ,O,O,X,X
IJTLOZS,O,O,X,X
IJTSLZO,O,O,X,O
IJTSLOZ,O,O,X,O
IJTSZLO,O,O,X,O
IJTSZOL,O,O,X,O
IJTSOLZ,O,O,X,O
IJTSOZL,O,O,X,O
IJTZLSO,O,O,X,X
IJTZLOS,O,O,X,X
IJTZSLO,O,O,X,O
IJTZSOL,O,O,X,O
IJTZOLS,O,O,X,X
IJTZOSL,O,O,X,O
IJTOLSZ,O,O,X,X
IJTOLZS,O,O,X,X
IJTOSLZ,O,O,X,O
IJTOSZL,O,O,X,O
IJTOZLS,O,O,X,X
IJTOZSL,O,O,X,O
IJLTSZO,O,X,X,X
IJLTSOZ,O,X,X,X
IJLTZSO,O,X,X,X
IJLTZOS,O,X,X,X
IJLTOSZ,O,X,X,X
IJLTOZS,O,X,X,X
IJLSTZO,X,X,O,O
IJLSTOZ,X,X,O,O
IJLSZTO,X,X,O,O
IJLSZOT,O,X,O,O
IJLSOTZ,X,X,O,O
IJLSOZT,O,X,O,O
IJLZTSO,O,X,X,X
IJLZTOS,O,X,X,X
IJLZSTO,X,X,O,O
IJLZSOT,O,X,O,O
IJLZOTS,O,X,X,X
IJLZOST,O,X,O,O
IJLOTSZ,O,X,X,X
IJLOTZS,O,X,X,X
IJLOSTZ,X,X,O,O
IJLOSZT,O,X,O,O
IJLOZTS,O,X,X,X
IJLOZST,O,X,O,O
IJSTLZO,O,X,X,O
IJSTLOZ,O,X,X,O
IJSTZLO,O,X,X,O
IJSTZOL,O,X,X,O
IJSTOLZ,O,X,X,O
IJSTOZL,O,X,X,O
IJSLTZO,X,X,X,O
IJSLTOZ,X,X,X,O
IJSLZTO,X,X,X,O
IJSLZOT,O,X,X,O
IJSLOTZ,X,X,X,O
IJSLOZT,O,X,X,O
IJSZTLO,O,X,X,O
IJSZTOL,O,X,X,O
IJSZLTO,X,X,X,O
IJSZLOT,O,X,X,O
IJSZOTL,O,X,X,O
IJSZOLT,O,X,X,O
IJSOTLZ,O,X,X,O
IJSOTZL,O,X,X,O
IJSOLTZ,X,X,X,O
IJSOLZT,O,X,X,O
IJSOZTL,O,X,X,O
IJSOZLT,O,X,X,O
IJZTLSO,O,O,X,X
IJZTLOS,O,O,X,X
IJZTSLO,O,O,X,O
IJZTSOL,O,O,X,O
IJZTOLS,O,O,X,X
IJZTOSL,O,O,X,O
IJZLTSO,O,X,X,X
IJZLTOS,O,X,X,X
IJZLSTO,X,X,O,O
IJZLSOT,O,X,O,O
IJZLOTS,O,X,X,X
IJZLOST,O,X,O,O
IJZSTLO,O,X,X,O
IJZSTOL,O,X,X,O
IJZSLTO,X,X,X,O
IJZSLOT,O,X,X,O
IJZSOTL,O,X,X,O
IJZSOLT,O,X,X,O
IJZOTLS,O,O,X,X
IJZOTSL,O,O,X,O
IJZOLTS,O,X,X,X
IJZOLST,O,X,O,O
IJZOSTL,O,X,X,O
IJZOSLT,O,X,X,O
IJOTLSZ,O,O,X,X
IJOTLZS,O,O,X,X
IJOTSLZ,O,O,X,O
IJOTSZL,O,O,X,O
IJOTZLS,O,O,X,X
IJOTZSL,O,O,X,O
IJOLTSZ,O,X,X,X
IJOLTZS,O,X,X,X
IJOLSTZ,X,X,O,O
IJOLSZT,O,X,O,O
IJOLZTS,O,X,X,X
IJOLZST,O,X,O,O
IJOSTLZ,O,X,X,O
IJOSTZL,O,X,X,O
IJOSLTZ,X,X,X,O
IJOSLZT,O,X,X,O
IJOSZTL,O,X,X,O
IJOSZLT,O,X,X,O
IJOZTLS,O,O,X,X
IJOZTSL,O,O,X,O
IJOZLTS,O,X,X,X
IJOZLST,O,X,O,O
IJOZSTL,O,X,X,O
IJOZSLT,O,X,X,O
ISTLJZO,O,X,X,X
ISTLJOZ,O,X,X,X
ISTLZJO,O,X,X,X
ISTLZOJ,O,X,X,X
ISTLOJZ,O,X,X,X
ISTLOZJ,O,X,X,X
ISTJLZO,O,O,X,X
ISTJLOZ,O,O,X,X
ISTJZLO,O,O,X,X
ISTJZOL,O,O,X,X
ISTJOLZ,O,O,X,X
ISTJOZL,O,O,X,X
ISTZLJO,O,X,X,X
ISTZLOJ,O,X,X,X
ISTZJLO,O,O,X,X
ISTZJOL,O,O,X,X
ISTZOLJ,O,X,X,X
ISTZOJL,O,O,X,X
ISTOLJZ,O,X,X,X
ISTOLZJ,O,X,X,X
ISTOJLZ,O,O,X,X
ISTOJZL,O,O,X,X
ISTOZLJ,O,X,X,X
ISTOZJL,O,O,X,X
ISLTJZO,X,X,O,X
ISLTJOZ,X,X,O,X
ISLTZJO,X,X,O,X
ISLTZOJ,X,X,O,X
ISLTOJZ,X,X,O,X
ISLTOZJ,X,X,O,X
ISLJTZO,X,X,O,X
ISLJTOZ,X,X,O,X
ISLJZTO,X,X,O,X
ISLJZOT,O,X,O,X
ISLJOTZ,X,X,O,X
ISLJOZT,O,X,O,X
ISLZTJO,X,X,O,X
ISLZTOJ,X,X,O,X
ISLZJTO,X,X,O,X
ISLZJOT,O,X,O,X
ISLZOTJ,X,X,O,X
ISLZOJT,O,X,O,X
ISLOTJZ,X,X,O,X
ISLOTZJ,X,X,O,X
ISLOJTZ,X,X,O,X
ISLOJZT,O,X,O,X
ISLOZTJ,X,X,O,X
ISLOZJT,O,X,O,X
ISJTLZO,O,X,X,O
ISJTLOZ,O,X,X,O
ISJTZLO,O,X,X,O
ISJTZOL,O,X,X,O
ISJTOLZ,O,X,X,O
ISJTOZL,O,X,X,O
ISJLTZO,X,X,O,O
ISJLTOZ,X,X,O,O
ISJLZTO,X,X,O,O
ISJLZOT,O,X,O,O
ISJLOTZ,X,X,O,O
ISJLOZT,O,X,O,O
ISJZTLO,O,X,X,O
ISJZTOL,O,X,X,O
ISJZLTO,X,X,O,O
ISJZLOT,O,X,O,O
ISJZOTL,O,X,X,O
ISJZOLT,O,X,O,O
ISJOTLZ,O,X,X,O
ISJOTZL,O,X,X,O
ISJOLTZ,X,X,O,O
ISJOLZT,O,X,O,O
ISJOZTL,O,X,X,O
ISJOZLT,O,X,O,O
ISZTLJO,O,X,X,X
ISZTLOJ,O,X,X,X
ISZTJLO,O,O,X,X
ISZTJOL,O,O,X,X
ISZTOLJ,O,X,X,X
ISZTOJL,O,O,X,X
ISZLTJO,X,X,O,X
ISZLTOJ,X,X,O,X
ISZLJTO,X,X,O,X
ISZLJOT,O,X,O,X
ISZLOTJ,X,X,O,X
ISZLOJT,O,X,O,X
ISZJTLO,O,X,X,O
ISZJTOL,O,X,X,O
ISZJLTO,X,X,O,O
ISZJLOT,O,X,O,O
ISZJOTL,O,X,X,O
ISZJOLT,O,X,O,O
ISZOTLJ,O,X,X,X
ISZOTJL,O,O,X,X
ISZOLTJ,X,X,O,X
ISZOLJT,O,X,O,X
ISZOJTL,O,X,X,O
ISZOJLT,O,X,O,O
ISOTLJZ,O,X,X,X
ISOTLZJ,O,X,X,X
ISOTJLZ,O,O,X,X
ISOTJZL,O,O,X,X
ISOTZLJ,O,X,X,X
ISOTZJL,O,O,X,X
ISOLTJZ,X,X,O,X
ISOLTZJ,X,X,O,X
ISOLJTZ,X,X,O,X
ISOLJZT,O,X,O,X
ISOLZTJ,X,X,O,X
ISOLZJT,O,X,O,X
ISOJTLZ,O,X,X,O
ISOJTZL,O,X,X,O
ISOJLTZ,X,X,O,O
ISOJLZT,O,X,O,O
ISOJZTL,O,X,X,O
ISOJZLT,O,X,O,O
ISOZTLJ,O,X,X,X
ISOZTJL,O,O,X,X
ISOZLTJ,X,X,O,X
ISOZLJT,O,X,O,X
ISOZJTL,O,X,X,O
ISOZJLT,O,X,O,O
IZTLJSO,O,O,X,X
IZTLJOS,O,O,X,X
IZTLSJO,O,X,O,X
IZTLSOJ,O,X,O,X
IZTLOJS,O,O,X,X
IZTLOSJ,O,X,O,X
IZTJLSO,O,O,X,X
IZTJLOS,O,O,X,X
IZTJSLO,O,O,X,O
IZTJSOL,O,O,X,O
IZTJOLS,O,O,X,X
IZTJOSL,O,O,X,O
IZTSLJO,O,X,X,X
IZTSLOJ,O,X,X,X
IZTSJLO,O,O,X,X
IZTSJOL,O,O,X,X
IZTSOLJ,O,X,X,X
IZTSOJL,O,O,X,X
IZTOLJS,O,O,X,X
IZTOLSJ,O,X,O,X
IZTOJLS,O,O,X,X
IZTOJSL,O,O,X,O
IZTOSLJ,O,X,X,X
IZTOSJL,O,O,X,X
IZLTJSO,O,O,X,X
IZLTJOS,O,O,X,X
IZLTSJO,O,X,O,X
IZLTSOJ,O,X,O,X
IZLTOJS,O,O,X,X
IZLTOSJ,O,X,O,X
IZLJTSO,O,X,X,X
IZLJTOS,O,X,X,X
IZLJSTO,X,X,O,O
IZLJSOT,O,X,O,O
IZLJOTS,O,X,X,X
IZLJOST,O,X,O,O
IZLSTJO,X,X,O,X
IZLSTOJ,X,X,O,X
IZLSJTO,X,X,O,X
IZLSJOT,O,X,O,X
IZLSOTJ,X,X,O,X
IZLSOJT,O,X,O,X
IZLOTJS,O,O,X,X
IZLOTSJ,O,X,O,X
IZLOJTS,O,X,X,X
IZLOJST,O,X,O,O
IZLOSTJ,X,X,O,X
IZLOSJT,O,X,O,X
IZJTLSO,O,O,X,X
IZJTLOS,O,O,X,X
IZJTSLO,O,O,X,O
IZJTSOL,O,O,X,O
IZJTOLS,O,O,X,X
IZJTOSL,O,O,X,O
IZJLTSO,O,X,X,X
IZJLTOS,O,X,X,X
IZJLSTO,X,X,O,O
IZJLSOT,O,X,O,O
IZJLOTS,O,X,X,X
IZJLOST,O,X,O,O
IZJSTLO,O,X,X,O
IZJSTOL,O,X,X,O
IZJSLTO,X,X,X,O
IZJSLOT,O,X,X,O
IZJSOTL,O,X,X,O
IZJSOLT,O,X,X,O
IZJOTLS,O,O,X,X
IZJOTSL,O,O,X,O
IZJOLTS,O,X,X,X
IZJOLST,O,X,O,O
IZJOSTL,O,X,X,O
IZJOSLT,O,X,X,O
IZSTLJO,O,X,X,X
IZSTLOJ,O,X,X,X
IZSTJLO,O,O,X,X
IZSTJOL,O,O,X,X
IZSTOLJ,O,X,X,X
IZSTOJL,O,O,X,X
IZSLTJO,X,X,O,X
IZSLTOJ,X,X,O,X
IZSLJTO,X,X,O,X
IZSLJOT,O,X,O,X
IZSLOTJ,X,X,O,X
IZSLOJT,O,X,O,X
IZSJTLO,O,X,X,O
IZSJTOL,O,X,X,O
IZSJLTO,X,X,O,O
IZSJLOT,O,X,O,O
IZSJOTL,O,X,X,O
IZSJOLT,O,X,O,O
IZSOTLJ,O,X,X,X
IZSOTJL,O,O,X,X
IZSOLTJ,X,X,O,X
IZSOLJT,O,X,O,X
IZSOJTL,O,X,X,O
IZSOJLT,O,X,O,O
IZOTLJS,O,O,X,X
IZOTLSJ,O,X,O,X
IZOTJLS,O,O,X,X
IZOTJSL,O,O,X,O
IZOTSLJ,O,X,X,X
IZOTSJL,O,O,X,X
IZOLTJS,O,O,X,X
IZOLTSJ,O,X,O,X
IZOLJTS,O,X,X,X
IZOLJST,O,X,O,O
IZOLSTJ,X,X,O,X
IZOLSJT,O,X,O,X
IZOJTLS,O,O,X,X
IZOJTSL,O,O,X,O
IZOJLTS,O,X,X,X
IZOJLST,O,X,O,O
IZOJSTL,O,X,X,O
IZOJSLT,O,X,X,O
IZOSTLJ,O,X,X,X
IZOSTJL,O,O,X,X
IZOSLTJ,X,X,O,X
IZOSLJT,O,X,O,X
IZOSJTL,O,X,X,O
IZOSJLT,O,X,O,O
IOTLJSZ,O,O,X,X
IOTLJZS,O,O,X,X
IOTLSJZ,O,X,O,X
IOTLSZJ,O,X,O,X
IOTLZJS,O,O,X,X
IOTLZSJ,O,X,O,X
IOTJLSZ,O,O,X,X
IOTJLZS,O,O,X,X
IOTJSLZ,O,O,X,O
IOTJSZL,O,O,X,O
IOTJZLS,O,O,X,X
IOTJZSL,O,O,X,O
IOTSLJZ,O,X,X,X
IOTSLZJ,O,X,X,X
IOTSJLZ,O,O,X,X
IOTSJZL,O,O,X,X
IOTSZLJ,O,X,X,X
IOTSZJL,O,O,X,X
IOTZLJS,O,O,X,X
IOTZLSJ,O,X,O,X
IOTZJLS,O,O,X,X
IOTZJSL,O,O,X,O
IOTZSLJ,O,X,X,X
IOTZSJL,O,O,X,X
IOLTJSZ,O,O,X,X
IOLTJZS,O,O,X,X
IOLTSJZ,O,X,O,X
IOLTSZJ,O,X,O,X
IOLTZJS,O,O,X,X
IOLTZSJ,O,X,O,X
IOLJTSZ,O,X,X,X
IOLJTZS,O,X,X,X
IOLJSTZ,X,X,O,O
IOLJSZT,O,X,O,O
IOLJZTS,O,X,X,X
IOLJZST,O,X,O,O
IOLSTJZ,X,X,O,X
IOLSTZJ,X,X,O,X
IOLSJTZ,X,X,O,X
IOLSJZT,O,X,O,X
IOLSZTJ,X,X,O,X
IOLSZJT,O,X,O,X
IOLZTJS,O,O,X,X
IOLZTSJ,O,X,O,X
IOLZJTS,O,X,X,X
IOLZJST,O,X,O,O
IOLZSTJ,X,X,O,X
IOLZSJT,O,X,O,X
IOJTLSZ,O,O,X,X
IOJTLZS,O,O,X,X
IOJTSLZ,O,O,X,O
IOJTSZL,O,O,X,O
IOJTZLS,O,O,X,X
IOJTZSL,O,O,X,O
IOJLTSZ,O,X,X,X
IOJLTZS,O,X,X,X
IOJLSTZ,X,X,O,O
IOJLSZT,O,X,O,O
IOJLZTS,O,X,X,X
IOJLZST,O,X,O,O
IOJSTLZ,O,X,X,O
IOJSTZL,O,X,X,O
IOJSLTZ,X,X,X,O
IOJSLZT,O,X,X,O
IOJSZTL,O,X,X,O
IOJSZLT,O,X,X,O
IOJZTLS,O,O,X,X
IOJZTSL,O,O,X,O
IOJZLTS,O,X,X,X
IOJZLST,O,X,O,O
IOJZSTL,O,X,X,O
IOJZSLT,O,X,X,O
IOSTLJZ,O,X,X,X
IOSTLZJ,O,X,X,X
IOSTJLZ,O,O,X,X
IOSTJZL,O,O,X,X
IOSTZLJ,O,X,X,X
IOSTZJL,O,O,X,X
IOSLTJZ,X,X,O,X
IOSLTZJ,X,X,O,X
IOSLJTZ,X,X,O,X
IOSLJZT,O,X,O,X
IOSLZTJ,X,X,O,X
IOSLZJT,O,X,O,X
IOSJTLZ,O,X,X,O
IOSJTZL,O,X,X,O
IOSJLTZ,X,X,O,O
IOSJLZT,O,X,O,O
IOSJZTL,O,X,X,O
IOSJZLT,O,X,O,O
IOSZTLJ,O,X,X,X
IOSZTJL,O,O,X,X
IOSZLTJ,X,X,O,X
IOSZLJT,O,X,O,X
IOSZJTL,O,X,X,O
IOSZJLT,O,X,O,O
IOZTLJS,O,O,X,X
IOZTLSJ,O,X,O,X
IOZTJLS,O,O,X,X
IOZTJSL,O,O,X,O
IOZTSLJ,O,X,X,X
IOZTSJL,O,O,X,X
IOZLTJS,O,O,X,X
IOZLTSJ,O,X,O,X
IOZLJTS,O,X,X,X
IOZLJST,O,X,O,O
IOZLSTJ,X,X,O,X
IOZLSJT,O,X,O,X
IOZJTLS,O,O,X,X
IOZJTSL,O,O,X,O
IOZJLTS,O,X,X,X
IOZJLST,O,X,O,O
IOZJSTL,O,X,X,O
IOZJSLT,O,X,X,O
IOZSTLJ,O,X,X,X
IOZSTJL,O,O,X,X
IOZSLTJ,X,X,O,X
IOZSLJT,O,X,O,X
IOZSJTL,O,X,X,O
IOZSJLT,O,X,O,O
LTIJSZO,O,O,X,X
LTIJSOZ,O,O,X,X
LTIJZSO,O,O,X,X
LTIJZOS,O,O,X,X
LTIJOSZ,O,O,X,X
LTIJOZS,O,O,X,X
LTISJZO,O,X,O,X
LTISJOZ,O,X,O,X
LTISZJO,O,X,O,X
LTISZOJ,O,X,O,X
LTISOJZ,O,X,O,X
LTISOZJ,O,X,O,X
LTIZJSO,O,O,X,X
LTIZJOS,O,O,X,X
LTIZSJO,O,X,O,X
LTIZSOJ,O,X,O,X
LTIZOJS,O,O,X,X
LTIZOSJ,O,X,O,X
LTIOJSZ,O,O,X,X
LTIOJZS,O,O,X,X
LTIOSJZ,O,X,O,X
LTIOSZJ,O,X,O,X
LTIOZJS,O,O,X,X
LTIOZSJ,O,X,O,X
LTJISZO,O,O,X,X
LTJISOZ,O,O,X,X
LTJIZSO,O,O,X,X
LTJIZOS,O,O,X,X
LTJIOSZ,O,O,X,X
LTJIOZS,O,O,X,X
LTJSIZO,O,O,X,X
LTJSIOZ,O,O,X,X
LTJSZIO,O,O,X,X
LTJSZOI,O,O,X,X
LTJSOIZ,O,O,X,X
LTJSOZI,O,O,X,X
LTJZISO,O,O,X,X
LTJZIOS,O,O,X,X
LTJZSIO,O,O,X,X
LTJZSOI,O,O,X,X
LTJZOIS,O,O,X,X
LTJZOSI,O,O,X,X
LTJOISZ,O,O,X,X
LTJOIZS,O,O,X,X
LTJOSIZ,O,O,X,X
LTJOSZI,O,O,X,X
LTJOZIS,O,O,X,X
LTJOZSI,O,O,X,X
LTSIJZO,O,X,O,X
LTSIJOZ,O,X,O,X
LTSIZJO,O,X,O,X
LTSIZOJ,O,X,O,X
LTSIOJZ,O,X,O,X
LTSIOZJ,O,X,O,X
LTSJIZO,O,X,O,X
LTSJIOZ,O,X,O,X
LTSJZIO,O,X,O,X
LTSJZOI,O,X,O,X
LTSJOIZ,O,X,O,X
LTSJOZI,O,X,O,X
LTSZIJO,O,X,O,X
LTSZIOJ,O,X,O,X
LTSZJIO,O,X,O,X
LTSZJOI,O,X,O,X
LTSZOIJ,O,X,O,X
LTSZOJI,O,X,O,X
LTSOIJZ,O,X,O,X
LTSOIZJ,O,X,O,X
LTSOJIZ,O,X,O,X
LTSOJZI,O,X,O,X
LTSOZIJ,O,X,O,X
LTSOZJI,O,X,O,X
LTZIJSO,O,O,X,X
LTZIJOS,O,O,X,X
LTZISJO,O,X,O,X
LTZISOJ,O,X,O,X
LTZIOJS,O,O,X,X
LTZIOSJ,O,X,O,X
LTZJISO,O,O,X,X
LTZJIOS,O,O,X,X
LTZJSIO,O,O,X,X
LTZJSOI,O,O,X,X
LTZJOIS,O,O,X,X
LTZJOSI,O,O,X,X
LTZSIJO,O,X,O,X
LTZSIOJ,O,X,O,X
LTZSJIO,O,X,O,X
LTZSJOI,O,X,O,X
LTZSOIJ,O,X,O,X
LTZSOJI,O,X,O,X
LTZOIJS,O,O,X,X
LTZOISJ,O,X,O,X
LTZOJIS,O,O,X,X
LTZOJSI,O,O,X,X
LTZOSIJ,O,X,O,X
LTZOSJI,O,X,O,X
LTOIJSZ,O,O,X,X
LTOIJZS,O,O,X,X
LTOISJZ,O,X,O,X
LTOISZJ,O,X,O,X
LTOIZJS,O,O,X,X
LTOIZSJ,O,X,O,X
LTOJISZ,O,O,X,X
LTOJIZS,O,O,X,X
LTOJSIZ,O,O,X,X
LTOJSZI,O,O,X,X
LTOJZIS,O,O,X,X
LTOJZSI,O,O,X,X
LTOSIJZ,O,X,O,X
LTOSIZJ,O,X,O,X
LTOSJIZ,O,X,O,X
LTOSJZI,O,X,O,X
LTOSZIJ,O,X,O,X
LTOSZJI,O,X,O,X
LTOZIJS,O,O,X,X
LTOZISJ,O,X,O,X
LTOZJIS,O,O,X,X
LTOZJSI,O,O,X,X
LTOZSIJ,O,X,O,X
LTOZSJI,O,X,O,X
LITJSZO,O,O,X,X
LITJSOZ,O,O,X,X
LITJZSO,O,O,X,X
LITJZOS,O,O,X,X
LITJOSZ,O,O,X,X
LITJOZS,O,O,X,X
LITSJZO,O,X,O,X
LITSJOZ,O,X,O,X
LITSZJO,O,X,O,X
LITSZOJ,O,X,O,X
LITSOJZ,O,X,O,X
LITSOZJ,O,X,O,X
LITZJSO,O,O,X,X
LITZJOS,O,O,X,X
LITZSJO,O,X,O,X
LITZSOJ,O,X,O,X
LITZOJS,O,O,X,X
LITZOSJ,O,X,O,X
LITOJSZ,O,O,X,X
LITOJZS,O,O,X,X
LITOSJZ,O,X,O,X
LITOSZJ,O,X,O,X
LITOZJS,O,O,X,X
LITOZSJ,O,X,O,X
LIJTSZO,O,X,X,X
LIJTSOZ,O,X,X,X
LIJTZSO,O,X,X,X
LIJTZOS,O,X,X,X
LIJTOSZ,O,X,X,X
LIJTOZS,O,X,X,X
LIJSTZO,X,X,O,O
LIJSTOZ,X,X,O,O
LIJSZTO,X,X,O,O
LIJSZOT,O,X,O,O
LIJSOTZ,X,X,O,O
LIJSOZT,O,X,O,O
LIJZTSO,O,X,X,X
LIJZTOS,O,X,X,X
LIJZSTO,X,X,O,O
LIJZSOT,O,X,O,O
LIJZOTS,O,X,X,X
LIJZOST,O,X,O,O
LIJOTSZ,O,X,X,X
LIJOTZS,O,X,X,X
LIJOSTZ,X,X,O,O
LIJOSZT,O,X,O,O
LIJOZTS,O,X,X,X
LIJOZST,O,X,O,O
LISTJZO,X,X,O,X
LISTJOZ,X,X,O,X
LISTZJO,X,X,O,X
LISTZOJ,X,X,O,X
LISTOJZ,X,X,O,X
LISTOZJ,X,X,O,X
LISJTZO,X,X,O,X
LISJTOZ,X,X,O,X
LISJZTO,X,X,O,X
LISJZOT,O,X,O,X
LISJOTZ,X,X,O,X
LISJOZT,O,X,O,X
LISZTJO,X,X,O,X
LISZTOJ,X,X,O,X
LISZJTO,X,X,O,X
LISZJOT,O,X,O,X
LISZOTJ,X,X,O,X
LISZOJT,O,X,O,X
LISOTJZ,X,X,O,X
LISOTZJ,X,X,O,X
LISOJTZ,X,X,O,X
LISOJZT,O,X,O,X
LISOZTJ,X,X,O,X
LISOZJT,O,X,O,X
LIZTJSO,O,O,X,X
LIZTJOS,O,O,X,X
LIZTSJO,O,X,O,X
LIZTSOJ,O,X,O,X
LIZTOJS,O,O,X,X
LIZTOSJ,O,X,O,X
LIZJTSO,O,X,X,X
LIZJTOS,O,X,X,X
LIZJSTO,X,X,O,O
LIZJSOT,O,X,O,O
LIZJOTS,O,X,X,X
LIZJOST,O,X,O,O
LIZSTJO,X,X,O,X
LIZSTOJ,X,X,O,X
LIZSJTO,X,X,O,X
LIZSJOT,O,X,O,X
LIZSOTJ,X,X,O,X
LIZSOJT,O,X,O,X
LIZOTJS,O,O,X,X
LIZOTSJ,O,X,O,X
LIZOJTS,O,X,X,X
LIZOJST,O,X,O,O
LIZOSTJ,X,X,O,X
LIZOSJT,O,X,O,X
LIOTJSZ,O,O,X,X
LIOTJZS,O,O,X,X
LIOTSJZ,O,X,O,X
LIOTSZJ,O,X,O,X
LIOTZJS,O,O,X,X
LIOTZSJ,O,X,O,X
LIOJTSZ,O,X,X,X
LIOJTZS,O,X,X,X
LIOJSTZ,X,X,O,O
LIOJSZT,O,X,O,O
LIOJZTS,O,X,X,X
LIOJZST,O,X,O,O
LIOSTJZ,X,X,O,X
LIOSTZJ,X,X,O,X
LIOSJTZ,X,X,O,X
LIOSJZT,O,X,O,X
LIOSZTJ,X,X,O,X
LIOSZJT,O,X,O,X
LIOZTJS,O,O,X,X
LIOZTSJ,O,X,O,X
LIOZJTS,O,X,X,X
LIOZJST,O,X,O,O
LIOZSTJ,X,X,O,X
LIOZSJT,O,X,O,X
LJTISZO,O,O,X,X
LJTISOZ,O,O,X,X
LJTIZSO,O,O,X,X
LJTIZOS,O,O,X,X
LJTIOSZ,O,O,X,X
LJTIOZS,O,O,X,X
LJTSIZO,O,O,X,X
LJTSIOZ,O,O,X,X
