sequence,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhFRcB3gBcmBTiBFq?BSwB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFmcB/lBFhBSnBUq?BTrB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhF/iBTgBOmB0hBFq?BSwB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFlcB/lBamBTiB+r?BUqB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhF/iBTgB0hBOmBFq?BSwB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhF/lBFhBTiB+rBim?BUqB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFicBTgBGiBVrBUq?B3rB,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhFUdBFhBXlBCnBzl?BxvB,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhFqhB/iBzgBVqBUm?BxvB,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhF/iBlmBRqBcqBTr?BCrB,v115@6gE8FeD8FeC8EeF8DeD8Jez7IvhFUdBZlBWnBqqB/r?BlpB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFTcB/iB0gBVqBur?ByvB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFUdBTgBerBCnBFq?B/rB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhF/iBTgB0hBerB6r?BFqB,v115@6gE8FeD8FeC8EeF8DeD8JeR8IvhF0gBTiBFqBXrB6r?BmpB,v115@6gE8FeD8FeC8EeF8DeD8Jex6IvhFVhB/lBTiBumBKr?BUqB,v115@6gE8FeD8FeC8EeF8DeD8JeU8IvhF/iBTgBlmBRqBmp?BSwB,v115@6gE8FeD8FeC8EeF8DeD8Jem6IvhFShB/iBlmBRqBTq?BUrB,v115@6gE8FeD8FeC8EeF8DeD8JeOAJvhFTcB/iBqlBlmB0k?BxvB,v115@6gE8FeD8FeC8EeF8DeD8JeU9IvhFxgBmfBzgBFqBXr?BCsB
TILJSZO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TILJSOZ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TILJZSO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TILSJOZ,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TILSZJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TILSZOJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TILSOJZ,X,X,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X
TILSOZJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TILZJSO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZSOJ,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TILOJZS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOSJZ,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TILOSZJ,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJSOZL,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TIJZLSO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
