sequence,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFzdB+jBigBU?iBFmB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeWCJvhFxdBigBTjBF?mBXnBUrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBmiBF?mBXnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBmhBz?iBFmB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFzdB+jBigBU?mBFnB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcB6jBXhBm?iBFnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcBXeBenBS?oBFmBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFxcByiB+jBF?mBXnBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8Je37IvhFUdBGeBVoBx?lByrBTrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFehBSiBTeB1?rBxsB3rB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JeR8IvhFGeBTgBUjB/?rBFnBirB,v115@zgC8GeB8HeB8HeD8CeG8BeD8JecAJvhFWiBxdBTjBF?mBXnBKrB,v115@zgC8GeB8HeB8HeD8CeG8BeD8Je1AJvhF0cB+jB3iBx?lBinBTrB
TILJSZO,O,X,X,X,X,X,X,X,O,X,X,X,O
TILJSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TILJZSO,O,X,X,X,X,O,X,X,O,O,X,X,O
TILJZOS,O,X,X,X,X,O,X,X,O,O,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,O,O,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,O,O,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TILSOZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TILZJSO,O,X,X,X,X,O,X,X,O,O,X,X,O
TILZJOS,O,X,X,X,X,O,X,X,O,O,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,O,O,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,O,O,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,O,O,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,O,O,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,O,X,X,X,O
TIJLSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJLZSO,O,X,X,X,X,O,X,X,O,O,X,X,O
TIJLZOS,O,X,X,X,X,O,X,X,O,O,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,O,O,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJSLOZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJSZOL,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJSOLZ,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZLSO,X,X,X,X,O,O,X,X,O,O,X,X,O
TIJZLOS,O,X,X,X,O,O,X,X,O,O,X,X,X
TIJZSLO,X,X,X,X,X,O,X,X,O,O,X,X,O
TIJZSOL,O,X,X,X,X,O,X,X,X,O,X,X,O
TIJZOLS,O,X,X,X,O,O,X,X,X,O,X,X,X
TIJZOSL,O,X,X,X,X,X,X,X,X,O,X,X,O
TIJOLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,O,O,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJOZLS,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,O,X,X,O
TISLJZO,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,X,X,X,X,X,X,X,X,O,O,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TISLOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TISLOZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TISJLZO,X,X,X,X,X,X,X,X,O,X,X,X,O
TISJLOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TISJZLO,X,X,X,X,X,X,X,X,O,X,X,X,O
TISJZOL,X,X,X,X,X,X,X,X,X,X,X,X,O
TISJOLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X,X,X,X,X,O
TISZLJO,X,X,X,X,X,X,X,X,O,O,X,X,X
TISZLOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TISZJLO,X,X,X,X,X,X,X,X,O,O,X,X,O
TISZJOL,X,X,X,X,X,X,X,X,X,O,X,X,O
TISZOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TISZOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOLJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TISOLZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TISOJLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
TISOZJL,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZLJSO,X,X,X,X,O,O,X,X,O,O,X,X,O
TIZLJOS,O,X,X,X,O,O,X,X,O,O,X,X,X
TIZLSJO,X,X,X,X,O,X,X,X,O,O,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZLOJS,X,X,X,X,O,X,X,X,O,O,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZJLSO,X,X,X,X,O,O,X,X,O,O,X,X,O
TIZJLOS,O,X,X,X,O,O,X,X,O,O,X,X,X
TIZJSLO,X,X,X,X,X,O,X,X,O,O,X,X,O
TIZJSOL,O,X,X,X,X,O,X,X,X,O,X,X,O
TIZJOLS,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZJOSL,O,X,X,X,X,X,X,X,X,O,X,X,O
TIZSLJO,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZSJLO,X,X,X,X,X,X,X,X,O,O,X,X,O
TIZSJOL,O,X,X,X,X,X,X,X,X,O,X,X,O
TIZSOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJLS,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJSL,O,X,X,X,X,X,X,X,X,O,X,X,O
TIZOSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJZLS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJZSL,X,X,X,X,X,X,X,X,X,O,X,X,O
TIOSLJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOSZJL,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJSL,X,X,X,X,X,X,X,X,X,O,X,X,O
TIOZSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZSJL,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,O,X,X,X,O,O,X,X,O,O,X,X,X
TLIJZOS,O,X,X,X,O,O,X,X,O,O,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
TLISJZO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,O,O,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TLISOZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
TLIZJSO,O,X,X,X,O,O,X,X,O,O,X,X,X
TLIZJOS,O,X,X,X,O,O,X,X,O,O,X,X,X
TLIZSJO,O,X,X,X,O,X,X,X,O,O,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TLIZOJS,O,X,X,X,O,X,X,X,O,O,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,O,O,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
