sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
TJLOSIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TJLOSZI,O,O,O,O,O,X,X,X,O,X,O,X,O
TJLOZIS,O,O,O,O,O,X,X,X,O,X,O,X,O
TJLOZSI,O,O,O,O,O,X,X,X,O,X,O,X,O
TJSILZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TJSILOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSIZLO,X,O,O,O,O,X,X,X,O,X,X,X,X
TJSIZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TJSIOZL,X,X,X,O,X,O,X,X,X,O,O,X,X
TJSLIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TJSLIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSLZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
TJSLZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
TJSLOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TJSLOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
TJSZILO,X,O,O,O,O,X,O,X,O,X,X,X,X
TJSZIOL,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSZLIO,X,O,O,X,O,X,O,X,O,X,X,X,X
TJSZLOI,X,O,O,X,O,X,X,X,O,X,X,X,X
TJSZOIL,X,X,O,X,X,X,O,X,X,X,O,X,X
TJSZOLI,X,X,O,X,X,X,X,X,O,X,O,X,X
TJSOILZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TJSOIZL,X,O,X,O,X,O,X,X,X,O,O,X,X
TJSOLIZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TJSOLZI,X,O,X,O,O,X,X,X,O,O,O,X,X
TJSOZIL,X,O,X,O,X,X,X,X,X,O,O,X,X
TJSOZLI,X,O,X,X,X,X,X,X,O,O,O,X,X
TJZILSO,X,X,O,X,X,X,O,X,O,X,X,X,X
TJZILOS,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZISLO,X,O,O,O,O,X,O,X,O,X,X,X,X
TJZISOL,X,X,O,X,X,O,O,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,O,X,X,X,X,X,X,X
TJZIOSL,X,X,O,X,X,O,O,X,X,X,X,X,X
TJZLISO,X,O,O,X,O,X,O,X,O,X,X,X,X
TJZLIOS,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZLSIO,X,O,O,X,O,X,O,X,O,X,X,X,X
TJZLSOI,X,O,O,X,O,X,X,X,O,X,X,X,X
TJZLOIS,X,X,O,X,O,X,X,X,O,X,X,X,X
TJZLOSI,X,X,O,X,O,X,X,X,O,X,X,X,X
TJZSILO,X,O,O,O,O,X,O,X,O,X,X,X,X
TJZSIOL,X,X,O,X,X,O,O,X,X,X,X,X,X
TJZSLIO,X,O,O,X,O,X,O,X,O,X,X,X,X
TJZSLOI,X,O,O,X,O,X,X,X,O,X,X,X,X
TJZSOIL,X,X,O,X,X,X,O,X,X,X,O,X,X
TJZSOLI,X,X,O,X,X,X,X,X,O,X,O,X,X
TJZOILS,X,X,X,X,X,X,X,X,X,X,O,X,X
TJZOISL,X,X,O,X,X,X,O,X,X,X,O,X,X
TJZOLIS,X,X,O,X,X,X,X,X,O,X,O,X,X
TJZOLSI,X,X,O,X,X,X,X,X,O,X,O,X,X
TJZOSIL,X,X,O,X,X,X,O,X,X,X,O,X,X
TJZOSLI,X,X,O,X,X,X,X,X,O,X,O,X,X
TJOILSZ,X,O,X,X,X,O,X,X,O,O,O,X,X
TJOILZS,X,O,X,X,X,O,X,X,O,O,O,X,X
TJOISLZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TJOISZL,X,O,X,O,X,O,X,X,X,O,O,X,X
TJOIZLS,X,X,X,X,X,O,X,X,X,X,O,X,X
TJOIZSL,X,O,X,X,X,O,X,X,X,O,O,X,X
TJOLISZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TJOLIZS,X,O,X,X,O,X,X,X,O,O,O,X,X
TJOLSIZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TJOLSZI,X,O,X,O,O,X,X,X,O,O,O,X,X
TJOLZIS,X,O,X,O,O,X,X,X,O,O,O,X,X
TJOLZSI,X,O,X,O,O,X,X,X,O,O,O,X,X
TJOSILZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TJOSIZL,X,O,X,O,X,O,X,X,X,O,O,X,X
TJOSLIZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TJOSLZI,X,O,X,O,O,X,X,X,O,O,O,X,X
TJOSZIL,X,O,X,O,X,X,X,X,X,O,O,X,X
TJOSZLI,X,O,X,X,X,X,X,X,O,O,O,X,X
TJOZILS,X,X,X,X,X,X,X,X,X,X,O,X,X
TJOZISL,X,O,X,O,X,X,X,X,X,O,O,X,X
TJOZLIS,X,O,X,X,X,X,X,X,O,O,O,X,X
TJOZLSI,X,O,X,X,X,X,X,X,O,O,O,X,X
TJOZSIL,X,O,X,O,X,X,X,X,X,O,O,X,X
TJOZSLI,X,O,X,X,X,X,X,X,O,O,O,X,X
TSILJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TSILJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TSILZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TSILZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSILOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TSILOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
TSIJLZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TSIJLOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TSIJZLO,X,O,X,X,O,X,X,X,O,X,X,X,X
TSIJZOL,X,X,X,X,X,O,X,X,X,X,X,X,X
TSIJOLZ,X,O,X,X,O,O,X,X,O,X,O,X,X
TSIJOZL,X,X,X,X,X,O,X,X,X,X,O,X,X
TSIZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TSIZJLO,O,X,O,X,X,X,X,X,O,X,X,X,X
TSIZJOL,O,X,O,X,X,O,X,X,X,X,X,X,X
TSIZOLJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TSIZOJL,O,X,O,X,X,O,X,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
TSIOJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
TSIOZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TSLIJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TSLIJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TSLIZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TSLIZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TSLIOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
TSLJIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TSLJIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TSLJZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
TSLJZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
TSLJOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TSLJOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
TSLZIJO,O,O,O,O,O,X,X,O,X,X,X,O,X
TSLZIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
TSLZJIO,O,O,O,O,O,X,X,O,X,X,X,O,X
TSLZJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
TSLZOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
TSLZOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
TSLOIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TSLOIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TSLOJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TSLOJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
TSLOZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TSLOZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
TSJILZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TSJILOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJIZLO,X,O,O,O,O,X,X,X,O,X,X,X,X
TSJIZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
TSJIOLZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TSJIOZL,X,X,X,O,X,O,X,X,X,O,O,X,X
TSJLIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TSJLIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJLZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
TSJLZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
TSJLOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TSJLOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
TSJZILO,X,O,O,O,O,X,O,X,O,X,X,X,X
TSJZIOL,X,X,O,X,X,O,O,X,X,X,X,X,X
TSJZLIO,X,O,O,X,O,X,O,X,O,X,X,X,X
TSJZLOI,X,O,O,X,O,X,X,X,O,X,X,X,X
TSJZOIL,X,X,O,X,X,X,O,X,X,X,O,X,X
TSJZOLI,X,X,O,X,X,X,X,X,O,X,O,X,X
TSJOILZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TSJOIZL,X,O,X,O,X,O,X,X,X,O,O,X,X
TSJOLIZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TSJOLZI,X,O,X,O,O,X,X,X,O,O,O,X,X
TSJOZIL,X,O,X,O,X,X,X,X,X,O,O,X,X
TSJOZLI,X,O,X,X,X,X,X,X,O,O,O,X,X
TSZILJO,O,O,O,X,X,X,O,O,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,O,O,O,X,X,X,X
TSZIJOL,O,O,O,X,X,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
TSZIOJL,O,O,O,X,X,O,O,X,X,X,X,X,X
TSZLIJO,O,O,O,X,O,X,O,O,X,X,X,X,X
TSZLIOJ,O,O,O,X,O,X,X,O,X,X,X,X,X
TSZLJIO,O,O,O,X,O,X,O,O,X,X,X,X,X
TSZLJOI,O,O,O,X,O,X,X,X,X,X,X,X,X
TSZLOIJ,O,O,O,X,O,X,X,O,X,X,X,X,O
TSZLOJI,O,O,O,X,O,X,X,X,X,X,X,X,O
TSZJILO,O,O,O,O,O,X,O,O,O,X,X,X,X
TSZJIOL,O,O,O,X,X,O,O,X,X,X,X,X,X
TSZJLIO,O,O,O,X,O,X,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,O,X,X,X,O,X,X,X,X
TSZJOIL,O,O,O,X,X,X,O,X,X,X,O,X,X
TSZJOLI,O,O,O,X,X,X,X,X,O,X,O,X,X
TSZOILJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,O,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZOJIL,O,O,O,O,X,X,O,X,X,O,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X,O,O,X,X,X
TSOILJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TSOILZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
TSOIJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
TSOIZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TSOLIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TSOLIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TSOLJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TSOLJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
TSOLZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TSOLZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
TSOJILZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TSOJIZL,X,O,X,O,X,O,X,X,X,O,O,X,X
TSOJLIZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TSOJLZI,X,O,X,O,O,X,X,X,O,O,O,X,X
TSOJZIL,X,O,X,O,X,X,X,X,X,O,O,X,X
TSOJZLI,X,O,X,X,X,X,X,X,O,O,O,X,X
TSOZILJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOZIJL,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOZLIJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOZLJI,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOZJIL,X,O,O,O,X,X,X,X,X,O,X,X,X
TSOZJLI,X,O,O,X,X,X,X,X,O,O,X,X,X
TZILJSO,O,O,O,X,X,X,O,O,X,X,X,X,X
TZILJOS,O,O,O,X,X,X,X,X,X,X,X,X,X
TZILSJO,O,O,O,X,X,X,O,O,X,X,X,X,X
TZILSOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZILOJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZILOSJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZIJLSO,O,O,O,X,X,X,O,O,O,X,X,X,X
TZIJLOS,O,O,O,X,X,X,X,X,O,X,X,X,X
TZIJSLO,O,O,O,X,X,X,O,O,O,X,X,X,X
TZIJSOL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZIJOLS,O,X,X,X,X,O,X,X,X,X,X,X,X
TZIJOSL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZISLJO,O,O,O,X,X,X,O,O,X,X,X,X,X
TZISLOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZISJLO,O,O,O,X,X,X,O,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZISOLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
TZISOJL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZIOLJS,O,O,X,X,X,O,X,X,X,X,X,X,X
TZIOLSJ,O,O,X,X,X,O,X,O,X,X,X,X,X
TZIOJLS,O,O,X,X,X,O,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,O,O,X,X,X,X,X,X
TZIOSLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
TZIOSJL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZLIJSO,O,O,O,X,X,X,O,O,X,X,X,X,X
TZLIJOS,O,O,O,X,X,X,X,X,X,X,X,X,X
TZLISJO,O,O,O,X,O,X,O,O,X,X,X,X,X
TZLISOJ,O,O,O,X,O,X,X,O,X,X,X,X,X
TZLIOJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZLJISO,O,O,O,X,O,X,O,O,X,X,X,X,X
TZLJIOS,O,O,O,X,X,X,X,X,X,X,X,X,X
TZLJSIO,O,O,O,X,O,X,O,O,X,X,X,X,X
TZLJSOI,O,O,O,X,O,X,X,X,X,X,X,X,X
TZLJOIS,O,O,O,X,O,X,X,X,X,X,X,X,X
TZLJOSI,O,O,O,X,O,X,X,X,X,X,X,X,X
TZLSIJO,O,O,O,X,O,X,O,O,X,X,X,X,X
TZLSIOJ,O,O,O,X,O,X,X,O,X,X,X,X,X
TZLSJIO,O,O,O,X,O,X,O,O,X,X,X,X,X
TZLSJOI,O,O,O,X,O,X,X,X,X,X,X,X,X
TZLSOIJ,O,O,O,X,O,X,X,O,X,X,X,X,O
TZLSOJI,O,O,O,X,O,X,X,X,X,X,X,X,O
TZLOIJS,O,O,O,X,X,X,X,X,X,X,X,X,O
TZLOISJ,O,O,O,X,O,X,X,O,X,X,X,X,O
TZLOJIS,O,O,O,X,O,X,X,X,X,X,X,X,O
TZLOJSI,O,O,O,X,O,X,X,X,X,X,X,X,O
TZLOSIJ,O,O,O,X,O,X,X,O,X,X,X,X,O
TZLOSJI,O,O,O,X,O,X,X,X,X,X,X,X,O
TZJILSO,O,O,O,X,X,X,O,O,O,X,X,X,X
TZJILOS,O,O,O,X,X,X,X,X,O,X,X,X,X
TZJISLO,O,O,O,O,O,X,O,O,O,X,X,X,X
TZJISOL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZJIOLS,O,X,X,X,X,O,X,X,X,X,X,X,X
TZJIOSL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZJLISO,O,O,O,X,O,X,O,O,O,X,X,X,X
TZJLIOS,O,O,O,X,X,X,X,X,O,X,X,X,X
TZJLSIO,O,O,O,X,O,X,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,O,X,X,X,O,X,X,X,X
TZJLOIS,O,O,O,X,O,X,X,X,O,X,X,X,X
TZJLOSI,O,O,O,X,O,X,X,X,O,X,X,X,X
TZJSILO,O,O,O,O,O,X,O,O,O,X,X,X,X
TZJSIOL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZJSLIO,O,O,O,X,O,X,O,O,O,X,X,X,X
TZJSLOI,O,O,O,X,O,X,X,X,O,X,X,X,X
TZJSOIL,O,O,O,X,X,X,O,X,X,X,O,X,X
TZJSOLI,O,O,O,X,X,X,X,X,O,X,O,X,X
TZJOILS,O,O,X,X,X,X,X,X,X,X,O,X,X
TZJOISL,O,O,O,X,X,X,O,X,X,X,O,X,X
TZJOLIS,O,O,O,X,X,X,X,X,O,X,O,X,X
TZJOLSI,O,O,O,X,X,X,X,X,O,X,O,X,X
TZJOSIL,O,O,O,X,X,X,O,X,X,X,O,X,X
TZJOSLI,O,O,O,X,X,X,X,X,O,X,O,X,X
TZSILJO,O,O,O,X,X,X,O,O,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
TZSIOJL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZSLIJO,O,O,O,X,O,X,O,O,X,X,X,X,X
TZSLIOJ,O,O,O,X,O,X,X,O,X,X,X,X,X
TZSLJIO,O,O,O,X,O,X,O,O,X,X,X,X,X
TZSLJOI,O,O,O,X,O,X,X,X,X,X,X,X,X
TZSLOIJ,O,O,O,X,O,X,X,O,X,X,X,X,O
TZSLOJI,O,O,O,X,O,X,X,X,X,X,X,X,O
TZSJILO,O,O,O,O,O,X,O,O,O,X,X,X,X
TZSJIOL,O,O,O,X,X,O,O,X,X,X,X,X,X
TZSJLIO,O,O,O,X,O,X,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,O,X,X,X,O,X,X,X,X
TZSJOIL,O,O,O,X,X,X,O,X,X,X,O,X,X
TZSJOLI,O,O,O,X,X,X,X,X,O,X,O,X,X
TZSOILJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,O,X,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSOJIL,O,O,O,O,X,X,O,X,X,O,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X,O,O,X,X,X
TZOILJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOILSJ,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOIJLS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,O,X,X,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,O,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZOLJIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TZOLJSI,O,O,O,X,X,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZOLSJI,O,O,O,X,X,X,X,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOJISL,O,O,O,O,X,X,O,X,X,O,X,X,X
TZOJLIS,O,O,O,X,X,X,X,X,O,O,X,X,X
TZOJLSI,O,O,O,X,X,X,X,X,O,O,X,X,X
TZOJSIL,O,O,O,O,X,X,O,X,X,O,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X,O,O,X,X,X
TZOSILJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,O,X,X,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,O,X,X,X,X,X
TZOSLJI,O,O,O,X,X,X,X,X,X,X,X,X,X
TZOSJIL,O,O,O,O,X,X,O,X,X,O,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X,O,O,X,X,X
TOILJSZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TOILJZS,O,O,X,X,X,O,X,X,X,X,X,X,X
TOILSJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TOILSZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
TOILZJS,O,X,X,X,X,O,X,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,O,X,X,X,X,X,X,X
TOIJLSZ,X,O,X,X,X,O,X,X,O,O,X,X,X
TOIJLZS,X,O,X,X,X,O,X,X,O,O,X,X,X
TOIJSLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
TOIJSZL,X,O,X,X,X,O,X,X,X,O,X,X,X
TOIJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X
TOIJZSL,X,O,X,X,X,O,X,X,X,O,X,X,X
TOISLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
TOISJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
TOISJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
TOISZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
TOISZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,O,X,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X
TOIZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X
TOIZJSL,X,X,X,X,X,O,X,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,O,X,X,X,X,X,X,X
TOLIJSZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TOLIJZS,O,O,X,X,O,X,X,X,X,X,X,X,O
TOLISJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TOLISZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TOLIZJS,O,X,O,X,X,X,X,X,X,X,X,X,O
TOLIZSJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TOLJISZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TOLJIZS,O,O,X,X,O,X,X,X,O,O,X,X,O
TOLJSIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TOLJSZI,O,O,O,O,O,X,X,X,O,O,X,X,O
TOLJZIS,O,O,O,O,O,X,X,X,O,O,X,X,O
TOLJZSI,O,O,O,O,O,X,X,X,O,O,X,X,O
TOLSIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TOLSIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TOLSJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TOLSJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
TOLSZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TOLSZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
TOLZIJS,O,X,O,O,X,X,X,X,X,X,X,X,O
TOLZISJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TOLZJIS,O,O,O,O,O,X,X,X,X,X,X,X,O
TOLZJSI,O,O,O,O,O,X,X,X,X,X,X,X,O
TOLZSIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TOLZSJI,O,O,O,O,O,X,X,X,X,X,X,X,O
TOJILSZ,X,O,X,X,X,O,X,X,O,O,O,X,X
TOJILZS,X,O,X,X,X,O,X,X,O,O,O,X,X
TOJISLZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TOJISZL,X,O,X,O,X,O,X,X,X,O,O,X,X
TOJIZLS,X,X,X,X,X,O,X,X,X,X,O,X,X
TOJIZSL,X,O,X,X,X,O,X,X,X,O,O,X,X
TOJLISZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TOJLIZS,X,O,X,X,O,X,X,X,O,O,O,X,X
TOJLSIZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TOJLSZI,X,O,X,O,O,X,X,X,O,O,O,X,X
TOJLZIS,X,O,X,O,O,X,X,X,O,O,O,X,X
TOJLZSI,X,O,X,O,O,X,X,X,O,O,O,X,X
TOJSILZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TOJSIZL,X,O,X,O,X,O,X,X,X,O,O,X,X
TOJSLIZ,X,O,X,O,O,X,X,X,O,O,O,X,X
TOJSLZI,X,O,X,O,O,X,X,X,O,O,O,X,X
TOJSZIL,X,O,X,O,X,X,X,X,X,O,O,X,X
TOJSZLI,X,O,X,X,X,X,X,X,O,O,O,X,X
TOJZILS,X,X,X,X,X,X,X,X,X,X,O,X,X
TOJZISL,X,O,X,O,X,X,X,X,X,O,O,X,X
TOJZLIS,X,O,X,X,X,X,X,X,O,O,O,X,X
TOJZLSI,X,O,X,X,X,X,X,X,O,O,O,X,X
TOJZSIL,X,O,X,O,X,X,X,X,X,O,O,X,X
TOJZSLI,X,O,X,X,X,X,X,X,O,O,O,X,X
TOSILJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
