sequence,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBOiB6jBcmBzi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBcmBmiBTi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBKiBzdB+jBcm?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBFiB8nBTm?BOsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXdBTeBamBWoB0h?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFTeBFhB3mBCoBcn?BmrB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFmcBCeBFhBTjB3m?BcsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFCeB/nBTjB0mBFm?BmrB
TILJSZO,O,O,O,X,O,X,X,X
TILJSOZ,X,X,O,X,O,X,X,X
TILJZSO,O,O,O,X,O,X,O,X
TILJZOS,O,O,O,X,O,X,O,X
TILJOSZ,O,X,O,X,O,X,O,X
TILJOZS,O,O,O,X,O,X,O,X
TILSJZO,O,O,O,X,O,O,X,X
TILSJOZ,X,X,O,X,O,O,X,X
TILSZJO,O,O,O,X,X,O,O,X
TILSZOJ,O,O,O,X,X,O,O,X
TILSOJZ,O,X,X,X,X,O,X,X
TILSOZJ,O,X,X,O,X,O,O,X
TILZJSO,O,O,O,X,O,X,O,X
TILZJOS,O,O,O,X,O,X,O,X
TILZSJO,O,O,O,X,X,X,O,X
TILZSOJ,O,O,O,X,X,X,X,X
TILZOJS,O,O,O,O,X,X,O,X
TILZOSJ,O,O,O,O,X,X,O,X
TILOJSZ,O,X,O,X,O,X,O,X
TILOJZS,O,O,O,X,O,X,O,X
TILOSJZ,O,X,X,X,X,O,O,X
TILOSZJ,O,X,X,O,X,O,O,X
TILOZJS,O,O,O,O,X,X,O,X
TILOZSJ,O,O,O,O,X,X,O,X
TIJLSZO,O,O,O,X,O,X,X,X
TIJLSOZ,X,X,O,X,O,X,X,X
TIJLZSO,O,O,O,X,O,X,O,X
TIJLZOS,O,O,O,X,O,X,O,X
TIJLOSZ,O,X,O,X,O,X,O,X
TIJLOZS,O,O,O,X,O,X,O,X
TIJSLZO,O,O,O,X,O,O,X,X
TIJSLOZ,X,X,O,X,O,O,X,X
TIJSZLO,O,O,O,X,X,X,O,X
TIJSZOL,O,O,O,X,X,X,O,X
TIJSOLZ,O,X,O,X,O,X,O,X
TIJSOZL,O,X,O,X,X,X,O,X
TIJZLSO,O,O,O,X,X,X,O,X
TIJZLOS,O,O,O,X,X,X,O,X
TIJZSLO,O,O,O,X,X,X,O,X
TIJZSOL,O,O,O,X,X,X,O,X
TIJZOLS,O,O,O,X,X,X,O,X
TIJZOSL,O,O,O,X,X,X,O,X
TIJOLSZ,O,X,O,X,O,X,O,X
TIJOLZS,O,O,O,X,O,X,O,X
