sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFGc?BxdB0iB6oBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFSh?BmdB5jB0iBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeG7IvhFTc?B/iBajB5jBllBUqB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JefAJvhFlb?BchBidB5jBziB+qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeR7IvhFch?BTdBFgB6oBXjB+qB
TOSJZLI,O,X,O,O,X
TOSZILJ,X,O,O,X,X
TOSZIJL,O,O,O,X,X
TOSZLIJ,O,O,O,X,X
TOSZLJI,O,O,O,X,X
TOSZJIL,O,O,O,X,X
TOSZJLI,O,O,O,X,X
TOZILJS,O,O,X,X,X
TOZILSJ,O,O,X,X,X
TOZIJLS,O,O,X,X,X
TOZIJSL,O,O,O,X,X
TOZISLJ,X,O,O,X,X
TOZISJL,O,O,O,X,X
TOZLIJS,O,O,X,X,X
TOZLISJ,O,O,X,X,X
TOZLJIS,O,O,X,X,X
TOZLJSI,O,O,X,X,X
TOZLSIJ,O,O,X,X,X
TOZLSJI,O,O,X,X,X
TOZJILS,O,O,X,X,X
TOZJISL,O,O,O,X,X
TOZJLIS,O,O,X,X,X
TOZJLSI,O,O,X,X,X
TOZJSIL,O,O,O,X,X
TOZJSLI,O,O,O,X,X
TOZSILJ,X,O,O,X,X
TOZSIJL,O,O,O,X,X
TOZSLIJ,O,O,O,X,X
TOZSLJI,O,O,O,X,X
TOZSJIL,O,O,O,X,X
TOZSJLI,O,O,O,X,X
ITLJSZO,X,X,O,O,X
ITLJSOZ,O,X,O,X,X
ITLJZSO,O,O,X,O,X
ITLJZOS,O,O,X,X,X
ITLJOSZ,O,X,O,X,X
ITLJOZS,O,O,X,X,X
ITLSJZO,X,X,O,O,X
ITLSJOZ,O,X,O,X,X
ITLSZJO,X,O,O,X,X
ITLSZOJ,X,O,O,X,X
ITLSOJZ,O,X,O,X,X
ITLSOZJ,X,O,O,X,X
ITLZJSO,O,O,X,X,X
ITLZJOS,O,O,X,X,X
ITLZSJO,O,O,X,X,X
ITLZSOJ,O,O,X,X,X
ITLZOJS,O,O,X,X,X
ITLZOSJ,O,O,X,X,X
ITLOJSZ,O,X,O,X,X
ITLOJZS,O,O,X,X,X
ITLOSJZ,O,X,O,X,X
ITLOSZJ,X,O,O,X,X
ITLOZJS,O,O,X,X,X
ITLOZSJ,O,O,X,X,X
ITJLSZO,X,X,O,O,X
ITJLSOZ,O,X,O,X,X
ITJLZSO,O,O,X,O,X
ITJLZOS,O,O,X,X,X
ITJLOSZ,O,X,O,X,X
ITJLOZS,O,O,X,X,X
ITJSLZO,X,X,O,O,X
ITJSLOZ,X,X,O,X,X
ITJSZLO,X,X,O,O,X
ITJSZOL,X,X,O,O,X
ITJSOLZ,X,X,O,O,X
ITJSOZL,X,X,O,O,X
ITJZLSO,O,O,X,O,X
ITJZLOS,O,O,X,X,X
ITJZSLO,X,O,O,O,X
ITJZSOL,O,O,O,O,X
ITJZOLS,O,O,X,O,X
ITJZOSL,O,O,O,O,X
ITJOLSZ,O,X,O,O,X
ITJOLZS,O,O,X,O,X
ITJOSLZ,X,X,O,O,X
ITJOSZL,X,X,O,O,X
ITJOZLS,O,O,X,O,X
ITJOZSL,O,O,O,O,X
ITSLJZO,X,X,O,O,X
ITSLJOZ,X,X,O,X,X
ITSLZJO,X,O,O,X,X
ITSLZOJ,X,O,O,X,X
ITSLOJZ,X,X,O,X,X
ITSLOZJ,X,O,O,X,X
ITSJLZO,X,X,O,O,X
ITSJLOZ,X,X,O,X,X
ITSJZLO,X,X,O,O,X
ITSJZOL,X,X,O,O,X
ITSJOLZ,X,X,O,O,X
ITSJOZL,X,X,O,O,X
ITSZLJO,X,O,O,X,X
ITSZLOJ,X,O,O,X,X
ITSZJLO,X,O,O,X,X
ITSZJOL,X,O,O,X,X
ITSZOLJ,X,O,O,X,X
ITSZOJL,X,O,O,X,X
ITSOLJZ,X,X,O,O,X
ITSOLZJ,X,O,O,X,X
ITSOJLZ,X,X,O,O,X
ITSOJZL,X,X,O,O,X
ITSOZLJ,X,O,O,X,X
ITSOZJL,X,O,O,X,X
ITZLJSO,O,O,X,X,X
ITZLJOS,O,O,X,X,X
ITZLSJO,O,O,X,X,X
ITZLSOJ,O,O,X,X,X
ITZLOJS,O,O,X,X,X
ITZLOSJ,O,O,X,X,X
ITZJLSO,O,O,X,X,X
ITZJLOS,O,O,X,X,X
ITZJSLO,X,O,O,X,X
ITZJSOL,O,O,O,X,X
ITZJOLS,O,O,X,X,X
ITZJOSL,O,O,O,X,X
ITZSLJO,X,O,O,X,X
ITZSLOJ,X,O,O,X,X
ITZSJLO,X,O,O,X,X
ITZSJOL,O,O,O,X,X
ITZSOLJ,X,O,O,X,X
ITZSOJL,O,O,O,X,X
ITZOLJS,O,O,X,X,X
ITZOLSJ,O,O,X,X,X
ITZOJLS,O,O,X,X,X
ITZOJSL,O,O,O,X,X
ITZOSLJ,X,O,O,X,X
ITZOSJL,O,O,O,X,X
ITOLJSZ,O,X,O,O,X
ITOLJZS,O,O,X,O,X
ITOLSJZ,O,X,O,O,X
ITOLSZJ,X,O,O,X,X
ITOLZJS,O,O,X,X,X
ITOLZSJ,O,O,X,X,X
ITOJLSZ,O,X,O,O,X
ITOJLZS,O,O,X,O,X
ITOJSLZ,X,X,O,O,X
ITOJSZL,X,X,O,O,X
ITOJZLS,O,O,X,O,X
ITOJZSL,O,O,O,O,X
ITOSLJZ,X,X,O,O,X
ITOSLZJ,X,O,O,X,X
ITOSJLZ,X,X,O,O,X
ITOSJZL,X,X,O,O,X
ITOSZLJ,X,O,O,X,X
ITOSZJL,X,O,O,X,X
ITOZLJS,O,O,X,X,X
ITOZLSJ,O,O,X,X,X
ITOZJLS,O,O,X,X,X
ITOZJSL,O,O,O,X,X
ITOZSLJ,X,O,O,X,X
ITOZSJL,O,O,O,X,X
ILTJSZO,X,X,O,O,X
ILTJSOZ,O,X,O,X,X
ILTJZSO,O,O,X,O,X
ILTJZOS,O,O,X,X,X
ILTJOSZ,O,X,O,X,X
ILTJOZS,O,O,X,X,X
ILTSJZO,X,X,O,O,X
ILTSJOZ,O,X,O,X,X
ILTSZJO,X,O,O,X,X
ILTSZOJ,X,O,O,X,X
ILTSOJZ,O,X,O,X,X
ILTSOZJ,X,O,O,X,X
ILTZJSO,O,O,X,X,X
ILTZJOS,O,O,X,X,X
ILTZSJO,O,O,X,X,X
ILTZSOJ,O,O,X,X,X
ILTZOJS,O,O,X,X,X
ILTZOSJ,O,O,X,X,X
ILTOJSZ,O,X,O,X,X
ILTOJZS,O,O,X,X,X
ILTOSJZ,O,X,O,X,X
ILTOSZJ,X,O,O,X,X
ILTOZJS,O,O,X,X,X
ILTOZSJ,O,O,X,X,X
ILJTSZO,X,X,X,O,X
ILJTSOZ,O,X,X,X,X
ILJTZSO,O,X,X,O,O
ILJTZOS,O,X,X,X,O
ILJTOSZ,O,X,X,X,X
ILJTOZS,O,X,X,X,O
ILJSTZO,X,X,X,O,X
ILJSTOZ,O,X,X,X,X
ILJSZTO,X,X,X,O,X
ILJSZOT,X,X,X,O,X
ILJSOTZ,O,X,X,O,X
ILJSOZT,O,X,X,O,X
ILJZTSO,O,X,X,O,O
ILJZTOS,O,O,X,X,O
ILJZSTO,O,X,X,O,X
ILJZSOT,O,O,X,O,X
ILJZOTS,O,O,X,O,O
ILJZOST,O,O,X,O,X
ILJOTSZ,O,X,X,O,X
ILJOTZS,O,X,X,O,O
ILJOSTZ,O,X,X,O,X
ILJOSZT,O,X,X,O,X
ILJOZTS,O,O,X,O,O
ILJOZST,O,O,X,O,X
ILSTJZO,X,X,O,O,X
ILSTJOZ,O,X,O,X,X
ILSTZJO,X,X,O,X,X
ILSTZOJ,X,X,O,X,X
ILSTOJZ,O,X,O,X,X
ILSTOZJ,X,X,O,X,X
ILSJTZO,X,X,O,O,X
ILSJTOZ,O,X,O,X,X
ILSJZTO,X,X,X,O,X
ILSJZOT,X,X,X,O,X
ILSJOTZ,O,X,O,O,X
ILSJOZT,O,X,X,O,X
ILSZTJO,X,X,O,X,X
ILSZTOJ,X,X,O,X,X
ILSZJTO,X,X,X,O,X
ILSZJOT,X,O,X,O,X
ILSZOTJ,X,X,O,X,X
ILSZOJT,X,O,X,X,X
ILSOTJZ,O,X,O,O,X
ILSOTZJ,X,X,O,X,X
ILSOJTZ,O,X,O,O,X
ILSOJZT,O,X,X,O,X
ILSOZTJ,X,X,O,X,X
ILSOZJT,X,O,X,O,X
ILZTJSO,O,O,X,X,X
ILZTJOS,O,O,X,X,X
ILZTSJO,O,O,X,X,X
ILZTSOJ,O,O,X,X,X
ILZTOJS,O,O,X,X,X
ILZTOSJ,O,O,X,X,X
ILZJTSO,O,O,X,O,X
ILZJTOS,O,O,X,X,X
ILZJSTO,O,X,X,O,X
ILZJSOT,O,O,X,O,X
ILZJOTS,O,O,X,X,X
ILZJOST,O,O,X,O,X
ILZSTJO,O,X,X,X,X
ILZSTOJ,O,X,X,X,X
ILZSJTO,O,X,X,O,X
ILZSJOT,O,O,X,O,X
ILZSOTJ,O,X,X,X,X
ILZSOJT,O,O,X,X,X
ILZOTJS,O,O,X,X,X
ILZOTSJ,O,O,X,X,X
ILZOJTS,O,O,X,X,X
ILZOJST,O,O,X,X,X
ILZOSTJ,O,X,X,X,X
ILZOSJT,O,O,X,X,X
ILOTJSZ,O,X,O,O,X
ILOTJZS,O,O,X,O,X
ILOTSJZ,O,X,O,O,X
ILOTSZJ,X,O,O,X,X
ILOTZJS,O,O,X,X,X
ILOTZSJ,O,O,X,X,X
ILOJTSZ,O,X,X,O,X
ILOJTZS,O,X,X,O,O
ILOJSTZ,O,X,X,O,X
ILOJSZT,O,X,X,O,X
ILOJZTS,O,O,X,O,O
ILOJZST,O,O,X,O,X
ILOSTJZ,O,X,O,O,X
ILOSTZJ,X,X,O,X,X
ILOSJTZ,O,X,O,O,X
ILOSJZT,O,X,X,O,X
ILOSZTJ,X,X,O,X,X
ILOSZJT,X,O,X,O,X
ILOZTJS,O,O,X,X,X
ILOZTSJ,O,O,X,X,X
ILOZJTS,O,O,X,O,X
ILOZJST,O,O,X,O,X
ILOZSTJ,O,X,X,X,X
ILOZSJT,O,O,X,O,X
IJTLSZO,X,X,O,O,X
IJTLSOZ,O,X,O,X,X
IJTLZSO,O,O,X,O,O
IJTLZOS,O,O,X,X,O
IJTLOSZ,O,X,O,X,X
IJTLOZS,O,O,X,X,O
IJTSLZO,X,X,O,O,X
IJTSLOZ,X,X,O,X,X
IJTSZLO,X,X,O,O,X
IJTSZOL,X,X,O,O,X
IJTSOLZ,X,X,O,O,X
IJTSOZL,X,X,O,O,X
IJTZLSO,O,O,X,O,O
IJTZLOS,O,O,X,X,O
IJTZSLO,X,O,O,O,O
IJTZSOL,O,O,O,O,O
IJTZOLS,O,O,X,O,O
IJTZOSL,O,O,O,O,O
IJTOLSZ,O,X,O,O,X
IJTOLZS,O,O,X,O,O
IJTOSLZ,X,X,O,O,X
IJTOSZL,X,X,O,O,X
IJTOZLS,O,O,X,O,O
IJTOZSL,O,O,O,O,O
IJLTSZO,X,X,X,O,X
IJLTSOZ,O,X,X,X,X
IJLTZSO,O,X,X,O,O
IJLTZOS,O,X,X,X,O
IJLTOSZ,O,X,X,X,X
IJLTOZS,O,X,X,X,O
IJLSTZO,X,X,X,O,X
IJLSTOZ,O,X,X,X,X
IJLSZTO,X,X,X,O,X
IJLSZOT,X,X,X,O,X
IJLSOTZ,O,X,X,O,X
IJLSOZT,O,X,X,O,X
IJLZTSO,O,X,X,O,O
IJLZTOS,O,O,X,X,O
IJLZSTO,O,X,X,O,X
IJLZSOT,O,O,X,O,X
IJLZOTS,O,O,X,O,O
IJLZOST,O,O,X,O,X
IJLOTSZ,O,X,X,O,X
IJLOTZS,O,X,X,O,O
IJLOSTZ,O,X,X,O,X
IJLOSZT,O,X,X,O,X
IJLOZTS,O,O,X,O,O
IJLOZST,O,O,X,O,X
IJSTLZO,X,X,O,O,X
IJSTLOZ,X,X,O,X,X
IJSTZLO,X,X,O,O,X
IJSTZOL,X,X,O,O,X
IJSTOLZ,X,X,O,O,X
IJSTOZL,X,X,O,O,X
IJSLTZO,X,X,O,O,X
IJSLTOZ,X,X,O,X,X
IJSLZTO,X,X,X,O,X
IJSLZOT,X,X,X,O,X
IJSLOTZ,X,X,O,O,X
IJSLOZT,X,X,X,O,X
IJSZTLO,X,X,X,O,X
IJSZTOL,X,X,X,O,X
IJSZLTO,X,X,X,O,X
IJSZLOT,X,X,X,O,X
IJSZOTL,X,X,X,O,X
IJSZOLT,X,X,X,O,X
IJSOTLZ,X,X,O,O,X
IJSOTZL,X,X,O,O,X
IJSOLTZ,X,X,O,O,X
IJSOLZT,X,X,X,O,X
IJSOZTL,X,X,X,O,X
IJSOZLT,X,X,X,O,X
IJZTLSO,O,O,X,O,O
IJZTLOS,O,O,X,X,O
IJZTSLO,X,O,X,O,O
IJZTSOL,O,O,X,O,O
IJZTOLS,O,O,X,O,O
IJZTOSL,O,O,X,O,O
IJZLTSO,O,O,X,O,O
IJZLTOS,O,O,X,X,O
IJZLSTO,O,X,X,O,X
IJZLSOT,O,O,X,O,X
IJZLOTS,O,O,X,O,O
IJZLOST,O,O,X,O,X
IJZSTLO,X,O,X,O,X
IJZSTOL,O,O,X,O,X
IJZSLTO,X,X,X,O,X
IJZSLOT,X,O,X,O,X
IJZSOTL,O,O,X,O,X
IJZSOLT,O,O,X,O,X
IJZOTLS,O,O,X,O,O
IJZOTSL,O,O,X,O,O
IJZOLTS,O,O,X,O,O
IJZOLST,O,O,X,O,X
IJZOSTL,O,O,X,O,X
IJZOSLT,O,O,X,O,X
IJOTLSZ,X,X,O,O,X
IJOTLZS,X,O,X,O,O
IJOTSLZ,X,X,O,O,X
IJOTSZL,X,X,O,O,X
IJOTZLS,X,O,X,O,O
IJOTZSL,X,O,O,O,O
IJOLTSZ,O,X,X,O,X
IJOLTZS,O,X,X,O,O
IJOLSTZ,O,X,X,O,X
IJOLSZT,O,X,X,O,X
IJOLZTS,O,O,X,O,O
IJOLZST,O,O,X,O,X
IJOSTLZ,X,X,O,O,X
IJOSTZL,X,X,O,O,X
IJOSLTZ,X,X,O,O,X
IJOSLZT,X,X,X,O,X
IJOSZTL,X,X,X,O,X
IJOSZLT,X,X,X,O,X
IJOZTLS,O,O,X,O,O
IJOZTSL,O,O,X,O,O
IJOZLTS,O,O,X,O,O
IJOZLST,O,O,X,O,X
IJOZSTL,O,O,X,O,X
IJOZSLT,O,O,X,O,X
ISTLJZO,X,X,O,O,X
ISTLJOZ,X,X,O,X,X
ISTLZJO,X,O,O,X,X
ISTLZOJ,X,O,O,X,X
ISTLOJZ,X,X,O,X,X
ISTLOZJ,X,O,O,X,X
ISTJLZO,X,X,O,O,X
ISTJLOZ,X,X,O,X,X
ISTJZLO,X,X,O,O,X
ISTJZOL,X,X,O,O,X
ISTJOLZ,X,X,O,O,X
ISTJOZL,X,X,O,O,X
ISTZLJO,X,O,O,X,X
ISTZLOJ,X,O,O,X,X
ISTZJLO,X,O,O,X,X
ISTZJOL,X,O,O,X,X
ISTZOLJ,X,O,O,X,X
ISTZOJL,X,O,O,X,X
ISTOLJZ,X,X,O,O,X
ISTOLZJ,X,O,O,X,X
ISTOJLZ,X,X,O,O,X
ISTOJZL,X,X,O,O,X
ISTOZLJ,X,O,O,X,X
ISTOZJL,X,O,O,X,X
ISLTJZO,X,X,O,O,X
ISLTJOZ,X,X,O,X,X
ISLTZJO,X,X,O,X,X
ISLTZOJ,X,X,O,X,X
ISLTOJZ,X,X,O,X,X
ISLTOZJ,X,X,O,X,X
ISLJTZO,X,X,O,O,X
ISLJTOZ,X,X,O,X,X
ISLJZTO,X,X,X,O,X
ISLJZOT,X,X,X,O,X
ISLJOTZ,X,X,O,O,X
ISLJOZT,X,X,X,O,X
ISLZTJO,X,X,O,X,X
ISLZTOJ,X,X,O,X,X
ISLZJTO,X,X,X,O,X
ISLZJOT,X,O,X,O,X
ISLZOTJ,X,X,O,X,X
ISLZOJT,X,O,X,X,X
ISLOTJZ,X,X,O,O,X
ISLOTZJ,X,X,O,X,X
ISLOJTZ,X,X,O,O,X
ISLOJZT,X,X,X,O,X
ISLOZTJ,X,X,O,X,X
ISLOZJT,X,O,X,O,X
ISJTLZO,X,X,O,O,X
ISJTLOZ,X,X,O,X,X
ISJTZLO,X,X,O,O,X
ISJTZOL,X,X,O,O,X
ISJTOLZ,X,X,O,O,X
ISJTOZL,X,X,O,O,X
ISJLTZO,X,X,O,O,X
ISJLTOZ,X,X,O,X,X
ISJLZTO,X,X,X,O,X
ISJLZOT,X,X,X,O,X
ISJLOTZ,X,X,O,O,X
ISJLOZT,X,X,X,O,X
ISJZTLO,X,X,X,O,X
ISJZTOL,X,X,X,O,X
ISJZLTO,X,X,X,O,X
ISJZLOT,X,X,X,O,X
ISJZOTL,X,X,X,O,X
ISJZOLT,X,X,X,O,X
ISJOTLZ,X,X,O,O,X
ISJOTZL,X,X,O,O,X
ISJOLTZ,X,X,O,O,X
ISJOLZT,X,X,X,O,X
ISJOZTL,X,X,X,O,X
ISJOZLT,X,X,X,O,X
ISZTLJO,X,O,O,X,X
ISZTLOJ,X,O,O,X,X
ISZTJLO,X,O,O,X,X
ISZTJOL,X,O,O,X,X
ISZTOLJ,X,O,O,X,X
ISZTOJL,X,O,O,X,X
ISZLTJO,X,X,O,X,X
ISZLTOJ,X,X,O,X,X
ISZLJTO,X,X,X,O,X
ISZLJOT,X,O,X,O,X
ISZLOTJ,X,X,O,X,X
ISZLOJT,X,O,X,X,X
ISZJTLO,X,O,X,O,X
ISZJTOL,X,O,X,O,X
ISZJLTO,X,X,X,O,X
ISZJLOT,X,O,X,O,X
ISZJOTL,X,O,X,O,X
ISZJOLT,X,O,X,O,X
ISZOTLJ,X,O,O,X,X
ISZOTJL,X,O,O,X,X
ISZOLTJ,X,X,O,X,X
ISZOLJT,X,O,X,O,X
ISZOJTL,X,O,X,O,X
ISZOJLT,X,O,X,O,X
ISOTLJZ,X,X,O,O,X
ISOTLZJ,X,O,O,X,X
ISOTJLZ,X,X,O,O,X
ISOTJZL,X,X,O,O,X
ISOTZLJ,X,O,O,X,X
ISOTZJL,X,O,O,X,X
ISOLTJZ,X,X,O,O,X
ISOLTZJ,X,X,O,X,X
ISOLJTZ,X,X,O,O,X
ISOLJZT,X,X,X,O,X
ISOLZTJ,X,X,O,X,X
ISOLZJT,X,O,X,O,X
ISOJTLZ,X,X,O,O,X
ISOJTZL,X,X,O,O,X
ISOJLTZ,X,X,O,O,X
ISOJLZT,X,X,X,O,X
ISOJZTL,X,X,X,O,X
ISOJZLT,X,X,X,O,X
ISOZTLJ,X,O,O,X,X
ISOZTJL,X,O,O,X,X
ISOZLTJ,X,X,O,X,X
ISOZLJT,X,O,X,O,X
ISOZJTL,X,O,X,O,X
ISOZJLT,X,O,X,O,X
IZTLJSO,O,O,X,X,X
IZTLJOS,O,O,X,X,X
IZTLSJO,O,O,X,X,X
IZTLSOJ,O,O,X,X,X
IZTLOJS,O,O,X,X,X
IZTLOSJ,O,O,X,X,X
IZTJLSO,O,O,X,X,X
IZTJLOS,O,O,X,X,X
IZTJSLO,X,O,O,X,X
IZTJSOL,O,O,O,X,X
IZTJOLS,O,O,X,X,X
IZTJOSL,O,O,O,X,X
IZTSLJO,X,O,O,X,X
IZTSLOJ,X,O,O,X,X
IZTSJLO,X,O,O,X,X
IZTSJOL,O,O,O,X,X
IZTSOLJ,X,O,O,X,X
IZTSOJL,O,O,O,X,X
IZTOLJS,O,O,X,X,X
IZTOLSJ,O,O,X,X,X
IZTOJLS,O,O,X,X,X
IZTOJSL,O,O,O,X,X
IZTOSLJ,X,O,O,X,X
IZTOSJL,O,O,O,X,X
IZLTJSO,O,O,X,X,X
IZLTJOS,O,O,X,X,X
IZLTSJO,O,O,X,X,X
IZLTSOJ,O,O,X,X,X
IZLTOJS,O,O,X,X,X
IZLTOSJ,O,O,X,X,X
IZLJTSO,O,O,X,O,X
IZLJTOS,O,O,X,X,X
IZLJSTO,O,X,X,O,X
IZLJSOT,O,O,X,O,X
IZLJOTS,O,O,X,X,X
IZLJOST,O,O,X,O,X
IZLSTJO,O,X,X,X,X
IZLSTOJ,O,X,X,X,X
IZLSJTO,O,X,X,O,X
IZLSJOT,O,O,X,O,X
IZLSOTJ,O,X,X,X,X
IZLSOJT,O,O,X,X,X
IZLOTJS,O,O,X,X,X
IZLOTSJ,O,O,X,X,X
IZLOJTS,O,O,X,X,X
IZLOJST,O,O,X,X,X
IZLOSTJ,O,X,X,X,X
IZLOSJT,O,O,X,X,X
IZJTLSO,O,O,X,O,X
IZJTLOS,O,O,X,X,X
IZJTSLO,X,O,X,O,X
IZJTSOL,O,O,X,O,X
IZJTOLS,O,O,X,O,X
IZJTOSL,O,O,X,O,X
IZJLTSO,O,O,X,O,X
IZJLTOS,O,O,X,X,X
IZJLSTO,O,X,X,O,X
IZJLSOT,O,O,X,O,X
IZJLOTS,O,O,X,O,X
IZJLOST,O,O,X,O,X
IZJSTLO,X,O,X,O,X
IZJSTOL,O,O,X,O,X
IZJSLTO,X,X,X,O,X
IZJSLOT,X,O,X,O,X
IZJSOTL,O,O,X,O,X
IZJSOLT,O,O,X,O,X
IZJOTLS,O,O,X,O,X
IZJOTSL,O,O,X,O,X
IZJOLTS,O,O,X,O,X
IZJOLST,O,O,X,O,X
IZJOSTL,O,O,X,O,X
IZJOSLT,O,O,X,O,X
IZSTLJO,X,O,O,X,X
IZSTLOJ,X,O,O,X,X
IZSTJLO,X,O,O,X,X
IZSTJOL,O,O,O,X,X
IZSTOLJ,X,O,O,X,X
IZSTOJL,O,O,O,X,X
IZSLTJO,X,X,O,X,X
IZSLTOJ,X,X,O,X,X
IZSLJTO,X,X,X,O,X
IZSLJOT,X,O,X,O,X
IZSLOTJ,X,X,O,X,X
IZSLOJT,X,O,X,X,X
IZSJTLO,X,O,X,O,X
IZSJTOL,O,O,X,O,X
IZSJLTO,X,X,X,O,X
IZSJLOT,X,O,X,O,X
IZSJOTL,O,O,X,O,X
IZSJOLT,O,O,X,O,X
IZSOTLJ,X,O,O,X,X
IZSOTJL,O,O,O,X,X
IZSOLTJ,X,X,O,X,X
IZSOLJT,X,O,X,O,X
IZSOJTL,O,O,X,O,X
IZSOJLT,O,O,X,O,X
IZOTLJS,O,O,X,X,X
IZOTLSJ,O,O,X,X,X
IZOTJLS,O,O,X,X,X
IZOTJSL,O,O,O,X,X
IZOTSLJ,X,O,O,X,X
IZOTSJL,O,O,O,X,X
IZOLTJS,O,O,X,X,X
IZOLTSJ,O,O,X,X,X
IZOLJTS,O,O,X,O,X
IZOLJST,O,O,X,O,X
IZOLSTJ,O,X,X,X,X
IZOLSJT,O,O,X,O,X
IZOJTLS,O,O,X,O,X
IZOJTSL,O,O,X,O,X
IZOJLTS,O,O,X,O,X
IZOJLST,O,O,X,O,X
IZOJSTL,O,O,X,O,X
IZOJSLT,O,O,X,O,X
IZOSTLJ,X,O,O,X,X
IZOSTJL,O,O,O,X,X
IZOSLTJ,X,X,O,X,X
IZOSLJT,X,O,X,O,X
IZOSJTL,O,O,X,O,X
IZOSJLT,O,O,X,O,X
IOTLJSZ,O,X,O,O,X
IOTLJZS,O,O,X,O,X
IOTLSJZ,O,X,O,O,X
IOTLSZJ,X,O,O,X,X
IOTLZJS,O,O,X,X,X
IOTLZSJ,O,O,X,X,X
IOTJLSZ,O,X,O,O,X
IOTJLZS,O,O,X,O,X
IOTJSLZ,X,X,O,O,X
IOTJSZL,X,X,O,O,X
IOTJZLS,O,O,X,O,X
IOTJZSL,O,O,O,O,X
IOTSLJZ,X,X,O,O,X
IOTSLZJ,X,O,O,X,X
IOTSJLZ,X,X,O,O,X
IOTSJZL,X,X,O,O,X
IOTSZLJ,X,O,O,X,X
IOTSZJL,X,O,O,X,X
IOTZLJS,O,O,X,X,X
IOTZLSJ,O,O,X,X,X
IOTZJLS,O,O,X,X,X
IOTZJSL,O,O,O,X,X
IOTZSLJ,X,O,O,X,X
IOTZSJL,O,O,O,X,X
IOLTJSZ,O,X,O,O,X
IOLTJZS,O,O,X,O,X
IOLTSJZ,O,X,O,O,X
IOLTSZJ,X,O,O,X,X
IOLTZJS,O,O,X,X,X
IOLTZSJ,O,O,X,X,X
IOLJTSZ,O,X,X,O,X
IOLJTZS,O,X,X,O,O
IOLJSTZ,O,X,X,O,X
IOLJSZT,O,X,X,O,X
IOLJZTS,O,O,X,O,O
IOLJZST,O,O,X,O,X
IOLSTJZ,O,X,O,O,X
IOLSTZJ,X,X,O,X,X
IOLSJTZ,O,X,O,O,X
IOLSJZT,O,X,X,O,X
IOLSZTJ,X,X,O,X,X
IOLSZJT,X,O,X,O,X
IOLZTJS,O,O,X,X,X
IOLZTSJ,O,O,X,X,X
IOLZJTS,O,O,X,O,X
IOLZJST,O,O,X,O,X
IOLZSTJ,O,X,X,X,X
IOLZSJT,O,O,X,O,X
IOJTLSZ,X,X,O,O,X
IOJTLZS,X,O,X,O,O
IOJTSLZ,X,X,O,O,X
IOJTSZL,X,X,O,O,X
IOJTZLS,X,O,X,O,O
IOJTZSL,X,O,O,O,O
IOJLTSZ,O,X,X,O,X
IOJLTZS,O,X,X,O,O
IOJLSTZ,O,X,X,O,X
IOJLSZT,O,X,X,O,X
IOJLZTS,O,O,X,O,O
IOJLZST,O,O,X,O,X
IOJSTLZ,X,X,O,O,X
IOJSTZL,X,X,O,O,X
IOJSLTZ,X,X,O,O,X
IOJSLZT,X,X,X,O,X
IOJSZTL,X,X,X,O,X
IOJSZLT,X,X,X,O,X
IOJZTLS,O,O,X,O,O
IOJZTSL,O,O,X,O,O
IOJZLTS,O,O,X,O,O
IOJZLST,O,O,X,O,X
IOJZSTL,O,O,X,O,X
IOJZSLT,O,O,X,O,X
IOSTLJZ,X,X,O,O,X
IOSTLZJ,X,O,O,X,X
IOSTJLZ,X,X,O,O,X
IOSTJZL,X,X,O,O,X
IOSTZLJ,X,O,O,X,X
IOSTZJL,X,O,O,X,X
IOSLTJZ,X,X,O,O,X
IOSLTZJ,X,X,O,X,X
IOSLJTZ,X,X,O,O,X
IOSLJZT,X,X,X,O,X
IOSLZTJ,X,X,O,X,X
IOSLZJT,X,O,X,O,X
IOSJTLZ,X,X,O,O,X
IOSJTZL,X,X,O,O,X
IOSJLTZ,X,X,O,O,X
IOSJLZT,X,X,X,O,X
IOSJZTL,X,X,X,O,X
IOSJZLT,X,X,X,O,X
IOSZTLJ,X,O,O,X,X
IOSZTJL,X,O,O,X,X
IOSZLTJ,X,X,O,X,X
IOSZLJT,X,O,X,O,X
IOSZJTL,X,O,X,O,X
IOSZJLT,X,O,X,O,X
IOZTLJS,O,O,X,X,X
IOZTLSJ,O,O,X,X,X
IOZTJLS,O,O,X,X,X
IOZTJSL,O,O,O,X,X
IOZTSLJ,X,O,O,X,X
IOZTSJL,O,O,O,X,X
IOZLTJS,O,O,X,X,X
IOZLTSJ,O,O,X,X,X
IOZLJTS,O,O,X,O,X
IOZLJST,O,O,X,O,X
IOZLSTJ,O,X,X,X,X
IOZLSJT,O,O,X,O,X
IOZJTLS,O,O,X,O,X
IOZJTSL,O,O,X,O,X
IOZJLTS,O,O,X,O,X
IOZJLST,O,O,X,O,X
IOZJSTL,O,O,X,O,X
IOZJSLT,O,O,X,O,X
IOZSTLJ,X,O,O,X,X
IOZSTJL,O,O,O,X,X
IOZSLTJ,X,X,O,X,X
