sequence,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFXhB8mBziB5oB2q?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KeGAJvhFihBziB5oBUlB3m?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF6lBOmB8mBziB5o?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF0gBmhBziB5oBSr?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiBUmB6tB3l?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiB3lB6tBUm?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhF+lBihB3iB5oB1r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFlhB3iB5oBTlB2r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFGhBliB5oB3lByr?B8sB
TILJSZO,O,X,X,O,O,O,O,O,O
TILJSOZ,O,X,X,O,O,O,O,X,O
TILJZSO,O,X,X,O,O,O,O,O,O
TILJZOS,O,X,X,O,O,O,O,O,O
TILJOSZ,O,X,X,O,O,O,O,X,X
TILJOZS,O,X,X,O,O,O,O,O,O
TILSJZO,O,O,O,O,O,O,O,X,O
TILSJOZ,O,O,O,O,O,O,O,X,O
TILSZJO,O,O,O,O,O,O,O,X,O
TILSZOJ,O,O,O,O,O,O,O,X,O
TILSOJZ,O,O,O,O,O,O,X,X,O
TILSOZJ,O,O,O,O,O,O,X,X,O
TILZJSO,O,O,O,O,O,O,O,O,O
TILZJOS,O,O,O,O,O,O,O,O,O
TILZSJO,O,O,O,O,O,O,O,O,O
TILZSOJ,O,O,O,O,O,O,O,O,O
TILZOJS,O,O,O,O,O,O,O,O,O
TILZOSJ,O,O,O,O,O,O,O,O,O
TILOJSZ,O,X,X,O,O,O,O,O,X
TILOJZS,O,X,X,O,O,O,O,O,O
TILOSJZ,O,O,O,O,O,O,X,X,X
TILOSZJ,O,O,O,O,O,O,X,X,X
TILOZJS,O,O,O,O,O,O,O,O,O
TILOZSJ,O,O,O,O,O,O,O,O,O
TIJLSZO,O,X,X,O,O,O,O,O,X
TIJLSOZ,O,X,X,O,O,O,O,X,X
TIJLZSO,O,X,X,O,O,O,O,O,X
TIJLZOS,O,X,X,O,O,O,O,O,X
TIJLOSZ,O,X,X,O,O,O,O,O,X
TIJLOZS,O,X,X,O,O,O,O,O,X
TIJSLZO,O,O,O,O,X,O,O,O,X
TIJSLOZ,O,O,O,O,X,O,O,X,X
TIJSZLO,O,O,O,O,X,X,O,O,X
TIJSZOL,O,O,O,O,X,X,O,O,X
TIJSOLZ,O,O,O,O,X,O,O,O,X
TIJSOZL,O,O,O,O,X,X,O,O,X
TIJZLSO,O,O,O,O,O,X,O,O,X
TIJZLOS,O,O,O,O,O,X,O,O,X
TIJZSLO,O,O,O,O,X,X,O,O,X
TIJZSOL,O,O,O,O,X,X,O,O,X
