sequence,v115@6gC8IeB8GeC8AeA8CeH8AeE8Je2/IvhFRbBzcBUhB3?iBClBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jex6IvhFOhB8hB6kBT?gB3iBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbB8hBmgB3?iBClBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbB2iB8kBF?hBfrBCsB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeaBJvhFzcBxfB3iBG?lBcrBlpB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jem7IvhFzcBxfB3iB6?kBllBcrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFxbByhB8kBW?mB3iBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhFFcB2iBClBx?mB/lBcrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8Jex7IvhF8hBmfBzgB3?iB6kBFrB,v115@6gC8IeB8GeC8AeA8CeH8AeE8JeT6IvhF8kBliBRmBC?mB3mBmqB
TILJSZO,O,O,O,X,X,X,X,O,X,X
TILJSOZ,O,O,O,X,X,X,X,O,X,X
TILJZSO,O,O,O,X,X,X,X,O,X,X
TILJZOS,O,O,O,X,X,X,X,O,X,X
TILJOSZ,O,O,O,X,X,X,X,O,X,X
TILJOZS,O,O,O,X,X,X,X,O,X,X
TILSJZO,O,O,O,X,X,X,X,O,X,X
TILSJOZ,O,O,O,X,X,X,X,O,X,X
TILSZJO,O,O,O,X,X,O,X,O,X,X
TILSZOJ,O,O,O,X,X,O,X,O,X,X
TILSOJZ,O,O,O,X,X,X,X,O,X,X
TILSOZJ,X,O,O,X,X,X,X,O,X,X
TILZJSO,O,O,O,X,X,O,X,O,X,X
TILZJOS,O,O,O,X,X,X,X,O,X,O
TILZSJO,O,O,O,X,X,O,X,O,X,X
TILZSOJ,O,O,O,X,X,O,X,O,X,O
TILZOJS,O,O,O,X,X,X,X,O,X,O
TILZOSJ,O,O,O,X,X,X,X,O,X,O
TILOJSZ,X,O,O,X,X,X,X,O,X,X
TILOJZS,X,O,O,X,X,X,X,O,X,X
TILOSJZ,X,O,O,X,X,X,X,O,X,X
TILOSZJ,X,O,O,X,X,X,X,O,X,X
TILOZJS,X,O,O,X,X,X,X,O,X,X
TILOZSJ,X,O,O,X,X,X,X,O,X,X
TIJLSZO,O,X,O,X,X,X,O,O,X,X
TIJLSOZ,O,X,O,X,X,X,X,O,X,X
TIJLZSO,O,X,O,X,X,X,O,O,X,X
TIJLZOS,O,X,O,X,X,X,O,O,X,X
TIJLOSZ,O,X,O,X,X,X,X,O,X,X
TIJLOZS,O,X,O,X,X,X,O,O,X,X
TIJSLZO,O,X,O,X,X,X,O,X,X,X
TIJSLOZ,O,X,O,X,X,X,O,X,X,X
TIJSZLO,O,X,O,X,O,O,O,X,X,X
TIJSZOL,O,X,O,X,O,O,O,X,O,X
TIJSOLZ,O,X,X,X,X,O,O,X,X,X
TIJSOZL,O,X,O,X,X,X,O,X,O,X
TIJZLSO,O,X,O,X,O,O,O,X,X,X
TIJZLOS,O,X,O,X,X,X,O,X,X,O
TIJZSLO,O,X,O,X,O,O,O,X,X,X
TIJZSOL,O,X,O,X,O,O,O,X,X,X
TIJZOLS,O,X,O,X,X,X,O,X,X,O
TIJZOSL,O,X,O,X,X,O,O,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,O,X,X
TIJOLZS,O,X,X,X,X,X,O,O,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X,O,X
TIJOZLS,O,X,O,X,X,X,O,X,X,X
TIJOZSL,O,X,O,X,X,X,O,X,X,X
TISLJZO,O,O,O,X,X,X,O,X,X,X
TISLJOZ,O,O,O,X,X,X,O,X,X,X
TISLZJO,O,O,O,X,X,O,O,X,X,X
