sequence,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFNgBGcB5jB8lBKp?BfqB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFdgBqgBTcB5jBcp?BXqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFugBchB5jB3fBNq?BTpB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jB2kBtlBip?B0pB,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFGcB5jB8lBikB3p?BNqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFcgBTcB5jB9kB3l?B2uB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFCcB5jBXhBUlBTp?BdqB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jBtlBmpBKp?B0pB,v115@5gC8GeC8FeD8EeE8DeG8Je//IvhFTcB5jB0gBKpBdq?BGqB
TILJSZO,O,X,X,O,X,X,X,O,O
TILJSOZ,X,X,X,O,X,X,X,O,X
TILJZSO,O,X,X,O,X,X,X,O,O
TILJZOS,X,X,X,O,X,X,X,O,O
TILJOSZ,X,X,X,O,X,X,X,O,X
TILJOZS,X,X,X,O,X,X,X,O,X
TILSJZO,O,X,O,O,X,X,X,X,O
TILSJOZ,O,X,X,O,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,X,O
TILSZOJ,O,O,O,O,X,X,X,X,O
TILSOJZ,O,X,X,O,X,X,X,X,X
TILSOZJ,O,O,O,O,X,X,X,X,O
TILZJSO,O,O,O,O,X,X,X,X,O
TILZJOS,X,O,O,O,X,X,X,X,O
TILZSJO,O,O,O,O,X,X,X,X,O
TILZSOJ,O,O,O,O,X,X,X,X,O
TILZOJS,X,O,O,O,X,X,X,X,O
TILZOSJ,X,O,O,O,X,X,X,X,O
TILOJSZ,X,X,X,O,X,X,X,O,X
TILOJZS,X,X,X,O,X,X,X,O,X
TILOSJZ,O,X,O,O,X,X,X,X,X
TILOSZJ,O,O,O,O,X,X,X,X,O
TILOZJS,X,O,O,O,X,X,X,X,O
TILOZSJ,X,O,O,O,X,X,X,X,O
TIJLSZO,O,X,X,O,X,O,X,O,X
TIJLSOZ,X,X,X,O,X,O,X,O,X
TIJLZSO,O,X,X,O,X,X,X,O,X
TIJLZOS,X,X,X,O,X,X,X,O,X
TIJLOSZ,X,X,X,O,X,O,X,O,X
TIJLOZS,X,X,X,O,X,X,X,O,X
TIJSLZO,X,X,O,X,X,O,X,O,X
TIJSLOZ,X,X,X,X,X,O,X,O,X
TIJSZLO,X,X,O,X,O,O,X,X,X
TIJSZOL,X,X,O,X,X,O,X,X,X
TIJSOLZ,X,X,X,X,X,O,X,O,X
TIJSOZL,X,X,X,X,X,O,X,X,X
TIJZLSO,O,X,O,X,X,X,X,O,X
TIJZLOS,X,X,O,X,X,X,X,O,X
TIJZSLO,X,X,O,X,O,O,X,X,X
TIJZSOL,X,X,O,X,X,O,X,X,X
TIJZOLS,X,X,O,X,X,X,X,O,X
TIJZOSL,X,X,O,X,X,O,X,X,X
TIJOLSZ,X,X,X,O,X,O,X,O,X
TIJOLZS,X,X,X,O,X,X,X,O,X
TIJOSLZ,X,X,O,X,X,O,X,O,X
TIJOSZL,X,X,O,X,X,O,X,X,X
TIJOZLS,X,X,O,X,X,X,X,O,X
TIJOZSL,X,X,O,X,X,O,X,X,X
TISLJZO,X,X,O,O,X,X,X,X,X
TISLJOZ,X,X,X,O,X,X,X,X,X
TISLZJO,X,O,O,O,O,X,X,X,X
TISLZOJ,X,O,O,O,O,X,X,X,X
TISLOJZ,X,X,X,O,X,X,X,X,X
TISLOZJ,X,O,O,O,O,X,X,X,X
TISJLZO,X,X,O,X,X,O,X,O,X
TISJLOZ,X,X,X,X,X,O,X,O,X
TISJZLO,X,X,O,X,O,O,X,X,X
TISJZOL,X,X,O,X,X,O,X,X,X
TISJOLZ,X,X,X,X,X,O,X,O,X
TISJOZL,X,X,X,X,X,O,X,X,X
TISZLJO,X,O,O,X,O,X,X,X,X
TISZLOJ,X,O,O,X,O,X,X,X,X
TISZJLO,X,O,O,X,O,O,X,X,X
TISZJOL,X,O,O,X,X,O,X,X,X
TISZOLJ,X,O,O,X,X,X,X,X,X
TISZOJL,X,O,O,X,X,O,X,X,X
TISOLJZ,X,X,O,O,X,X,X,X,X
TISOLZJ,X,O,O,O,X,X,X,X,X
TISOJLZ,X,X,O,X,X,O,X,O,X
TISOJZL,X,X,O,X,X,O,O,X,X
TISOZLJ,X,O,O,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,O,O,X,X
TIZLJSO,O,O,O,O,X,X,X,X,X
TIZLJOS,X,O,O,O,X,X,X,X,X
TIZLSJO,O,O,O,O,X,X,X,X,X
TIZLSOJ,O,O,O,O,X,X,X,X,X
TIZLOJS,X,O,O,O,X,X,X,X,X
TIZLOSJ,X,O,O,O,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X,O,X
TIZJLOS,X,O,O,X,X,X,X,O,X
TIZJSLO,X,O,O,X,O,X,X,X,X
TIZJSOL,X,X,O,X,X,X,X,X,X
TIZJOLS,X,O,O,X,X,X,X,O,X
TIZJOSL,X,X,O,X,X,X,X,X,X
TIZSLJO,X,O,O,X,O,X,X,X,X
TIZSLOJ,X,O,O,X,O,X,X,X,X
TIZSJLO,X,O,O,X,O,X,X,X,X
TIZSJOL,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,X,X
TIZSOJL,X,X,O,X,X,X,X,X,X
TIZOLJS,X,O,O,O,X,X,X,X,X
TIZOLSJ,X,O,O,O,X,X,X,X,X
TIZOJLS,X,O,O,X,X,X,X,O,X
TIZOJSL,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,X,X,X,O,X
TIOLJZS,X,X,X,O,X,X,X,O,X
TIOLSJZ,X,X,O,O,X,X,X,X,X
TIOLSZJ,X,O,O,O,X,X,X,X,X
TIOLZJS,X,O,O,O,X,X,X,X,X
TIOLZSJ,X,O,O,O,X,X,X,X,X
