sequence,v115@zgC8GeB8HeB8HeF8AeI8Ne37IvhFzcBGeBylBUjBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NeaBJvhFUdBGeBTgBfnBVt?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFehBzcBfjB6jBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NeU8IvhFFdBXeBTgBSoBmm?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Nez7IvhFUdBFeB2lBfnBSt?BxxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFmcBCeBXhBTjBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Ne/CJvhFajBTgB0hB2xB5o?BFrB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFyhBzdB+jBXhBFn?BxxB,v115@zgC8GeB8HeB8HeF8AeI8Nez7IvhFxdB2lBUjBFnBfs?BSyB,v115@zgC8GeB8HeB8HeF8AeI8NeF8IvhFxdBTgBmmBftB6t?BUsB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFmcBzdBXhBFnB5o?ByxB,v115@zgC8GeB8HeB8HeF8AeI8NecAJvhFxcB+jBXhBFnBKt?BTsB
TILJSZO,O,O,X,X,X,X,X,O,X,X,X,X
TILJSOZ,O,O,X,X,X,X,X,O,X,X,X,X
TILJZSO,O,O,X,X,X,O,X,O,X,X,O,X
TILJZOS,O,X,X,X,X,O,X,O,X,X,O,X
TILJOSZ,O,O,X,X,X,X,X,O,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,O,X,X,O,X
TILSJZO,O,O,O,X,X,X,X,O,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,O,O,X,X,O,X,O,X,X,O,X
TILSZOJ,O,O,O,X,X,X,X,X,X,X,O,X
TILSOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,O,O,X,X,X,X,X,X,X,O,X
TILZJSO,O,O,O,X,X,O,X,O,X,X,O,X
TILZJOS,O,X,O,X,X,O,X,O,X,X,O,X
TILZSJO,O,O,O,X,X,O,X,O,X,X,O,X
TILZSOJ,O,O,O,X,X,X,X,X,X,X,O,X
TILZOJS,O,X,X,X,X,O,X,O,X,X,O,X
TILZOSJ,O,X,X,X,X,O,X,X,X,X,O,X
TILOJSZ,O,O,X,X,X,X,X,O,X,X,X,X
TILOJZS,O,X,X,X,X,O,X,O,X,X,O,X
TILOSJZ,O,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,O,X,X,X,X,O,X
TILOZJS,O,X,X,X,X,O,X,O,X,X,O,X
TILOZSJ,O,X,X,X,X,O,X,X,X,X,O,X
TIJLSZO,O,O,X,X,X,X,X,O,X,X,X,X
TIJLSOZ,O,O,X,X,X,X,X,O,X,X,X,X
TIJLZSO,O,O,X,X,X,O,X,O,X,X,O,X
TIJLZOS,O,X,X,X,X,O,X,O,X,X,O,X
TIJLOSZ,O,O,X,X,X,X,X,O,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,O,X,X,O,X
TIJSLZO,X,O,O,X,X,X,X,O,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZLO,X,O,O,X,X,X,X,O,X,X,X,X
TIJSZOL,X,O,O,X,X,X,X,O,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,X,O,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X,O,X,X,X,X
TIJZLSO,O,X,O,X,X,O,X,O,O,X,O,X
TIJZLOS,O,X,O,X,X,O,X,O,O,X,O,X
TIJZSLO,O,X,O,X,X,O,X,O,O,X,O,X
TIJZSOL,O,X,O,X,X,O,X,O,O,X,O,X
TIJZOLS,O,X,O,X,X,O,X,O,O,X,O,X
TIJZOSL,O,X,O,X,X,O,X,O,O,X,O,X
TIJOLSZ,O,O,X,X,X,X,X,O,X,X,X,X
TIJOLZS,O,O,X,X,X,O,X,O,X,X,X,X
TIJOSLZ,X,O,X,X,X,X,X,O,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,O,X,X,X,X
TIJOZLS,O,O,X,X,X,O,X,O,O,X,O,X
TIJOZSL,O,O,X,X,X,O,X,O,O,X,O,X
TISLJZO,O,O,O,X,X,X,X,O,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,O,O,O,X,X,O,X,O,X,X,O,X
TISLZOJ,O,X,O,X,X,X,X,X,X,X,O,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,O,X,X,X,X,X,X,X,O,X
TISJLZO,X,O,O,X,X,X,X,O,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TISJZLO,X,O,O,X,X,X,X,O,X,X,X,X
TISJZOL,X,O,O,X,X,X,X,O,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X,O,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,O,X,X,X,X
TISZLJO,O,O,O,X,X,O,X,O,X,X,O,X
TISZLOJ,O,X,O,X,X,X,X,X,X,X,O,X
TISZJLO,O,O,O,X,X,O,X,O,X,X,O,X
