sequence,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBKmBWn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBOmBCn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBuhBigBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBRcBGhBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcB6mBTiBml?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcBylB+mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFmcBxgBSnBXgBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFRcB0fBfmB6mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBigBGiBzhBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcBFgB8lB+mBTi?BfqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBxhBUiBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFzbBGiB0fBRmB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFRcBzgBGiB0fB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBzcB2lBSnBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcB8lBGiBzkB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBUdBxmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFTcB/iBWlBlmBRq?BcqB,v115@6gC8HeC8GeC8EeF8AeG8Jex6IvhFTcB/iB6kB0lBlm?BOqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFUdBClBxmB/mB1q?BOqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhF0fBRhBSnBzgB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFCcB/iB0fBRmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je2/IvhFzbBViBUgBfqBxr?BSwB
TILJSZO,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TILJSOZ,O,O,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X
TILJZSO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TILJZOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILJOSZ,O,O,X,X,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O
TILJOZS,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TILSJOZ,O,O,O,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,O,X,X,O
TILSZJO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
TILSZOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TILSOJZ,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,O
TILSOZJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TILZJSO,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TILZJOS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILZSJO,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
TILZSOJ,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TILZOJS,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILZOSJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILOJSZ,O,O,O,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O
TILOJZS,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O
