sequence,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBXdBulBziBim?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBXdBqlB2mBzi?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhF6gBxcBmhBziBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBOiBChBziBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBChBmiBTiBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Jex6IvhFTcBGgBiiB0iBXm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFmbBzcBfjBqlBxm?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFxbBKiBfjBGhBzl?BFsB,v115@7gC8HeD8FeD8EeH8AeC8Jel6IvhFTdBxgB8nBXhBas?BWwB,v115@7gC8HeD8FeD8EeH8AeC8Je06IvhFlbBXhBZnBznBSw?BGsB
TILJSZO,O,O,X,X,X,O,X,X,X,X
TILJSOZ,O,O,X,X,X,O,X,X,X,X
TILJZSO,O,O,X,X,X,O,X,X,X,X
TILJZOS,O,O,X,X,X,X,X,X,O,X
TILJOSZ,O,O,X,X,X,O,X,X,X,X
TILJOZS,O,O,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,X,O,X,X,X,X
TILSJOZ,O,O,X,X,X,O,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X,O,X
TILSOJZ,X,O,X,X,X,O,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,X,X,O,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,X,O,X
TILZSJO,O,O,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X,O,X
TILZOJS,X,O,X,X,X,X,X,X,O,X
TILZOSJ,O,O,X,X,X,X,X,X,O,X
TILOJSZ,X,O,X,X,X,O,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,X,X,X,O,X
TILOZSJ,X,O,X,X,X,X,X,X,O,X
TIJLSZO,O,O,X,X,X,O,X,X,X,X
TIJLSOZ,O,O,X,X,X,O,X,X,X,X
TIJLZSO,O,O,O,X,X,O,X,X,X,X
TIJLZOS,O,O,O,X,X,X,X,X,O,X
TIJLOSZ,O,O,X,X,X,O,X,X,X,X
TIJLOZS,O,O,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,O,O,O,X,O,X,X
TIJSLOZ,O,O,X,O,O,O,X,O,X,X
TIJSZLO,O,X,O,O,O,O,X,O,X,X
TIJSZOL,O,X,X,O,X,O,X,X,X,X
TIJSOLZ,O,X,X,X,X,O,X,X,X,X
TIJSOZL,O,X,X,X,X,O,X,X,X,X
TIJZLSO,O,X,O,O,X,O,X,X,X,X
TIJZLOS,O,X,O,O,X,X,X,X,O,X
TIJZSLO,O,X,O,O,O,X,X,O,X,X
TIJZSOL,O,X,X,O,X,X,X,X,X,X
TIJZOLS,O,X,O,O,X,X,X,X,O,X
TIJZOSL,O,X,X,O,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,O,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,O,O,O,O,O,O,X,X
TISLJOZ,X,X,O,O,O,O,O,O,X,X
TISLZJO,X,X,O,O,O,X,O,O,X,X
TISLZOJ,X,X,O,O,O,X,O,O,O,X
TISLOJZ,X,X,O,O,O,O,O,O,X,X
TISLOZJ,X,X,O,O,O,X,O,O,X,X
TISJLZO,X,X,O,O,O,O,O,O,X,X
TISJLOZ,X,X,O,O,O,O,O,O,X,X
TISJZLO,X,X,O,O,O,O,X,O,X,X
TISJZOL,X,X,O,O,X,O,X,X,X,X
TISJOLZ,X,X,O,X,X,O,O,X,X,X
TISJOZL,X,X,O,X,X,O,X,X,X,X
TISZLJO,X,X,O,O,O,X,O,O,X,X
TISZLOJ,X,X,O,O,O,X,O,O,O,X
TISZJLO,X,X,O,O,O,X,X,O,X,X
TISZJOL,X,X,O,O,X,X,X,X,X,X
TISZOLJ,X,X,O,O,O,X,O,O,O,X
TISZOJL,X,X,O,O,X,X,X,O,X,X
TISOLJZ,X,X,O,O,X,O,O,O,X,X
TISOLZJ,X,X,O,O,X,X,O,O,X,X
TISOJLZ,X,X,O,O,X,O,O,O,X,X
TISOJZL,X,X,O,O,X,O,X,O,X,X
TISOZLJ,X,X,O,O,X,X,O,O,X,X
TISOZJL,X,X,O,O,X,X,X,O,X,X
TIZLJSO,O,O,O,O,X,O,X,X,X,X
TIZLJOS,O,O,O,O,X,X,X,X,O,X
TIZLSJO,O,O,X,O,O,X,X,X,X,X
TIZLSOJ,O,O,X,O,O,X,X,X,O,X
TIZLOJS,O,O,O,O,X,X,X,X,O,X
TIZLOSJ,O,O,O,X,X,X,X,X,O,X
TIZJLSO,O,O,O,O,X,O,X,X,X,X
TIZJLOS,O,O,O,O,X,X,X,X,O,X
TIZJSLO,O,X,O,O,O,X,X,O,X,X
TIZJSOL,O,X,X,O,X,X,X,X,X,X
TIZJOLS,O,O,O,O,X,X,X,X,O,X
TIZJOSL,O,O,X,O,X,X,X,X,X,X
TIZSLJO,O,O,O,O,O,X,X,O,X,X
TIZSLOJ,O,O,O,O,O,X,X,O,O,X
TIZSJLO,O,X,O,O,O,X,X,O,X,X
TIZSJOL,O,X,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,O,O,O,X,X,O,O,X
TIZSOJL,O,O,O,O,X,X,X,O,X,X
TIZOLJS,O,O,O,O,X,X,X,X,O,X
TIZOLSJ,O,O,O,X,X,X,X,X,O,X
TIZOJLS,O,O,O,O,X,X,X,X,O,X
TIZOJSL,O,O,O,O,X,X,X,O,X,X
TIZOSLJ,O,O,O,O,O,X,X,O,O,X
TIZOSJL,O,O,O,O,X,X,X,O,X,X
TIOLJSZ,O,O,X,X,X,O,X,X,X,X
TIOLJZS,O,O,O,X,X,X,X,X,X,X
TIOLSJZ,O,O,O,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X,X,X
TIOLZJS,O,O,O,X,X,X,X,X,O,X
TIOLZSJ,O,O,O,X,X,X,X,X,O,X
TIOJLSZ,O,O,X,X,X,O,X,X,X,X
TIOJLZS,O,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,O,O,O,X,X,X,O,X,X
TIOJSZL,O,X,O,O,X,X,X,O,X,X
TIOJZLS,O,X,O,O,X,X,X,X,X,X
TIOJZSL,O,X,O,O,X,X,X,O,X,X
TIOSLJZ,O,O,O,O,X,X,X,O,X,X
TIOSLZJ,O,O,O,O,X,X,X,O,X,X
TIOSJLZ,O,O,O,O,X,X,X,O,X,X
TIOSJZL,O,O,O,O,X,X,X,O,X,X
TIOSZLJ,O,O,O,O,X,X,X,O,X,X
TIOSZJL,O,O,O,O,X,X,X,O,X,X
TIOZLJS,O,O,O,O,X,X,X,X,O,X
TIOZLSJ,O,O,O,X,X,X,X,X,O,X
TIOZJLS,O,O,O,O,X,X,X,X,O,X
TIOZJSL,O,O,O,O,X,X,X,O,X,X
TIOZSLJ,O,O,O,O,X,X,X,O,O,X
TIOZSJL,O,O,O,O,X,X,X,O,X,X
TLIJSZO,O,O,X,X,X,O,X,X,X,X
TLIJSOZ,O,O,X,X,X,O,X,X,X,X
TLIJZSO,O,O,X,X,X,O,X,X,X,X
TLIJZOS,O,O,X,X,X,X,X,X,O,X
TLIJOSZ,O,O,X,X,X,O,X,X,X,X
TLIJOZS,O,O,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,O,X,X,X,X
TLISJOZ,O,O,X,X,X,O,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,O,X
TLISOJZ,X,O,X,X,X,O,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,X,X,O,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X,X,O,X
TLIZSJO,O,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,O,X
TLIZOJS,X,O,X,X,X,X,X,X,O,X
TLIZOSJ,O,O,X,X,X,X,X,X,O,X
TLIOJSZ,X,O,X,X,X,O,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,X,X,X,O,X
TLIOZSJ,X,O,X,X,X,X,X,X,O,X
TLJISZO,O,O,X,X,X,O,X,X,X,X
TLJISOZ,O,O,X,X,X,O,X,X,X,X
TLJIZSO,O,O,O,X,X,O,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X,O,X
TLJIOSZ,O,O,X,X,X,O,X,X,X,X
TLJIOZS,O,O,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,O,O,O,O,O,X,X
TLJSIOZ,O,O,X,O,O,O,O,O,X,X
TLJSZIO,O,O,X,O,O,O,O,O,X,X
TLJSZOI,O,O,X,O,O,O,X,O,X,X
TLJSOIZ,O,O,X,O,O,O,X,O,X,X
TLJSOZI,O,O,X,O,O,O,X,O,X,X
TLJZISO,O,O,O,O,X,O,X,X,X,X
TLJZIOS,O,O,O,O,X,X,X,X,O,X
TLJZSIO,O,O,O,O,O,O,O,O,X,X
TLJZSOI,O,O,X,O,O,O,X,O,X,X
TLJZOIS,O,O,O,X,X,X,X,X,O,X
TLJZOSI,O,O,X,X,X,X,X,X,X,X
TLJOISZ,O,O,X,X,X,O,X,X,X,X
TLJOIZS,O,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,X,O,X,X,X,X
TLJOSZI,O,O,X,X,X,O,X,X,X,X
TLJOZIS,O,O,X,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,O,O,O,O,X,X
TLSIZJO,O,O,O,O,O,X,O,O,X,X
TLSIZOJ,O,O,O,O,O,X,O,O,O,O
TLSIOJZ,X,O,O,O,O,O,O,O,X,O
TLSIOZJ,O,O,O,O,O,X,O,O,X,O
TLSJIZO,O,O,O,O,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,O,O,O,O,X,X
TLSJZIO,O,O,O,O,O,O,O,O,X,X
TLSJZOI,O,O,O,O,O,O,X,O,X,O
TLSJOIZ,O,O,O,O,O,O,X,O,X,O
TLSJOZI,O,O,O,O,O,O,X,O,X,O
TLSZIJO,O,O,O,O,O,X,O,O,X,X
TLSZIOJ,O,O,O,O,O,X,O,O,O,O
TLSZJIO,O,O,O,O,O,O,O,O,X,X
TLSZJOI,O,O,O,O,O,O,X,O,X,O
TLSZOIJ,O,O,O,O,O,X,X,O,O,O
TLSZOJI,O,O,O,O,O,O,X,O,X,O
TLSOIJZ,X,O,O,O,O,O,X,O,X,O
