sequence,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBidB?5jBziB3mBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSiB?TeB3mBGoBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBzdB?+jBFnB3mBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBxdB?/nB1rBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSjB?FnBToB3mBusB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB1rB?xnB/nBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFXdB5nB?6tBOtBzrBFrB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB5jB?3mBznBinBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBWnB?TjBXnBFmBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBumB?CjB/sBTtBFrB
TSIZLOJ,O,O,X,X,X,O,X,X,X,X
TSIZJLO,O,O,X,O,X,O,X,X,X,X
TSIZJOL,O,O,X,O,X,O,X,O,X,X
TSIZOLJ,O,O,X,O,X,O,X,O,X,X
TSIZOJL,O,O,X,O,X,O,X,O,X,X
TSIOLJZ,O,O,X,O,X,O,X,O,X,X
TSIOLZJ,O,O,X,O,X,O,X,O,X,X
TSIOJLZ,O,O,X,O,X,O,X,O,X,X
TSIOJZL,O,O,X,O,X,O,X,O,X,X
TSIOZLJ,O,O,X,O,X,O,X,O,X,X
TSIOZJL,O,O,X,O,X,O,X,O,X,X
TSLIJZO,O,O,O,O,X,X,X,X,X,X
TSLIJOZ,O,O,O,X,X,X,X,X,X,X
TSLIZJO,O,O,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,X,X
TSLJIZO,O,O,O,O,X,X,X,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,X,X,X
TSLJZIO,O,O,O,O,X,X,X,X,X,X
TSLJZOI,O,O,O,O,X,X,X,X,X,O
TSLJOIZ,O,O,O,O,X,X,X,X,X,X
TSLJOZI,O,O,O,O,X,X,X,X,X,X
TSLZIJO,O,O,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X,X,X
TSLZJIO,O,O,O,O,X,X,X,X,X,X
TSLZJOI,O,O,O,O,X,X,X,X,X,O
TSLZOIJ,O,O,X,O,X,X,X,X,X,X
TSLZOJI,O,O,X,O,X,X,X,X,X,X
TSLOIJZ,O,O,X,O,X,X,X,X,X,X
TSLOIZJ,O,O,X,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,O,X,X,X,X,X,X
TSLOJZI,O,O,X,O,X,X,X,X,X,X
TSLOZIJ,O,O,X,O,X,X,X,X,X,X
TSLOZJI,O,O,X,O,X,X,X,X,X,X
TSJILZO,O,O,X,O,X,O,X,X,X,X
TSJILOZ,O,O,X,X,X,O,X,X,X,X
TSJIZLO,O,O,X,O,X,O,X,X,X,X
TSJIZOL,O,O,X,O,X,O,X,O,X,X
TSJIOLZ,O,O,X,O,X,O,X,O,X,X
TSJIOZL,O,O,X,O,X,O,X,O,X,X
TSJLIZO,O,O,X,O,X,X,X,X,X,X
TSJLIOZ,O,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,X,O,X,X,X,X,X,X
TSJLZOI,O,O,X,O,X,X,X,X,X,O
TSJLOIZ,O,O,X,O,X,X,X,X,X,X
TSJLOZI,O,O,X,O,X,X,X,X,X,X
TSJZILO,O,O,X,O,X,O,X,X,X,X
TSJZIOL,O,O,X,O,X,O,X,O,X,X
TSJZLIO,O,O,X,O,X,X,X,X,X,X
TSJZLOI,O,O,X,O,X,X,X,X,X,O
TSJZOIL,O,O,X,O,X,X,X,O,X,X
TSJZOLI,O,O,X,O,X,X,X,X,X,O
TSJOILZ,O,O,X,O,X,X,X,O,X,X
TSJOIZL,O,O,X,O,X,X,X,O,X,X
TSJOLIZ,O,O,X,O,X,X,X,X,X,O
TSJOLZI,O,O,X,O,X,X,X,X,X,O
TSJOZIL,O,O,X,O,X,X,X,O,X,X
TSJOZLI,O,O,X,O,X,X,X,X,X,O
TSZILJO,O,O,O,O,X,O,X,X,X,X
TSZILOJ,O,O,X,X,X,O,X,X,X,X
TSZIJLO,O,O,X,O,X,O,X,X,X,X
TSZIJOL,O,O,X,O,X,O,X,O,X,X
TSZIOLJ,O,O,X,O,X,O,X,O,X,X
TSZIOJL,O,O,X,O,X,O,X,O,X,X
TSZLIJO,O,O,O,O,X,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X,X,X
TSZLJIO,O,O,O,O,X,X,X,X,X,X
TSZLJOI,O,O,O,O,X,X,X,X,X,O
TSZLOIJ,O,O,X,O,X,X,X,X,X,X
TSZLOJI,O,O,X,O,X,X,X,X,X,X
TSZJILO,O,O,X,O,X,O,X,X,X,X
TSZJIOL,O,O,X,O,X,O,X,O,X,X
TSZJLIO,O,O,X,O,X,X,X,X,X,X
TSZJLOI,O,O,X,O,X,X,X,X,X,O
TSZJOIL,O,O,X,O,X,X,X,O,X,X
TSZJOLI,O,O,X,O,X,X,X,X,X,O
TSZOILJ,O,O,X,O,O,X,X,O,X,X
TSZOIJL,O,O,X,O,O,X,X,O,X,X
TSZOLIJ,O,O,X,O,O,X,X,X,X,X
TSZOLJI,O,O,X,O,O,X,X,X,X,O
TSZOJIL,O,O,X,O,O,X,X,O,X,X
TSZOJLI,O,O,X,O,O,X,X,X,X,O
TSOILJZ,O,O,X,O,O,X,X,O,X,X
TSOILZJ,O,O,X,O,O,X,X,O,X,X
TSOIJLZ,O,O,X,O,O,X,X,O,X,X
TSOIJZL,O,O,X,O,O,X,X,O,X,X
TSOIZLJ,O,O,X,O,O,X,X,O,X,X
TSOIZJL,O,O,X,O,O,X,X,O,X,X
TSOLIJZ,O,O,X,O,O,X,X,X,X,X
TSOLIZJ,O,O,X,O,O,X,X,X,X,X
TSOLJIZ,O,O,X,O,O,X,X,X,X,O
TSOLJZI,O,O,X,O,O,X,X,X,X,O
TSOLZIJ,O,O,X,O,O,X,X,X,X,X
TSOLZJI,O,O,X,O,O,X,X,X,X,O
TSOJILZ,O,O,X,O,O,X,X,O,X,X
TSOJIZL,O,O,X,O,O,X,X,O,X,X
TSOJLIZ,O,O,X,O,O,X,X,X,X,O
TSOJLZI,O,O,X,O,O,X,X,X,X,O
TSOJZIL,O,O,X,O,O,X,X,O,X,X
TSOJZLI,O,O,X,O,O,X,X,X,X,O
TSOZILJ,O,O,X,O,O,X,X,O,X,X
TSOZIJL,O,O,X,O,O,X,X,O,X,X
TSOZLIJ,O,O,X,O,O,X,X,X,X,X
TSOZLJI,O,O,X,O,O,X,X,X,X,O
TSOZJIL,O,O,X,O,O,X,X,O,X,X
TSOZJLI,O,O,X,O,O,X,X,X,X,O
TZILJSO,X,O,O,X,X,O,X,X,X,X
TZILJOS,O,O,O,X,X,O,X,X,X,X
TZILSJO,X,X,O,X,X,O,X,X,X,X
TZILSOJ,X,X,X,X,X,O,X,X,X,X
TZILOJS,O,X,O,X,X,O,X,X,X,X
TZILOSJ,O,X,X,X,X,O,O,X,X,X
TZIJLSO,X,O,O,X,X,O,X,X,X,X
TZIJLOS,O,O,O,X,X,O,X,X,X,X
TZIJSLO,O,O,X,O,X,O,X,X,X,X
TZIJSOL,O,O,X,O,X,O,X,O,X,X
TZIJOLS,O,O,X,X,X,O,X,X,X,X
TZIJOSL,O,O,X,O,X,O,X,X,X,X
TZISLJO,O,O,O,O,X,O,X,X,X,X
TZISLOJ,O,O,X,X,X,O,X,X,X,X
TZISJLO,O,O,X,O,X,O,X,X,X,X
TZISJOL,O,O,X,O,X,O,X,O,X,X
TZISOLJ,O,O,X,O,X,O,X,O,X,X
TZISOJL,O,O,X,O,X,O,X,O,X,X
TZIOLJS,O,X,O,X,X,O,X,X,X,X
TZIOLSJ,O,X,X,X,O,O,O,X,X,X
TZIOJLS,O,O,X,X,X,O,X,X,X,X
TZIOJSL,O,O,X,O,X,O,X,X,X,X
TZIOSLJ,O,X,X,O,O,O,O,O,X,X
TZIOSJL,O,X,X,O,O,O,X,O,X,X
TZLIJSO,X,O,O,X,X,O,X,X,X,X
TZLIJOS,O,O,O,X,X,O,X,X,X,X
TZLISJO,X,X,O,X,X,O,X,X,X,X
TZLISOJ,X,X,X,X,X,O,X,X,X,X
TZLIOJS,O,X,O,X,X,O,X,X,X,X
TZLIOSJ,O,X,X,X,X,O,O,X,X,X
TZLJISO,X,O,O,X,X,O,X,X,X,X
TZLJIOS,O,O,O,X,X,O,X,X,X,X
TZLJSIO,X,O,O,O,X,X,X,X,X,X
TZLJSOI,X,O,O,O,X,X,X,X,X,X
TZLJOIS,O,O,O,X,X,X,X,X,X,X
TZLJOSI,O,O,O,O,X,X,X,X,O,X
TZLSIJO,X,X,O,O,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X,X,X,X,X
TZLSJIO,X,X,O,O,X,X,X,X,X,X
TZLSJOI,X,X,O,O,X,X,X,X,X,X
TZLSOIJ,X,X,X,O,X,X,X,X,X,X
TZLSOJI,X,X,X,O,X,X,X,X,X,X
TZLOIJS,O,X,O,X,X,X,X,X,X,X
TZLOISJ,O,X,X,X,O,X,O,X,X,X
TZLOJIS,O,X,O,X,X,X,X,X,X,X
TZLOJSI,O,X,O,O,O,X,X,X,O,X
TZLOSIJ,O,X,X,O,O,X,X,X,X,X
TZLOSJI,O,X,X,O,O,X,X,X,X,X
TZJILSO,X,O,O,X,X,O,X,X,X,X
TZJILOS,O,O,O,X,X,O,X,X,X,X
TZJISLO,O,O,X,O,X,O,X,X,X,X
TZJISOL,O,O,X,O,X,O,X,O,X,X
TZJIOLS,O,O,X,X,X,O,X,X,X,X
TZJIOSL,O,O,X,O,X,O,X,X,X,X
TZJLISO,X,O,O,X,X,O,X,X,X,X
TZJLIOS,O,O,O,X,X,O,X,X,X,X
TZJLSIO,X,O,O,O,X,X,X,X,X,X
TZJLSOI,X,O,O,O,X,X,X,X,X,X
TZJLOIS,O,O,O,X,X,X,X,X,X,X
TZJLOSI,O,O,O,O,X,X,X,X,X,X
TZJSILO,O,O,X,O,X,O,X,X,X,X
TZJSIOL,O,O,X,O,X,O,X,O,X,X
TZJSLIO,O,O,X,O,X,X,X,X,X,X
TZJSLOI,O,O,X,O,X,X,X,X,X,O
TZJSOIL,O,O,X,O,X,X,X,O,X,X
TZJSOLI,O,O,X,O,X,X,X,X,X,O
TZJOILS,O,O,X,X,X,O,X,X,X,X
TZJOISL,O,O,X,O,X,O,X,X,X,X
TZJOLIS,O,O,X,X,X,X,X,X,X,X
TZJOLSI,O,O,X,O,O,X,X,X,X,X
TZJOSIL,O,O,X,O,O,X,X,X,X,X
TZJOSLI,O,O,X,O,O,X,X,X,X,X
TZSILJO,O,O,O,O,X,O,X,X,X,X
TZSILOJ,O,O,X,X,X,O,X,X,X,X
TZSIJLO,O,O,X,O,X,O,X,X,X,X
TZSIJOL,O,O,X,O,X,O,X,O,X,X
TZSIOLJ,O,O,X,O,X,O,X,O,X,X
TZSIOJL,O,O,X,O,X,O,X,O,X,X
TZSLIJO,O,O,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,X,X,X,X,X,X,X,X
TZSLJIO,O,O,O,O,X,X,X,X,X,X
TZSLJOI,O,O,O,O,X,X,X,X,X,O
TZSLOIJ,O,O,X,O,X,X,X,X,X,X
TZSLOJI,O,O,X,O,X,X,X,X,X,X
TZSJILO,O,O,X,O,X,O,X,X,X,X
TZSJIOL,O,O,X,O,X,O,X,O,X,X
TZSJLIO,O,O,X,O,X,X,X,X,X,X
TZSJLOI,O,O,X,O,X,X,X,X,X,O
TZSJOIL,O,O,X,O,X,X,X,O,X,X
TZSJOLI,O,O,X,O,X,X,X,X,X,O
TZSOILJ,O,O,X,O,O,X,X,O,X,X
TZSOIJL,O,O,X,O,O,X,X,O,X,X
TZSOLIJ,O,O,X,O,O,X,X,X,X,X
TZSOLJI,O,O,X,O,O,X,X,X,X,O
TZSOJIL,O,O,X,O,O,X,X,O,X,X
TZSOJLI,O,O,X,O,O,X,X,X,X,O
TZOILJS,O,X,O,X,X,O,X,X,X,X
TZOILSJ,O,X,X,X,O,O,O,X,X,X
TZOIJLS,O,O,X,X,X,O,X,X,X,X
TZOIJSL,O,O,X,O,X,O,X,X,X,X
TZOISLJ,O,X,X,O,O,O,O,O,X,X
TZOISJL,O,X,X,O,O,O,X,O,X,X
TZOLIJS,O,X,O,X,X,X,X,X,X,X
TZOLISJ,O,X,X,X,O,X,O,X,X,X
TZOLJIS,O,X,O,X,X,X,X,X,X,X
TZOLJSI,O,X,O,O,O,X,X,X,X,X
TZOLSIJ,O,X,X,O,O,X,X,X,X,X
TZOLSJI,O,X,X,O,O,X,X,X,X,X
TZOJILS,O,O,X,X,X,O,X,X,X,X
TZOJISL,O,O,X,O,X,O,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X,X,X
TZOJLSI,O,O,X,O,O,X,X,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X,X,X
TZOSILJ,O,X,X,O,O,X,X,O,X,X
TZOSIJL,O,X,X,O,O,X,X,O,X,X
TZOSLIJ,O,X,X,O,O,X,X,X,X,X
TZOSLJI,O,X,X,O,O,X,X,X,X,O
TZOSJIL,O,X,X,O,O,X,X,O,X,X
TZOSJLI,O,X,X,O,O,X,X,X,X,O
TOILJSZ,O,X,O,X,X,O,X,X,X,X
TOILJZS,O,X,O,X,X,O,X,X,X,X
TOILSJZ,O,X,X,X,O,O,X,X,X,X
TOILSZJ,O,X,X,X,O,O,O,X,X,X
TOILZJS,O,X,O,X,X,O,X,X,X,X
TOILZSJ,O,X,X,X,O,O,O,X,X,X
TOIJLSZ,O,O,X,X,X,O,X,X,X,X
TOIJLZS,O,O,X,X,X,O,X,X,X,X
TOIJSLZ,O,O,X,O,X,O,X,X,X,X
TOIJSZL,O,O,X,O,X,O,X,X,X,X
TOIJZLS,O,O,X,X,X,O,X,X,X,X
TOIJZSL,O,O,X,O,X,O,X,X,X,X
TOISLJZ,O,X,X,O,O,O,X,O,X,X
TOISLZJ,O,X,X,O,O,O,O,O,X,X
TOISJLZ,O,X,X,O,O,O,X,O,X,X
TOISJZL,O,X,X,O,O,O,X,O,X,X
TOISZLJ,O,X,X,O,O,O,O,O,X,X
TOISZJL,O,X,X,O,O,O,X,O,X,X
TOIZLJS,O,X,O,X,X,O,X,X,X,X
TOIZLSJ,O,X,X,X,O,O,O,X,X,X
TOIZJLS,O,O,X,X,X,O,X,X,X,X
TOIZJSL,O,O,X,O,X,O,X,X,X,X
TOIZSLJ,O,X,X,O,O,O,O,O,X,X
TOIZSJL,O,X,X,O,O,O,X,O,X,X
TOLIJSZ,O,X,O,X,X,X,X,X,X,X
TOLIJZS,O,X,O,X,X,X,X,X,X,X
TOLISJZ,O,X,X,X,O,X,X,X,X,X
TOLISZJ,O,X,X,X,O,X,O,X,X,X
TOLIZJS,O,X,O,X,X,X,X,X,X,X
TOLIZSJ,O,X,X,X,O,X,O,X,X,X
TOLJISZ,O,X,O,X,X,X,X,X,X,X
TOLJIZS,O,X,O,X,X,X,X,X,X,X
TOLJSIZ,O,X,O,O,O,X,X,X,X,X
TOLJSZI,O,X,O,O,O,X,X,X,X,X
TOLJZIS,O,X,O,X,X,X,X,X,X,X
TOLJZSI,O,X,O,O,O,X,X,X,X,X
TOLSIJZ,O,X,X,O,O,X,X,X,X,X
TOLSIZJ,O,X,X,O,O,X,X,X,X,X
TOLSJIZ,O,X,X,O,O,X,X,X,X,X
TOLSJZI,O,X,X,O,O,X,X,X,X,X
TOLSZIJ,O,X,X,O,O,X,X,X,X,X
TOLSZJI,O,X,X,O,O,X,X,X,X,X
TOLZIJS,O,X,O,X,X,X,X,X,X,X
TOLZISJ,O,X,X,X,O,X,O,X,X,X
TOLZJIS,O,X,O,X,X,X,X,X,X,X
TOLZJSI,O,X,O,O,O,X,X,X,X,X
TOLZSIJ,O,X,X,O,O,X,X,X,X,X
TOLZSJI,O,X,X,O,O,X,X,X,X,X
TOJILSZ,O,O,X,X,X,O,X,X,X,X
TOJILZS,O,O,X,X,X,O,X,X,X,X
TOJISLZ,O,O,X,O,X,O,X,X,X,X
TOJISZL,O,O,X,O,X,O,X,X,X,X
TOJIZLS,O,O,X,X,X,O,X,X,X,X
TOJIZSL,O,O,X,O,X,O,X,X,X,X
TOJLISZ,O,O,X,X,X,X,X,X,X,X
TOJLIZS,O,O,X,X,X,X,X,X,X,X
TOJLSIZ,O,O,X,O,O,X,X,X,X,X
TOJLSZI,O,O,X,O,O,X,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X,X,X,X
TOJLZSI,O,O,X,O,O,X,X,X,X,X
TOJSILZ,O,O,X,O,O,X,X,X,X,X
TOJSIZL,O,O,X,O,O,X,X,X,X,X
TOJSLIZ,O,O,X,O,O,X,X,X,X,X
TOJSLZI,O,O,X,O,O,X,X,X,X,X
TOJSZIL,O,O,X,O,O,X,X,X,X,X
TOJSZLI,O,O,X,O,O,X,X,X,X,X
TOJZILS,O,O,X,X,X,O,X,X,X,X
TOJZISL,O,O,X,O,X,O,X,X,X,X
TOJZLIS,O,O,X,X,X,X,X,X,X,X
TOJZLSI,O,O,X,O,O,X,X,X,X,X
TOJZSIL,O,O,X,O,O,X,X,X,X,X
TOJZSLI,O,O,X,O,O,X,X,X,X,X
TOSILJZ,O,X,X,O,O,X,X,O,X,X
TOSILZJ,O,X,X,O,O,X,X,O,X,X
TOSIJLZ,O,X,X,O,O,X,X,O,X,X
TOSIJZL,O,X,X,O,O,X,X,O,X,X
TOSIZLJ,O,X,X,O,O,X,X,O,X,X
TOSIZJL,O,X,X,O,O,X,X,O,X,X
TOSLIJZ,O,X,X,O,O,X,X,X,X,X
TOSLIZJ,O,X,X,O,O,X,X,X,X,X
TOSLJIZ,O,X,X,O,O,X,X,X,X,O
TOSLJZI,O,X,X,O,O,X,X,X,X,O
TOSLZIJ,O,X,X,O,O,X,X,X,X,X
TOSLZJI,O,X,X,O,O,X,X,X,X,O
TOSJILZ,O,X,X,O,O,X,X,O,X,X
TOSJIZL,O,X,X,O,O,X,X,O,X,X
TOSJLIZ,O,X,X,O,O,X,X,X,X,O
TOSJLZI,O,X,X,O,O,X,X,X,X,O
TOSJZIL,O,X,X,O,O,X,X,O,X,X
TOSJZLI,O,X,X,O,O,X,X,X,X,O
TOSZILJ,O,X,X,O,O,X,X,O,X,X
TOSZIJL,O,X,X,O,O,X,X,O,X,X
TOSZLIJ,O,X,X,O,O,X,X,X,X,X
TOSZLJI,O,X,X,O,O,X,X,X,X,O
TOSZJIL,O,X,X,O,O,X,X,O,X,X
TOSZJLI,O,X,X,O,O,X,X,X,X,O
TOZILJS,O,X,O,X,X,O,X,X,X,X
TOZILSJ,O,X,X,X,O,O,O,X,X,X
TOZIJLS,O,O,X,X,X,O,X,X,X,X
TOZIJSL,O,O,X,O,X,O,X,X,X,X
TOZISLJ,O,X,X,O,O,O,O,O,X,X
TOZISJL,O,X,X,O,O,O,X,O,X,X
TOZLIJS,O,X,O,X,X,X,X,X,X,X
TOZLISJ,O,X,X,X,O,X,O,X,X,X
TOZLJIS,O,X,O,X,X,X,X,X,X,X
TOZLJSI,O,X,O,O,O,X,X,X,X,X
TOZLSIJ,O,X,X,O,O,X,X,X,X,X
TOZLSJI,O,X,X,O,O,X,X,X,X,X
TOZJILS,O,O,X,X,X,O,X,X,X,X
TOZJISL,O,O,X,O,X,O,X,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X,X,X
TOZJLSI,O,O,X,O,O,X,X,X,X,X
TOZJSIL,O,O,X,O,O,X,X,X,X,X
TOZJSLI,O,O,X,O,O,X,X,X,X,X
TOZSILJ,O,X,X,O,O,X,X,O,X,X
TOZSIJL,O,X,X,O,O,X,X,O,X,X
TOZSLIJ,O,X,X,O,O,X,X,X,X,X
TOZSLJI,O,X,X,O,O,X,X,X,X,O
TOZSJIL,O,X,X,O,O,X,X,O,X,X
TOZSJLI,O,X,X,O,O,X,X,X,X,O
ITLJSZO,X,O,O,X,X,O,X,X,X,X
ITLJSOZ,X,O,O,X,X,O,X,X,X,X
ITLJZSO,X,O,O,X,X,O,X,X,X,X
ITLJZOS,O,O,O,X,X,O,X,X,X,X
ITLJOSZ,O,O,O,X,X,O,X,X,X,X
ITLJOZS,O,O,O,X,X,O,X,X,X,X
ITLSJZO,X,X,O,X,X,O,X,X,X,X
ITLSJOZ,X,X,O,X,X,O,X,X,X,X
ITLSZJO,X,X,O,X,X,O,X,X,X,X
ITLSZOJ,X,X,X,X,X,O,X,X,X,X
ITLSOJZ,X,X,X,X,X,O,X,X,X,X
ITLSOZJ,X,X,X,X,X,O,X,X,X,X
ITLZJSO,X,O,O,X,X,O,X,X,X,X
ITLZJOS,O,O,O,X,X,O,X,X,X,X
ITLZSJO,X,X,O,X,X,O,X,X,X,X
ITLZSOJ,X,X,X,X,X,O,X,X,X,X
ITLZOJS,O,X,O,X,X,O,X,X,X,X
ITLZOSJ,O,X,X,X,X,O,O,X,X,X
ITLOJSZ,O,X,O,X,X,O,X,X,X,X
ITLOJZS,O,X,O,X,X,O,X,X,X,X
ITLOSJZ,O,X,X,X,X,O,X,X,X,X
ITLOSZJ,O,X,X,X,X,O,O,X,X,X
ITLOZJS,O,X,O,X,X,O,X,X,X,X
ITLOZSJ,O,X,X,X,X,O,O,X,X,X
ITJLSZO,X,O,O,X,X,O,X,X,X,X
ITJLSOZ,X,O,O,X,X,O,X,X,X,X
ITJLZSO,X,O,O,X,X,O,X,X,X,X
ITJLZOS,O,O,O,X,X,O,X,X,X,X
ITJLOSZ,O,O,O,X,X,O,X,X,X,X
ITJLOZS,O,O,O,X,X,O,X,X,X,X
ITJSLZO,O,O,X,O,X,O,X,X,X,X
ITJSLOZ,O,O,X,X,X,O,X,X,X,X
ITJSZLO,O,O,X,O,X,O,X,X,X,X
ITJSZOL,O,O,X,O,X,O,X,O,X,X
ITJSOLZ,O,O,X,O,X,O,X,O,X,X
ITJSOZL,O,O,X,O,X,O,X,O,X,X
ITJZLSO,X,O,O,X,X,O,X,X,X,X
ITJZLOS,O,O,O,X,X,O,X,X,X,X
ITJZSLO,O,O,X,O,X,O,X,X,X,X
ITJZSOL,O,O,X,O,X,O,X,O,X,X
ITJZOLS,O,O,X,X,X,O,X,X,X,X
ITJZOSL,O,O,X,O,X,O,X,X,X,X
ITJOLSZ,O,O,X,X,X,O,X,X,X,X
ITJOLZS,O,O,X,X,X,O,X,X,X,X
ITJOSLZ,O,O,X,O,X,O,X,X,X,X
ITJOSZL,O,O,X,O,X,O,X,X,X,X
ITJOZLS,O,O,X,X,X,O,X,X,X,X
ITJOZSL,O,O,X,O,X,O,X,X,X,X
ITSLJZO,O,O,O,O,X,O,X,X,X,X
ITSLJOZ,O,O,O,X,X,O,X,X,X,X
ITSLZJO,O,O,O,O,X,O,X,X,X,X
ITSLZOJ,O,O,X,X,X,O,X,X,X,X
ITSLOJZ,O,O,X,X,X,O,X,X,X,X
ITSLOZJ,O,O,X,X,X,O,X,X,X,X
ITSJLZO,O,O,X,O,X,O,X,X,X,X
ITSJLOZ,O,O,X,X,X,O,X,X,X,X
ITSJZLO,O,O,X,O,X,O,X,X,X,X
ITSJZOL,O,O,X,O,X,O,X,O,X,X
ITSJOLZ,O,O,X,O,X,O,X,O,X,X
ITSJOZL,O,O,X,O,X,O,X,O,X,X
ITSZLJO,O,O,O,O,X,O,X,X,X,X
ITSZLOJ,O,O,X,X,X,O,X,X,X,X
ITSZJLO,O,O,X,O,X,O,X,X,X,X
ITSZJOL,O,O,X,O,X,O,X,O,X,X
ITSZOLJ,O,O,X,O,X,O,X,O,X,X
ITSZOJL,O,O,X,O,X,O,X,O,X,X
ITSOLJZ,O,O,X,O,X,O,X,O,X,X
ITSOLZJ,O,O,X,O,X,O,X,O,X,X
ITSOJLZ,O,O,X,O,X,O,X,O,X,X
ITSOJZL,O,O,X,O,X,O,X,O,X,X
ITSOZLJ,O,O,X,O,X,O,X,O,X,X
ITSOZJL,O,O,X,O,X,O,X,O,X,X
ITZLJSO,X,O,O,X,X,O,X,X,X,X
ITZLJOS,O,O,O,X,X,O,X,X,X,X
ITZLSJO,X,X,O,X,X,O,X,X,X,X
ITZLSOJ,X,X,X,X,X,O,X,X,X,X
ITZLOJS,O,X,O,X,X,O,X,X,X,X
ITZLOSJ,O,X,X,X,X,O,O,X,X,X
ITZJLSO,X,O,O,X,X,O,X,X,X,X
ITZJLOS,O,O,O,X,X,O,X,X,X,X
ITZJSLO,O,O,X,O,X,O,X,X,X,X
ITZJSOL,O,O,X,O,X,O,X,O,X,X
ITZJOLS,O,O,X,X,X,O,X,X,X,X
ITZJOSL,O,O,X,O,X,O,X,X,X,X
ITZSLJO,O,O,O,O,X,O,X,X,X,X
ITZSLOJ,O,O,X,X,X,O,X,X,X,X
ITZSJLO,O,O,X,O,X,O,X,X,X,X
ITZSJOL,O,O,X,O,X,O,X,O,X,X
ITZSOLJ,O,O,X,O,X,O,X,O,X,X
ITZSOJL,O,O,X,O,X,O,X,O,X,X
ITZOLJS,O,X,O,X,X,O,X,X,X,X
ITZOLSJ,O,X,X,X,O,O,O,X,X,X
ITZOJLS,O,O,X,X,X,O,X,X,X,X
ITZOJSL,O,O,X,O,X,O,X,X,X,X
ITZOSLJ,O,X,X,O,O,O,O,O,X,X
ITZOSJL,O,X,X,O,O,O,X,O,X,X
ITOLJSZ,O,X,O,X,X,O,X,X,X,X
ITOLJZS,O,X,O,X,X,O,X,X,X,X
ITOLSJZ,O,X,X,X,O,O,X,X,X,X
ITOLSZJ,O,X,X,X,O,O,O,X,X,X
ITOLZJS,O,X,O,X,X,O,X,X,X,X
ITOLZSJ,O,X,X,X,O,O,O,X,X,X
ITOJLSZ,O,O,X,X,X,O,X,X,X,X
ITOJLZS,O,O,X,X,X,O,X,X,X,X
ITOJSLZ,O,O,X,O,X,O,X,X,X,X
ITOJSZL,O,O,X,O,X,O,X,X,X,X
ITOJZLS,O,O,X,X,X,O,X,X,X,X
ITOJZSL,O,O,X,O,X,O,X,X,X,X
ITOSLJZ,O,X,X,O,O,O,X,O,X,X
ITOSLZJ,O,X,X,O,O,O,O,O,X,X
ITOSJLZ,O,X,X,O,O,O,X,O,X,X
ITOSJZL,O,X,X,O,O,O,X,O,X,X
ITOSZLJ,O,X,X,O,O,O,O,O,X,X
ITOSZJL,O,X,X,O,O,O,X,O,X,X
ITOZLJS,O,X,O,X,X,O,X,X,X,X
ITOZLSJ,O,X,X,X,O,O,O,X,X,X
ITOZJLS,O,O,X,X,X,O,X,X,X,X
ITOZJSL,O,O,X,O,X,O,X,X,X,X
ITOZSLJ,O,X,X,O,O,O,O,O,X,X
ITOZSJL,O,X,X,O,O,O,X,O,X,X
ILTJSZO,X,O,O,X,X,X,X,X,X,X
ILTJSOZ,X,O,O,X,X,X,X,X,X,X
ILTJZSO,X,O,O,X,X,X,X,X,X,X
ILTJZOS,O,O,O,X,X,X,X,X,X,X
ILTJOSZ,O,O,O,X,X,X,X,X,X,X
ILTJOZS,O,O,O,X,X,X,X,X,X,X
ILTSJZO,X,X,O,X,X,X,X,X,X,X
ILTSJOZ,X,X,O,X,X,X,X,X,X,X
ILTSZJO,X,X,O,X,X,X,X,X,X,X
