sequence,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBidB?5jBziB3mBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSiB?TeB3mBGoBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBzdB?+jBFnB3mBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBxdB?/nB1rBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSjB?FnBToB3mBusB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB1rB?xnB/nBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFXdB5nB?6tBOtBzrBFrB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB5jB?3mBznBinBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBWnB?TjBXnBFmBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBumB?CjB/sBTtBFrB
TISZLOJ,O,O,X,X,X,O,X,X,X,X
TISZJLO,O,O,X,O,X,O,X,X,X,X
TISZJOL,O,O,X,O,X,O,X,O,X,X
TISZOLJ,O,O,X,O,X,O,X,O,X,X
TISZOJL,O,O,X,O,X,O,X,O,X,X
TISOLJZ,O,O,X,O,X,O,X,O,X,X
TISOLZJ,O,O,X,O,X,O,X,O,X,X
TISOJLZ,O,O,X,O,X,O,X,O,X,X
TISOJZL,O,O,X,O,X,O,X,O,X,X
TISOZLJ,O,O,X,O,X,O,X,O,X,X
TISOZJL,O,O,X,O,X,O,X,O,X,X
TIZLJSO,X,O,O,X,X,O,X,X,X,X
TIZLJOS,O,O,O,X,X,O,X,X,X,X
TIZLSJO,X,X,O,X,X,O,X,X,X,X
TIZLSOJ,X,X,X,X,X,O,X,X,X,X
TIZLOJS,O,X,O,X,X,O,X,X,X,X
TIZLOSJ,O,X,X,X,X,O,O,X,X,X
TIZJLSO,X,O,O,X,X,O,X,X,X,X
TIZJLOS,O,O,O,X,X,O,X,X,X,X
TIZJSLO,O,O,X,O,X,O,X,X,X,X
TIZJSOL,O,O,X,O,X,O,X,O,X,X
