sequence,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBRdBSjBzhB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?SAJvhFWiBxdBXjBzfBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?C7IvhFRdBcjBXgBzhB+nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?WAJvhFRdBcjBCiBXgBTnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?G7IvhFRdBcjBzfBfnB6nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?C7IvhFGdBTeBXgBRnBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?G7IvhFCdBzfBxiBXjBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBzcBSjBRnB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?WAJvhFSiBTeBXgBRnBUnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?u/IvhFcgBqhBxdBXjBTnBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?z8IvhFGeBUlBRnBClB3nBFqB,v115@zgA8CeA8EeA8CeA8EeA8BeB8DeB8CeB8BeD8AeG8Je?SCJvhFTeBFgBfqBRsBGqBUsB
TILJSZO,X,X,X,X,X,O,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,O,X,X,O,X,X,X
TILJZSO,O,X,X,O,X,X,X,O,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,O,O,X,X,X
TILJOSZ,X,X,X,X,X,O,O,X,O,X,X,X
TILJOZS,X,X,X,X,X,X,O,O,O,X,X,X
TILSJZO,O,O,X,X,X,O,X,X,X,O,X,X
TILSJOZ,X,O,X,X,X,O,X,X,O,X,X,O
TILSZJO,O,O,X,X,X,O,X,O,X,O,X,X
TILSZOJ,O,O,X,X,X,O,X,O,X,O,X,O
TILSOJZ,O,O,X,X,X,O,O,X,O,X,X,O
TILSOZJ,O,X,X,X,X,O,X,O,X,O,X,O
TILZJSO,O,O,X,O,X,X,X,O,X,O,X,X
TILZJOS,O,X,X,O,X,X,X,O,O,X,X,X
TILZSJO,O,O,X,O,X,X,X,O,X,O,X,X
TILZSOJ,O,O,X,X,X,X,X,O,X,O,X,X
TILZOJS,O,X,X,O,X,X,O,O,O,X,X,X
TILZOSJ,O,X,X,X,X,X,X,O,X,X,X,X
TILOJSZ,X,X,X,X,X,O,O,X,O,X,X,X
TILOJZS,O,X,X,X,X,X,O,O,O,X,X,X
TILOSJZ,X,X,X,X,X,O,O,X,O,X,X,O
TILOSZJ,O,X,X,X,X,O,X,O,X,X,X,O
TILOZJS,O,X,X,X,X,X,O,O,O,X,X,X
TILOZSJ,O,X,X,X,X,X,X,O,X,X,X,X
TIJLSZO,X,X,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,O,X,X,O,X,X,X
TIJLZSO,X,X,X,O,X,X,X,O,X,X,X,X
