sequence,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBmiB5oBKsBft?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBZnBGjBqsB/t?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NeRBJvhF3iBcoBTlBOrBFs?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB/nBaoB5oBFr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBOnBXjBStBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBOsBXoBFr?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFZnBGjBTlBcrBqs?B/tB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFmiB5oBTlBftBir?BUsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBinB+tBFr?B3sB,v115@9gC8GeB8HeB8HeD8AeA8Ne3AJvhFziB5oBlmBUnBmq?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF/nBaoB5oBTlBcr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB+oB3nBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB5oBFrBms?B3sB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB2nB5oB3nBFr?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF5oBTlBcrBinB3s?BmsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB5oBinBFrB3s?BmsB
TILJSZO,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILJZSO,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
TILJZOS,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILZJSO,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TILZJOS,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TILZSJO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X
TILZSOJ,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
TILZOJS,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TILZOSJ,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TILOSZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJLSZO,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TIJLZOS,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJSZLO,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,X,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X
TIJZLOS,X,X,O,O,O,X,X,X,X,O,X,O,O,X,X,X
TIJZSLO,X,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X
TIJZSOL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X
TIJZOLS,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
TIJZOSL,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TISLZOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISLOJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJLZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
