sequence,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFVhBUdBGeBynBTm?BXsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhF3dBcjBFhBGnBim?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhBXiB8nBim?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFlcBGeBamBXiB8n?BzrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFciBTeB6rB3nBFm?BmrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhB8mBziBim?BXsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhF3dBcjB6rBTnBFm?BmrB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFTeBFhB0iBasB/r?BGsB,v115@9gC8GeD8EeE8DeG8BeC8Jex6IvhFGeBFhBziB3mBKn?B0rB
TILJSZO,O,X,X,O,X,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,X,X
TILJZSO,O,O,O,O,X,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,O,X
TILJOSZ,O,X,X,O,X,X,X,X,X
TILJOZS,O,X,X,O,X,X,X,X,X
TILSJZO,O,X,X,O,X,X,X,X,X
TILSJOZ,O,X,X,O,X,X,X,X,X
TILSZJO,O,X,X,O,O,X,X,X,X
TILSZOJ,O,X,X,X,O,X,X,O,X
TILSOJZ,O,X,X,O,X,X,X,X,O
TILSOZJ,O,X,X,O,O,X,X,X,O
TILZJSO,O,O,O,O,X,X,X,X,X
TILZJOS,O,X,X,O,X,X,X,O,X
TILZSJO,O,O,O,O,X,X,X,X,X
TILZSOJ,X,X,X,O,X,X,X,O,X
TILZOJS,O,O,X,O,X,X,O,O,X
TILZOSJ,X,X,X,O,X,X,O,O,X
TILOJSZ,O,X,X,O,X,X,X,X,X
TILOJZS,O,X,X,O,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X
TILOSZJ,O,X,X,O,O,X,X,X,X
TILOZJS,O,O,O,O,X,X,O,O,X
TILOZSJ,O,X,O,O,X,X,O,O,X
TIJLSZO,O,X,X,O,X,X,X,X,X
TIJLSOZ,O,X,X,O,X,X,X,X,X
TIJLZSO,O,O,O,O,X,X,X,X,X
TIJLZOS,O,X,X,O,X,X,X,O,X
TIJLOSZ,O,X,X,O,X,X,X,X,X
TIJLOZS,O,X,X,O,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,O
TIJSOZL,O,X,X,X,X,O,X,X,O
TIJZLSO,O,O,O,O,X,X,X,X,X
TIJZLOS,O,X,X,O,X,X,X,X,X
TIJZSLO,O,O,O,O,X,X,X,X,X
TIJZSOL,O,O,O,O,X,X,X,X,X
TIJZOLS,O,O,O,X,X,X,X,O,X
TIJZOSL,X,O,O,O,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,O
TIJOSZL,O,X,X,X,X,O,X,X,O
TIJOZLS,O,O,O,X,X,X,X,O,X
TIJOZSL,O,O,O,O,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,O,X,X,X,X
TISLZOJ,O,X,X,X,O,X,X,O,X
TISLOJZ,O,X,X,X,X,X,X,X,O
TISLOZJ,O,X,X,X,O,X,X,X,O
TISJLZO,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,O,X,X,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,O
TISJOZL,O,X,X,X,X,O,X,X,O
TISZLJO,O,O,O,X,O,X,X,X,X
TISZLOJ,O,X,X,X,O,O,X,X,X
TISZJLO,O,O,O,X,X,X,X,X,X
TISZJOL,O,O,O,X,X,O,X,X,X
TISZOLJ,O,X,X,X,O,O,X,O,O
TISZOJL,O,O,O,X,X,O,X,X,O
TISOLJZ,O,X,X,X,X,X,X,X,O
TISOLZJ,O,X,X,X,O,X,X,X,O
TISOJLZ,O,X,X,X,X,X,X,X,O
TISOJZL,O,X,X,X,X,O,X,X,O
TISOZLJ,O,X,O,X,O,O,X,O,O
TISOZJL,O,O,O,X,X,O,X,X,O
TIZLJSO,O,O,O,O,X,X,X,X,X
TIZLJOS,O,X,X,O,X,X,X,O,X
TIZLSJO,O,O,O,O,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,X,O,X
TIZLOJS,O,O,X,O,X,X,O,O,X
TIZLOSJ,X,X,X,O,X,X,O,O,X
TIZJLSO,O,O,O,O,X,X,X,X,X
TIZJLOS,O,X,X,O,X,X,X,X,X
TIZJSLO,O,O,O,O,X,X,X,X,X
TIZJSOL,O,O,O,O,X,X,X,X,X
TIZJOLS,O,O,O,X,X,X,X,O,X
TIZJOSL,X,O,O,O,X,X,X,X,X
TIZSLJO,O,O,O,O,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X,X
