sequence,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBFhB0?iBqrB/sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigB0mBl?nBGsBXsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jex6IvhFXcBmfB0mBl?nBCsBTsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxgB0iBigBl?mBXsBGsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jei6IvhFRcBciBFgBT?hB3nBWxB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigBFiB0?mBusBXsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBXdBigB1?nBGsB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFxbBigBlmB3?nB8rB+sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBFhBRnB6?sBXnB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8Jex6IvhFmfBFhBXiB0?iB6rBTsB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBRhBlmB3?nB6sB0rB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBUhBF?iBCsB3sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBRhB1nB/?mBUnBSxB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT9IvhFxfB0hBmfBF?hBCsB3sB,v115@7gB8HeD8AeA8EeF8CeG8CeB8JeT6IvhFOgBxcBFhB8?mB3nBSxB
TILJSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILJOSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TILJOZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILSJZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
TILSOJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
TILZJSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TILZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TILZOSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
TILOJSZ,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TILOJZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
