sequence,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB0dB6jB2nBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFicBzdB+jBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF0cB6jBemBziBXi?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF2hBCeBTjBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFCeBmhBTjBXmBcs?BlrB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB6jBmiBXiBVr?BcsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF/hBGeBUjBVrBTn?BasB
TILJSZO,O,X,X,X,X,X,X
TILJSOZ,O,X,O,X,X,O,X
TILJZSO,O,O,X,X,X,O,X
TILJZOS,O,O,O,X,X,O,X
TILJOSZ,O,X,O,X,X,O,X
TILJOZS,O,O,O,X,X,O,X
TILSJZO,O,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,O,X
TILSZJO,O,X,X,X,X,O,X
TILSZOJ,O,X,X,X,X,O,X
TILSOJZ,O,X,O,X,X,O,X
TILSOZJ,O,X,X,X,X,O,O
TILZJSO,O,O,X,X,X,O,X
TILZJOS,O,O,O,X,X,O,X
TILZSJO,X,O,X,X,X,O,X
TILZSOJ,X,X,X,X,X,O,X
TILZOJS,X,O,O,X,X,O,X
TILZOSJ,X,X,X,X,X,O,X
TILOJSZ,O,X,O,X,X,O,X
TILOJZS,O,X,O,X,X,O,X
TILOSJZ,X,X,O,X,X,O,X
TILOSZJ,X,X,X,X,X,O,O
TILOZJS,X,X,O,X,X,O,O
TILOZSJ,X,X,X,X,X,O,O
TIJLSZO,O,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,O,X
TIJLZSO,O,O,X,X,X,O,X
TIJLZOS,O,O,O,X,X,O,X
TIJLOSZ,O,X,O,X,X,O,X
TIJLOZS,O,O,O,X,X,O,X
TIJSLZO,O,O,X,X,X,X,X
TIJSLOZ,O,O,O,X,X,O,X
TIJSZLO,O,O,X,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X
TIJSOLZ,O,O,O,X,X,O,X
TIJSOZL,O,O,O,X,X,X,O
TIJZLSO,O,O,X,X,X,O,X
TIJZLOS,O,O,O,X,X,O,X
TIJZSLO,O,O,X,X,X,O,X
TIJZSOL,O,O,O,X,X,O,X
TIJZOLS,O,O,O,X,X,O,X
TIJZOSL,O,O,O,X,X,O,X
TIJOLSZ,O,X,O,X,X,O,X
TIJOLZS,O,O,O,X,X,O,X
TIJOSLZ,O,O,O,X,X,O,X
TIJOSZL,O,O,O,X,X,X,O
TIJOZLS,O,O,O,X,X,O,O
TIJOZSL,O,O,O,X,X,O,O
TISLJZO,O,O,X,X,X,X,X
TISLJOZ,O,O,O,O,X,O,X
TISLZJO,O,O,X,X,X,O,X
TISLZOJ,O,O,X,X,X,O,X
TISLOJZ,O,O,O,O,X,O,X
TISLOZJ,O,O,X,O,X,O,O
TISJLZO,O,O,X,X,X,X,X
TISJLOZ,O,O,O,O,X,O,X
TISJZLO,O,O,X,X,X,X,X
TISJZOL,O,O,O,O,X,X,X
TISJOLZ,O,O,O,O,X,O,X
TISJOZL,O,O,O,O,X,X,O
TISZLJO,O,O,X,X,X,O,X
TISZLOJ,O,O,X,X,X,O,X
TISZJLO,O,O,X,X,X,O,X
TISZJOL,O,O,X,O,O,O,X
TISZOLJ,O,O,X,O,O,O,O
TISZOJL,O,O,X,O,O,O,O
TISOLJZ,O,O,O,O,X,O,X
TISOLZJ,O,O,X,O,X,O,O
TISOJLZ,O,O,O,O,X,O,X
TISOJZL,O,O,O,O,X,X,O
TISOZLJ,O,O,X,O,O,O,O
TISOZJL,O,O,X,O,O,O,O
TIZLJSO,O,O,X,X,X,O,X
TIZLJOS,O,O,O,X,X,O,X
TIZLSJO,X,O,X,X,X,O,X
TIZLSOJ,X,X,X,X,X,O,X
TIZLOJS,X,O,O,X,X,O,X
TIZLOSJ,X,X,X,X,X,O,X
TIZJLSO,O,O,X,X,X,O,X
TIZJLOS,O,O,O,X,X,O,X
TIZJSLO,O,O,X,X,X,O,X
TIZJSOL,O,O,O,X,X,O,X
TIZJOLS,O,O,O,X,O,O,O
TIZJOSL,O,O,O,X,X,O,O
TIZSLJO,X,O,X,X,X,O,X
TIZSLOJ,X,X,X,X,X,O,X
TIZSJLO,X,O,X,X,X,O,X
TIZSJOL,X,O,X,X,O,O,X
TIZSOLJ,X,X,X,X,O,O,O
TIZSOJL,X,X,X,X,O,O,O
TIZOLJS,X,O,O,X,O,O,O
TIZOLSJ,X,X,X,X,O,O,O
TIZOJLS,X,O,O,X,O,O,O
TIZOJSL,X,O,O,X,X,O,O
TIZOSLJ,X,X,X,X,O,O,O
TIZOSJL,X,X,X,X,O,O,O
TIOLJSZ,O,X,O,X,X,O,X
TIOLJZS,O,X,O,X,X,O,X
TIOLSJZ,X,X,O,O,X,O,X
TIOLSZJ,X,X,X,X,X,O,O
TIOLZJS,X,X,O,X,O,O,O
TIOLZSJ,X,X,X,X,O,O,O
TIOJLSZ,O,X,O,X,X,O,X
TIOJLZS,O,O,O,X,X,O,X
TIOJSLZ,O,X,O,X,X,O,X
TIOJSZL,O,O,O,X,X,X,O
