sequence,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex6IvhFXcBTdBifBW?nBFlB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeZ/IvhFUbBFcBXdBW?lBSnBzpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Je06IvhFxcBKkBGhBT?iBFlBXqB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex7IvhF6iBlfB3gBz?hB2pB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeZ/IvhFUcBGdBCgBV?nBXlBzpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeX7IvhFxcBKkBGhBT?iBFlB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeT6IvhFUcBGdBSlBV?nB/pBZlB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex7IvhFlfB3gBCiBT?iB2pB0pB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeT6IvhFxbB8hB+iB/?pBFlBiqB,v115@7gB8HeB8DeA8CeB8CeH8BeG8JeU8IvhFxfBTiBCiB/?pBFlBmpB,v115@7gB8HeB8DeA8CeB8CeH8BeG8Jex6IvhFXcB8hB+iBK?kBFlBzpB
TILJSZO,O,O,X,X,O,X,X,X,X,X,X
TILJSOZ,O,O,X,X,O,X,X,X,X,X,X
TILJZSO,O,O,X,X,O,X,X,X,X,X,X
TILJZOS,O,O,X,X,X,X,X,X,X,X,X
TILJOSZ,O,O,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,O,X,X,X,X,X,X
TILSJOZ,O,O,X,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,X,O,X,X,X,X,X,X
TILSZOJ,X,O,X,X,O,X,X,X,X,X,X
TILSOJZ,O,O,X,X,O,X,X,X,X,X,X
TILSOZJ,X,O,X,X,O,X,X,X,X,X,X
TILZJSO,O,O,X,X,O,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,O,X,X,X,X,X,X
TILZSOJ,X,O,X,X,O,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,X,O,X,X,X,X,X,X
TIJLSOZ,O,O,X,X,O,X,X,X,X,X,X
TIJLZSO,O,O,X,X,O,X,X,X,X,X,X
TIJLZOS,O,O,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,O,X,X,X,X,X,X,X,X,X
TIJLOZS,O,O,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,X,O,X,O,X,X,X,X
TIJSLOZ,O,O,X,X,O,X,O,X,X,X,X
TIJSZLO,X,O,X,X,O,X,O,X,X,X,X
TIJSZOL,O,X,X,X,O,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,O,X,X,X,X,X,X
TIJSOZL,O,X,X,X,O,X,X,X,X,X,X
TIJZLSO,X,O,X,X,O,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X,X,X,X
TIJZSLO,X,O,X,X,O,X,O,X,X,X,X
TIJZSOL,X,X,X,X,O,X,X,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,O,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,O,X,X,X,X,X,X
TIJOSZL,O,O,X,X,O,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,O,X,X,X,X,X,X
TISLJZO,O,O,X,X,O,X,O,X,X,X,X
TISLJOZ,O,O,X,X,O,X,O,X,X,X,X
TISLZJO,O,O,X,X,O,X,O,X,X,X,X
TISLZOJ,X,O,X,X,O,X,O,X,X,X,X
TISLOJZ,O,O,X,X,O,X,O,X,X,X,X
TISLOZJ,X,O,X,X,O,X,O,X,X,X,X
TISJLZO,O,O,X,X,O,X,O,X,X,X,X
TISJLOZ,O,O,X,X,O,X,O,X,X,X,X
TISJZLO,X,O,X,X,O,X,O,X,X,X,X
TISJZOL,O,X,X,X,O,X,X,X,X,X,X
TISJOLZ,O,X,X,X,O,X,X,X,X,X,X
TISJOZL,O,X,X,X,O,X,X,X,X,X,X
TISZLJO,X,X,X,X,O,X,O,X,X,X,X
TISZLOJ,X,X,X,X,O,X,O,X,X,X,X
TISZJLO,X,X,X,X,O,X,O,X,X,X,X
TISZJOL,O,X,X,X,O,X,X,X,X,X,X
TISZOLJ,X,X,X,X,O,X,X,X,X,X,X
TISZOJL,X,X,X,X,O,X,X,X,X,X,X
TISOLJZ,X,O,X,X,O,X,X,X,X,X,X
TISOLZJ,X,O,X,X,O,X,X,X,X,X,X
TISOJLZ,O,O,X,X,O,X,X,X,X,X,X
TISOJZL,O,O,X,X,O,X,X,X,X,X,X
TISOZLJ,X,X,X,X,O,X,X,X,X,X,X
TISOZJL,X,X,X,X,O,X,X,X,X,X,X
TIZLJSO,X,O,X,X,O,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,X,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,O,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,X,X,O,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X,X,X,X
TIZJSLO,X,O,X,X,O,X,O,X,X,X,X
TIZJSOL,X,X,X,X,O,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,O,X,X,X,X,X,X
TIZSLJO,X,X,X,X,O,X,O,X,X,X,X
TIZSLOJ,X,X,X,X,O,X,O,X,X,X,X
TIZSJLO,X,X,X,X,O,X,O,X,X,X,X
TIZSJOL,X,X,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,O,X,X,X,X,X,X
TIZSOJL,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,O,X,X,X,X,X,X
TIZOSJL,X,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,O,X,X,X,X,X,X
TIOJSZL,X,O,X,X,O,X,X,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,O,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,O,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,O,X,X,X,X,X,X
TIOSJZL,X,O,X,X,O,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,X,O,X,X,X,X,X,X
