sequence,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFagBRcBulBF?iB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUdBFhBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFUbBRcB6mBO?nBllBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeT6IvhF2gBRcBFiBC?lB0mBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhF0fB6lB/mBF?iBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jei6IvhFRcB3gBFiBW?qB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFRbBUdBFhBS?qBzmBeqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jey/IvhF5gB/mBFiB0?fBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUhBFiBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFVhBUdB6kB2?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex/IvhF/mBFiB0fB6?lBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeKBJvhFxfBFiBGlBX?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeR8IvhFFiBGlB0mB/?kBilBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFygBFiBxlBu?pBcqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2AJvhF6kBFiBxlB3?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jem6IvhF5gBicB0fB1?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFlcB0fB6lB2?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFFiBfqBxlB8?lBzmBCqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhF5gBOhBViB8?pBzmBaqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFFiBxlB8lBe?qBCqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeU9IvhF6kBZlBXhBz?mBulBlpB
TILJSZO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILSJZO,O,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X
TILSJOZ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TILSZJO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
TILSZOJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSOZJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TILZJSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILZSJO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILZSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TILOSZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O
TILOZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
