sequence,v115@5gA8IeA8DeA8BeD8CeF8CeH8AeA8JeZ/IvhFGbBTcB?fjB6jBUgBFtB,v115@5gA8IeA8DeA8BeD8CeF8CeH8AeA8JeZ/IvhFfgB6gB?TcBGeBUjBFtB,v115@5gA8IeA8DeA8BeD8CeF8CeH8AeA8JeZ/IvhFzaBGcB?SjB3gBUjBFtB,v115@5gA8IeA8DeA8BeD8CeF8CeH8AeA8JeZ/IvhFzaBShB?GeBUjB3gBFtB,v115@5gA8IeA8DeA8BeD8CeF8CeH8AeA8JeZ/IvhFzaBGcB?3gBFjBctBCtB
ITLOSZJ,O,O,O,O,X
ITLOZJS,O,O,X,O,X
ITLOZSJ,O,O,X,O,X
ITJLSZO,X,X,O,X,X
ITJLSOZ,X,X,O,X,X
ITJLZSO,X,X,O,O,X
ITJLZOS,X,X,X,O,X
ITJLOSZ,X,X,O,X,X
ITJLOZS,X,X,X,O,X
ITJSLZO,O,O,O,X,X
ITJSLOZ,O,O,O,X,X
ITJSZLO,O,O,O,X,O
ITJSZOL,O,O,O,X,O
ITJSOLZ,O,O,O,X,X
ITJSOZL,O,O,O,X,O
ITJZLSO,O,O,O,O,O
ITJZLOS,O,O,X,O,X
ITJZSLO,O,O,O,O,O
ITJZSOL,O,O,O,O,O
ITJZOLS,O,O,X,O,X
ITJZOSL,O,O,X,O,O
ITJOLSZ,X,X,O,X,X
ITJOLZS,X,X,X,O,X
ITJOSLZ,O,O,O,X,X
ITJOSZL,O,O,O,X,X
ITJOZLS,O,O,X,O,X
ITJOZSL,O,O,X,O,X
ITSLJZO,O,O,O,X,X
ITSLJOZ,O,O,O,X,X
ITSLZJO,O,O,O,O,X
ITSLZOJ,O,O,O,O,X
ITSLOJZ,O,O,O,X,X
ITSLOZJ,O,O,O,O,X
ITSJLZO,O,O,O,X,X
ITSJLOZ,O,O,O,X,X
ITSJZLO,O,O,O,X,O
ITSJZOL,O,O,O,X,O
ITSJOLZ,O,O,O,X,X
ITSJOZL,O,O,O,X,O
ITSZLJO,O,O,O,O,O
ITSZLOJ,O,O,O,O,O
ITSZJLO,O,O,O,O,O
ITSZJOL,O,O,O,O,O
ITSZOLJ,O,O,O,O,O
ITSZOJL,O,O,O,O,O
ITSOLJZ,O,O,O,X,X
ITSOLZJ,O,O,O,O,X
ITSOJLZ,O,O,O,X,X
ITSOJZL,O,O,O,X,O
ITSOZLJ,O,O,O,O,O
ITSOZJL,O,O,O,O,O
ITZLJSO,O,O,O,O,O
ITZLJOS,O,O,X,O,X
ITZLSJO,O,O,O,O,O
ITZLSOJ,O,O,O,O,O
ITZLOJS,O,O,X,O,X
ITZLOSJ,O,O,X,O,X
ITZJLSO,O,O,O,O,O
ITZJLOS,O,O,X,O,X
ITZJSLO,O,O,O,O,O
ITZJSOL,O,O,O,O,O
ITZJOLS,O,O,X,O,X
ITZJOSL,O,O,X,O,O
ITZSLJO,O,O,O,O,O
ITZSLOJ,O,O,O,O,O
ITZSJLO,O,O,O,O,O
ITZSJOL,O,O,O,O,O
ITZSOLJ,O,O,O,O,O
ITZSOJL,O,O,O,O,O
ITZOLJS,O,O,X,O,X
ITZOLSJ,O,O,X,O,X
ITZOJLS,O,O,X,O,X
ITZOJSL,O,O,X,O,O
ITZOSLJ,O,O,X,O,O
ITZOSJL,O,O,X,O,O
ITOLJSZ,X,X,O,X,X
ITOLJZS,X,X,X,O,X
ITOLSJZ,O,O,O,X,X
ITOLSZJ,O,O,O,O,X
ITOLZJS,O,O,X,O,X
ITOLZSJ,O,O,X,O,X
ITOJLSZ,X,X,O,X,X
ITOJLZS,X,X,X,O,X
ITOJSLZ,O,O,O,X,X
ITOJSZL,O,O,O,X,X
ITOJZLS,O,O,X,O,X
ITOJZSL,O,O,X,O,X
ITOSLJZ,O,O,O,X,X
ITOSLZJ,O,O,O,O,X
ITOSJLZ,O,O,O,X,X
ITOSJZL,O,O,O,X,X
ITOSZLJ,O,O,O,O,X
ITOSZJL,O,O,O,O,X
ITOZLJS,O,O,X,O,X
ITOZLSJ,O,O,X,O,X
ITOZJLS,O,O,X,O,X
ITOZJSL,O,O,X,O,X
ITOZSLJ,O,O,X,O,X
ITOZSJL,O,O,X,O,X
ILTJSZO,X,X,O,X,X
ILTJSOZ,X,X,O,X,X
ILTJZSO,X,X,O,O,X
ILTJZOS,X,X,X,O,X
ILTJOSZ,X,X,O,X,X
ILTJOZS,X,X,X,O,X
ILTSJZO,O,O,O,X,X
ILTSJOZ,O,O,O,X,X
ILTSZJO,O,O,O,O,X
ILTSZOJ,O,O,O,O,X
ILTSOJZ,O,O,O,X,X
ILTSOZJ,O,O,O,O,X
ILTZJSO,O,O,O,O,X
ILTZJOS,O,O,X,O,X
ILTZSJO,O,O,O,O,X
ILTZSOJ,O,O,O,O,X
ILTZOJS,O,O,X,O,X
ILTZOSJ,O,O,X,O,X
ILTOJSZ,X,X,O,X,X
ILTOJZS,X,X,X,O,X
ILTOSJZ,O,O,O,X,X
ILTOSZJ,O,O,O,O,X
ILTOZJS,O,O,X,O,X
ILTOZSJ,O,O,X,O,X
ILJTSZO,X,X,O,X,X
ILJTSOZ,X,X,O,X,X
ILJTZSO,X,X,O,O,X
ILJTZOS,X,X,X,O,X
ILJTOSZ,X,X,O,X,X
ILJTOZS,X,X,X,O,X
ILJSTZO,X,X,O,X,X
ILJSTOZ,X,X,O,X,X
ILJSZTO,X,X,X,X,O
ILJSZOT,X,X,O,X,O
ILJSOTZ,X,X,O,X,X
ILJSOZT,X,X,O,X,O
ILJZTSO,X,X,X,X,O
ILJZTOS,X,X,X,O,X
ILJZSTO,X,X,X,X,O
ILJZSOT,X,X,O,O,O
ILJZOTS,X,X,X,O,X
ILJZOST,X,X,X,O,X
ILJOTSZ,X,X,X,X,X
ILJOTZS,X,X,X,O,X
ILJOSTZ,X,X,O,X,X
ILJOSZT,X,X,O,X,X
ILJOZTS,X,X,X,O,X
ILJOZST,X,X,X,O,X
ILSTJZO,X,O,O,X,X
ILSTJOZ,X,O,O,X,X
ILSTZJO,O,O,O,O,X
ILSTZOJ,O,O,O,O,X
ILSTOJZ,X,O,O,X,X
ILSTOZJ,O,O,O,O,X
ILSJTZO,X,O,O,X,X
ILSJTOZ,X,O,O,X,X
ILSJZTO,O,O,X,X,O
ILSJZOT,O,O,O,X,O
ILSJOTZ,X,O,O,X,X
ILSJOZT,O,O,O,X,O
ILSZTJO,O,O,X,X,O
ILSZTOJ,O,O,X,X,O
ILSZJTO,O,O,X,X,O
ILSZJOT,O,O,O,O,O
ILSZOTJ,O,O,X,X,O
ILSZOJT,O,O,O,O,O
ILSOTJZ,X,O,O,X,X
ILSOTZJ,O,O,O,O,X
ILSOJTZ,X,O,O,X,X
ILSOJZT,O,O,O,X,O
ILSOZTJ,O,O,X,X,O
ILSOZJT,O,O,O,O,O
ILZTJSO,O,X,X,O,O
ILZTJOS,O,X,X,O,X
ILZTSJO,O,X,X,O,O
ILZTSOJ,O,X,X,O,O
ILZTOJS,O,X,X,O,X
ILZTOSJ,O,X,X,O,X
ILZJTSO,O,X,X,X,O
ILZJTOS,O,X,X,O,X
ILZJSTO,O,O,X,X,O
ILZJSOT,O,O,O,O,O
ILZJOTS,O,X,X,O,X
ILZJOST,O,O,X,O,X
ILZSTJO,O,O,X,X,O
ILZSTOJ,O,O,X,X,O
ILZSJTO,O,O,X,X,O
ILZSJOT,O,O,O,O,O
ILZSOTJ,O,O,X,X,O
ILZSOJT,O,O,O,O,O
ILZOTJS,O,X,X,O,X
ILZOTSJ,O,X,X,O,X
ILZOJTS,O,X,X,O,X
ILZOJST,O,O,X,O,X
ILZOSTJ,O,O,X,X,X
ILZOSJT,O,O,X,O,X
ILOTJSZ,X,X,X,X,X
ILOTJZS,X,X,X,O,X
ILOTSJZ,O,O,X,X,X
ILOTSZJ,O,O,X,O,X
ILOTZJS,O,O,X,O,X
ILOTZSJ,O,O,X,O,X
ILOJTSZ,X,X,X,X,X
ILOJTZS,X,X,X,O,X
ILOJSTZ,X,X,O,X,X
ILOJSZT,X,X,O,X,X
ILOJZTS,X,X,X,O,X
ILOJZST,X,X,X,O,X
ILOSTJZ,X,O,O,X,X
ILOSTZJ,O,O,X,O,X
ILOSJTZ,X,O,O,X,X
ILOSJZT,O,O,O,X,X
ILOSZTJ,O,O,X,X,X
ILOSZJT,O,O,O,O,X
ILOZTJS,O,X,X,O,X
ILOZTSJ,O,X,X,O,X
ILOZJTS,O,X,X,O,X
ILOZJST,O,O,X,O,X
ILOZSTJ,O,O,X,X,X
ILOZSJT,O,O,X,O,X
IJTLSZO,X,X,O,X,X
IJTLSOZ,X,X,O,X,X
IJTLZSO,X,X,O,O,X
IJTLZOS,X,X,X,O,X
IJTLOSZ,X,X,O,X,X
IJTLOZS,X,X,X,O,X
IJTSLZO,O,O,O,X,X
IJTSLOZ,O,O,O,X,X
IJTSZLO,O,O,O,X,O
IJTSZOL,O,O,O,X,O
IJTSOLZ,O,O,O,X,X
IJTSOZL,O,O,O,X,O
IJTZLSO,O,O,O,O,O
IJTZLOS,O,O,X,O,X
IJTZSLO,O,O,O,O,O
IJTZSOL,O,O,O,O,O
IJTZOLS,O,O,X,O,X
IJTZOSL,O,O,X,O,O
IJTOLSZ,X,X,O,X,X
IJTOLZS,X,X,X,O,X
IJTOSLZ,O,O,O,X,X
IJTOSZL,O,O,O,X,X
IJTOZLS,O,O,X,O,X
IJTOZSL,O,O,X,O,X
IJLTSZO,X,X,O,X,X
IJLTSOZ,X,X,O,X,X
IJLTZSO,X,X,O,O,X
IJLTZOS,X,X,X,O,X
IJLTOSZ,X,X,O,X,X
IJLTOZS,X,X,X,O,X
IJLSTZO,X,X,O,X,X
IJLSTOZ,X,X,O,X,X
IJLSZTO,X,X,X,X,O
IJLSZOT,X,X,O,X,O
IJLSOTZ,X,X,O,X,X
IJLSOZT,X,X,O,X,O
IJLZTSO,X,X,X,X,O
IJLZTOS,X,X,X,O,X
IJLZSTO,X,X,X,X,O
IJLZSOT,X,X,O,O,O
IJLZOTS,X,X,X,O,X
IJLZOST,X,X,X,O,X
IJLOTSZ,X,X,X,X,X
IJLOTZS,X,X,X,O,X
IJLOSTZ,X,X,O,X,X
IJLOSZT,X,X,O,X,X
IJLOZTS,X,X,X,O,X
IJLOZST,X,X,X,O,X
IJSTLZO,X,O,O,X,X
IJSTLOZ,X,O,O,X,X
IJSTZLO,X,O,O,X,O
IJSTZOL,X,O,O,X,O
IJSTOLZ,X,O,O,X,X
IJSTOZL,X,O,O,X,O
IJSLTZO,X,O,O,X,X
IJSLTOZ,X,O,O,X,X
IJSLZTO,O,O,X,X,O
IJSLZOT,O,O,O,X,O
IJSLOTZ,X,O,O,X,X
IJSLOZT,O,O,O,X,O
IJSZTLO,O,O,O,X,O
IJSZTOL,O,O,O,X,O
IJSZLTO,O,O,X,X,O
IJSZLOT,O,O,O,X,O
IJSZOTL,O,O,O,X,O
IJSZOLT,O,O,O,X,O
IJSOTLZ,X,O,O,X,X
IJSOTZL,X,O,O,X,O
IJSOLTZ,X,O,O,X,X
IJSOLZT,O,O,O,X,O
IJSOZTL,O,O,O,X,O
IJSOZLT,O,O,O,X,O
IJZTLSO,O,X,O,X,O
IJZTLOS,O,X,X,O,X
IJZTSLO,O,O,O,X,O
IJZTSOL,O,O,O,X,O
IJZTOLS,O,X,X,O,X
IJZTOSL,O,O,X,X,O
IJZLTSO,O,X,X,X,O
IJZLTOS,O,X,X,O,X
IJZLSTO,O,O,X,X,O
IJZLSOT,O,O,O,O,O
IJZLOTS,O,X,X,O,X
IJZLOST,O,O,X,O,X
IJZSTLO,O,O,O,X,O
IJZSTOL,O,O,O,X,O
IJZSLTO,O,O,X,X,O
IJZSLOT,O,O,O,O,O
IJZSOTL,O,O,O,X,O
IJZSOLT,O,O,O,O,O
IJZOTLS,O,X,X,O,X
IJZOTSL,O,O,X,X,O
IJZOLTS,O,X,X,O,X
IJZOLST,O,O,X,O,X
IJZOSTL,O,O,X,X,O
IJZOSLT,O,O,X,O,O
IJOTLSZ,X,X,O,X,X
IJOTLZS,X,X,X,O,X
IJOTSLZ,O,O,O,X,X
IJOTSZL,O,O,O,X,X
IJOTZLS,O,O,X,O,X
IJOTZSL,O,O,X,O,X
IJOLTSZ,X,X,X,X,X
IJOLTZS,X,X,X,O,X
IJOLSTZ,X,X,O,X,X
IJOLSZT,X,X,O,X,X
IJOLZTS,X,X,X,O,X
IJOLZST,X,X,X,O,X
IJOSTLZ,X,O,O,X,X
IJOSTZL,X,O,O,X,O
IJOSLTZ,X,O,O,X,X
IJOSLZT,O,O,O,X,O
IJOSZTL,O,O,O,X,O
IJOSZLT,O,O,O,X,O
IJOZTLS,O,X,X,O,X
IJOZTSL,O,O,X,X,O
IJOZLTS,O,X,X,O,X
IJOZLST,O,O,X,O,X
IJOZSTL,O,O,X,X,O
IJOZSLT,O,O,X,O,O
ISTLJZO,O,O,O,X,X
ISTLJOZ,O,O,O,X,X
ISTLZJO,O,O,O,O,X
ISTLZOJ,O,O,O,O,X
ISTLOJZ,O,O,O,X,X
ISTLOZJ,O,O,O,O,X
ISTJLZO,O,O,O,X,X
ISTJLOZ,O,O,O,X,X
ISTJZLO,O,O,O,X,O
ISTJZOL,O,O,O,X,O
ISTJOLZ,O,O,O,X,X
ISTJOZL,O,O,O,X,O
ISTZLJO,O,O,O,O,O
ISTZLOJ,O,O,O,O,O
ISTZJLO,O,O,O,O,O
ISTZJOL,O,O,O,O,O
ISTZOLJ,O,O,O,O,O
ISTZOJL,O,O,O,O,O
ISTOLJZ,O,O,O,X,X
ISTOLZJ,O,O,O,O,X
ISTOJLZ,O,O,O,X,X
ISTOJZL,O,O,O,X,O
ISTOZLJ,O,O,O,O,O
ISTOZJL,O,O,O,O,O
ISLTJZO,X,O,O,X,X
ISLTJOZ,X,O,O,X,X
ISLTZJO,O,O,O,O,X
ISLTZOJ,O,O,O,O,X
ISLTOJZ,X,O,O,X,X
ISLTOZJ,O,O,O,O,X
ISLJTZO,X,O,O,X,X
ISLJTOZ,X,O,O,X,X
ISLJZTO,O,O,X,X,O
ISLJZOT,O,O,O,X,O
ISLJOTZ,X,O,O,X,X
ISLJOZT,O,O,O,X,O
ISLZTJO,O,O,X,X,O
ISLZTOJ,O,O,X,X,O
ISLZJTO,O,O,X,X,O
ISLZJOT,O,O,O,O,O
ISLZOTJ,O,O,X,X,O
ISLZOJT,O,O,O,O,O
ISLOTJZ,X,O,O,X,X
ISLOTZJ,O,O,O,O,X
ISLOJTZ,X,O,O,X,X
ISLOJZT,O,O,O,X,O
ISLOZTJ,O,O,X,X,O
ISLOZJT,O,O,O,O,O
ISJTLZO,X,O,O,X,X
ISJTLOZ,X,O,O,X,X
ISJTZLO,X,O,O,X,O
ISJTZOL,X,O,O,X,O
ISJTOLZ,X,O,O,X,X
ISJTOZL,X,O,O,X,O
ISJLTZO,X,O,O,X,X
ISJLTOZ,X,O,O,X,X
ISJLZTO,O,O,X,X,O
ISJLZOT,O,O,O,X,O
ISJLOTZ,X,O,O,X,X
ISJLOZT,O,O,O,X,O
ISJZTLO,O,O,O,X,O
ISJZTOL,O,O,O,X,O
ISJZLTO,O,O,X,X,O
ISJZLOT,O,O,O,X,O
ISJZOTL,O,O,O,X,O
ISJZOLT,O,O,O,X,O
ISJOTLZ,X,O,O,X,X
ISJOTZL,X,O,O,X,O
ISJOLTZ,X,O,O,X,X
ISJOLZT,O,O,O,X,O
ISJOZTL,O,O,O,X,O
ISJOZLT,O,O,O,X,O
ISZTLJO,O,O,O,X,O
ISZTLOJ,O,O,O,X,O
ISZTJLO,O,O,O,X,O
ISZTJOL,O,O,O,X,O
ISZTOLJ,O,O,O,X,O
ISZTOJL,O,O,O,X,O
ISZLTJO,O,O,X,X,O
ISZLTOJ,O,O,X,X,O
ISZLJTO,O,O,X,X,O
ISZLJOT,O,O,O,O,O
ISZLOTJ,O,O,X,X,O
ISZLOJT,O,O,O,O,O
ISZJTLO,O,O,O,X,O
ISZJTOL,O,O,O,X,O
ISZJLTO,O,O,X,X,O
ISZJLOT,O,O,O,O,O
ISZJOTL,O,O,O,X,O
ISZJOLT,O,O,O,O,O
ISZOTLJ,O,O,O,X,O
ISZOTJL,O,O,O,X,O
ISZOLTJ,O,O,X,X,O
ISZOLJT,O,O,O,O,O
ISZOJTL,O,O,O,X,O
ISZOJLT,O,O,O,O,O
ISOTLJZ,O,O,O,X,X
ISOTLZJ,O,O,O,O,X
ISOTJLZ,O,O,O,X,X
ISOTJZL,O,O,O,X,O
ISOTZLJ,O,O,O,O,O
ISOTZJL,O,O,O,O,O
ISOLTJZ,X,O,O,X,X
ISOLTZJ,O,O,O,O,X
ISOLJTZ,X,O,O,X,X
ISOLJZT,O,O,O,X,O
ISOLZTJ,O,O,X,X,O
ISOLZJT,O,O,O,O,O
ISOJTLZ,X,O,O,X,X
ISOJTZL,X,O,O,X,O
ISOJLTZ,X,O,O,X,X
ISOJLZT,O,O,O,X,O
ISOJZTL,O,O,O,X,O
ISOJZLT,O,O,O,X,O
ISOZTLJ,O,O,O,X,O
ISOZTJL,O,O,O,X,O
ISOZLTJ,O,O,X,X,O
ISOZLJT,O,O,O,O,O
ISOZJTL,O,O,O,X,O
ISOZJLT,O,O,O,O,O
IZTLJSO,O,O,O,O,O
IZTLJOS,O,O,X,O,X
IZTLSJO,O,O,O,O,O
IZTLSOJ,O,O,O,O,O
IZTLOJS,O,O,X,O,X
IZTLOSJ,O,O,X,O,X
IZTJLSO,O,O,O,O,O
IZTJLOS,O,O,X,O,X
IZTJSLO,O,O,O,O,O
IZTJSOL,O,O,O,O,O
IZTJOLS,O,O,X,O,X
IZTJOSL,O,O,X,O,O
IZTSLJO,O,O,O,O,O
IZTSLOJ,O,O,O,O,O
IZTSJLO,O,O,O,O,O
IZTSJOL,O,O,O,O,O
IZTSOLJ,O,O,O,O,O
IZTSOJL,O,O,O,O,O
IZTOLJS,O,O,X,O,X
IZTOLSJ,O,O,X,O,X
IZTOJLS,O,O,X,O,X
IZTOJSL,O,O,X,O,O
IZTOSLJ,O,O,X,O,O
IZTOSJL,O,O,X,O,O
IZLTJSO,O,X,X,O,O
IZLTJOS,O,X,X,O,X
IZLTSJO,O,X,X,O,O
IZLTSOJ,O,X,X,O,O
IZLTOJS,O,X,X,O,X
IZLTOSJ,O,X,X,O,X
IZLJTSO,O,X,X,X,O
IZLJTOS,O,X,X,O,X
IZLJSTO,O,O,X,X,O
IZLJSOT,O,O,O,O,O
IZLJOTS,O,X,X,O,X
IZLJOST,O,O,X,O,X
IZLSTJO,O,O,X,X,O
IZLSTOJ,O,O,X,X,O
IZLSJTO,O,O,X,X,O
IZLSJOT,O,O,O,O,O
IZLSOTJ,O,O,X,X,O
IZLSOJT,O,O,O,O,O
IZLOTJS,O,X,X,O,X
IZLOTSJ,O,X,X,O,X
IZLOJTS,O,X,X,O,X
IZLOJST,O,O,X,O,X
IZLOSTJ,O,O,X,X,X
IZLOSJT,O,O,X,O,X
IZJTLSO,O,X,O,X,O
IZJTLOS,O,X,X,O,X
IZJTSLO,O,O,O,X,O
IZJTSOL,O,O,O,X,O
IZJTOLS,O,X,X,O,X
IZJTOSL,O,O,X,X,O
IZJLTSO,O,X,X,X,O
IZJLTOS,O,X,X,O,X
IZJLSTO,O,O,X,X,O
IZJLSOT,O,O,O,O,O
IZJLOTS,O,X,X,O,X
IZJLOST,O,O,X,O,X
IZJSTLO,O,O,O,X,O
IZJSTOL,O,O,O,X,O
IZJSLTO,O,O,X,X,O
IZJSLOT,O,O,O,O,O
IZJSOTL,O,O,O,X,O
IZJSOLT,O,O,O,O,O
IZJOTLS,O,X,X,O,X
IZJOTSL,O,O,X,X,O
IZJOLTS,O,X,X,O,X
IZJOLST,O,O,X,O,X
IZJOSTL,O,O,X,X,O
IZJOSLT,O,O,X,O,O
IZSTLJO,O,O,O,X,O
IZSTLOJ,O,O,O,X,O
IZSTJLO,O,O,O,X,O
IZSTJOL,O,O,O,X,O
IZSTOLJ,O,O,O,X,O
IZSTOJL,O,O,O,X,O
IZSLTJO,O,O,X,X,O
IZSLTOJ,O,O,X,X,O
IZSLJTO,O,O,X,X,O
IZSLJOT,O,O,O,O,O
IZSLOTJ,O,O,X,X,O
IZSLOJT,O,O,O,O,O
IZSJTLO,O,O,O,X,O
IZSJTOL,O,O,O,X,O
IZSJLTO,O,O,X,X,O
IZSJLOT,O,O,O,O,O
IZSJOTL,O,O,O,X,O
IZSJOLT,O,O,O,O,O
IZSOTLJ,O,O,O,X,O
IZSOTJL,O,O,O,X,O
IZSOLTJ,O,O,X,X,O
IZSOLJT,O,O,O,O,O
IZSOJTL,O,O,O,X,O
IZSOJLT,O,O,O,O,O
IZOTLJS,O,O,X,O,X
IZOTLSJ,O,O,X,O,X
IZOTJLS,O,O,X,O,X
IZOTJSL,O,O,X,O,O
IZOTSLJ,O,O,X,O,O
IZOTSJL,O,O,X,O,O
IZOLTJS,O,X,X,O,X
IZOLTSJ,O,X,X,O,X
IZOLJTS,O,X,X,O,X
IZOLJST,O,O,X,O,X
IZOLSTJ,O,O,X,X,X
IZOLSJT,O,O,X,O,X
IZOJTLS,O,X,X,O,X
IZOJTSL,O,O,X,X,O
IZOJLTS,O,X,X,O,X
IZOJLST,O,O,X,O,X
IZOJSTL,O,O,X,X,O
IZOJSLT,O,O,X,O,O
IZOSTLJ,O,O,X,X,O
IZOSTJL,O,O,X,X,O
IZOSLTJ,O,O,X,X,O
IZOSLJT,O,O,X,O,O
IZOSJTL,O,O,X,X,O
IZOSJLT,O,O,X,O,O
IOTLJSZ,X,X,O,X,X
IOTLJZS,X,X,X,O,X
IOTLSJZ,O,O,O,X,X
IOTLSZJ,O,O,O,O,X
IOTLZJS,O,O,X,O,X
IOTLZSJ,O,O,X,O,X
IOTJLSZ,X,X,O,X,X
IOTJLZS,X,X,X,O,X
IOTJSLZ,O,O,O,X,X
IOTJSZL,O,O,O,X,X
IOTJZLS,O,O,X,O,X
IOTJZSL,O,O,X,O,X
IOTSLJZ,O,O,O,X,X
IOTSLZJ,O,O,O,O,X
IOTSJLZ,O,O,O,X,X
IOTSJZL,O,O,O,X,X
IOTSZLJ,O,O,O,O,X
IOTSZJL,O,O,O,O,X
IOTZLJS,O,O,X,O,X
IOTZLSJ,O,O,X,O,X
IOTZJLS,O,O,X,O,X
IOTZJSL,O,O,X,O,X
IOTZSLJ,O,O,X,O,X
IOTZSJL,O,O,X,O,X
IOLTJSZ,X,X,X,X,X
IOLTJZS,X,X,X,O,X
IOLTSJZ,O,O,X,X,X
IOLTSZJ,O,O,X,O,X
IOLTZJS,O,O,X,O,X
IOLTZSJ,O,O,X,O,X
IOLJTSZ,X,X,X,X,X
IOLJTZS,X,X,X,O,X
IOLJSTZ,X,X,O,X,X
IOLJSZT,X,X,O,X,X
IOLJZTS,X,X,X,O,X
IOLJZST,X,X,X,O,X
IOLSTJZ,X,O,O,X,X
IOLSTZJ,O,O,X,O,X
IOLSJTZ,X,O,O,X,X
IOLSJZT,O,O,O,X,X
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,O,O,O,X
IOLZTJS,O,X,X,O,X
IOLZTSJ,O,X,X,O,X
IOLZJTS,O,X,X,O,X
IOLZJST,O,O,X,O,X
IOLZSTJ,O,O,X,X,X
IOLZSJT,O,O,X,O,X
IOJTLSZ,X,X,O,X,X
IOJTLZS,X,X,X,O,X
IOJTSLZ,O,O,O,X,X
IOJTSZL,O,O,O,X,X
IOJTZLS,O,O,X,O,X
IOJTZSL,O,O,X,O,X
IOJLTSZ,X,X,X,X,X
IOJLTZS,X,X,X,O,X
IOJLSTZ,X,X,O,X,X
IOJLSZT,X,X,O,X,X
IOJLZTS,X,X,X,O,X
IOJLZST,X,X,X,O,X
IOJSTLZ,X,O,O,X,X
IOJSTZL,X,O,O,X,O
IOJSLTZ,X,O,O,X,X
IOJSLZT,O,O,O,X,O
IOJSZTL,O,O,O,X,O
IOJSZLT,O,O,O,X,O
IOJZTLS,O,X,X,O,X
IOJZTSL,O,O,X,X,O
IOJZLTS,O,X,X,O,X
IOJZLST,O,O,X,O,X
IOJZSTL,O,O,X,X,O
IOJZSLT,O,O,X,O,O
IOSTLJZ,O,O,O,X,X
IOSTLZJ,O,O,O,O,X
IOSTJLZ,O,O,O,X,X
IOSTJZL,O,O,O,X,O
IOSTZLJ,O,O,O,O,O
IOSTZJL,O,O,O,O,O
IOSLTJZ,X,O,O,X,X
IOSLTZJ,O,O,O,O,X
IOSLJTZ,X,O,O,X,X
IOSLJZT,O,O,O,X,O
IOSLZTJ,O,O,X,X,O
IOSLZJT,O,O,O,O,O
IOSJTLZ,X,O,O,X,X
IOSJTZL,X,O,O,X,O
IOSJLTZ,X,O,O,X,X
IOSJLZT,O,O,O,X,O
IOSJZTL,O,O,O,X,O
IOSJZLT,O,O,O,X,O
IOSZTLJ,O,O,O,X,O
IOSZTJL,O,O,O,X,O
IOSZLTJ,O,O,X,X,O
IOSZLJT,O,O,O,O,O
IOSZJTL,O,O,O,X,O
IOSZJLT,O,O,O,O,O
IOZTLJS,O,O,X,O,X
IOZTLSJ,O,O,X,O,X
IOZTJLS,O,O,X,O,X
IOZTJSL,O,O,X,O,O
IOZTSLJ,O,O,X,O,O
IOZTSJL,O,O,X,O,O
IOZLTJS,O,X,X,O,X
IOZLTSJ,O,X,X,O,X
IOZLJTS,O,X,X,O,X
IOZLJST,O,O,X,O,X
IOZLSTJ,O,O,X,X,X
IOZLSJT,O,O,X,O,X
IOZJTLS,O,X,X,O,X
IOZJTSL,O,O,X,X,O
IOZJLTS,O,X,X,O,X
IOZJLST,O,O,X,O,X
IOZJSTL,O,O,X,X,O
IOZJSLT,O,O,X,O,O
IOZSTLJ,O,O,X,X,O
IOZSTJL,O,O,X,X,O
IOZSLTJ,O,O,X,X,O
IOZSLJT,O,O,X,O,O
IOZSJTL,O,O,X,X,O
IOZSJLT,O,O,X,O,O
LTIJSZO,X,X,O,X,X
LTIJSOZ,X,X,O,X,X
LTIJZSO,X,X,O,O,X
LTIJZOS,X,X,X,O,X
LTIJOSZ,X,X,O,X,X
LTIJOZS,X,X,X,O,X
LTISJZO,O,O,O,X,X
LTISJOZ,O,O,O,X,X
LTISZJO,O,O,O,O,X
LTISZOJ,O,O,O,O,X
LTISOJZ,O,O,O,X,X
LTISOZJ,O,O,O,O,X
LTIZJSO,O,O,O,O,X
LTIZJOS,O,O,X,O,X
LTIZSJO,O,O,O,O,X
LTIZSOJ,O,O,O,O,X
LTIZOJS,O,O,X,O,X
LTIZOSJ,O,O,X,O,X
LTIOJSZ,X,X,O,X,X
LTIOJZS,X,X,X,O,X
LTIOSJZ,O,O,O,X,X
LTIOSZJ,O,O,O,O,X
LTIOZJS,O,O,X,O,X
LTIOZSJ,O,O,X,O,X
LTJISZO,X,X,O,X,X
LTJISOZ,X,X,O,X,X
LTJIZSO,X,X,O,O,X
LTJIZOS,X,X,X,O,X
LTJIOSZ,X,X,O,X,X
LTJIOZS,X,X,X,O,X
LTJSIZO,X,X,O,X,X
LTJSIOZ,X,X,O,X,X
LTJSZIO,X,X,O,X,X
LTJSZOI,X,X,O,X,X
LTJSOIZ,X,X,O,X,X
LTJSOZI,X,X,O,X,X
LTJZISO,X,X,O,O,X
LTJZIOS,X,X,X,O,X
LTJZSIO,X,X,O,O,X
LTJZSOI,X,X,O,O,X
LTJZOIS,X,X,X,O,X
LTJZOSI,X,X,X,O,X
LTJOISZ,X,X,O,X,X
LTJOIZS,X,X,X,O,X
LTJOSIZ,X,X,O,X,X
LTJOSZI,X,X,O,X,X
LTJOZIS,X,X,X,O,X
LTJOZSI,X,X,X,O,X
LTSIJZO,O,O,O,X,X
LTSIJOZ,O,O,O,X,X
