sequence,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFzfBfmB6mB0iB2s?BFqB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFzfBGhBKnBfoBUm?BFqB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFukB3gBFiB0mBzn?BiqB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFUgBGhBTiBfqBVw?ByxB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFUgBFhBOnBfqBSw?BzsB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFCgB0hBmlBznBXn?BFqB,v115@FhB8IeA8IeA8AeA8AeG8JeZEJvhFFgB6mB0iBfqBzq?B2xB
TILJSZO,O,X,O,O,O,X,O
TILJSOZ,O,X,O,O,O,O,O
TILJZSO,O,X,O,O,O,X,O
TILJZOS,O,X,O,O,X,O,O
TILJOSZ,O,X,O,O,O,O,O
TILJOZS,O,X,O,O,O,O,O
TILSJZO,O,O,O,O,O,X,O
TILSJOZ,O,O,O,O,O,O,O
TILSZJO,O,O,O,O,O,X,O
TILSZOJ,O,O,O,O,O,X,X
TILSOJZ,O,O,O,O,O,O,O
TILSOZJ,O,O,O,O,O,X,X
TILZJSO,X,X,O,O,O,X,X
TILZJOS,X,X,O,O,X,O,X
TILZSJO,X,O,O,O,O,X,X
TILZSOJ,X,O,O,O,O,X,X
TILZOJS,X,X,O,O,O,O,X
TILZOSJ,X,O,O,O,O,X,X
TILOJSZ,O,X,O,O,O,O,O
TILOJZS,O,X,O,O,O,O,O
TILOSJZ,O,O,O,O,O,O,O
TILOSZJ,O,O,O,O,O,X,O
TILOZJS,X,X,O,O,O,O,X
TILOZSJ,X,O,O,O,O,X,X
TIJLSZO,O,X,O,O,O,X,O
TIJLSOZ,O,X,O,O,O,O,O
TIJLZSO,O,X,O,O,O,X,O
TIJLZOS,O,X,O,O,X,O,O
TIJLOSZ,O,X,O,O,O,O,O
TIJLOZS,O,X,O,O,X,O,O
TIJSLZO,O,O,X,O,O,X,O
TIJSLOZ,O,O,X,O,O,O,O
TIJSZLO,O,O,X,O,O,X,O
TIJSZOL,O,O,X,O,O,X,O
TIJSOLZ,O,O,X,O,X,O,O
TIJSOZL,O,O,X,O,X,O,O
TIJZLSO,O,X,O,O,X,X,O
TIJZLOS,O,X,X,O,X,O,O
TIJZSLO,O,O,O,O,X,X,O
TIJZSOL,O,O,O,O,X,X,O
TIJZOLS,O,X,X,X,X,O,O
TIJZOSL,O,O,O,X,X,O,O
TIJOLSZ,O,X,O,O,X,O,O
TIJOLZS,O,X,O,O,X,O,O
TIJOSLZ,O,O,O,O,X,O,O
TIJOSZL,O,O,O,O,X,O,O
TIJOZLS,O,X,O,X,X,O,O
TIJOZSL,O,O,O,X,X,O,O
TISLJZO,O,O,X,O,O,X,O
TISLJOZ,O,O,X,O,O,O,O
TISLZJO,O,O,X,O,O,X,O
TISLZOJ,O,O,X,O,O,X,X
TISLOJZ,O,O,X,O,O,O,O
TISLOZJ,O,O,X,O,O,X,O
TISJLZO,O,O,X,O,O,X,O
TISJLOZ,O,O,X,O,O,O,O
TISJZLO,O,O,X,O,O,X,O
TISJZOL,O,O,X,O,O,X,O
TISJOLZ,O,O,X,O,X,O,O
TISJOZL,O,O,X,O,X,O,O
TISZLJO,O,O,X,O,O,X,O
TISZLOJ,O,O,X,O,O,X,X
TISZJLO,O,O,X,O,O,X,O
TISZJOL,O,O,X,O,O,X,O
TISZOLJ,O,O,X,O,O,X,O
TISZOJL,O,O,X,O,O,X,O
TISOLJZ,O,O,X,O,O,O,O
TISOLZJ,O,O,X,O,O,X,O
TISOJLZ,O,O,X,O,O,O,O
TISOJZL,O,O,X,O,O,O,O
TISOZLJ,O,O,X,O,O,X,O
TISOZJL,O,O,X,O,O,X,O
TIZLJSO,X,X,O,O,X,X,X
TIZLJOS,X,X,X,O,X,O,X
TIZLSJO,X,O,O,O,X,X,X
TIZLSOJ,X,O,X,O,X,X,X
TIZLOJS,X,X,X,O,X,O,X
TIZLOSJ,X,O,X,O,X,X,X
TIZJLSO,O,X,O,O,X,X,X
TIZJLOS,O,X,X,O,X,O,X
TIZJSLO,O,O,O,O,X,X,X
TIZJSOL,O,O,O,O,X,X,X
TIZJOLS,O,X,X,X,X,O,X
TIZJOSL,O,O,O,X,X,O,X
TIZSLJO,O,O,O,O,X,X,X
TIZSLOJ,O,O,X,O,X,X,X
TIZSJLO,O,O,O,O,X,X,X
TIZSJOL,O,O,O,O,X,X,X
TIZSOLJ,O,O,X,O,X,X,X
TIZSOJL,O,O,O,O,X,X,X
TIZOLJS,X,X,X,X,X,O,X
TIZOLSJ,X,O,X,X,X,X,X
TIZOJLS,O,X,X,X,X,O,X
TIZOJSL,O,O,O,X,X,O,X
TIZOSLJ,O,O,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X
TIOLJSZ,O,X,O,O,O,O,O
TIOLJZS,O,X,O,O,O,O,O
TIOLSJZ,O,O,O,O,O,O,O
TIOLSZJ,O,O,O,O,O,X,O
TIOLZJS,X,X,O,O,O,O,X
TIOLZSJ,X,O,O,O,O,X,X
TIOJLSZ,O,X,O,O,O,O,O
TIOJLZS,O,X,O,O,O,O,O
TIOJSLZ,O,O,O,O,O,O,O
TIOJSZL,O,O,O,O,O,O,O
TIOJZLS,O,X,O,X,X,O,O
TIOJZSL,O,O,O,X,X,O,O
TIOSLJZ,O,O,O,O,O,O,O
TIOSLZJ,O,O,O,O,O,X,O
TIOSJLZ,O,O,O,O,O,O,O
TIOSJZL,O,O,O,O,O,O,O
TIOSZLJ,O,O,O,O,O,X,O
TIOSZJL,O,O,O,O,O,X,O
TIOZLJS,X,X,O,X,X,O,X
TIOZLSJ,X,O,O,X,X,X,X
TIOZJLS,O,X,O,X,X,O,X
TIOZJSL,O,O,O,X,X,O,X
TIOZSLJ,O,O,O,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X
TLIJSZO,O,X,O,O,O,X,O
TLIJSOZ,O,X,O,O,O,O,O
TLIJZSO,O,X,O,O,O,X,O
TLIJZOS,O,X,O,O,X,O,O
TLIJOSZ,O,X,O,O,O,O,O
TLIJOZS,O,X,O,O,O,O,O
TLISJZO,O,O,O,O,O,X,O
TLISJOZ,O,O,O,O,O,O,O
TLISZJO,O,O,O,O,O,X,O
TLISZOJ,O,O,O,O,O,X,X
TLISOJZ,O,O,O,O,O,O,O
TLISOZJ,O,O,O,O,O,X,X
TLIZJSO,X,X,O,O,O,X,X
TLIZJOS,X,X,O,O,X,O,X
TLIZSJO,X,O,O,O,O,X,X
TLIZSOJ,X,O,O,O,O,X,X
TLIZOJS,X,X,O,O,O,O,X
TLIZOSJ,X,O,O,O,O,X,X
TLIOJSZ,O,X,O,O,O,O,O
TLIOJZS,O,X,O,O,O,O,O
TLIOSJZ,O,O,O,O,O,O,O
TLIOSZJ,O,O,O,O,O,X,O
TLIOZJS,X,X,O,O,O,O,X
TLIOZSJ,X,O,O,O,O,X,X
TLJISZO,O,X,O,O,O,X,O
TLJISOZ,O,X,O,O,O,O,O
TLJIZSO,O,X,O,O,O,X,O
