sequence,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFXcBViBClBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFXcBViBGlBKrBzm?BUqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBzkB+qBim?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFViB3gBThBWqB8r?ByvB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFViBamB0hBzkB+q?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFlcBUhBOnBfqB6q?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFFhBXiBClBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBClB2rBTq?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFUhBFiBfqB6qBmm?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFVhBUdBzkB+qBim?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jex6IvhFFhBXiBGlByrBUq?BTrB,v115@6gF8EeC8FeD8FeE8DeD8Jex7IvhF3gBFiB6kBOrB8r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8JeeBJvhFUdBfnBaqB5lBlk?BTrB,v115@6gF8EeC8FeD8FeE8DeD8JeUBJvhFFiB5lBzkBimB3r?BmpB,v115@6gF8EeC8FeD8FeE8DeD8Je07IvhFFiB6kBxlB2rBTq?B3rB,v115@6gF8EeC8FeD8FeE8DeD8Jei8IvhFWmBFiB0fBRqB3r?BTqB,v115@6gF8EeC8FeD8FeE8DeD8Je8AJvhFFiB6kBOlBXmBzm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8Jem7IvhFSlBFiBXmB0kBzm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8JezAJvhFFiB0fBSrBXlBmm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8JezAJvhFFiBXgBSrB0kBmm?BxvB,v115@6gF8EeC8FeD8FeE8DeD8Jem7IvhFclBFiB6kBXmBzm?BxvB
TILJSZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILSJZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILSJOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILSZJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TILSZOJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSOJZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TILSOZJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILZJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TILOJSZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOJZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILOSJZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOSZJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TILOZJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILOZSJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TIJLSZO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJLOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJSLZO,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIJSLOZ,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIJSZLO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJSZOL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJZSOL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJZOLS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
