sequence,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxcBTeB?GiBllBasBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxcBTeB?CiBllBOsBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeX8IvhF6iBTeB?+mBZnBllB0qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhF6iBTeB?+mBZnBllBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGdBTeB?ZmBUiB6qBfsB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jem7IvhFRdBSjB?1lBUiBfsBzqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxdBzhB?CjBllBmrBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeX8IvhFxdBzhB?CjBllBmrB0qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeT8IvhFGeB3iB?llBcrBZnB6qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGeBylB?RiBUiBfsBzqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je5BJvhFTeBylB?cnBfrBOsBlqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGeB3iB?xlB0mBzqBasB
TILJSZO,O,X,O,O,O,O,X,X,X,O,X,X
TILJSOZ,O,X,O,O,O,O,X,X,X,O,X,X
TILJZSO,O,X,O,O,X,O,X,X,X,O,X,X
TILJZOS,O,X,O,O,X,X,O,X,X,X,X,X
TILJOSZ,O,X,O,O,O,O,O,O,X,O,X,X
TILJOZS,O,X,O,O,X,X,O,O,X,X,X,X
TILSJZO,X,X,X,X,O,O,X,X,X,O,X,X
TILSJOZ,X,X,X,X,O,O,X,X,X,O,X,X
TILSZJO,X,X,X,X,O,O,X,X,X,O,X,X
TILSZOJ,X,X,X,X,O,O,X,X,X,X,X,X
TILSOJZ,X,X,X,X,O,O,X,X,X,O,X,X
TILSOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,O,X,X,X,O,X,X
TILZJOS,O,X,X,X,X,X,O,X,X,X,X,X
TILZSJO,X,X,X,X,O,X,X,X,X,X,O,X
TILZSOJ,O,X,X,X,O,X,X,X,X,X,O,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,O,X,X,X,X,X,O,X
TILOJSZ,O,X,O,O,O,O,X,X,X,O,X,X
TILOJZS,O,X,O,O,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,X,X,X,X,X,X
