sequence,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFRcBCeBUiBT?jBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFzdB+jBRhBU?iBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB6jBemBF?iB8nBfsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhF/hBGdB6jBZ?nB8sBVwB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFTdB6jB8nBR?rBfsBFrB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex8IvhFXeBmgBzhBS?oB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeyAJvhFGdBTeB3hBx?nB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex7IvhFXdB6jB2mBz?iB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB8iB+jBy?mBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFFdBTeBXmBx?nBGmBcsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFUeBxhBmhBS?oBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeOCJvhFXeBxgBSoBT?hB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei9IvhF+jBxgB3iBT?hB0lBFsB
TILJSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
TILJSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
TILJZSO,X,X,X,X,O,X,X,O,O,X,X,O,X
TILJZOS,X,O,X,X,X,X,X,X,O,X,X,X,X
TILJOSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
TILJOZS,X,O,X,X,X,O,X,X,O,X,X,X,X
TILSJZO,X,X,X,X,X,X,O,X,X,O,X,O,X
TILSJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
TILSZJO,X,X,X,O,X,X,O,X,X,O,X,O,X
TILSZOJ,X,X,X,O,X,X,O,X,X,O,X,X,X
TILSOJZ,X,X,X,X,X,O,O,X,X,O,X,O,X
TILSOZJ,X,X,X,O,X,O,O,X,X,O,X,X,X
TILZJSO,X,X,X,O,O,X,X,X,X,X,X,O,X
TILZJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,O,O,X,X,X,X,X,X,O,X
TILZSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
TILOJZS,X,O,X,X,X,O,X,O,O,X,X,X,X
TILOSJZ,X,X,X,X,X,O,O,O,X,O,X,O,X
TILOSZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
TILOZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
TILOZSJ,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
TIJLSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
TIJLZSO,O,X,X,X,O,X,X,O,O,X,X,O,X
TIJLZOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
TIJLOZS,O,O,X,X,X,O,X,O,O,X,X,X,X
TIJSLZO,X,O,X,X,X,X,O,O,X,X,X,O,O
TIJSLOZ,X,O,X,X,X,X,O,O,X,X,X,O,O
TIJSZLO,O,O,X,O,X,X,O,O,X,X,X,X,O
TIJSZOL,O,O,X,O,X,X,O,O,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,O,O,O,X,X,X,X,O
TIJSOZL,X,O,X,O,X,X,O,O,X,X,X,X,X
TIJZLSO,O,X,X,O,O,X,X,O,O,X,X,O,X
TIJZLOS,O,O,X,O,X,X,X,X,O,X,X,X,X
TIJZSLO,O,X,X,O,O,X,O,O,X,X,X,X,O
TIJZSOL,O,X,X,O,O,X,O,O,O,X,X,X,X
TIJZOLS,O,O,X,O,X,O,X,O,O,X,X,X,X
TIJZOSL,O,X,X,O,X,X,O,O,O,X,X,X,X
TIJOLSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
TIJOLZS,O,O,X,X,X,O,X,O,O,X,X,X,X
TIJOSLZ,O,O,X,X,X,O,O,O,X,X,X,X,O
TIJOSZL,X,O,X,O,X,X,O,O,X,X,X,X,X
TIJOZLS,O,O,X,O,X,O,X,O,O,X,X,X,X
TIJOZSL,O,X,X,O,X,X,O,O,O,X,X,X,X
TISLJZO,X,O,X,X,X,X,O,X,X,O,X,O,X
TISLJOZ,X,O,X,X,X,X,O,X,X,O,X,O,X
TISLZJO,X,O,X,O,X,X,O,X,X,O,X,O,X
TISLZOJ,X,X,X,O,X,X,O,X,X,O,O,X,X
TISLOJZ,X,O,X,X,X,X,O,X,X,O,X,O,X
TISLOZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
TISJLZO,O,O,X,X,X,X,O,X,X,O,X,O,O
TISJLOZ,O,O,X,X,X,X,O,X,X,O,X,O,O
TISJZLO,O,O,X,O,X,X,O,X,X,O,X,X,O
TISJZOL,O,O,X,O,X,X,O,X,X,O,O,X,X
