sequence,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?CeBTjB0nBZnB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?0dB6jBZnBzsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jet/IvhF0bBxcB?TeBCiBOsBXtB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?xdBcoBTnBisB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8JeR7IvhF9hBXeB?CgBcoBTnBOsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jet/IvhF0bB6hB?+iBTeBXoBZnB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8JeR7IvhF9hBTeB?CgBcnBXoBOsB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9hB?xnBcoBTnBisB,v115@zgA8IeA8IeA8AeC8EeF8CeG8AeC8Jeu/IvhF3bB9jB?xhBzhBaoBcsB
TILJSZO,X,O,O,X,X,X,O,O,O
TILJSOZ,X,O,O,X,X,X,O,O,O
TILJZSO,X,O,O,X,X,X,X,O,X
TILJZOS,X,O,O,X,O,X,X,O,X
TILJOSZ,X,O,O,X,X,X,X,O,X
TILJOZS,X,O,O,X,O,X,X,O,X
TILSJZO,X,O,O,X,X,O,O,O,O
TILSJOZ,X,O,O,X,X,O,O,O,O
TILSZJO,X,O,O,X,X,O,O,X,X
TILSZOJ,X,O,O,X,O,O,O,X,X
TILSOJZ,X,O,O,X,X,O,O,X,X
TILSOZJ,X,O,O,X,O,O,O,X,X
TILZJSO,X,O,O,X,X,X,X,X,X
TILZJOS,X,O,O,X,O,X,X,X,X
TILZSJO,X,O,O,X,X,O,O,X,X
TILZSOJ,X,O,O,X,O,O,O,X,X
TILZOJS,X,O,O,X,O,X,X,X,X
TILZOSJ,X,O,O,X,O,X,X,X,X
TILOJSZ,X,O,O,X,X,X,X,X,X
TILOJZS,X,O,O,X,O,X,X,X,X
TILOSJZ,X,O,O,X,X,X,O,X,X
TILOSZJ,X,O,O,X,O,X,O,X,X
TILOZJS,X,O,O,X,O,X,X,X,X
TILOZSJ,X,O,O,X,O,X,X,X,X
TIJLSZO,X,O,O,X,X,X,X,O,O
TIJLSOZ,X,O,O,X,X,X,X,O,O
TIJLZSO,X,O,O,X,X,X,X,O,X
TIJLZOS,X,O,O,X,X,X,X,O,X
TIJLOSZ,X,O,O,X,X,X,X,O,X
TIJLOZS,X,O,O,X,X,X,X,O,X
TIJSLZO,X,O,O,X,X,X,X,O,O
TIJSLOZ,X,O,O,X,X,X,X,O,O
TIJSZLO,X,O,O,O,X,X,X,O,O
TIJSZOL,O,O,O,O,X,X,X,O,O
TIJSOLZ,X,O,O,X,X,X,X,O,O
TIJSOZL,O,O,O,O,X,X,X,O,O
TIJZLSO,X,O,O,O,X,X,X,O,O
TIJZLOS,X,O,O,X,X,X,X,O,X
TIJZSLO,X,O,O,O,X,X,X,O,O
TIJZSOL,O,O,O,O,X,X,X,O,O
TIJZOLS,O,O,O,O,X,X,X,O,X
TIJZOSL,O,O,O,O,X,X,X,O,O
TIJOLSZ,X,O,X,X,X,X,X,O,X
TIJOLZS,X,O,X,X,X,X,X,O,X
TIJOSLZ,X,O,X,X,X,X,X,O,O
TIJOSZL,O,O,X,O,X,X,X,O,O
TIJOZLS,O,O,X,O,X,X,X,O,X
TIJOZSL,O,O,X,O,X,X,X,O,X
TISLJZO,X,O,O,X,X,O,O,O,O
TISLJOZ,X,O,O,X,X,O,O,O,O
TISLZJO,X,O,O,X,X,O,O,X,X
TISLZOJ,X,O,O,X,X,O,O,X,X
TISLOJZ,X,O,O,X,X,O,O,X,X
TISLOZJ,X,O,O,X,X,O,O,X,X
TISJLZO,X,O,O,X,X,O,X,O,O
TISJLOZ,X,O,O,X,X,O,X,O,O
TISJZLO,X,O,O,O,X,O,X,O,O
TISJZOL,O,O,O,O,X,O,X,O,O
TISJOLZ,X,O,O,X,X,O,X,O,O
TISJOZL,O,O,O,O,X,O,X,O,O
TISZLJO,X,O,O,O,X,O,O,X,O
TISZLOJ,X,O,O,X,X,O,O,X,X
TISZJLO,X,O,O,O,X,O,X,O,O
TISZJOL,O,O,O,O,X,O,X,O,O
TISZOLJ,O,O,O,O,X,O,O,X,X
TISZOJL,O,O,O,O,X,O,X,X,O
TISOLJZ,X,O,O,X,X,O,O,X,X
TISOLZJ,X,O,O,X,X,O,O,X,X
TISOJLZ,X,O,O,X,X,O,X,O,O
TISOJZL,O,O,O,O,X,O,X,O,O
TISOZLJ,O,O,O,O,X,O,O,X,X
TISOZJL,O,O,O,O,X,O,X,X,X
TIZLJSO,X,O,O,O,X,X,X,X,O
TIZLJOS,X,O,O,X,O,X,X,X,X
TIZLSJO,X,O,O,O,X,O,X,X,O
TIZLSOJ,X,O,O,X,O,O,X,X,X
TIZLOJS,X,O,O,X,O,X,X,X,X
TIZLOSJ,X,O,O,X,O,X,X,X,X
TIZJLSO,X,O,O,O,X,X,X,O,O
TIZJLOS,X,O,O,X,X,X,X,O,X
TIZJSLO,X,O,O,O,X,X,X,O,O
TIZJSOL,O,O,O,O,X,X,X,O,O
TIZJOLS,O,O,O,O,X,X,X,O,X
TIZJOSL,O,O,O,O,X,X,X,O,O
TIZSLJO,X,O,O,O,X,O,X,X,O
TIZSLOJ,X,O,O,X,X,O,X,X,X
TIZSJLO,X,O,O,O,X,O,X,O,O
TIZSJOL,O,O,O,O,X,O,X,O,O
TIZSOLJ,O,O,O,O,X,O,X,X,X
TIZSOJL,O,O,O,O,X,O,X,X,O
TIZOLJS,O,O,O,O,O,X,X,X,X
TIZOLSJ,O,O,O,O,O,X,X,X,X
TIZOJLS,O,O,O,O,X,X,X,X,X
TIZOJSL,O,O,O,O,X,X,X,X,O
TIZOSLJ,O,O,O,O,O,X,X,X,X
TIZOSJL,O,O,O,O,X,X,X,X,O
TIOLJSZ,X,O,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,O,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,O,X,X,X,X
TIOLZJS,X,O,X,X,O,X,X,X,X
TIOLZSJ,X,O,X,X,O,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,O,X
TIOJLZS,X,O,X,X,X,X,X,O,X
TIOJSLZ,X,O,X,X,X,X,X,O,O
TIOJSZL,O,O,X,O,X,X,X,O,O
TIOJZLS,O,O,X,O,X,X,X,O,X
TIOJZSL,O,O,X,O,X,X,X,O,X
TIOSLJZ,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,O,O
TIOSJZL,O,O,X,O,X,X,X,O,O
TIOSZLJ,O,O,X,O,X,X,X,X,X
TIOSZJL,O,O,X,O,X,X,X,X,X
TIOZLJS,O,O,X,O,O,X,X,X,X
TIOZLSJ,O,O,X,O,O,X,X,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X
TIOZSLJ,O,O,X,O,O,X,X,X,X
TIOZSJL,O,O,X,O,X,X,X,X,X
TLIJSZO,X,O,O,X,X,X,O,O,O
TLIJSOZ,X,O,O,X,X,X,O,O,O
TLIJZSO,X,O,O,X,X,X,X,O,X
TLIJZOS,X,O,O,X,O,X,X,O,X
TLIJOSZ,X,O,O,X,X,X,X,O,X
TLIJOZS,X,O,O,X,O,X,X,O,X
TLISJZO,X,O,O,X,X,O,O,O,O
TLISJOZ,X,O,O,X,X,O,O,O,O
TLISZJO,X,O,O,X,X,O,O,X,X
TLISZOJ,X,O,O,X,O,O,O,X,X
TLISOJZ,X,O,O,X,X,O,O,X,X
TLISOZJ,X,O,O,X,O,O,O,X,X
TLIZJSO,X,O,O,X,X,X,X,X,X
TLIZJOS,X,O,O,X,O,X,X,X,X
TLIZSJO,X,O,O,X,X,O,O,X,X
TLIZSOJ,X,O,O,X,O,O,O,X,X
TLIZOJS,X,O,O,X,O,X,X,X,X
TLIZOSJ,X,O,O,X,O,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,X,X
