sequence,v115@7gB8GeE8FeD8FeE8AeF8JeT6IvhFOgBxcBChB/nB0m?BlqB,v115@7gB8GeE8FeD8FeE8AeF8Jei6IvhFfhBxcBUgBumBTn?BlqB,v115@7gB8GeE8FeD8FeE8AeF8Jex6IvhFXdBmfBzgB0hBSs?BlqB,v115@7gB8GeE8FeD8FeE8AeF8JeT6IvhFZgBUcBWmB/nBFn?BCrB,v115@7gB8GeE8FeD8FeE8AeF8JeT6IvhFxcB/nB6qB0rBOq?BFrB,v115@7gB8GeE8FeD8FeE8AeF8JeT6IvhFZgBugB1hBXiB8q?BSxB,v115@7gB8GeE8FeD8FeE8AeF8Jex6IvhF8gBmfB3hBTnBCn?BlqB,v115@7gB8GeE8FeD8FeE8AeF8Jex/IvhF/mBUiBmfBChBTn?BlqB
TILJSZO,O,O,X,O,X,X,X,X
TILJSOZ,O,O,O,O,X,X,X,X
TILJZSO,X,O,X,O,X,X,X,X
TILJZOS,X,X,O,O,X,X,X,X
TILJOSZ,O,X,O,O,X,X,X,X
TILJOZS,X,X,O,O,X,X,X,X
TILSJZO,O,O,X,O,X,X,X,X
TILSJOZ,O,O,O,O,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,O
TILSZOJ,O,O,X,X,X,X,X,O
TILSOJZ,O,O,O,O,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X
TILZJSO,X,O,X,X,X,O,X,X
TILZJOS,X,X,X,X,X,O,X,X
TILZSJO,X,O,X,X,X,O,X,X
TILZSOJ,X,O,X,X,X,O,X,X
TILZOJS,X,O,X,X,X,O,X,X
TILZOSJ,X,O,X,X,X,O,X,X
TILOJSZ,O,O,O,O,X,X,X,X
TILOJZS,X,O,O,O,X,X,X,X
TILOSJZ,O,O,O,O,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,O,X,X
TILOZSJ,X,O,X,X,X,O,X,X
TIJLSZO,O,O,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,X,X
TIJLZSO,X,O,X,X,X,X,O,X
TIJLZOS,X,X,O,X,X,X,X,X
TIJLOSZ,O,X,O,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X
TIJSLOZ,O,O,O,X,X,X,X,X
TIJSZLO,X,O,X,X,X,X,O,O
TIJSZOL,O,X,X,X,X,X,O,O
TIJSOLZ,O,O,O,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,O,X
TIJZLOS,O,X,O,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,O,X
TIJZSOL,O,O,X,X,X,X,O,X
TIJZOLS,O,X,O,X,X,X,X,X
TIJZOSL,O,X,O,X,X,X,O,X
TIJOLSZ,O,X,O,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,X
TIJOSLZ,O,O,O,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,O,X
TIJOZLS,O,X,O,X,X,X,X,X
TIJOZSL,O,X,O,X,X,X,O,X
TISLJZO,O,O,X,O,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,O
TISLZOJ,O,O,X,X,X,X,X,O
TISLOJZ,O,O,X,O,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X
TISJZLO,X,O,X,X,X,X,O,O
TISJZOL,O,X,X,X,X,X,O,O
TISJOLZ,O,O,O,X,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,X
TISZLJO,O,O,X,X,O,X,X,O
