sequence,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jem6IvhFRcBSiBTfB3?gBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFxbBmgBCiBl?kBcqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFTdBifBGhBf?qBllB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Je06IvhFxbB2kBzgBC?iBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFWhBTdB/kBZ?lBCmB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFKhBGdB/kBF?gBcqBzrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhF0bBxcBzfBS?mBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFxbBTdBFgBf?qBCmB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFOhBTdB/kBF?gBcqBqrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFfgBxbBTdBW?mBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFibBWiBUhBx?kBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFTdBRgBSmBX?gBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFGbBxcBUgBT?hBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jei6IvhFWhBTdB3fBx?lBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFSiB/kBZlBu?lBUmBzrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhF6lBxhB0kBO?qB/rBFsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Je5AJvhFThBmkB/kBa?qBcsBlrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFxcB2kBThBS?qBcqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFxbB8lBCiBz?kBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeTBJvhFxkB/kB+lBa?qBcsBlrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFGbBUgBxhBT?hBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFWiB0kBxlBl?lBiqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeWCJvhFTfBxlBllB0?kBiqBXsB
TILJSZO,O,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TILJZOS,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
TILJOSZ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
TILSZOJ,O,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TILZJOS,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TILZSJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TILZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X
TILZOSJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TILOJSZ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TILOZSJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
