sequence,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?SlBziB0pBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jei6IvhF+gBxdB?3fBziB0pBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je06IvhF6gBxdB?2kBziBlpB3qB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhF6iBOjB?clBTkB3qBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhFWgBXeB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhFWgB0dB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhFXeBOkB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?qlBziBlpBUqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je//IvhFFbBxdB?ziB2pB0lBSvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhF0dBOkB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je6AJvhFxdBlfB?ziBOkB8pB3qB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je6CJvhFOjBxfB?clBTkB3qBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jei6IvhFxdBWlB?ziB/pBlqBcqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex9IvhFOkBXgB?ziBqlBUqBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeX+IvhFxfBmfB?0iBTkB1qBSvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeX+IvhFxfBOkB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je09IvhFxfBOkB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex9IvhFVlBziB?2pBqlB/pBUqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhF0dBzfB?qlBXjBFlBWvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?ziB1pB0lBSvB
TILJSZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TILJSOZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILJZSO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TILJZOS,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TILJOSZ,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TILSJZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TILSJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TILSOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TILZJSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TILZJOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TILZSJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TILZOJS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILOJSZ,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TILOZJS,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TILOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
