sequence,v115@FhB8BeB8DeB8CeH8AeH8Jem6IvhFfhB0cBxdBTfBSn?BlpB,v115@FhB8BeB8DeB8CeH8AeH8JeO/IvhF8fBfhB6hBxdBTi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jei6IvhFGcBxdB3fBUhBTi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8JeK/IvhFzaBfhBxdBGiB0h?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jey/IvhFfhBxdBGiBTfB0h?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Je2/IvhFShBxdBTiB3fBUh?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jem7IvhFCeBxfB3hBTfBUi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jem7IvhFCeBxfBUiBTfB3h?BlpB
TIZSLJO,O,O,O,O,O,X,O,O
TIZSLOJ,O,O,O,O,X,X,X,X
TIZSJLO,O,O,O,O,O,X,O,O
TIZSJOL,O,O,O,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X
TIZOLJS,O,O,O,X,X,O,X,O
TIZOLSJ,O,O,O,X,X,X,X,X
TIZOJLS,O,O,O,X,X,O,X,O
TIZOJSL,O,O,O,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X
TIOLJSZ,O,X,X,O,O,O,O,X
TIOLJZS,O,X,X,O,X,O,X,O
TIOLSJZ,O,O,O,O,O,O,O,X
TIOLSZJ,O,O,O,O,X,X,X,X
TIOLZJS,O,O,O,O,X,O,X,O
TIOLZSJ,O,O,O,O,X,X,X,X
TIOJLSZ,O,X,X,O,O,O,O,X
TIOJLZS,O,X,X,O,X,O,X,O
TIOJSLZ,O,O,O,O,O,O,O,X
TIOJSZL,O,O,O,X,X,X,X,X
TIOJZLS,O,O,O,X,X,O,X,O
TIOJZSL,O,O,O,X,X,X,X,X
TIOSLJZ,O,O,O,O,O,O,O,X
TIOSLZJ,O,O,O,O,X,X,X,X
TIOSJLZ,O,O,O,O,O,O,O,X
TIOSJZL,O,O,O,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X
TIOZLJS,O,O,O,X,X,O,X,O
TIOZLSJ,O,O,O,X,X,X,X,X
TIOZJLS,O,O,O,X,X,O,X,O
TIOZJSL,O,O,O,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,X
TLIJSZO,O,X,X,O,O,X,O,O
TLIJSOZ,O,X,X,O,O,X,O,X
TLIJZSO,O,X,X,O,O,X,O,O
TLIJZOS,X,X,X,O,X,X,X,O
TLIJOSZ,O,X,X,O,O,O,O,X
TLIJOZS,O,X,X,O,X,O,X,O
TLISJZO,O,O,O,O,O,X,O,O
TLISJOZ,O,X,O,O,O,X,O,X
TLISZJO,O,O,O,O,O,X,O,O
TLISZOJ,O,O,O,O,X,X,X,X
TLISOJZ,O,X,O,O,O,X,O,X
TLISOZJ,O,O,O,O,X,X,X,X
TLIZJSO,O,O,O,O,O,X,O,O
TLIZJOS,X,O,X,O,X,X,X,O
TLIZSJO,O,O,O,O,O,X,O,O
TLIZSOJ,O,O,O,O,X,X,X,X
TLIZOJS,O,O,X,O,X,X,X,O
TLIZOSJ,O,O,X,O,X,X,X,X
TLIOJSZ,O,X,X,O,O,O,O,X
TLIOJZS,O,X,X,O,X,O,X,O
TLIOSJZ,O,O,O,O,O,O,O,X
TLIOSZJ,O,O,O,O,X,X,X,X
TLIOZJS,O,O,O,O,X,O,X,O
TLIOZSJ,O,O,O,O,X,X,X,X
TLJISZO,O,X,X,O,O,X,O,O
TLJISOZ,O,X,X,O,O,X,O,X
TLJIZSO,O,X,X,O,O,X,O,O
TLJIZOS,X,X,X,O,X,X,X,O
TLJIOSZ,O,X,X,O,O,O,O,X
TLJIOZS,O,X,X,O,X,O,X,O
TLJSIZO,O,X,X,O,O,X,O,X
TLJSIOZ,O,X,X,O,O,X,O,X
TLJSZIO,O,X,X,O,O,X,O,X
TLJSZOI,O,X,X,O,O,X,X,X
TLJSOIZ,O,X,X,O,O,O,O,X
TLJSOZI,O,X,X,O,O,O,X,X
TLJZISO,O,X,X,O,O,X,X,O
TLJZIOS,X,X,X,O,X,X,X,O
TLJZSIO,O,X,X,O,O,X,X,X
TLJZSOI,O,X,X,O,O,X,X,X
TLJZOIS,X,X,X,O,X,O,X,X
TLJZOSI,X,X,X,O,X,O,X,X
TLJOISZ,O,X,X,O,O,O,X,X
TLJOIZS,O,X,X,O,X,O,X,X
TLJOSIZ,O,X,X,O,O,O,X,X
TLJOSZI,O,X,X,O,O,O,X,X
TLJOZIS,O,X,X,O,X,O,X,X
