sequence,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhF3cBGeB?TgBliBimB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFzcBGeB?igB3iBFmB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeF7IvhFxcBTeB?3gBcmBOnBqsB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFfiBTeB?igB+nBFmB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeF7IvhFxcBTeB?3gBGiBimB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFFdBTgB?OmBCjBUnBXtB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeU7IvhFyhBWjB?xlBTnBFmBXtB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeaAJvhFzbBRdB?GiBFmB/sBctB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeU7IvhFylBWnB?xnBFmBTnBXtB
TILJSZO,O,O,O,O,X,X,X,X,X
TILJSOZ,O,O,O,O,O,X,X,X,X
TILJZSO,O,O,O,O,X,X,X,X,O
TILJZOS,X,O,O,O,O,X,X,X,O
TILJOSZ,O,O,O,O,O,X,X,X,X
TILJOZS,X,O,O,O,O,X,X,X,X
TILSJZO,O,O,O,O,X,X,X,O,X
TILSJOZ,O,O,O,O,X,X,X,O,X
TILSZJO,O,O,O,O,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X,X,X
TILSOJZ,O,O,O,O,X,X,X,O,X
TILSOZJ,X,O,O,X,X,X,X,X,X
TILZJSO,O,O,O,O,X,X,X,X,O
TILZJOS,X,O,O,O,X,X,X,X,O
TILZSJO,O,O,X,O,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,X
TILZOJS,X,O,O,O,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X
TILOJSZ,O,O,O,O,O,X,X,X,X
TILOJZS,X,O,O,O,O,X,X,X,X
TILOSJZ,O,O,O,O,X,X,X,O,X
