sequence,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFukB3gBzhBtnByq?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFqkBTgBmhBtnBXm?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBzhBtnBXl?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFukB3gBtmB0iByq?BTsB,v115@FhB8IeA8HeB8AeE8BeB8JeT/IvhF/lBRhBtnB2rBip?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBtmB0iBXl?BTsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBtnBXlBzm?BUsB
TILJSZO,O,O,O,O,O,O,O
TILJSOZ,O,O,O,O,O,O,O
TILJZSO,O,X,O,O,X,O,X
TILJZOS,O,X,O,O,X,X,X
TILJOSZ,O,O,X,O,O,X,O
TILJOZS,O,X,X,O,X,X,X
TILSJZO,O,O,O,O,O,X,O
TILSJOZ,O,O,O,O,O,X,O
TILSZJO,O,O,O,O,X,X,O
TILSZOJ,O,O,X,O,O,X,O
TILSOJZ,O,O,O,O,O,X,O
TILSOZJ,O,O,X,O,O,X,O
TILZJSO,O,O,X,O,X,O,X
TILZJOS,O,O,X,O,X,X,X
TILZSJO,O,O,X,O,X,X,X
TILZSOJ,O,O,X,O,X,X,X
TILZOJS,O,O,X,O,X,X,X
TILZOSJ,O,O,X,O,X,X,X
TILOJSZ,O,O,X,O,O,X,O
TILOJZS,O,X,X,O,X,X,X
TILOSJZ,O,O,X,O,O,X,O
TILOSZJ,O,O,X,O,O,X,O
TILOZJS,O,O,X,O,X,X,X
TILOZSJ,O,O,X,O,X,X,X
TIJLSZO,O,O,O,O,O,O,O
TIJLSOZ,O,O,O,O,O,O,O
TIJLZSO,O,X,O,O,X,O,X
TIJLZOS,O,X,O,O,X,X,X
TIJLOSZ,O,O,X,O,O,X,O
TIJLOZS,O,X,X,O,X,X,X
TIJSLZO,O,O,O,O,O,O,O
TIJSLOZ,O,O,O,O,O,O,O
TIJSZLO,X,O,O,O,O,O,O
TIJSZOL,X,X,O,X,X,O,O
TIJSOLZ,X,O,O,X,O,O,O
TIJSOZL,X,X,O,X,X,O,O
TIJZLSO,O,X,O,O,X,O,X
TIJZLOS,O,X,O,O,X,X,X
TIJZSLO,O,X,O,O,O,O,O
TIJZSOL,O,X,O,X,X,O,O
TIJZOLS,O,X,O,O,X,X,X
TIJZOSL,O,X,O,X,X,O,O
TIJOLSZ,O,X,X,O,X,O,O
TIJOLZS,O,X,X,O,X,O,X
TIJOSLZ,X,X,O,O,O,O,O
TIJOSZL,X,X,O,O,X,O,O
TIJOZLS,X,X,O,O,X,O,X
TIJOZSL,X,X,O,O,X,O,O
TISLJZO,O,O,O,O,O,O,O
TISLJOZ,O,O,O,O,O,O,O
TISLZJO,O,O,O,O,X,X,O
TISLZOJ,O,O,O,O,O,X,O
TISLOJZ,O,O,O,O,O,O,O
TISLOZJ,O,O,X,O,O,X,O
TISJLZO,O,O,O,O,O,O,O
TISJLOZ,O,O,O,O,O,O,O
TISJZLO,X,O,O,O,O,O,O
TISJZOL,X,X,O,X,X,O,O
TISJOLZ,X,O,O,X,O,O,O
TISJOZL,X,X,O,X,X,O,O
TISZLJO,X,O,O,O,X,X,O
TISZLOJ,X,O,O,O,O,X,O
TISZJLO,X,O,O,O,X,O,O
TISZJOL,X,O,O,X,X,O,O
TISZOLJ,X,O,O,X,X,X,O
TISZOJL,X,O,O,X,X,X,O
TISOLJZ,X,O,O,X,O,O,O
TISOLZJ,X,O,X,X,O,X,O
TISOJLZ,X,O,O,X,X,O,O
TISOJZL,X,X,O,X,X,O,O
TISOZLJ,X,X,X,X,X,X,O
TISOZJL,X,X,X,X,X,X,O
TIZLJSO,O,O,O,O,X,O,X
TIZLJOS,O,O,O,O,X,X,X
TIZLSJO,O,O,O,O,X,X,X
TIZLSOJ,O,O,O,O,X,X,X
TIZLOJS,O,O,O,O,X,X,X
TIZLOSJ,O,O,X,O,X,X,X
TIZJLSO,O,O,O,O,X,O,X
TIZJLOS,O,O,O,O,X,X,X
TIZJSLO,O,O,O,O,X,O,O
TIZJSOL,O,O,O,X,X,O,O
TIZJOLS,O,O,O,O,X,X,X
TIZJOSL,O,O,O,X,X,O,O
TIZSLJO,O,O,O,O,X,X,O
TIZSLOJ,O,O,O,O,X,X,O
TIZSJLO,O,O,O,O,X,O,O
TIZSJOL,O,O,O,X,X,O,O
TIZSOLJ,O,O,O,X,X,X,O
TIZSOJL,O,O,O,X,X,X,O
TIZOLJS,O,O,O,O,X,X,X
TIZOLSJ,O,O,X,O,X,X,X
TIZOJLS,O,O,O,O,X,X,X
TIZOJSL,O,O,O,X,X,O,O
TIZOSLJ,O,O,O,X,X,X,O
TIZOSJL,O,O,O,X,X,X,O
TIOLJSZ,O,O,X,O,X,O,O
TIOLJZS,O,X,X,O,X,O,X
TIOLSJZ,O,O,X,O,X,X,O
TIOLSZJ,O,O,X,O,X,X,O
TIOLZJS,O,X,X,O,X,O,X
TIOLZSJ,O,O,X,O,X,X,X
TIOJLSZ,O,X,X,O,X,O,O
TIOJLZS,O,X,X,O,X,O,X
TIOJSLZ,X,X,O,O,X,O,O
TIOJSZL,X,X,O,O,X,O,O
TIOJZLS,X,X,O,O,X,O,X
TIOJZSL,X,X,O,O,X,O,O
TIOSLJZ,X,O,O,O,X,O,O
TIOSLZJ,X,O,X,O,X,X,O
TIOSJLZ,X,O,O,O,X,O,O
TIOSJZL,X,X,O,O,X,O,O
TIOSZLJ,X,X,X,O,X,X,O
TIOSZJL,X,X,X,O,X,O,O
TIOZLJS,X,X,X,O,X,O,X
TIOZLSJ,X,X,X,O,X,X,X
TIOZJLS,X,X,X,O,X,O,X
TIOZJSL,X,X,X,O,X,O,O
TIOZSLJ,X,X,X,O,X,X,O
TIOZSJL,X,X,X,O,X,O,O
TLIJSZO,O,O,O,O,O,O,O
TLIJSOZ,O,O,O,O,O,O,O
TLIJZSO,O,X,O,O,X,O,X
TLIJZOS,O,X,O,O,X,X,X
TLIJOSZ,O,O,X,O,O,X,O
TLIJOZS,O,X,X,O,X,X,X
TLISJZO,O,O,O,O,O,X,O
TLISJOZ,O,O,O,O,O,X,O
TLISZJO,O,O,O,O,X,X,O
TLISZOJ,O,O,X,O,O,X,O
TLISOJZ,O,O,O,O,O,X,O
TLISOZJ,O,O,X,O,O,X,O
TLIZJSO,O,O,X,O,X,O,X
TLIZJOS,O,O,X,O,X,X,X
TLIZSJO,O,O,X,O,X,X,X
TLIZSOJ,O,O,X,O,X,X,X
TLIZOJS,O,O,X,O,X,X,X
TLIZOSJ,O,O,X,O,X,X,X
TLIOJSZ,O,O,X,O,O,X,O
TLIOJZS,O,X,X,O,X,X,X
TLIOSJZ,O,O,X,O,O,X,O
TLIOSZJ,O,O,X,O,O,X,O
TLIOZJS,O,O,X,O,X,X,X
TLIOZSJ,O,O,X,O,X,X,X
TLJISZO,O,O,O,O,O,O,O
TLJISOZ,O,O,O,O,O,O,O
TLJIZSO,O,X,O,O,X,O,X
TLJIZOS,O,X,O,O,X,X,X
TLJIOSZ,O,O,X,O,O,X,O
TLJIOZS,O,X,X,O,X,X,X
TLJSIZO,O,O,O,O,O,O,O
TLJSIOZ,O,O,O,O,O,O,O
TLJSZIO,O,O,O,O,O,O,O
TLJSZOI,O,O,O,O,O,O,O
TLJSOIZ,O,O,O,O,O,O,O
TLJSOZI,O,O,O,O,O,O,O
TLJZISO,O,X,O,O,X,O,X
TLJZIOS,O,X,O,O,X,X,X
TLJZSIO,O,X,O,O,O,O,X
TLJZSOI,O,X,O,O,O,O,X
TLJZOIS,O,X,O,O,X,X,X
TLJZOSI,O,X,O,O,O,X,X
TLJOISZ,O,O,X,O,O,X,O
TLJOIZS,O,X,X,O,X,X,X
TLJOSIZ,O,O,X,O,O,X,O
TLJOSZI,O,O,X,O,O,X,O
TLJOZIS,O,X,X,O,X,X,X
TLJOZSI,O,X,X,O,O,X,X
TLSIJZO,O,O,O,O,O,X,O
TLSIJOZ,O,O,O,O,O,X,O
TLSIZJO,O,O,O,O,X,X,O
TLSIZOJ,O,O,X,O,O,X,O
TLSIOJZ,O,O,O,O,O,X,O
TLSIOZJ,O,O,X,O,O,X,O
TLSJIZO,O,O,O,O,O,X,O
TLSJIOZ,O,O,O,O,O,X,O
TLSJZIO,O,O,O,O,O,X,O
TLSJZOI,O,O,O,O,O,X,O
TLSJOIZ,O,O,O,O,O,X,O
